Start datetime,2024-06-01 03:40:27
Episode,Reward
0,6.0
1,6.0
2,8.0
3,4.0
4,2.0
5,3.0
6,1.0
7,2.0
8,2.0
9,2.0
10,6.0
11,1.0
12,6.0
13,0.0
14,0.0
15,1.0
16,-1.0
17,4.0
18,3.0
19,9.0
20,7.0
21,6.0
22,4.0
23,2.0
24,8.0
25,7.0
26,8.0
27,0.0
28,2.0
29,6.0
30,-1.0
31,0.0
32,0.0
33,2.0
34,4.0
35,5.0
36,0.0
37,4.0
38,6.0
39,1.0
40,1.0
41,6.0
42,10.0
43,8.0
44,10.0
45,4.0
46,10.0
47,6.0
48,4.0
49,14.0
50,7.0
51,12.0
52,6.0
53,5.0
54,8.0
55,9.0
56,4.0
57,2.0
58,3.0
59,3.0
60,7.0
61,7.0
62,8.0
63,8.0
64,9.0
65,9.0
66,6.0
67,13.0
68,6.0
69,8.0
70,7.0
71,11.0
72,5.0
73,5.0
74,4.0
75,12.0
76,7.0
77,9.0
78,6.0
79,3.0
80,5.0
81,6.0
82,13.0
83,12.0
84,6.0
85,7.0
86,5.0
87,7.0
88,9.0
89,6.0
90,5.0
91,9.0
92,6.0
93,9.0
94,3.0
95,6.0
96,6.0
97,5.0
98,6.0
99,5.0
100,3.0
101,7.0
102,4.0
103,2.0
104,7.0
105,2.0
106,3.0
107,2.0
108,1.0
109,5.0
110,8.0
111,9.0
112,11.0
113,8.0
114,7.0
115,7.0
116,4.0
117,8.0
118,8.0
119,6.0
120,1.0
121,7.0
122,5.0
123,4.0
124,2.0
125,5.0
126,2.0
127,5.0
128,4.0
129,4.0
130,5.0
131,2.0
132,5.0
133,4.0
134,9.0
135,2.0
136,13.0
137,7.0
138,11.0
139,4.0
140,6.0
141,5.0
142,5.0
143,2.0
144,5.0
145,3.0
146,3.0
147,5.0
148,7.0
149,8.0
150,3.0
151,2.0
152,8.0
153,3.0
154,11.0
155,8.0
156,8.0
157,8.0
158,9.0
159,7.0
160,2.0
161,6.0
162,5.0
163,4.0
164,6.0
165,10.0
166,3.0
167,7.0
168,6.0
169,4.0
170,3.0
171,8.0
172,5.0
173,12.0
174,6.0
175,3.0
176,2.0
177,6.0
178,7.0
179,3.0
180,9.0
181,4.0
182,5.0
183,7.0
184,9.0
185,4.0
186,5.0
187,4.0
188,12.0
189,14.0
190,8.0
191,5.0
192,9.0
193,7.0
194,8.0
195,3.0
196,2.0
197,7.0
198,5.0
199,3.0
200,8.0
201,4.0
202,14.0
203,5.0
204,3.0
205,5.0
206,8.0
207,3.0
208,9.0
209,2.0
210,0.0
211,8.0
212,0.0
213,9.0
214,5.0
215,9.0
216,2.0
217,0.0
218,3.0
219,3.0
220,2.0
221,1.0
222,7.0
223,3.0
224,7.0
225,4.0
226,5.0
227,5.0
228,5.0
229,7.0
230,8.0
231,10.0
232,10.0
233,6.0
234,4.0
235,6.0
236,9.0
237,10.0
238,8.0
239,10.0
240,9.0
241,9.0
242,12.0
243,4.0
244,1.0
245,6.0
246,5.0
247,3.0
248,4.0
249,1.0
250,5.0
251,1.0
252,4.0
253,8.0
254,5.0
255,1.0
256,2.0
257,8.0
258,3.0
259,6.0
260,2.0
261,-1.0
262,0.0
263,1.0
264,7.0
265,6.0
266,4.0
267,0.0
268,2.0
269,4.0
270,0.0
271,8.0
272,3.0
273,0.0
274,3.0
275,4.0
276,2.0
277,7.0
278,4.0
279,3.0
280,7.0
281,1.0
282,7.0
283,5.0
284,0.0
285,-1.0
286,7.0
287,2.0
288,1.0
289,0.0
290,3.0
291,3.0
292,2.0
293,1.0
294,3.0
295,2.0
296,5.0
297,0.0
298,-1.0
299,5.0
300,2.0
301,9.0
302,0.0
303,0.0
304,1.0
305,2.0
306,0.0
307,6.0
308,2.0
309,3.0
310,4.0
311,1.0
312,3.0
313,4.0
314,1.0
315,1.0
316,0.0
317,7.0
318,2.0
319,3.0
320,1.0
321,4.0
322,1.0
323,2.0
324,7.0
325,0.0
326,5.0
327,1.0
328,7.0
329,1.0
330,1.0
331,6.0
332,3.0
333,5.0
334,6.0
335,3.0
336,4.0
337,1.0
338,0.0
339,0.0
340,4.0
341,1.0
342,8.0
343,0.0
344,1.0
345,3.0
346,6.0
347,4.0
348,4.0
349,4.0
350,3.0
351,4.0
352,4.0
353,5.0
354,6.0
355,4.0
356,6.0
357,3.0
358,8.0
359,5.0
360,2.0
361,4.0
362,3.0
363,3.0
364,10.0
365,0.0
366,3.0
367,1.0
368,5.0
369,1.0
370,3.0
371,1.0
372,2.0
373,3.0
374,3.0
375,4.0
376,1.0
377,2.0
378,8.0
379,3.0
380,3.0
381,5.0
382,5.0
383,5.0
384,4.0
385,4.0
386,2.0
387,6.0
388,4.0
389,6.0
390,1.0
391,1.0
392,4.0
393,4.0
394,1.0
395,0.0
396,4.0
397,8.0
398,3.0
399,1.0
400,4.0
401,2.0
402,3.0
403,1.0
404,1.0
405,7.0
406,4.0
407,3.0
408,5.0
409,1.0
410,-1.0
411,3.0
412,2.0
413,2.0
414,-1.0
415,2.0
416,7.0
417,4.0
418,3.0
419,1.0
420,1.0
421,3.0
422,4.0
423,6.0
424,5.0
425,3.0
426,3.0
427,5.0
428,6.0
429,3.0
430,3.0
431,8.0
432,3.0
433,3.0
434,1.0
435,1.0
436,3.0
437,1.0
438,3.0
439,2.0
440,2.0
441,3.0
442,5.0
443,2.0
444,0.0
445,0.0
446,5.0
447,-1.0
448,7.0
449,5.0
450,15.0
451,3.0
452,6.0
453,0.0
454,7.0
455,1.0
456,2.0
457,4.0
458,2.0
459,0.0
460,2.0
461,8.0
462,1.0
463,6.0
464,3.0
465,2.0
466,4.0
467,2.0
468,2.0
469,0.0
470,4.0
471,4.0
472,2.0
473,1.0
474,3.0
475,7.0
476,5.0
477,2.0
478,2.0
479,4.0
480,4.0
481,1.0
482,4.0
483,3.0
484,0.0
485,1.0
486,1.0
487,4.0
488,6.0
489,5.0
490,3.0
491,7.0
492,5.0
493,4.0
494,2.0
495,6.0
496,1.0
497,1.0
498,5.0
499,5.0
500,5.0
501,1.0
502,4.0
503,4.0
504,2.0
505,0.0
506,3.0
507,4.0
508,4.0
509,0.0
510,6.0
511,3.0
512,1.0
513,3.0
514,2.0
515,3.0
516,2.0
517,2.0
518,3.0
519,-1.0
520,1.0
521,0.0
522,7.0
523,0.0
524,2.0
525,4.0
526,6.0
527,2.0
528,7.0
529,5.0
530,3.0
531,4.0
532,7.0
533,0.0
534,1.0
535,2.0
536,4.0
537,3.0
538,5.0
539,2.0
540,3.0
541,7.0
542,1.0
543,2.0
544,0.0
545,4.0
546,6.0
547,-1.0
548,0.0
549,2.0
550,2.0
551,1.0
552,7.0
553,2.0
554,0.0
555,9.0
556,0.0
557,1.0
558,0.0
559,2.0
560,1.0
561,6.0
562,4.0
563,0.0
564,5.0
565,1.0
566,-1.0
567,1.0
568,2.0
569,5.0
570,-1.0
571,2.0
572,6.0
573,2.0
574,3.0
575,1.0
576,4.0
577,-1.0
578,0.0
579,3.0
580,5.0
581,3.0
582,4.0
583,0.0
584,2.0
585,2.0
586,4.0
587,3.0
588,6.0
589,0.0
590,1.0
591,7.0
592,5.0
593,1.0
594,4.0
595,2.0
596,1.0
597,0.0
598,5.0
599,7.0
600,3.0
601,4.0
602,3.0
603,2.0
604,6.0
605,4.0
606,4.0
607,2.0
608,0.0
609,3.0
610,2.0
611,7.0
612,1.0
613,2.0
614,8.0
615,2.0
616,5.0
617,1.0
618,4.0
619,3.0
620,3.0
621,4.0
622,4.0
623,0.0
624,2.0
625,3.0
626,1.0
627,10.0
628,1.0
629,8.0
630,3.0
631,-1.0
632,3.0
633,4.0
634,4.0
635,2.0
636,1.0
637,9.0
638,2.0
639,1.0
640,2.0
641,4.0
642,4.0
643,4.0
644,0.0
645,0.0
646,3.0
647,4.0
648,4.0
649,1.0
650,7.0
651,5.0
652,2.0
653,5.0
654,3.0
655,0.0
656,0.0
657,5.0
658,4.0
659,6.0
660,1.0
661,0.0
662,6.0
663,3.0
664,2.0
665,1.0
666,2.0
667,0.0
668,3.0
669,4.0
670,2.0
671,5.0
672,-1.0
673,2.0
674,4.0
675,2.0
676,5.0
677,2.0
678,0.0
679,2.0
680,1.0
681,4.0
682,9.0
683,0.0
684,2.0
685,6.0
686,4.0
687,0.0
688,7.0
689,2.0
690,3.0
691,2.0
692,4.0
693,1.0
694,6.0
695,5.0
696,2.0
697,1.0
698,-1.0
699,2.0
700,2.0
701,4.0
702,13.0
703,3.0
704,2.0
705,5.0
706,0.0
707,3.0
708,-1.0
709,1.0
710,6.0
711,4.0
712,8.0
713,3.0
714,1.0
715,7.0
716,3.0
717,3.0
718,3.0
719,4.0
720,2.0
721,1.0
722,1.0
723,2.0
724,6.0
725,2.0
726,0.0
727,2.0
728,2.0
729,0.0
730,4.0
731,3.0
732,6.0
733,2.0
734,1.0
735,7.0
736,1.0
737,-1.0
738,2.0
739,0.0
740,5.0
741,2.0
742,1.0
743,1.0
744,7.0
745,4.0
746,2.0
747,1.0
748,4.0
749,1.0
750,-1.0
751,4.0
752,2.0
753,1.0
754,0.0
755,6.0
756,1.0
757,1.0
758,4.0
759,5.0
760,3.0
761,4.0
762,3.0
763,2.0
764,4.0
765,9.0
766,0.0
767,3.0
768,3.0
769,2.0
770,1.0
771,1.0
772,0.0
773,6.0
774,7.0
775,6.0
776,5.0
777,3.0
778,2.0
779,3.0
780,1.0
781,3.0
782,3.0
783,3.0
784,1.0
785,0.0
786,4.0
787,0.0
788,9.0
789,7.0
790,4.0
791,1.0
792,2.0
793,1.0
794,6.0
795,5.0
796,4.0
797,2.0
798,4.0
799,3.0
800,0.0
801,8.0
802,1.0
803,-1.0
804,1.0
805,4.0
806,4.0
807,2.0
808,2.0
809,2.0
810,8.0
811,6.0
812,3.0
813,1.0
814,3.0
815,4.0
816,4.0
817,4.0
818,4.0
819,4.0
820,3.0
821,3.0
822,6.0
823,4.0
824,1.0
825,6.0
826,4.0
827,0.0
828,-1.0
829,-1.0
830,1.0
831,8.0
832,1.0
833,3.0
834,0.0
835,2.0
836,7.0
837,8.0
838,2.0
839,0.0
840,4.0
841,3.0
842,3.0
843,3.0
844,0.0
845,4.0
846,6.0
847,0.0
848,6.0
849,5.0
850,3.0
851,4.0
852,0.0
853,3.0
854,7.0
855,8.0
856,2.0
857,2.0
858,4.0
859,6.0
860,7.0
861,3.0
862,6.0
863,2.0
864,3.0
865,2.0
866,0.0
867,6.0
868,3.0
869,3.0
870,0.0
871,1.0
872,4.0
873,5.0
874,0.0
875,2.0
876,4.0
877,3.0
878,5.0
879,4.0
880,5.0
881,2.0
882,8.0
883,2.0
884,2.0
885,9.0
886,4.0
887,4.0
888,3.0
889,1.0
890,0.0
891,-1.0
892,1.0
893,5.0
894,3.0
895,4.0
896,4.0
897,0.0
898,6.0
899,1.0
900,3.0
901,4.0
902,4.0
903,-1.0
904,0.0
905,2.0
906,2.0
907,1.0
908,2.0
909,4.0
910,6.0
911,1.0
912,4.0
913,4.0
914,2.0
915,3.0
916,2.0
917,2.0
918,4.0
919,2.0
920,0.0
921,3.0
922,1.0
923,0.0
924,1.0
925,4.0
926,5.0
927,5.0
928,0.0
929,6.0
930,3.0
931,3.0
932,0.0
933,3.0
934,3.0
935,2.0
936,-1.0
937,0.0
938,4.0
939,3.0
940,3.0
941,3.0
942,3.0
943,1.0
944,1.0
945,4.0
946,4.0
947,4.0
948,2.0
949,2.0
950,7.0
951,0.0
952,5.0
953,1.0
954,2.0
955,0.0
956,4.0
957,1.0
958,3.0
959,6.0
960,3.0
961,4.0
962,0.0
963,0.0
964,1.0
965,1.0
966,2.0
967,3.0
968,2.0
969,2.0
970,2.0
971,3.0
972,2.0
973,4.0
974,6.0
975,3.0
976,5.0
977,0.0
978,1.0
979,2.0
980,1.0
981,4.0
982,7.0
983,5.0
984,1.0
985,5.0
986,2.0
987,5.0
988,6.0
989,0.0
990,3.0
991,4.0
992,3.0
993,0.0
994,5.0
995,5.0
996,10.0
997,1.0
998,1.0
999,4.0
1000,6.0
1001,0.0
1002,4.0
1003,2.0
1004,2.0
1005,3.0
1006,0.0
1007,5.0
1008,5.0
1009,0.0
1010,3.0
1011,0.0
1012,2.0
1013,2.0
1014,3.0
1015,0.0
1016,1.0
1017,4.0
1018,2.0
1019,4.0
1020,4.0
1021,7.0
1022,0.0
1023,1.0
1024,4.0
1025,2.0
1026,1.0
1027,1.0
1028,8.0
1029,1.0
1030,2.0
1031,3.0
1032,0.0
1033,1.0
1034,0.0
1035,7.0
1036,3.0
1037,0.0
1038,5.0
1039,1.0
1040,2.0
1041,2.0
1042,2.0
1043,6.0
1044,1.0
1045,2.0
1046,0.0
1047,1.0
1048,4.0
1049,2.0
1050,1.0
1051,4.0
1052,0.0
1053,1.0
1054,3.0
1055,4.0
1056,1.0
1057,2.0
1058,2.0
1059,2.0
1060,2.0
1061,2.0
1062,3.0
1063,-1.0
1064,1.0
1065,4.0
1066,4.0
1067,4.0
1068,4.0
1069,4.0
1070,0.0
1071,0.0
1072,3.0
1073,1.0
1074,3.0
1075,-1.0
1076,0.0
1077,1.0
1078,0.0
1079,0.0
1080,3.0
1081,2.0
1082,4.0
1083,6.0
1084,1.0
1085,2.0
1086,0.0
1087,0.0
1088,2.0
1089,1.0
1090,1.0
1091,0.0
1092,8.0
1093,1.0
1094,2.0
1095,2.0
1096,2.0
1097,3.0
1098,5.0
1099,3.0
1100,4.0
1101,5.0
1102,4.0
1103,2.0
1104,1.0
1105,6.0
1106,2.0
1107,5.0
1108,3.0
1109,3.0
1110,4.0
1111,3.0
1112,1.0
1113,4.0
1114,0.0
1115,3.0
1116,4.0
1117,6.0
1118,3.0
1119,2.0
1120,4.0
1121,1.0
1122,2.0
1123,6.0
1124,4.0
1125,4.0
1126,0.0
1127,2.0
1128,3.0
1129,4.0
1130,4.0
1131,0.0
1132,1.0
1133,1.0
1134,4.0
1135,2.0
1136,2.0
1137,4.0
1138,5.0
1139,0.0
1140,3.0
1141,3.0
1142,4.0
1143,1.0
1144,0.0
1145,7.0
1146,2.0
1147,5.0
1148,4.0
1149,3.0
1150,3.0
1151,2.0
1152,2.0
1153,3.0
1154,1.0
1155,2.0
1156,2.0
1157,0.0
1158,1.0
1159,1.0
1160,1.0
1161,-1.0
1162,2.0
1163,2.0
1164,0.0
1165,5.0
1166,3.0
1167,1.0
1168,2.0
1169,0.0
1170,8.0
1171,0.0
1172,2.0
1173,2.0
1174,0.0
1175,5.0
1176,1.0
1177,0.0
1178,4.0
1179,4.0
1180,4.0
1181,1.0
1182,4.0
1183,5.0
1184,3.0
1185,3.0
1186,3.0
1187,2.0
1188,1.0
1189,5.0
1190,5.0
1191,1.0
1192,2.0
1193,1.0
1194,0.0
1195,3.0
1196,-1.0
1197,0.0
1198,3.0
1199,3.0
1200,0.0
1201,3.0
1202,2.0
1203,6.0
1204,4.0
1205,5.0
1206,4.0
1207,5.0
1208,0.0
1209,5.0
1210,4.0
1211,4.0
1212,2.0
1213,3.0
1214,7.0
1215,0.0
1216,1.0
1217,3.0
1218,2.0
1219,8.0
1220,5.0
1221,6.0
1222,0.0
1223,5.0
1224,1.0
1225,0.0
1226,1.0
1227,5.0
1228,0.0
1229,2.0
1230,4.0
1231,4.0
1232,3.0
1233,5.0
1234,-1.0
1235,4.0
1236,0.0
1237,0.0
1238,0.0
1239,5.0
1240,4.0
1241,4.0
1242,1.0
1243,1.0
1244,1.0
1245,6.0
1246,5.0
1247,4.0
1248,3.0
1249,3.0
1250,3.0
1251,3.0
1252,8.0
1253,2.0
1254,8.0
1255,1.0
1256,6.0
1257,2.0
1258,4.0
1259,2.0
1260,1.0
1261,2.0
1262,1.0
1263,3.0
1264,1.0
1265,5.0
1266,2.0
1267,1.0
1268,3.0
1269,0.0
1270,3.0
1271,1.0
1272,1.0
1273,3.0
1274,2.0
1275,4.0
1276,4.0
1277,4.0
1278,2.0
1279,0.0
1280,4.0
1281,6.0
1282,2.0
1283,1.0
1284,1.0
1285,0.0
1286,2.0
1287,3.0
1288,3.0
1289,3.0
1290,4.0
1291,2.0
1292,3.0
1293,4.0
1294,4.0
1295,3.0
1296,7.0
1297,3.0
1298,2.0
1299,5.0
1300,0.0
1301,6.0
1302,4.0
1303,4.0
1304,5.0
1305,0.0
1306,3.0
1307,5.0
1308,4.0
1309,4.0
1310,5.0
1311,0.0
1312,1.0
1313,4.0
1314,3.0
1315,2.0
1316,-1.0
1317,1.0
1318,2.0
1319,2.0
1320,1.0
1321,4.0
1322,-1.0
1323,4.0
1324,4.0
1325,1.0
1326,5.0
1327,1.0
1328,1.0
1329,2.0
1330,4.0
1331,0.0
1332,3.0
1333,1.0
1334,5.0
1335,5.0
1336,1.0
1337,2.0
1338,0.0
1339,3.0
