Start datetime,2024-06-02 01:48:25
Episode,Reward
0,4.0
1,9.0
2,4.0
3,7.0
4,2.0
5,1.0
6,5.0
7,2.0
8,3.0
9,5.0
10,10.0
11,9.0
12,3.0
13,14.0
14,12.0
15,7.0
16,12.0
17,6.0
18,6.0
19,7.0
20,7.0
21,3.0
22,9.0
23,3.0
24,2.0
25,2.0
26,5.0
27,2.0
28,8.0
29,9.0
30,2.0
31,2.0
32,2.0
33,4.0
34,5.0
35,3.0
36,5.0
37,7.0
38,1.0
39,5.0
40,6.0
41,5.0
42,2.0
43,9.0
44,4.0
45,1.0
46,7.0
47,3.0
48,1.0
49,-1.0
50,2.0
51,5.0
52,-1.0
53,2.0
54,0.0
55,3.0
56,3.0
57,5.0
58,1.0
59,11.0
60,4.0
61,8.0
62,4.0
63,2.0
64,6.0
65,0.0
66,4.0
67,3.0
68,0.0
69,1.0
70,5.0
71,3.0
72,1.0
73,8.0
74,2.0
75,6.0
76,2.0
77,2.0
78,8.0
79,3.0
80,3.0
81,1.0
82,5.0
83,2.0
84,2.0
85,0.0
86,6.0
87,1.0
88,2.0
89,0.0
90,4.0
91,0.0
92,4.0
93,2.0
94,6.0
95,0.0
96,2.0
97,5.0
98,13.0
99,0.0
100,4.0
101,2.0
102,5.0
103,4.0
104,2.0
105,6.0
106,1.0
107,5.0
108,3.0
109,3.0
110,8.0
111,2.0
112,3.0
113,5.0
114,7.0
115,7.0
116,3.0
117,6.0
118,5.0
119,4.0
120,2.0
121,2.0
122,3.0
123,4.0
124,2.0
125,7.0
126,3.0
127,4.0
128,5.0
129,9.0
130,5.0
131,7.0
132,5.0
133,6.0
134,5.0
135,9.0
136,5.0
137,11.0
138,4.0
139,4.0
140,1.0
141,2.0
142,7.0
143,4.0
144,11.0
145,3.0
146,6.0
147,7.0
148,4.0
149,3.0
150,5.0
151,6.0
152,6.0
153,5.0
154,5.0
155,4.0
156,4.0
157,6.0
158,7.0
159,9.0
160,9.0
161,9.0
162,3.0
163,8.0
164,5.0
165,4.0
166,3.0
167,2.0
168,8.0
169,9.0
170,1.0
171,10.0
172,8.0
173,7.0
174,10.0
175,7.0
176,8.0
177,7.0
178,8.0
179,12.0
