Start datetime,2024-06-11 17:17:00
Episode,Reward
0,1.0
1,1.0
2,0.0
3,1.0
4,-1.0
5,-1.0
6,1.0
7,1.0
8,0.0
9,2.0
10,2.0
11,-1.0
12,0.0
13,-1.0
14,1.0
15,1.0
16,-1.0
17,2.0
18,2.0
19,0.0
20,-1.0
21,1.0
22,2.0
23,1.0
24,3.0
25,1.0
26,0.0
27,0.0
28,1.0
29,0.0
30,-1.0
31,-1.0
32,-1.0
33,0.0
34,0.0
35,0.0
36,0.0
37,-1.0
38,1.0
39,0.0
40,0.0
41,1.0
42,-1.0
43,1.0
44,0.0
45,0.0
46,-1.0
47,0.0
48,0.0
49,1.0
50,1.0
51,0.0
52,1.0
53,0.0
54,0.0
55,0.0
56,2.0
57,1.0
58,2.0
59,0.0
60,-1.0
61,0.0
62,3.0
63,0.0
64,0.0
65,2.0
66,0.0
67,1.0
68,2.0
69,-1.0
70,0.0
71,0.0
72,1.0
73,0.0
74,1.0
75,0.0
76,1.0
77,0.0
78,-1.0
79,-1.0
80,2.0
81,0.0
82,1.0
83,0.0
84,0.0
85,1.0
86,0.0
87,1.0
88,0.0
89,-1.0
90,2.0
91,-1.0
92,0.0
93,-1.0
94,0.0
95,0.0
96,0.0
97,0.0
98,1.0
99,0.0
100,2.0
101,2.0
102,1.0
103,2.0
104,0.0
105,1.0
106,2.0
107,-1.0
108,1.0
109,1.0
110,3.0
111,0.0
112,1.0
113,0.0
114,0.0
115,0.0
116,-1.0
117,1.0
118,2.0
119,0.0
120,2.0
121,3.0
122,2.0
123,0.0
124,1.0
125,0.0
126,2.0
127,-1.0
128,0.0
129,-1.0
130,1.0
131,-1.0
132,4.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,1.0
139,0.0
140,-1.0
141,-1.0
142,1.0
143,3.0
144,0.0
145,0.0
146,0.0
147,2.0
148,1.0
149,2.0
150,-1.0
151,1.0
152,-1.0
153,3.0
154,0.0
155,0.0
156,-1.0
157,0.0
158,0.0
159,2.0
160,1.0
161,1.0
162,3.0
163,-1.0
164,-1.0
165,-1.0
166,1.0
167,-1.0
168,1.0
169,-1.0
170,1.0
171,-1.0
172,1.0
173,1.0
174,0.0
175,0.0
176,0.0
177,0.0
178,1.0
179,-1.0
180,3.0
181,0.0
182,1.0
183,0.0
184,0.0
185,2.0
186,0.0
187,1.0
188,0.0
189,1.0
190,1.0
191,-1.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,1.0
198,1.0
199,1.0
200,1.0
201,-1.0
202,1.0
203,0.0
204,1.0
205,0.0
206,-1.0
207,2.0
208,-1.0
209,0.0
210,1.0
211,-1.0
212,3.0
213,-1.0
214,2.0
215,0.0
216,0.0
217,2.0
218,-1.0
219,0.0
220,-1.0
221,0.0
222,3.0
223,0.0
224,0.0
225,0.0
226,1.0
227,1.0
228,1.0
229,1.0
230,0.0
231,1.0
232,0.0
233,3.0
234,2.0
235,1.0
236,0.0
237,0.0
238,0.0
239,-1.0
240,-1.0
241,-1.0
242,-1.0
243,0.0
244,1.0
245,-1.0
246,2.0
247,0.0
248,1.0
249,0.0
250,1.0
251,2.0
252,-1.0
253,-1.0
254,0.0
255,0.0
256,0.0
257,1.0
258,-1.0
259,-1.0
260,0.0
261,1.0
262,1.0
263,-1.0
264,0.0
265,0.0
266,0.0
267,2.0
268,0.0
269,0.0
270,1.0
271,0.0
272,1.0
273,1.0
274,2.0
275,1.0
276,1.0
277,-1.0
278,1.0
279,0.0
280,1.0
281,1.0
282,0.0
283,3.0
284,0.0
285,1.0
286,0.0
287,0.0
288,0.0
289,1.0
290,0.0
291,-1.0
292,-1.0
293,0.0
294,0.0
295,-1.0
296,-1.0
297,-1.0
298,0.0
299,2.0
300,2.0
301,2.0
302,0.0
303,1.0
304,0.0
305,-1.0
306,1.0
307,0.0
308,0.0
309,1.0
310,2.0
311,2.0
312,0.0
313,1.0
