Start datetime,2024-06-11 13:10:48
Episode,Reward
0,0.0
1,0.0
2,1.0
3,0.0
4,0.0
5,-1.0
6,-1.0
7,2.0
8,1.0
9,0.0
10,0.0
11,0.0
12,2.0
13,1.0
14,-1.0
15,2.0
16,3.0
17,0.0
18,0.0
19,0.0
20,1.0
21,-1.0
22,0.0
23,0.0
24,3.0
25,-1.0
26,1.0
27,0.0
28,0.0
29,-1.0
30,0.0
31,-1.0
32,0.0
33,1.0
34,0.0
35,1.0
36,1.0
37,-1.0
38,0.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,2.0
44,1.0
45,1.0
46,1.0
47,-1.0
48,0.0
49,1.0
50,0.0
51,-1.0
52,1.0
53,1.0
54,0.0
55,0.0
56,0.0
57,-1.0
58,1.0
59,-1.0
60,1.0
61,0.0
62,0.0
63,-1.0
64,0.0
65,1.0
66,-1.0
67,3.0
68,0.0
69,1.0
70,0.0
71,0.0
72,0.0
73,1.0
74,-1.0
75,-1.0
76,0.0
77,1.0
78,1.0
79,-1.0
80,0.0
81,-1.0
82,2.0
83,1.0
84,1.0
85,2.0
86,0.0
87,1.0
88,1.0
89,1.0
90,0.0
91,2.0
92,0.0
93,3.0
94,-1.0
95,4.0
96,-1.0
97,0.0
98,0.0
99,1.0
100,0.0
101,1.0
102,0.0
103,0.0
104,-1.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,2.0
111,0.0
112,1.0
113,0.0
114,2.0
115,0.0
116,1.0
117,0.0
118,-1.0
119,-1.0
120,0.0
121,0.0
122,0.0
123,0.0
124,1.0
125,1.0
126,0.0
127,1.0
128,1.0
129,0.0
130,2.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,1.0
137,2.0
138,0.0
139,-1.0
140,-1.0
141,0.0
142,0.0
143,1.0
144,-1.0
145,1.0
146,-1.0
147,0.0
148,0.0
149,1.0
150,-1.0
151,1.0
152,0.0
153,0.0
154,-1.0
155,3.0
156,-1.0
157,2.0
158,1.0
159,1.0
160,0.0
161,0.0
162,0.0
163,0.0
164,-1.0
165,1.0
166,-1.0
167,0.0
168,-1.0
169,1.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,-1.0
176,0.0
177,3.0
178,0.0
179,-1.0
180,0.0
181,-1.0
182,0.0
183,0.0
184,2.0
185,1.0
186,2.0
187,1.0
188,0.0
189,2.0
190,2.0
191,1.0
192,2.0
193,0.0
194,0.0
195,-1.0
196,1.0
197,1.0
198,0.0
199,-1.0
200,0.0
201,1.0
202,2.0
203,0.0
204,0.0
205,1.0
206,2.0
207,0.0
208,1.0
209,3.0
210,1.0
211,-1.0
212,0.0
213,0.0
214,0.0
215,0.0
216,1.0
217,-1.0
218,3.0
219,2.0
220,-1.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,2.0
228,2.0
229,1.0
230,0.0
231,-1.0
232,3.0
233,0.0
234,0.0
235,-1.0
236,2.0
237,2.0
238,-1.0
239,1.0
240,1.0
241,-1.0
242,0.0
243,1.0
244,2.0
245,0.0
246,0.0
247,0.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,0.0
254,-1.0
255,-1.0
256,-1.0
257,0.0
258,0.0
259,1.0
260,0.0
261,2.0
262,2.0
263,1.0
264,3.0
265,2.0
266,1.0
267,4.0
268,1.0
269,1.0
270,0.0
271,0.0
272,1.0
273,0.0
274,0.0
275,0.0
276,0.0
277,1.0
278,1.0
279,0.0
280,0.0
281,0.0
282,-1.0
283,1.0
284,1.0
285,0.0
286,0.0
287,-1.0
288,-1.0
289,1.0
290,1.0
291,1.0
292,2.0
293,-1.0
294,1.0
295,1.0
296,-1.0
297,2.0
298,0.0
299,0.0
300,0.0
301,-1.0
302,-1.0
303,2.0
304,0.0
305,0.0
306,2.0
307,1.0
308,-1.0
309,0.0
310,4.0
311,0.0
312,0.0
313,2.0
314,0.0
315,1.0
316,1.0
317,0.0
318,2.0
319,-1.0
320,-1.0
321,1.0
322,0.0
323,1.0
324,0.0
325,-1.0
326,0.0
327,0.0
328,1.0
329,-1.0
330,1.0
331,1.0
332,1.0
333,0.0
334,0.0
335,-1.0
336,1.0
337,0.0
338,0.0
339,0.0
340,0.0
341,1.0
342,-1.0
343,-1.0
344,1.0
345,-1.0
346,1.0
347,0.0
348,1.0
349,1.0
350,0.0
351,1.0
352,1.0
353,-1.0
354,1.0
355,0.0
356,-1.0
357,0.0
358,-1.0
359,0.0
360,1.0
361,1.0
362,-1.0
363,4.0
364,0.0
365,-1.0
366,0.0
367,-1.0
368,2.0
369,-1.0
370,1.0
371,-1.0
372,3.0
373,-1.0
374,0.0
375,1.0
376,0.0
377,3.0
378,0.0
379,2.0
380,1.0
381,0.0
382,3.0
383,-1.0
384,0.0
385,-1.0
386,1.0
387,2.0
388,2.0
389,0.0
390,2.0
391,1.0
392,0.0
393,1.0
394,0.0
395,2.0
396,0.0
397,0.0
398,0.0
399,0.0
400,-1.0
401,0.0
402,0.0
403,-1.0
404,0.0
405,-1.0
406,-1.0
407,0.0
408,-1.0
409,0.0
410,2.0
411,0.0
412,0.0
413,0.0
414,1.0
415,3.0
416,2.0
417,0.0
418,-1.0
419,-1.0
420,0.0
421,0.0
422,0.0
423,1.0
424,0.0
425,0.0
426,1.0
427,1.0
428,-1.0
429,0.0
430,1.0
431,0.0
432,3.0
433,1.0
434,0.0
435,-1.0
436,0.0
437,1.0
438,-1.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,1.0
445,3.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,3.0
453,0.0
454,-1.0
455,0.0
456,-1.0
457,-1.0
458,2.0
459,-1.0
460,2.0
461,0.0
462,0.0
463,-1.0
464,0.0
465,0.0
466,0.0
467,1.0
468,1.0
469,0.0
470,1.0
471,-1.0
472,3.0
473,1.0
474,3.0
475,1.0
476,0.0
477,1.0
478,1.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,-1.0
485,-1.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,3.0
492,-1.0
493,1.0
494,0.0
495,0.0
496,2.0
497,2.0
498,2.0
499,1.0
500,2.0
501,0.0
502,0.0
503,2.0
504,0.0
505,1.0
506,1.0
507,-1.0
508,1.0
509,0.0
510,1.0
511,-1.0
512,-1.0
513,0.0
514,1.0
515,1.0
516,-1.0
517,1.0
518,0.0
519,2.0
520,3.0
521,0.0
522,0.0
523,1.0
524,0.0
525,1.0
526,0.0
527,0.0
528,1.0
529,0.0
530,-1.0
531,1.0
532,0.0
533,0.0
534,0.0
535,1.0
536,1.0
537,1.0
538,1.0
539,0.0
540,1.0
541,1.0
542,0.0
543,1.0
544,-1.0
545,1.0
546,2.0
547,-1.0
548,0.0
549,0.0
550,1.0
551,-1.0
552,1.0
553,1.0
554,1.0
555,2.0
556,1.0
557,0.0
558,-1.0
559,0.0
560,1.0
561,1.0
562,1.0
563,0.0
564,6.0
565,-1.0
566,-1.0
567,0.0
568,0.0
569,0.0
570,2.0
571,1.0
572,2.0
573,2.0
574,0.0
575,0.0
576,0.0
577,0.0
578,-1.0
579,1.0
580,2.0
581,1.0
582,2.0
583,2.0
584,0.0
585,1.0
586,0.0
587,4.0
588,-1.0
