Start datetime,2024-06-11 03:17:21
Episode,Reward
0,5.0
1,3.0
2,15.0
3,4.0
4,12.0
5,4.0
6,10.0
7,10.0
8,2.0
9,11.0
10,15.0
11,9.0
12,7.0
13,9.0
14,10.0
15,11.0
16,5.0
17,5.0
18,18.0
19,9.0
20,6.0
21,13.0
22,12.0
23,11.0
24,6.0
25,5.0
26,12.0
27,11.0
28,5.0
29,4.0
30,7.0
31,8.0
32,4.0
33,5.0
34,11.0
35,2.0
36,10.0
37,7.0
38,12.0
39,8.0
40,10.0
41,10.0
42,11.0
43,19.0
44,1.0
45,11.0
46,6.0
47,3.0
48,9.0
49,8.0
50,3.0
51,6.0
52,7.0
53,6.0
54,5.0
55,7.0
56,6.0
57,2.0
58,9.0
59,8.0
60,8.0
61,8.0
62,2.0
63,5.0
64,7.0
65,5.0
66,3.0
67,10.0
68,3.0
69,1.0
70,14.0
71,8.0
72,11.0
73,16.0
74,6.0
75,9.0
76,4.0
77,11.0
78,8.0
79,12.0
80,8.0
81,4.0
82,7.0
83,8.0
84,10.0
85,4.0
86,10.0
87,9.0
88,4.0
89,3.0
90,7.0
91,12.0
92,7.0
93,12.0
94,9.0
95,2.0
96,8.0
97,9.0
98,7.0
99,9.0
100,6.0
101,5.0
102,4.0
103,6.0
104,4.0
105,11.0
106,8.0
107,4.0
108,5.0
109,8.0
110,11.0
111,15.0
112,7.0
113,12.0
114,9.0
115,5.0
116,12.0
117,8.0
118,10.0
119,17.0
120,10.0
121,18.0
122,13.0
123,8.0
124,15.0
125,9.0
126,14.0
127,5.0
128,6.0
129,14.0
130,5.0
131,6.0
132,4.0
133,6.0
134,10.0
135,14.0
136,3.0
137,3.0
138,4.0
139,2.0
140,6.0
141,2.0
142,5.0
143,9.0
144,6.0
145,11.0
146,13.0
147,6.0
148,12.0
149,12.0
150,9.0
151,6.0
152,6.0
153,5.0
154,3.0
155,8.0
156,8.0
157,4.0
158,4.0
159,12.0
160,9.0
161,6.0
162,8.0
163,9.0
164,3.0
165,3.0
166,9.0
167,10.0
168,9.0
169,9.0
170,3.0
171,9.0
172,10.0
173,9.0
174,19.0
175,9.0
176,6.0
177,12.0
178,17.0
179,14.0
180,6.0
181,9.0
182,7.0
183,11.0
184,8.0
185,10.0
186,8.0
187,2.0
188,8.0
189,14.0
190,7.0
191,7.0
192,10.0
193,7.0
194,19.0
195,10.0
196,22.0
197,4.0
198,15.0
199,7.0
200,8.0
201,8.0
202,13.0
203,2.0
204,4.0
205,7.0
206,15.0
207,5.0
208,17.0
209,4.0
210,4.0
211,0.0
212,15.0
213,4.0
214,11.0
215,5.0
216,17.0
217,11.0
218,17.0
219,3.0
220,8.0
221,5.0
222,27.0
223,7.0
224,7.0
225,5.0
226,11.0
227,6.0
228,6.0
229,14.0
230,5.0
231,4.0
232,8.0
233,11.0
234,8.0
235,10.0
236,5.0
237,5.0
238,3.0
239,4.0
240,6.0
241,12.0
242,8.0
243,14.0
244,5.0
245,5.0
246,6.0
247,2.0
248,6.0
249,7.0
250,2.0
251,10.0
252,14.0
253,7.0
254,7.0
255,9.0
256,20.0
257,11.0
258,3.0
259,23.0
260,12.0
261,14.0
262,13.0
263,11.0
264,17.0
265,7.0
266,9.0
267,15.0
268,17.0
269,12.0
270,7.0
271,5.0
272,3.0
273,6.0
274,5.0
275,10.0
276,8.0
277,19.0
278,7.0
279,16.0
280,9.0
281,10.0
282,10.0
283,5.0
284,19.0
285,7.0
286,4.0
287,3.0
288,12.0
289,9.0
290,5.0
291,11.0
292,10.0
293,9.0
294,3.0
295,1.0
296,20.0
297,6.0
298,9.0
299,12.0
300,3.0
301,5.0
302,17.0
303,11.0
304,5.0
305,13.0
306,11.0
307,6.0
308,13.0
309,8.0
310,6.0
311,6.0
312,11.0
313,7.0
314,13.0
315,2.0
316,3.0
317,6.0
318,16.0
319,9.0
320,5.0
321,3.0
322,10.0
323,6.0
324,16.0
325,12.0
326,7.0
327,4.0
328,9.0
329,5.0
330,8.0
331,12.0
332,4.0
333,5.0
334,9.0
335,6.0
336,7.0
337,9.0
338,8.0
339,19.0
340,8.0
341,5.0
342,11.0
343,9.0
344,2.0
345,12.0
346,3.0
347,11.0
348,15.0
349,4.0
350,5.0
351,6.0
352,7.0
353,9.0
354,6.0
355,10.0
356,3.0
357,14.0
358,7.0
359,9.0
360,17.0
361,7.0
362,12.0
363,11.0
364,4.0
365,10.0
366,8.0
367,5.0
368,2.0
369,9.0
370,14.0
371,4.0
372,15.0
373,6.0
374,7.0
375,9.0
376,9.0
377,6.0
378,9.0
379,3.0
380,4.0
381,6.0
