#{"t_start": 1718757883.9698381, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,276,6.845666
1.0,282,7.086815
2.0,446,7.510291
0.0,236,7.879673
2.0,324,8.285361
0.0,284,8.524103
1.0,450,8.89984
-1.0,276,9.132369
0.0,228,9.323374
1.0,446,9.692919
0.0,276,9.923372
0.0,320,10.193723
-1.0,254,15.333194
-1.0,210,15.513658
-1.0,332,15.797067
0.0,252,16.012377
1.0,402,18.612412
-1.0,274,18.845652
1.0,350,19.144294
0.0,378,19.464597
0.0,320,19.738336
0.0,370,20.05557
-1.0,282,20.298026
0.0,236,20.503052
-1.0,260,20.727129
0.0,214,20.911953
0.0,252,22.484381
0.0,350,22.779992
-1.0,300,23.035382
0.0,282,23.276592
0.0,322,23.548561
0.0,372,23.862782
0.0,258,26.06554
0.0,292,26.319712
-1.0,394,26.660669
-1.0,278,26.991836
0.0,308,27.474384
-1.0,230,27.704015
0.0,262,27.930935
1.0,286,28.17991
1.0,406,29.883399
0.0,254,30.104051
2.0,320,30.376679
0.0,266,30.605574
0.0,336,30.893566
-1.0,296,31.149038
1.0,336,31.437986
0.0,284,31.69044
0.0,370,34.138749
1.0,374,34.458884
0.0,356,34.764707
-1.0,272,34.9981
1.0,310,35.264862
2.0,434,37.072165
0.0,278,37.502562
-1.0,232,37.715125
0.0,302,37.97075
0.0,316,38.239886
-1.0,322,38.514758
-1.0,244,38.720689
0.0,272,38.948681
-1.0,216,39.132049
0.0,272,39.363051
0.0,298,39.618335
0.0,294,39.867455
-1.0,312,42.242075
0.0,270,42.473512
0.0,254,44.008984
1.0,354,44.309511
1.0,328,44.587811
2.0,326,44.865437
-1.0,278,45.100461
0.0,276,45.335123
1.0,226,45.526136
0.0,266,45.754895
0.0,276,45.989446
0.0,348,46.285833
0.0,206,46.464417
1.0,316,46.749367
0.0,266,47.098907
1.0,324,47.586829
0.0,312,49.211538
0.0,366,51.396035
2.0,342,51.687545
0.0,232,51.8857
0.0,282,52.124386
0.0,240,52.327843
-1.0,206,52.503857
-1.0,232,52.702991
0.0,266,52.929737
0.0,316,53.198192
0.0,272,53.43125
0.0,282,53.67216
1.0,338,53.960394
0.0,310,54.233325
1.0,366,55.894847
0.0,256,56.11142
0.0,228,56.306393
0.0,330,56.584966
0.0,254,56.802039
1.0,268,59.08412
0.0,218,59.26868
0.0,238,59.471965
0.0,262,59.694682
1.0,294,59.945424
0.0,384,60.274502
1.0,422,60.640785
1.0,324,60.919246
0.0,336,61.206079
0.0,260,62.789116
0.0,354,63.087644
0.0,288,63.331199
2.0,430,63.695558
0.0,312,63.958132
2.0,342,64.248914
0.0,290,64.490945
0.0,230,66.779875
0.0,302,67.116774
0.0,296,67.57452
0.0,228,67.821226
0.0,250,68.032619
0.0,228,68.226686
0.0,232,68.423665
0.0,274,70.002992
0.0,232,70.197364
0.0,276,70.431229
1.0,306,70.690693
2.0,434,71.05654
2.0,380,71.375943
0.0,360,71.680106
0.0,252,71.894093
0.0,302,72.153794
0.0,296,72.405406
0.0,262,74.696015
0.0,232,74.897876
0.0,278,75.1382
0.0,274,75.375497
0.0,298,76.971705
1.0,350,77.512749
0.0,346,77.898311
0.0,314,78.166453
0.0,284,78.406996
0.0,224,78.597408
0.0,288,78.840999
0.0,230,79.037073
1.0,422,79.394377
0.0,260,79.61695
2.0,406,79.961579
1.0,334,80.257274
0.0,228,80.454409
2.0,396,84.030293
0.0,250,84.242534
0.0,264,84.465934
1.0,326,84.740045
1.0,208,84.918009
0.0,258,85.137747
1.0,312,85.404131
1.0,246,85.612174
0.0,230,85.809896
0.0,296,86.073215
0.0,330,86.363656
1.0,234,86.565236
0.0,278,86.804708
2.0,388,87.326906
1.0,264,87.711428
0.0,230,89.262402
0.0,358,89.566293
1.0,326,91.861867
0.0,246,92.070862
0.0,350,92.37085
0.0,290,92.617516
1.0,370,92.934979
0.0,244,93.143966
0.0,212,93.324281
0.0,298,93.57899
1.0,304,93.837041
1.0,290,94.086514
1.0,300,94.344494
0.0,218,94.52981
1.0,302,96.148379
1.0,280,96.386435
1.0,394,96.721552
1.0,344,97.012441
0.0,350,97.433396
1.0,324,99.910398
0.0,276,100.144491
1.0,320,100.417775
1.0,448,100.800101
0.0,320,101.071352
