#{"t_start": 1722242310.722912, "env_id": "VizdoomCorridor-v0"}
r,l,t
-115.95726,37,9.000651
-115.977402,37,9.060284
-115.978287,29,9.107353
-115.885788,22,9.144552
-115.95546,21,9.181488
-115.9776,21,9.224767
-115.977768,20,9.261913
-115.956299,21,9.298838
-115.956314,27,9.343974
-115.977402,28,9.38955
-115.728348,13,9.414243
-115.935394,21,9.450469
-115.956314,29,9.495801
-115.886993,12,9.51838
-115.935379,20,9.55201
-115.955887,19,9.599424
-115.915344,26,9.643317
-115.956314,29,9.691455
-115.979965,21,9.727126
-115.955811,29,9.775652
-115.978287,18,9.806571
-115.982162,38,9.862691
-115.929565,21,9.897345
-115.956924,18,9.928833
-115.93251,18,9.959073
-115.954788,22,9.993951
-115.978622,30,10.044003
-115.750229,12,10.067658
-115.978073,29,10.113665
-115.841461,13,10.137524
-115.933487,28,10.183776
-115.990753,21,10.219738
-115.914352,19,10.251572
-115.978622,46,10.323141
-115.933487,13,10.349027
-115.886993,20,10.382172
-115.977844,28,10.426899
-115.956833,20,10.460785
-115.933502,20,10.494005
-115.962067,29,10.542102
-115.91481,21,10.578345
-115.932755,25,10.619287
-115.954788,20,10.654781
-115.978394,21,10.692404
-115.911484,18,10.724569
-115.955658,18,10.756444
-115.955566,40,10.816943
-115.785629,11,10.838793
-115.888046,13,10.862954
-115.959671,26,10.905068
-115.977859,20,11.499354
-115.935242,26,11.546054
-115.977966,37,11.605824
-115.978195,29,11.657881
-115.955338,20,11.697979
-115.964218,36,11.759806
-115.954788,29,11.811866
-115.958191,21,11.851529
-115.982162,27,11.899475
-115.958191,27,11.949492
-115.955612,13,11.977276
-115.978439,21,12.016216
-115.934464,19,12.055918
-115.778336,14,12.086531
-115.955276,12,12.114806
-115.978241,21,12.154111
-115.977829,50,12.239028
-115.977661,29,12.29067
-115.695297,20,12.328433
-115.978027,42,12.403916
-115.956421,21,12.444521
-115.981857,28,12.495423
-115.979965,19,12.534178
-115.934708,28,12.586041
-115.978317,21,12.626685
-115.955383,29,12.680248
-115.955215,26,12.731197
-115.933487,21,12.772992
-115.956314,21,12.814357
-115.956635,28,12.865535
-115.956848,36,12.936936
-115.979965,28,12.990388
-115.933029,28,13.044458
-115.912491,38,13.116257
-115.747513,13,13.147324
-115.977676,22,13.193689
-115.979965,29,13.250036
-115.943756,20,13.291165
-115.955399,20,13.333273
-115.977798,28,13.389478
-115.957001,28,13.444172
-115.979965,49,13.530994
-115.908539,13,13.561957
-115.932831,13,13.592233
-115.908737,33,13.655697
-115.957001,18,13.696092
-115.979965,37,13.768197
-115.913422,28,13.825133
-115.977676,27,13.878865
-115.979965,21,13.922463
-115.885773,20,14.474127
-115.821243,11,14.502532
-115.93219,29,14.563899
-115.97847,37,14.650218
-115.932816,29,14.726672
-115.978607,36,14.821287
-115.979965,26,14.890634
-115.704147,13,14.926836
-115.933487,22,14.987084
-115.956924,21,15.046273
-115.955368,28,15.115677
-115.847137,12,15.143605
-115.933121,12,15.172357
-115.979965,27,15.228132
-115.956314,20,15.271283
-115.977905,20,15.313572
-115.934952,21,15.357284
-115.956589,30,15.419635
-115.977722,19,15.459602
-115.977737,53,15.559875
-115.813354,21,15.603055
-115.957291,36,15.673619
-115.839188,11,15.699355
-115.929565,11,15.726338
-115.933487,18,15.766052
-115.956894,25,15.817045
-115.977692,28,15.875109
