#{"t_start": 1722761757.8899128, "env_id": "VizdoomCorridor-v0"}
r,l,t
-64.359756,20,6.447824
-115.99295,44,6.490369
-99.70224,30,6.520421
-88.002609,21,6.541748
-104.404892,27,6.570045
-114.195999,38,6.604924
-115.979721,12,6.621011
-109.301025,21,6.643567
-106.658142,21,6.667964
-68.126389,49,6.710121
-90.027313,57,6.765395
-36.465485,20,6.790243
-110.597504,11,6.806028
-81.261414,20,6.829856
-23.926971,28,6.859665
-115.997864,38,6.897665
-115.998642,72,12.292271
-113.387619,20,12.318976
-115.234528,40,12.358799
-115.988358,29,12.386264
-40.683624,37,12.421622
-97.980515,21,12.444652
-90.89679,20,12.467921
-85.640594,71,12.52617
-115.997131,18,12.548596
-106.978256,19,12.571816
-99.21254,45,12.613575
-77.310547,11,12.630312
-115.976974,28,12.659673
-115.993637,37,12.695459
-74.762207,29,12.724976
-113.771637,21,12.750578
-115.824188,12,12.767711
-95.719437,11,12.783413
-72.731918,20,15.29906
-114.80629,27,15.324796
-19.099045,88,15.400815
-59.803131,21,15.424529
-113.743851,21,15.446298
-84.730133,20,15.468992
-115.976578,12,15.48452
-94.003601,21,15.506548
89.640976,64,15.560013
-112.916092,11,15.575792
-103.669815,46,15.618656
-107.661224,20,15.641808
-99.501312,28,15.668887
-9.652313,57,15.716846
-98.983017,30,15.747486
-81.454697,19,18.625799
98.656906,50,18.674794
-0.838181,28,18.706919
-98.630829,18,18.73056
-110.032532,11,18.746495
-74.979019,22,18.772257
-103.93959,28,18.800677
-115.975708,19,18.825275
-78.081497,54,18.874414
-49.712112,21,18.901973
-98.118607,21,18.927384
-115.78923,13,18.946806
-83.881012,28,18.975545
-84.645538,29,19.005719
-97.725586,38,19.041612
-104.95723,20,19.064032
-115.997162,12,19.080861
-74.386475,13,19.096707
-86.650314,45,19.137155
-105.579376,21,19.164869
-115.997864,20,21.962315
-105.237808,20,21.986624
-70.560303,29,22.018263
-65.682892,29,22.04977
-105.287903,20,22.073347
-55.569321,37,22.112143
-115.995026,54,22.161294
-96.882263,21,22.185372
-111.988693,22,22.213197
-95.098724,30,22.244747
-114.787338,29,22.275531
-112.539169,27,22.306503
-111.040283,20,22.331356
-94.423141,21,22.359717
-12.544128,22,22.384274
-92.614334,13,22.406946
-115.37558,29,22.436757
-81.438858,20,22.460118
-18.109863,29,22.491018
-115.975754,20,25.479564
-63.250854,29,25.509413
-100.846542,12,25.525216
-98.437469,13,25.541613
-71.37645,43,25.580025
-115.978149,21,25.602633
-10.708771,20,25.624321
-115.946289,38,25.658612
-9.414658,57,25.705619
-67.292648,22,25.729288
-82.295609,20,25.750647
-115.978134,22,25.774226
-101.735382,12,25.788912
-54.684006,21,25.810747
-115.920822,13,25.827187
-62.687286,29,25.85498
-112.339752,20,25.878843
-115.975784,30,25.909655
-23.151093,45,25.950489
18.925308,56,28.714748
-114.364365,34,28.747653
-102.905563,19,28.768554
-115.3293,27,28.794415
-98.548294,34,28.828828
-90.77562,52,28.876125
-45.743713,18,28.896831
-103.072861,20,28.919046
-100.925034,29,28.947315
-85.336807,20,28.968005
-71.294556,20,28.987884
-106.421936,20,29.008518
-87.1008,12,29.024672
-81.396927,21,29.049337
-99.020264,30,29.07949
-115.975586,18,29.099715
-115.997147,28,29.127057
-115.959702,36,29.159531
-35.055588,21,29.184512
-101.395096,20,31.98315
-90.134827,20,32.006661
-60.675751,28,32.0366
-21.998886,88,32.109589
-114.830673,19,32.133954
-114.038315,35,32.168588
-114.47673,20,32.191408
-105.466888,71,32.249866
-86.909317,21,32.273014
-115.994324,27,32.300731
-94.534409,20,32.323009
-91.584641,29,32.351546
-113.709808,20,32.375661
-110.184601,20,32.400074
-110.746201,38,32.43958
-115.99321,28,32.470107
-80.541748,21,35.525733
-113.485031,21,35.548682
-76.876984,21,35.572678
-57.544815,12,35.588827
-77.97142,28,35.616221
-84.585403,11,35.631776
-111.671432,12,35.646835
-93.628616,37,35.6814
-105.068893,29,35.712403
-76.596298,27,35.740199
-107.024109,26,35.767148
-105.19133,13,35.783948
-109.494583,21,35.806676
