#{"t_start": 1722202119.1640708, "env_id": "VizdoomCorridor-v0"}
r,l,t
454.495941,60,24.360847
513.527557,66,24.484967
634.254761,87,24.650536
538.148422,63,24.772707
632.668274,117,24.989456
613.727737,68,25.117746
493.674377,120,25.340629
425.488876,64,25.464727
486.371414,67,25.597824
511.111282,71,25.735459
551.292419,82,25.90233
464.004166,68,26.036411
507.394119,68,26.170568
586.409897,74,26.316805
565.874847,72,26.458252
529.50914,80,26.617626
613.592484,87,26.818311
562.089157,67,26.971891
487.719818,59,27.126986
799.810928,131,27.471413
583.804825,70,27.644108
514.527283,58,27.774375
443.91362,53,27.887168
240.800385,57,28.017337
263.267548,51,28.190859
704.044342,92,28.399872
580.895676,67,28.552344
919.576843,130,28.847536
507.136826,70,29.000579
379.897736,58,29.130757
623.57222,60,29.26282
483.977951,50,29.383738
519.034088,64,29.542542
468.691177,114,29.790085
454.794525,54,29.913058
555.450974,60,30.045824
506.07962,71,30.201653
514.342773,63,30.342075
744.799698,83,30.527439
610.514297,135,30.819407
179.579376,36,30.908917
611.812683,72,31.069806
707.87262,84,31.258492
461.717621,63,31.398859
328.355286,44,31.499552
215.494064,47,31.608098
546.620331,116,31.865282
476.528687,59,31.999483
242.184097,53,32.122695
899.223633,77,32.295468
462.175659,51,32.416315
483.982864,59,32.550219
196.535172,63,32.692437
836.981995,102,32.917152
473.89444,58,33.052372
239.058075,54,33.178244
499.615524,62,33.322214
489.24263,49,33.435515
844.051056,81,33.617438
562.802658,61,33.756678
516.05098,63,33.901402
714.269577,83,34.087056
566.488022,67,34.240442
594.155334,100,34.460187
230.957657,50,34.576243
881.709824,83,34.763206
472.754745,81,34.945907
386.233368,52,35.066988
456.108063,59,35.201488
412.726212,58,35.334465
707.728195,93,35.542389
757.966522,103,35.774188
504.740982,71,35.940017
461.491516,81,36.123016
612.082901,76,36.294356
423.528076,71,36.457449
475.834229,81,36.640613
504.133759,63,36.78448
453.233154,58,36.918385
475.383713,61,37.057292
501.66037,83,37.243078
494.903656,61,37.380957
539.085892,62,37.522059
485.390198,61,37.658592
312.35791,45,37.763423
274.21434,60,37.900406
530.281952,68,38.052295
727.342041,89,38.249886
850.750046,84,38.435317
399.23526,79,38.610787
646.648743,76,38.783951
759.879135,83,38.974489
768.009232,83,39.162861
281.606384,51,39.281247
454.999374,70,39.443516
606.709702,72,39.605105
437.052139,58,39.740801
450.820892,57,39.873893
897.859146,107,40.108476
566.073547,68,40.260222
2278.377686,42,58.256463
2281.641678,46,58.352101
2282.571121,43,58.442645
2281.159637,43,58.534349
2276.453766,41,58.62517
2278.016052,43,58.720014
2281.984451,41,58.811144
2285.851364,43,58.907215
2276.894318,44,59.004398
2276.953461,44,59.104171
2282.569916,43,59.199165
2285.087891,43,59.293101
2284.026306,42,59.387313
1024.789352,39,59.474044
2283.337708,42,59.566821
2279.569138,42,59.661239
2279.019699,43,59.755289
2278.130814,46,59.858394
2283.399506,42,59.955755
2280.77298,41,60.048646
1147.016907,41,60.139341
2278.476135,43,60.237123
2282.981125,41,60.331235
2283.249451,44,60.431486
2285.242294,42,60.542407
1036.390976,39,60.635866
1053.373474,39,60.723009
2283.799042,42,60.820549
2280.846985,43,60.920404
2281.446365,42,61.018592
2281.80571,42,61.118643
2282.266968,42,61.220408
1065.096222,40,61.31214
2283.425339,44,61.413701
2280.76506,41,61.528915
2277.524857,42,61.648534
2280.79866,41,61.757849
2285.122482,43,61.858942
1066.358826,39,61.949449
2279.392975,46,62.057968
2279.247696,46,62.16431
2281.241318,45,62.268856
2276.644867,42,62.370797
1120.657532,38,62.465845
2278.527924,42,62.567173
956.470016,37,62.654972
2279.515015,44,62.760269
2283.816849,44,62.867027
2283.785583,42,62.967952
2277.513168,43,63.071405
2276.637512,42,63.174903
2276.652679,42,63.275617
2277.165024,43,63.377389
1123.729111,40,63.470256
1087.666382,39,63.560091
2276.85704,42,63.659042
2278.351654,43,63.761118
2283.380356,43,63.865812
900.701584,37,63.953464
2276.802765,42,64.054946
2276.949936,44,64.160443
2280.722366,42,64.257368
2278.117981,43,64.356756
2279.867554,42,64.455936
2278.191391,42,64.557732
2278.15802,41,64.655308
1158.397903,41,64.750073
2280.239258,43,64.851889
2280.411621,42,64.954047
1054.620453,40,65.048194
2280.492371,42,65.146457
1131.195618,41,65.241915
2277.035324,41,65.340101
2276.142273,41,65.438891
743.789658,30,65.511116
2277.294113,43,65.613372
2283.743073,44,65.7165
2280.46344,42,65.817186
2276.117554,46,65.925925
1065.873398,40,66.022178
2279.360748,43,66.125226
2283.563889,44,66.234169
2280.973053,44,66.340402
2283.843292,43,66.441419
1081.343216,39,66.533355
2276.507599,43,66.636138
2279.052841,43,66.737482
2276.458328,43,66.840119
2277.837296,43,66.941645
2276.827286,42,67.043982
1084.072922,40,67.137737
2277.251907,44,67.241254
2282.590149,42,67.342393
2276.804886,43,67.444325
2280.132477,44,67.548511
2276.336624,42,67.648983
2277.542175,44,67.753803
2280.542633,45,67.861608
2276.779251,44,67.968985
1084.937225,40,68.064943
919.787048,32,88.128307
2283.120468,43,88.217876
1085.081985,38,88.295809
2282.786606,43,88.38515
990.603165,38,88.460194
2279.552231,43,88.547496
938.531754,36,88.622244
2283.075684,44,88.712537
992.949219,38,88.789205
2277.393585,42,88.875662
2278.88063,45,88.968743
2276.503616,43,89.061223
2282.778015,43,89.153931
2279.420929,42,89.244182
2282.870514,42,89.333267
2279.401871,45,89.427011
999.121155,38,89.507277
2281.785995,45,89.599416
1129.650406,41,89.683038
2277.048508,44,89.774813
2283.578979,45,89.867201
1020.739334,36,89.94046
2277.104996,41,90.027248
2277.732971,42,90.113004
2281.734543,43,90.202015
2280.11232,43,90.290442
2277.422546,43,90.382931
2284.580688,41,90.467264
997.547089,39,90.549371
2280.585953,42,90.640145
2282.081894,43,90.732144
2284.033096,42,90.822291
724.828857,30,90.889052
2280.018845,43,90.979769
2279.483765,44,91.074627
2278.351562,43,91.174881
2282.675552,44,91.272479
1056.567123,40,91.360473
2277.840561,43,91.461439
2283.220688,46,91.561379
2276.455353,41,91.653499
2276.832504,42,91.749366
2278.206696,45,91.850333
2283.884476,42,91.943834
2279.996063,46,92.049924
2277.994614,44,92.148724
2279.384399,42,92.245081
2279.685684,47,92.350426
1030.899261,39,92.436958
2281.370392,43,92.534367
2284.932892,43,92.632516
2279.855972,41,92.725008
2285.697708,43,92.82607
2282.406403,44,92.926657
2281.504883,42,93.022277
2276.279953,41,93.117329
2283.434525,44,93.220304
2281.118973,42,93.317379
2282.629288,42,93.414639
2283.792221,43,93.514048
2281.09053,43,93.614161
2279.793182,42,93.71388
2283.868713,42,93.812943
2282.060303,42,93.911534
1175.39679,42,94.008112
2277.072495,42,94.10662
2276.585541,40,94.203592
2284.043564,43,94.306257
2279.468185,43,94.40763
2279.814148,42,94.505801
2279.349884,41,94.604861
2279.013443,42,94.705157
2276.217606,44,94.81128
1093.309158,41,94.90696
2280.060318,43,95.008941
1140.070938,39,95.102928
2281.97821,44,95.209992
1026.165802,41,95.307794
2279.235367,44,95.413388
2282.639389,44,95.51842
1020.369507,38,95.610528
2278.929016,42,95.709975
2278.731888,44,95.817497
2281.533524,42,95.918716
2280.503616,42,96.021931
2283.52742,42,96.1257
2280.739487,42,96.229258
2280.922974,43,96.334861
1078.555252,44,96.444064
2283.652313,42,96.54623
971.652939,38,96.63808
2280.586166,45,96.746797
2277.846786,42,96.848259
2279.77739,43,96.950498
2278.978882,43,97.052432
2284.372803,43,97.155755
2283.246063,45,97.26139
2280.954224,42,97.360705
2279.2892,42,97.46075
2281.527802,43,97.562462
2280.850845,42,116.093837
2281.033234,43,116.189744
2283.63205,42,116.283367
2283.679855,43,116.376703
2282.727188,44,116.471034
2282.493713,44,116.565703
1109.491989,41,116.657518
2280.023438,41,116.743165
2277.184586,42,116.830921
1034.910614,38,116.90903
2278.075897,42,116.999139
2283.458145,43,117.091504
2277.95076,42,117.181987
2278.779953,44,117.275894
2281.828598,42,117.367693
2283.331543,43,117.459803
2279.534103,43,117.551747
2282.820801,43,117.644705
2279.460251,42,117.73415
1059.208237,38,117.814548
2278.976639,43,117.907779
2278.331528,42,117.998295
1054.020401,38,118.081824
2282.536865,43,118.1752
2276.10083,42,118.267311
2284.329865,42,118.358282
1159.552567,46,118.458204
2276.611938,45,118.553998
2284.079163,42,118.645872
912.085388,36,118.724256
2278.017822,42,118.817864
1110.287003,44,118.91272
1043.994293,38,118.999168
2280.2444,43,119.095599
2279.864014,41,119.188908
2277.82637,42,119.282299
2278.989624,42,119.375797
2279.187592,42,119.471077
2283.012115,42,119.571054
2283.37262,47,119.678204
2276.219879,43,119.7753
2276.791428,42,119.873179
2280.743195,43,119.973459
2283.560425,43,120.073269
2277.058777,42,120.169678
2177.428925,42,120.268866
2280.392929,41,120.367329
2279.075424,43,120.468818
2282.714203,42,120.56815
2277.879715,44,120.671895
2280.384033,43,120.773479
1099.821106,41,120.869338
2280.403992,43,120.97218
2276.212387,43,121.07474
2279.714279,43,121.17792
2278.315842,44,121.284757
2283.505127,43,121.388714
2278.76506,45,121.496387
2279.140121,42,121.596088
2276.235977,41,121.699808
2276.291199,42,121.805154
2283.099747,42,121.905844
2281.007004,42,122.007095
1036.24234,39,122.098927
2278.522675,42,122.200239
2284.0979,42,122.301822
2283.556229,44,122.408225
2276.606873,43,122.514036
2279.670135,43,122.61821
2280.245667,43,122.721526
2277.927856,43,122.827528
2277.425644,42,122.931248
2282.569794,42,123.032772
2282.386932,42,123.13651
2282.813034,45,123.245986
2283.342148,44,123.352462
2282.388306,41,123.451589
2278.00325,44,123.556951
2284.264755,40,123.654018
2277.103653,42,123.754917
2281.43158,42,123.856371
2282.627731,42,123.957419
2282.610519,41,124.055021
2277.862625,42,124.15329
2283.279922,43,124.255587
1090.402908,41,124.352025
2283.19281,42,124.453767
2284.06543,45,124.560241
2281.681427,43,124.663388
823.663971,33,124.743181
2277.593109,43,124.844548
1057.387863,40,124.938566
2276.069321,44,125.044078
2279.74678,43,125.145457
2279.929733,42,125.244581
2278.624847,43,125.344905
1031.917908,39,125.438219
2282.002365,42,125.537297
2284.108749,43,125.642795
2284.12027,43,125.744382
2283.666473,44,146.49043
2281.010651,43,146.577578
2278.26564,43,146.662769
2276.807632,44,146.750697
2278.300171,45,146.845638
2277.156647,44,146.934302
2277.340302,42,147.019174
2279.021149,44,147.103983
1080.143066,41,147.184298
1014.055283,35,147.253574
2279.591782,42,147.335319
2280.374893,47,147.428396
2284.043396,43,147.512961
2276.691589,45,147.602455
