#{"t_start": 1722246270.303751, "env_id": "VizdoomCorridor-v0"}
r,l,t
-68.970215,19,7.51142
-68.065536,19,7.594545
-64.131729,21,7.690115
1.665207,29,7.812769
-115.975372,36,7.961634
2.83313,37,8.111286
-94.401581,26,8.218776
-98.204315,21,8.304976
-91.855698,29,8.416099
-99.987869,13,8.471193
-115.975616,19,8.548652
-90.305481,19,8.628056
-115.947311,27,8.734926
-84.15538,12,8.790743
-105.845703,13,8.846942
-37.162964,12,8.897072
-78.699707,12,8.949547
-112.360565,12,9.000109
-114.228638,65,9.248915
-112.860657,12,9.299964
-27.99968,38,9.445875
-106.597839,20,12.678056
-115.729843,30,12.785169
-115.039215,33,12.900872
-63.026947,28,12.998453
-115.997299,12,13.046207
-115.987518,11,13.089268
-100.164505,29,13.188348
-60.157654,29,13.29211
-86.380035,20,13.363235
-112.126419,13,13.412045
-80.561035,28,13.508338
-71.891571,28,13.603373
-79.775131,20,13.675579
-46.623322,13,13.725315
-48.378738,38,13.851278
-108.161957,19,13.918337
-89.886566,20,13.98683
-50.508713,13,14.034753
-90.354248,22,14.110855
-110.779327,22,14.185324
-76.497131,12,14.23112
-115.998596,20,14.301252
-105.465775,46,17.2705
-53.365555,33,17.384297
-114.701508,21,17.461323
-76.336868,22,17.540501
-93.542786,20,17.611952
-105.721558,65,17.838972
-98.856705,29,17.941303
-115.908936,13,17.994635
-103.713913,35,18.118419
-102.702896,12,18.165761
-97.842972,34,18.281214
-115.888351,12,18.327698
-111.144363,38,18.456055
-115.970566,12,18.501448
-55.411697,64,18.704941
-84.228256,402,22.898178
156.198441,21,22.96732
-114.532822,25,23.047604
-95.385681,12,23.091843
-115.975586,21,23.163843
-96.977875,20,23.230386
-109.390366,346,872.598162
-41.408722,19,872.667636
-115.920837,12,872.71363
-88.275833,12,872.758823
-115.976318,12,872.802408
-108.389725,86,873.058999
-86.885773,27,873.14757
-40.158936,29,873.23946
-69.958969,40,875.645164
-36.274124,28,875.74625
-79.776215,71,875.977498
-26.492889,21,876.050489
-113.063782,18,876.117059
-114.681717,20,876.192608
-70.082458,22,876.270751
-108.931946,20,876.341524
-108.810883,29,876.445835
-109.680222,19,876.514659
-87.529388,19,876.582619
-85.568466,21,876.657074
-115.048065,11,876.701606
-94.784515,30,876.802628
-88.283005,21,876.880056
-115.424408,20,876.950145
-115.99614,11,876.99453
-113.571777,26,877.099484
-115.999283,13,877.156908
-72.914474,25,877.264632
-104.897247,36,877.408132
-94.308105,12,879.92411
-98.047256,29,880.025501
-115.944962,21,880.100968
-40.369827,56,880.286059
-112.347687,18,880.350716
-87.569199,21,880.428045
-115.636215,13,880.480111
-100.472122,21,880.554183
-115.139404,13,880.601843
-81.183212,21,880.676192
-115.994827,20,880.74686
-115.997162,12,880.79276
-115.947205,18,880.854348
-71.494522,46,881.003883
-96.914261,12,881.049232
-115.984299,21,881.120889
-114.702118,19,881.186623
-111.924866,20,881.25319
