#{"t_start": 1720458984.068394, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
1.0,67,7.603111
2.0,96,7.655332
0.0,72,7.69445
1.0,88,7.742156
1.0,90,7.79088
1.0,75,7.831093
1.0,77,7.872489
0.0,65,7.907597
0.0,59,7.939475
1.0,79,7.982147
0.0,75,9.40067
0.0,84,9.446167
0.0,79,9.488937
0.0,80,9.532546
0.0,82,9.576787
1.0,106,9.63394
0.0,66,9.669768
0.0,68,9.706665
0.0,73,9.746128
3.0,118,9.809614
0.0,67,11.393504
2.0,73,11.433724
1.0,91,11.483024
0.0,69,11.520365
1.0,67,11.556847
1.0,85,11.602807
0.0,76,11.643802
1.0,72,11.693775
1.0,92,11.747089
1.0,94,11.797756
0.0,79,13.217248
0.0,76,13.258409
0.0,64,13.293216
1.0,93,13.343431
0.0,70,13.381951
0.0,55,13.412197
2.0,84,13.457767
0.0,57,13.488856
0.0,67,13.525249
0.0,82,13.569686
1.0,73,14.986858
0.0,62,15.020532
1.0,80,15.063704
2.0,88,15.111222
0.0,68,15.147942
1.0,83,15.192843
0.0,62,15.226357
0.0,74,15.266191
0.0,76,15.307462
0.0,62,15.341145
1.0,96,16.767634
0.0,88,16.815297
0.0,57,16.846313
0.0,78,16.888306
0.0,72,16.927305
1.0,79,16.969923
0.0,71,17.008186
0.0,64,17.042824
0.0,65,17.077902
1.0,120,17.142205
0.0,63,18.551495
2.0,78,18.593923
2.0,105,18.650648
0.0,71,18.689232
0.0,75,18.729815
0.0,73,18.769336
1.0,94,18.819994
1.0,84,18.865606
1.0,67,18.90195
0.0,80,18.94558
1.0,101,20.374308
0.0,88,20.421793
0.0,67,20.458141
1.0,96,20.510053
0.0,75,20.550821
1.0,90,20.599411
0.0,81,20.643123
1.0,90,20.692158
1.0,114,20.753198
0.0,68,20.790098
1.0,94,22.224746
0.0,65,22.260224
0.0,62,22.293959
0.0,56,22.324553
1.0,95,22.376125
1.0,67,22.412459
3.0,106,22.469789
0.0,86,22.51614
1.0,83,22.560973
1.0,83,22.606161
0.0,74,24.022922
0.0,76,24.064005
0.0,52,24.092319
0.0,83,24.136946
2.0,97,24.189007
0.0,64,24.223617
1.0,76,24.264615
0.0,59,24.296583
0.0,66,24.332261
0.0,96,24.383878
2.0,60,25.787575
0.0,70,25.825438
0.0,69,25.862831
1.0,75,25.90374
1.0,69,25.941031
1.0,68,25.977933
1.0,75,26.018815
0.0,65,26.054248
0.0,71,26.092596
1.0,96,26.14419
0.0,81,27.561915
1.0,101,27.616925
1.0,88,27.665221
1.0,90,27.71442
0.0,64,27.74956
0.0,65,27.78527
0.0,62,27.819219
0.0,72,27.858634
2.0,100,27.91301
0.0,75,27.95325
1.0,76,29.357919
0.0,59,29.390194
0.0,65,29.425449
1.0,53,29.454238
0.0,64,29.488872
0.0,65,29.524071
1.0,87,29.571434
0.0,70,29.609521
1.0,87,29.656524
1.0,78,29.698721
1.0,102,31.121303
0.0,61,31.154562
0.0,67,31.190886
0.0,62,31.225194
0.0,77,31.266995
0.0,72,31.306089
0.0,75,31.346688
1.0,88,31.394404
0.0,73,31.434041
1.0,72,31.473183
0.0,64,32.873097
0.0,81,32.917189
0.0,56,32.947692
0.0,90,32.996397
2.0,99,33.049797
0.0,66,33.085706
0.0,68,33.122545
0.0,78,33.164522
0.0,85,33.210303
0.0,77,33.25158
1.0,79,34.666684
1.0,104,34.723351
1.0,76,34.764551
0.0,73,34.80405
1.0,94,34.854753
1.0,72,34.89407
0.0,71,34.933181
1.0,96,34.985265
0.0,70,35.0231
1.0,75,35.063734
1.0,71,36.470607
0.0,67,36.507003
0.0,67,36.543437
0.0,81,36.587366
0.0,56,36.617868
0.0,83,36.662675
0.0,70,36.70086
0.0,60,36.733477
0.0,65,36.769221
0.0,67,36.805412
0.0,64,38.224149
0.0,84,38.269745
