#{"t_start": 1720480938.5466642, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,66,6.128325
-1.0,67,6.173735
-1.0,66,6.217997
-1.0,56,6.255701
-1.0,78,6.308188
0.0,73,6.357299
-1.0,75,6.406948
-1.0,69,6.45284
0.0,96,6.516518
-1.0,81,6.570563
3.0,114,11.938443
3.0,103,12.007828
6.0,141,12.101921
1.0,61,12.142702
1.0,96,12.206813
2.0,106,12.277563
3.0,115,12.354067
2.0,52,12.388968
8.0,195,12.51872
1.0,74,12.56821
6.0,145,18.547599
4.0,131,18.644081
4.0,118,18.723301
4.0,131,18.817974
3.0,118,18.897801
1.0,69,18.943942
6.0,139,19.036345
7.0,187,19.160696
5.0,143,19.255664
2.0,91,19.316302
15.0,257,24.781386
9.0,163,24.897669
15.0,265,25.088728
18.0,293,25.281336
16.0,289,25.472091
12.0,218,25.61567
10.0,220,25.760095
6.0,133,25.847825
16.0,296,26.042677
15.0,265,26.217593
8.0,178,32.204437
14.0,245,32.366317
9.0,168,32.477374
14.0,235,32.632615
17.0,290,32.823789
17.0,314,33.033234
16.0,300,33.234254
8.0,198,33.366874
11.0,210,33.507732
14.0,244,33.669327
15.0,281,39.095351
14.0,247,39.258204
12.0,196,39.387791
8.0,206,39.523409
10.0,208,39.660391
11.0,201,39.793407
14.0,262,39.967118
14.0,273,40.147211
7.0,170,40.260511
15.0,255,40.428948
7.0,162,46.41586
8.0,140,46.510537
9.0,199,46.644601
16.0,295,46.842216
19.0,291,47.037551
16.0,299,47.238316
19.0,316,47.450906
7.0,117,47.529919
12.0,211,47.67235
4.0,126,47.757758
19.0,327,53.230902
15.0,242,53.392874
5.0,108,53.46421
22.0,365,53.714385
16.0,320,53.928278
11.0,173,54.044773
5.0,122,54.126958
8.0,195,54.257897
8.0,142,54.353458
12.0,165,54.46427
7.0,136,59.878347
10.0,199,60.016365
6.0,157,60.120648
9.0,159,60.226822
8.0,128,60.312097
11.0,214,60.454163
17.0,335,60.675133
7.0,192,60.802753
10.0,183,60.924127
9.0,173,61.03906
8.0,181,66.964893
20.0,325,67.178553
15.0,273,67.358125
8.0,166,67.468187
14.0,242,67.627779
16.0,273,67.807471
12.0,215,67.949229
13.0,240,68.107975
19.0,306,68.310005
14.0,231,68.461149
16.0,246,73.867448
8.0,157,73.971884
15.0,256,74.141672
9.0,176,74.259778
13.0,259,74.432472
8.0,155,74.535557
17.0,366,74.777376
12.0,181,74.89749
7.0,156,75.001382
20.0,334,75.223666
9.0,165,81.200117
16.0,290,81.393646
8.0,178,81.512708
13.0,233,81.668494
15.0,245,81.832293
8.0,185,81.954637
16.0,251,82.121156
9.0,191,82.247717
11.0,214,82.389
15.0,265,82.564851
15.0,261,88.215682
13.0,211,88.369467
9.0,193,88.499613
14.0,269,88.678996
14.0,254,88.854807
17.0,300,89.072726
13.0,251,89.248226
15.0,264,89.422703
12.0,217,89.574574
16.0,241,89.736243
10.0,183,95.982027
10.0,168,96.094188
15.0,240,96.253469
10.0,193,96.395514
9.0,174,96.511163
18.0,284,96.718409
13.0,212,96.872865
15.0,246,97.043935
17.0,253,97.219004
8.0,123,97.302309
17.0,273,103.100902
13.0,220,103.283334
13.0,229,103.448394
10.0,135,103.544374
14.0,277,103.74568
11.0,155,103.855439
15.0,274,104.046615
13.0,204,104.188331
12.0,179,104.311265
9.0,153,104.413793
6.0,142,110.515662
13.0,199,110.650058
6.0,127,110.735915
