#{"t_start": 1721196367.828602, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,78,0.853665
-1.0,77,0.914735
2.0,95,0.989353
-1.0,81,1.053433
0.0,80,1.116464
2.0,92,1.188969
1.0,84,1.255072
1.0,77,1.315766
0.0,91,1.387336
2.0,103,1.468416
0.0,84,1.534889
1.0,100,1.61366
-1.0,59,1.660038
-1.0,77,1.720326
-1.0,97,1.795932
-1.0,54,1.838494
1.0,96,1.913661
0.0,67,1.966511
-1.0,53,2.008196
0.0,73,2.065364
0.0,87,2.133903
0.0,65,2.190224
0.0,81,2.254117
-1.0,58,2.299976
1.0,87,2.368379
-1.0,66,3.242192
0.0,74,3.301923
0.0,78,3.364923
1.0,92,3.439055
0.0,74,3.498872
2.0,108,3.585654
0.0,76,3.646952
0.0,82,3.712888
1.0,101,3.794103
-1.0,78,3.857378
1.0,109,3.945009
1.0,109,4.032719
2.0,107,4.118988
0.0,69,4.174733
0.0,69,4.230389
-1.0,65,4.282823
-1.0,92,4.356867
0.0,82,4.422776
5.0,117,4.517075
0.0,96,4.594166
0.0,81,4.659321
3.0,115,4.751788
2.0,82,4.81784
1.0,95,5.518053
4.0,118,5.613959
0.0,87,5.684362
1.0,107,5.770818
0.0,70,5.827399
0.0,75,5.888117
2.0,108,5.975305
-1.0,48,6.014534
2.0,104,6.098495
2.0,102,6.180807
0.0,77,6.901396
0.0,96,6.978759
0.0,60,7.027188
0.0,94,7.102638
2.0,116,7.196044
0.0,95,7.272365
0.0,104,7.355621
2.0,105,7.440449
-1.0,62,7.490443
2.0,92,7.564275
2.0,103,7.646863
0.0,91,7.719993
4.0,117,7.814272
2.0,96,8.517622
1.0,85,8.586539
2.0,70,8.643236
3.0,118,8.738264
5.0,125,8.838998
3.0,110,8.927681
1.0,99,9.00761
4.0,117,9.101923
0.0,92,9.175943
2.0,105,9.260409
5.0,147,9.378644
0.0,55,9.423168
1.0,104,9.507145
2.0,111,9.596628
3.0,109,9.684368
4.0,117,9.778677
1.0,97,9.856859
0.0,78,9.919737
3.0,136,10.029207
2.0,118,10.746957
3.0,122,10.845715
3.0,108,10.933054
4.0,119,11.029113
4.0,118,11.124364
2.0,73,11.18356
3.0,107,11.269796
1.0,86,11.339161
2.0,81,11.404753
1.0,92,11.479041
2.0,98,11.558406
5.0,121,11.656294
4.0,119,11.752576
4.0,109,11.840583
3.0,110,11.929592
1.0,88,12.000905
4.0,129,12.104862
0.0,56,12.150328
2.0,105,12.962755
0.0,74,13.022854
6.0,137,13.757088
4.0,101,13.838741
7.0,167,13.973184
3.0,110,14.062081
6.0,128,14.165706
7.0,152,14.287869
2.0,87,14.358173
2.0,99,14.438053
3.0,92,14.512265
4.0,114,14.604198
2.0,102,14.686252
4.0,106,14.771752
5.0,155,14.896343
4.0,127,14.998681
2.0,80,15.063562
3.0,101,15.144981
4.0,122,15.2435
4.0,109,15.331435
5.0,131,16.06091
7.0,185,16.2105
8.0,172,16.349082
5.0,125,16.450136
4.0,108,16.537433
6.0,126,16.639204
5.0,138,16.75071
6.0,154,16.875
3.0,106,16.960778
4.0,107,17.047748
4.0,114,17.139686
5.0,128,17.243106
7.0,187,17.393523
4.0,155,17.518693
5.0,118,17.614084
6.0,123,18.336568
6.0,157,18.462864
1.0,84,18.530849
7.0,187,18.681108
6.0,132,18.787345
6.0,138,19.860345
7.0,161,19.989576
4.0,108,20.076511
4.0,112,20.166709
6.0,171,20.303755
7.0,129,20.407379
7.0,161,20.537686
5.0,132,20.644195
7.0,148,20.763754
4.0,124,20.863893
5.0,142,21.600285
6.0,122,21.698914
6.0,154,21.823003
6.0,131,21.928495
7.0,171,22.06595
7.0,157,22.19228
6.0,121,22.289593
7.0,139,22.401406
7.0,161,22.531012
6.0,153,22.654089
7.0,176,22.795893
5.0,120,22.892442
3.0,94,22.968495
7.0,141,23.081978
7.0,180,23.850504
7.0,165,23.983301
7.0,145,24.100192
4.0,80,24.165078
3.0,86,24.234553
7.0,139,24.346275
5.0,96,24.423633
10.0,176,24.565021
7.0,130,24.669918
2.0,79,24.733831
3.0,67,24.788152
