#{"t_start": 1721181413.4177005, "env_id": "VizdoomDefendLine-v0"}
r,l,t
5.0,120,1.923949
5.0,110,1.984895
2.0,89,2.034221
5.0,104,2.091844
4.0,103,2.14859
4.0,105,2.206006
4.0,107,2.264623
3.0,97,2.317655
1.0,68,2.354979
1.0,74,2.395602
3.0,112,3.893147
0.0,42,3.916437
1.0,68,3.953607
1.0,72,3.992844
2.0,80,4.036339
2.0,68,4.073402
6.0,127,4.142006
0.0,73,4.181588
2.0,73,4.221207
1.0,55,4.251295
6.0,137,5.740085
2.0,81,5.784916
1.0,61,5.818838
0.0,48,5.845681
2.0,96,5.898396
0.0,69,5.936405
4.0,110,5.996847
2.0,83,6.042724
0.0,51,6.071023
3.0,131,6.142689
0.0,52,7.590532
4.0,129,7.660869
5.0,129,7.73062
9.0,170,7.82268
2.0,96,7.875154
6.0,121,7.940655
3.0,86,7.987638
5.0,115,8.049714
3.0,96,8.101805
6.0,155,8.185823
1.0,51,9.637321
4.0,130,9.708723
0.0,58,9.741281
6.0,163,9.830735
3.0,95,9.883094
6.0,164,9.972948
5.0,143,10.051062
3.0,93,10.101959
8.0,173,10.196685
2.0,85,10.24345
0.0,71,11.701007
3.0,103,11.757685
0.0,45,11.782808
6.0,108,11.842281
2.0,71,11.881515
3.0,96,11.934093
3.0,72,11.973626
0.0,57,12.00546
0.0,46,12.03094
0.0,54,12.060939
2.0,62,13.514619
2.0,85,13.561194
2.0,71,13.600177
0.0,45,13.625107
5.0,112,13.685904
3.0,83,13.731198
5.0,121,13.796715
1.0,55,13.827007
6.0,128,13.896746
3.0,114,13.958526
4.0,126,15.437763
-1.0,54,15.467666
0.0,45,15.492618
0.0,48,15.519302
2.0,86,15.566315
5.0,88,15.61467
3.0,108,15.673655
2.0,106,15.731695
4.0,109,15.791171
0.0,42,15.814465
2.0,112,17.291599
1.0,67,17.328959
6.0,138,17.404621
1.0,66,17.441085
2.0,82,17.486525
1.0,44,17.511063
1.0,77,17.553784
0.0,43,17.577775
2.0,57,17.609691
3.0,118,17.674099
3.0,79,19.138223
4.0,101,19.193219
5.0,126,19.261824
4.0,103,19.317637
2.0,84,19.363479
1.0,67,19.400321
3.0,109,19.459875
2.0,66,19.496111
5.0,115,19.558362
8.0,197,19.66452
0.0,44,21.104545
4.0,119,21.170001
1.0,82,21.215338
1.0,53,21.244976
5.0,118,21.310146
1.0,63,21.345371
1.0,82,21.391049
0.0,50,21.419011
1.0,45,21.444042
7.0,149,21.525808
2.0,60,22.978178
3.0,78,23.021611
6.0,144,23.100152
1.0,60,23.133515
4.0,118,23.198723
5.0,118,23.26364
1.0,71,23.30294
5.0,89,23.352106
2.0,60,23.385454
0.0,55,23.41609
3.0,93,24.894142
5.0,121,24.960504
0.0,61,24.994407
3.0,99,25.048293
2.0,71,25.087181
4.0,92,25.137391
12.0,234,25.263593
3.0,91,25.313092
9.0,197,25.419981
0.0,53,25.449358
2.0,70,26.900823
5.0,125,26.969013
5.0,178,27.065403
3.0,122,27.131895
1.0,50,27.159639
2.0,96,27.211868
3.0,111,27.27236
1.0,54,27.302171
2.0,92,27.352336
1.0,78,27.395073
4.0,79,28.858526
1.0,52,28.887381
1.0,56,28.918463
2.0,92,28.969114
4.0,91,29.018818
2.0,69,29.056786
0.0,55,29.087331
3.0,99,29.141665
3.0,94,29.193222
0.0,54,29.223212
2.0,71,30.677832
2.0,52,30.706772
1.0,56,30.73783
2.0,62,30.772186
4.0,100,30.826595
1.0,45,30.851664
3.0,110,30.911595
0.0,48,30.93819
2.0,87,30.985751
3.0,94,31.037381
1.0,68,32.494553
4.0,98,32.54818
1.0,72,32.587667
3.0,92,32.637968
5.0,123,32.705074
0.0,52,32.733933
6.0,134,32.807175
3.0,105,32.864644
5.0,152,32.947441
7.0,157,33.032996
5.0,109,34.51055
1.0,48,34.537068
2.0,73,34.577014
4.0,123,34.64405
1.0,63,34.678686
8.0,162,34.766613
4.0,132,34.838588
1.0,43,34.862368
2.0,98,34.916011
0.0,43,34.939772
-1.0,64,36.402929
6.0,168,36.495002
4.0,103,36.551621
3.0,87,36.599805
3.0,74,36.640547
4.0,106,36.69877
2.0,56,36.729828
4.0,90,36.779259
0.0,52,36.808225
4.0,112,36.869753
0.0,62,38.298903
4.0,138,38.374007
3.0,87,38.421652
0.0,48,38.448336
-1.0,53,38.47775
4.0,106,38.535819
1.0,61,38.569511
7.0,182,38.668404
2.0,68,38.705803
2.0,65,38.741578
2.0,79,43.703917
9.0,128,43.777391
5.0,104,43.835542
5.0,109,43.896285
10.0,135,43.973273
6.0,100,44.029288
16.0,229,44.156902
5.0,100,44.213633
7.0,141,44.293304
12.0,138,44.372238
11.0,138,49.202355
7.0,101,49.260526
7.0,93,49.314162
7.0,92,49.367501
11.0,147,49.451477
10.0,134,49.527633
10.0,127,49.599782
12.0,149,49.683857
7.0,97,49.739283
8.0,129,49.812205
22.0,233,54.714864
19.0,196,54.825535
20.0,247,54.964776
14.0,144,55.046455
24.0,256,55.190759
18.0,169,55.285954
10.0,132,55.360508
16.0,149,55.444501
16.0,157,55.534019
17.0,172,55.630868
17.0,197,60.517478
17.0,161,60.608345
14.0,138,60.686643
15.0,170,60.783196
12.0,134,60.859226
23.0,233,60.9903
7.0,77,61.034884
15.0,161,61.126316
27.0,338,61.31614
12.0,116,61.382014
24.0,216,66.276893
17.0,155,66.36523
20.0,173,66.463135
23.0,223,66.590003
21.0,212,66.709646
19.0,168,66.804936
21.0,195,66.915276
16.0,139,66.994305
19.0,210,67.112545
21.0,188,67.218907
17.0,135,72.080821
13.0,116,72.147104
11.0,103,72.205577
17.0,159,72.295665
19.0,168,72.390931
16.0,140,72.470669
18.0,174,72.569093
15.0,131,72.642945
13.0,132,72.717483
19.0,189,72.823882
18.0,180,77.696432
15.0,200,77.807834
25.0,215,77.929481
9.0,78,77.97462
21.0,174,78.072793
16.0,136,78.150359
15.0,111,78.213676
17.0,138,78.29193
21.0,191,78.399597
18.0,173,78.497401
23.0,185,83.372157
23.0,220,83.497449
24.0,222,83.622947
25.0,231,83.753273
22.0,220,83.877494
23.0,217,83.999761
27.0,276,84.155095
28.0,247,84.293992
16.0,164,84.38697
18.0,171,84.483752
22.0,203,89.368437
27.0,239,89.503036
30.0,277,89.66024
24.0,216,89.781808
19.0,157,89.87099
17.0,122,89.940485
15.0,139,90.019508
30.0,276,90.175306
15.0,121,90.244243
25.0,243,90.381585
18.0,172,95.251399
27.0,273,95.406317
24.0,229,95.535954
31.0,308,95.710102
25.0,231,95.840825
19.0,216,95.963751
28.0,274,96.118741
25.0,234,96.251788
6.0,62,96.287939
33.0,318,96.46835
30.0,291,101.424022
18.0,166,101.51871
23.0,210,101.637918
24.0,202,101.752785
32.0,301,101.92336
22.0,183,102.027481
26.0,225,102.155166
21.0,184,102.260166
26.0,219,102.385067
17.0,170,102.482766
18.0,154,107.36269
19.0,162,107.455024
24.0,200,107.568717
25.0,234,107.70113
26.0,229,107.830429
20.0,168,107.926105
14.0,128,107.999104
27.0,224,108.125316
20.0,178,108.226255
23.0,215,108.347754
28.0,247,113.24738
15.0,133,113.323682
26.0,226,113.451716
33.0,294,113.61824
34.0,281,113.776871
19.0,173,113.875415
23.0,222,114.000884
16.0,130,114.075181
31.0,262,114.223022
30.0,305,114.394734
32.0,263,119.310332
25.0,212,119.430185
24.0,231,119.560148
22.0,193,119.669082
14.0,125,119.740057
28.0,231,119.870007
24.0,232,120.000646
29.0,246,120.13955
31.0,282,120.297669
32.0,294,120.461917
28.0,245,125.354928
23.0,190,125.462378
38.0,388,125.68085
29.0,216,125.802137
17.0,156,125.891192
23.0,181,125.993351
26.0,239,126.127816
21.0,155,126.21584
11.0,84,126.264068
21.0,191,126.371894
33.0,284,131.30681
25.0,220,131.43175
28.0,229,131.560893
23.0,216,131.68261
32.0,345,131.876798
25.0,240,132.011326
28.0,238,132.144983
17.0,159,132.235088
21.0,195,132.344956
22.0,207,132.461598
18.0,145,137.292763
21.0,155,137.380363
21.0,206,137.496401
23.0,201,137.609723
25.0,199,137.722335
24.0,217,137.844452
21.0,169,137.939279
20.0,178,138.039386
14.0,149,138.124032
19.0,167,138.218967
35.0,289,143.132358
21.0,182,143.235332
18.0,158,143.32474
30.0,281,143.482199
14.0,132,143.556806
21.0,194,143.665577
24.0,185,143.769656
26.0,226,143.895581
18.0,148,143.978738
31.0,309,144.151542
20.0,191,149.004078
25.0,205,149.119051
25.0,222,149.243522
28.0,246,149.381312
27.0,237,149.514341
32.0,298,149.680334
15.0,126,149.751519
19.0,154,149.837706
26.0,236,149.970159
31.0,289,150.131907
20.0,178,154.98898
22.0,169,155.084389
18.0,141,155.16415
18.0,160,155.255184
32.0,264,155.403901
24.0,186,155.508403
15.0,119,155.575764
16.0,145,155.658236
27.0,256,155.802502
19.0,166,155.89627
29.0,247,160.786479
31.0,275,160.940292
17.0,159,161.029575
26.0,213,161.148945
34.0,288,161.309256
27.0,213,161.428345
40.0,433,161.669236
24.0,228,161.797765
39.0,359,161.996922
15.0,153,162.083148
23.0,206,166.970927
36.0,394,167.193425
22.0,193,167.302851
19.0,151,167.388272
26.0,216,167.510395
27.0,233,167.641528
25.0,234,167.773296
26.0,228,167.901958
24.0,229,168.030472
33.0,309,168.204695
29.0,249,173.102633
25.0,216,173.224424
21.0,180,173.326302
23.0,177,173.426855
19.0,155,173.515292
21.0,182,173.618069
26.0,217,173.7406
19.0,174,173.839649
21.0,216,173.961995
27.0,274,174.116669
20.0,167,178.965624
22.0,192,179.074552
27.0,261,179.221723
20.0,170,179.318031
25.0,216,179.439861
21.0,201,179.553379
24.0,237,179.687398
30.0,248,179.82655
26.0,230,179.955763
28.0,262,180.103201
30.0,247,185.011451
22.0,194,185.120942
21.0,190,185.228081
29.0,333,185.414846
23.0,224,185.540746
22.0,180,185.642127
20.0,186,185.746685
19.0,167,185.840775
22.0,195,185.950254
26.0,233,186.081095
31.0,313,191.031051
27.0,254,191.174917
24.0,219,191.299222
28.0,253,191.442776
26.0,249,191.58486
24.0,212,191.704333
28.0,232,191.835576
22.0,194,191.94553
31.0,290,192.109198
32.0,238,192.243846
18.0,159,197.116199
23.0,198,197.227981
29.0,268,197.379206
24.0,186,197.484256
22.0,190,197.592222
27.0,234,197.724255
25.0,216,197.8465
