#{"t_start": 1721182967.8393104, "env_id": "VizdoomDefendLine-v0"}
r,l,t
5.0,119,0.880286
3.0,89,0.950907
13.0,163,1.080921
20.0,301,1.320245
9.0,154,1.442058
8.0,142,1.555515
9.0,158,1.681234
10.0,136,1.789305
9.0,132,1.893942
5.0,107,1.978796
9.0,168,2.111701
12.0,184,2.257401
12.0,183,2.400524
7.0,89,3.027594
9.0,158,3.156232
9.0,120,3.253943
14.0,250,3.455206
6.0,96,3.533104
13.0,222,3.712346
5.0,101,3.793133
7.0,137,3.903804
8.0,156,4.02832
10.0,164,4.160887
10.0,144,4.278888
15.0,274,4.49832
10.0,150,4.972489
16.0,196,5.131768
7.0,136,5.240466
9.0,145,5.357361
15.0,195,5.515931
10.0,151,5.638811
9.0,155,6.832695
5.0,86,6.903975
10.0,138,7.015588
19.0,228,7.20098
14.0,154,7.326065
5.0,100,7.406608
13.0,204,7.570511
12.0,138,7.683515
13.0,169,8.17336
7.0,109,8.261777
6.0,106,8.348711
6.0,96,8.428128
15.0,155,8.554405
12.0,151,8.677625
20.0,235,8.869458
15.0,218,9.047047
18.0,203,9.212834
20.0,212,9.385494
20.0,228,9.570861
14.0,173,9.712337
10.0,138,10.177401
13.0,145,10.295342
23.0,236,10.486637
12.0,129,10.591769
15.0,166,10.72666
13.0,133,10.835231
7.0,90,10.908612
18.0,236,11.099865
15.0,164,11.233299
17.0,185,11.383919
10.0,113,11.476204
19.0,194,12.934219
13.0,140,13.400557
13.0,155,13.526734
8.0,108,13.615108
14.0,147,13.734581
17.0,212,13.906599
16.0,186,14.057111
13.0,131,14.163714
19.0,183,14.31159
22.0,262,14.523179
14.0,160,14.653144
14.0,171,14.792113
18.0,192,14.947622
18.0,187,15.450828
33.0,395,15.769335
22.0,252,15.973042
24.0,304,16.218195
15.0,151,16.340597
10.0,126,16.442992
21.0,215,16.617031
19.0,202,16.780956
11.0,117,16.876253
17.0,179,17.021454
12.0,126,17.46977
