#{"t_start": 1721189685.2419016, "env_id": "VizdoomDefendLine-v0"}
r,l,t
6.0,142,5.656759
7.0,113,5.732085
7.0,150,5.831542
8.0,120,5.91136
6.0,97,5.976282
10.0,196,6.105711
4.0,103,6.174532
10.0,167,6.285767
5.0,111,6.359577
5.0,82,6.414805
11.0,131,11.282564
2.0,61,11.324505
16.0,181,11.446952
21.0,260,11.621073
7.0,90,11.681754
7.0,115,11.760066
19.0,239,11.920227
9.0,115,11.997931
15.0,158,12.104689
9.0,99,12.171796
26.0,316,17.530003
13.0,145,17.627686
19.0,188,17.754194
14.0,141,17.849306
20.0,192,17.97808
17.0,174,18.094787
16.0,177,18.213641
10.0,117,18.292447
17.0,190,18.41968
12.0,116,18.498179
26.0,253,23.454643
19.0,160,23.561841
17.0,123,23.644865
16.0,142,23.740191
18.0,167,23.852338
20.0,211,23.993857
27.0,267,24.172834
22.0,211,24.314651
15.0,147,24.41383
19.0,184,24.537317
16.0,146,29.784622
23.0,192,29.913464
29.0,282,30.101956
14.0,143,30.198905
27.0,228,30.351372
14.0,117,30.430537
16.0,141,30.525658
18.0,152,30.627994
12.0,91,30.689703
23.0,208,30.829678
24.0,223,35.773694
24.0,215,35.917784
21.0,206,36.055712
20.0,187,36.181408
28.0,325,36.399325
23.0,218,36.545518
24.0,213,36.688231
15.0,139,36.782067
24.0,199,36.915606
25.0,251,37.083814
22.0,165,42.3339
16.0,149,42.434287
26.0,259,42.607099
31.0,273,42.788691
24.0,249,42.955365
25.0,233,43.111113
18.0,142,43.206445
14.0,116,43.284743
23.0,198,43.417232
25.0,237,43.575726
18.0,155,48.466152
22.0,196,48.597989
20.0,182,48.720082
30.0,271,48.901849
27.0,256,49.072691
14.0,140,49.167098
32.0,280,49.353318
10.0,77,49.405695
21.0,164,49.515697
17.0,147,49.614792
24.0,180,54.519371
21.0,171,54.633992
23.0,195,54.764855
24.0,202,54.900654
24.0,208,55.040186
27.0,216,55.185001
16.0,122,55.267284
23.0,197,55.399562
24.0,231,55.555392
20.0,183,55.678554
27.0,233,60.958217
27.0,200,61.092437
28.0,242,61.254824
13.0,111,61.330129
27.0,228,61.483746
22.0,180,61.605035
28.0,212,61.747699
24.0,217,61.893396
21.0,169,62.007782
27.0,249,62.175404
15.0,116,67.046166
25.0,254,67.216621
21.0,189,67.343286
21.0,196,67.475149
27.0,220,67.622516
27.0,234,67.778606
28.0,243,67.940938
24.0,218,68.087015
23.0,218,68.233413
25.0,257,68.405459
23.0,176,73.650957
18.0,173,73.767995
18.0,136,73.859756
26.0,236,74.017712
27.0,241,74.179382
30.0,275,74.362984
28.0,238,74.522055
22.0,190,74.649008
25.0,215,74.793349
23.0,201,74.928286
13.0,127,79.790413
15.0,115,79.867961
26.0,279,80.055291
25.0,171,80.169427
22.0,202,80.305012
27.0,231,80.460233
29.0,251,80.628175
10.0,101,80.696745
37.0,324,80.913382
16.0,149,81.01418
27.0,239,86.297283
29.0,252,86.466003
16.0,139,86.559264
36.0,373,86.807896
24.0,193,86.93733
27.0,267,87.115694
23.0,217,87.261271
27.0,259,87.435167
24.0,228,87.588217
12.0,193,87.715793
23.0,176,92.624407
18.0,165,92.735382
25.0,243,92.898333
14.0,113,92.974931
33.0,279,93.16185
14.0,110,93.236359
17.0,170,93.350928
24.0,210,93.491876
16.0,175,93.608872
25.0,237,93.768537
16.0,136,98.989151
30.0,282,99.177933
15.0,132,99.267053
28.0,244,99.430449
26.0,232,99.585924
26.0,238,99.745459
19.0,161,99.853861
20.0,168,99.967029
28.0,219,100.113675
18.0,157,100.21936
22.0,202,105.130804
30.0,242,105.293072
15.0,126,105.378166
29.0,240,105.538943
27.0,226,105.690293
25.0,198,105.823394
39.0,371,106.071832
18.0,155,106.176637
26.0,237,106.3357
30.0,274,106.5204
38.0,335,111.526398
25.0,203,111.662603
26.0,211,111.804065
25.0,204,111.940926
22.0,176,112.058908
20.0,176,112.17712
26.0,259,112.351094
27.0,255,112.522179
25.0,220,112.670311
30.0,245,112.834385
27.0,231,118.1298
19.0,150,118.230938
24.0,212,118.373323
26.0,224,118.523318
22.0,181,118.644615
17.0,166,118.75673
20.0,154,118.859925
29.0,253,119.028879
25.0,213,119.171392
27.0,240,119.332245
21.0,179,124.229242
25.0,226,124.380694
19.0,142,124.476214
29.0,228,124.62894
29.0,286,124.820433
23.0,197,124.95229
34.0,279,125.138243
24.0,182,125.259946
25.0,230,125.413607
25.0,213,125.556507
26.0,256,130.8622
20.0,164,130.972844
27.0,244,131.135906
22.0,220,131.283148
28.0,225,131.434155
31.0,297,131.632869
25.0,205,131.770425
33.0,310,131.977274
29.0,240,132.137356
18.0,148,132.236829
25.0,221,137.176701
18.0,165,137.287955
27.0,223,137.436597
38.0,363,137.678909
20.0,172,137.795013
31.0,278,137.980882
35.0,309,138.186887
30.0,269,138.366933
24.0,201,138.501513
27.0,232,138.656978
22.0,193,143.934078
20.0,162,144.042801
27.0,236,144.200761
27.0,225,144.351049
25.0,201,144.485893
28.0,262,144.66138
17.0,143,144.758911
19.0,172,144.875031
36.0,321,145.089655
22.0,170,145.203926
16.0,229,150.140195
22.0,174,150.256654
30.0,254,150.425916
26.0,222,150.574323
31.0,272,150.756027
23.0,210,150.897536
29.0,250,151.065467
20.0,169,151.179137
22.0,174,151.296492
28.0,244,151.459692
29.0,264,156.757853
24.0,216,156.902671
29.0,256,157.073666
33.0,312,157.281483
30.0,297,157.48006
28.0,271,157.661277
26.0,231,157.816382
26.0,236,157.974613
32.0,282,158.163679
34.0,297,158.362207
28.0,220,163.303805
19.0,139,163.397488
22.0,187,163.523176
27.0,261,163.698284
22.0,188,163.82451
26.0,214,163.968097
25.0,260,164.142762
28.0,276,164.327838
33.0,254,164.49753
27.0,266,164.676411
33.0,345,169.685189
30.0,282,169.874152
26.0,218,170.020396
30.0,270,170.201066
34.0,325,170.417612
37.0,356,170.65519
29.0,260,170.829149
27.0,207,170.967029
22.0,182,171.089872
23.0,205,171.227
33.0,296,176.568355
29.0,290,176.761901
27.0,225,176.912416
21.0,187,177.037396
22.0,190,177.164689
38.0,376,177.415317
26.0,247,177.580046
25.0,209,177.719794
37.0,339,177.94633
24.0,223,178.095869
40.0,384,183.142659
18.0,163,183.252277
28.0,236,183.410774
32.0,314,183.62047
19.0,156,183.725816
18.0,163,183.834122
18.0,170,183.948539
24.0,235,184.106687
28.0,266,184.285719
27.0,241,184.447376
26.0,235,189.740622
18.0,153,189.842788
17.0,122,189.925558
24.0,203,190.062606
25.0,203,190.198889
21.0,168,190.311729
26.0,244,190.475052
27.0,246,190.640054
21.0,175,190.757947
28.0,228,190.910841
24.0,229,195.845452
18.0,183,195.968491
28.0,268,196.148179
26.0,242,196.310593
14.0,141,196.405149
27.0,257,196.577058
35.0,362,196.819097
28.0,248,196.985218
20.0,158,197.091387
11.0,106,197.163307
19.0,155,202.403434
26.0,232,202.558614
23.0,198,202.691397
16.0,135,202.782052
30.0,265,202.960161
28.0,234,203.11686
