#{"t_start": 1721619624.6602685, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
284.0,96,0.169812
284.0,96,0.194342
700.0,200,0.245213
284.0,96,0.270467
380.0,120,0.300935
476.0,144,0.338066
380.0,120,0.368888
380.0,120,0.398704
380.0,120,0.429457
284.0,96,0.454381
348.0,112,0.483228
476.0,144,0.518507
476.0,144,0.554932
380.0,120,0.58469
380.0,120,0.614584
700.0,200,0.664187
476.0,144,0.700722
284.0,96,0.72699
476.0,144,0.765841
380.0,120,0.795772
284.0,96,0.820316
572.0,168,0.861752
380.0,120,0.892167
380.0,120,0.922359
476.0,144,0.958559
284.0,96,0.982862
380.0,120,1.013317
444.0,136,1.049314
476.0,144,1.086136
380.0,120,1.117442
476.0,144,1.153048
380.0,120,1.18376
348.0,112,1.212107
284.0,96,1.236588
476.0,144,1.273295
316.0,104,1.299962
540.0,160,1.340034
668.0,192,1.389432
380.0,120,1.956955
380.0,120,1.987977
284.0,96,2.013047
284.0,96,2.038736
284.0,96,2.063181
284.0,96,2.087252
380.0,120,2.118039
380.0,120,2.14871
284.0,96,2.17389
508.0,152,2.212166
284.0,96,2.236495
284.0,96,2.261961
284.0,96,2.287187
284.0,96,2.31149
572.0,168,2.353835
412.0,128,2.385446
348.0,112,2.414178
604.0,176,2.457847
284.0,96,2.48262
380.0,120,2.513234
412.0,128,2.545677
380.0,120,2.576599
476.0,144,2.613075
380.0,120,2.644292
380.0,120,2.675005
476.0,144,2.711477
284.0,96,2.736012
444.0,136,2.769893
316.0,104,2.796612
380.0,120,2.827331
284.0,96,2.852145
284.0,96,2.876878
284.0,96,2.901416
476.0,144,2.93774
380.0,120,2.968265
284.0,96,2.993299
572.0,168,3.035451
380.0,120,3.066356
476.0,144,3.102416
380.0,120,3.133822
284.0,96,3.158906
572.0,168,3.201282
380.0,120,3.232089
284.0,96,3.789616
476.0,144,3.82647
284.0,96,3.851645
476.0,144,3.888423
380.0,120,3.919554
380.0,120,3.949504
284.0,96,3.974774
572.0,168,4.017347
380.0,120,4.047328
540.0,160,4.087632
284.0,96,4.112167
572.0,168,4.154877
380.0,120,4.186365
284.0,96,4.211293
316.0,104,4.237788
380.0,120,4.268719
284.0,96,4.297321
284.0,96,4.324059
380.0,120,4.354691
380.0,120,4.385778
476.0,144,4.422275
284.0,96,4.447548
284.0,96,4.472442
284.0,96,4.49702
380.0,120,4.527349
284.0,96,4.55249
284.0,96,4.577079
284.0,96,4.601932
604.0,176,4.646556
284.0,96,4.67096
380.0,120,4.702041
636.0,184,4.748354
476.0,144,4.784765
284.0,96,4.809865
284.0,96,4.834283
636.0,184,4.880867
412.0,128,4.912627
476.0,144,4.948702
284.0,96,4.973474
380.0,120,5.004684
380.0,120,5.035759
