#{"t_start": 1721619624.7933414, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
284.0,96,1.339845
284.0,96,1.393085
284.0,96,1.446057
284.0,96,1.498936
284.0,96,1.55184
284.0,96,1.604408
284.0,96,1.657303
284.0,96,1.710044
284.0,96,1.763032
284.0,96,1.815858
284.0,96,3.153023
284.0,96,3.205992
284.0,96,3.259011
284.0,96,3.311816
284.0,96,3.365037
284.0,96,3.418308
284.0,96,3.471457
284.0,96,3.524532
284.0,96,3.57776
284.0,96,3.63061
284.0,96,4.972336
284.0,96,5.024745
284.0,96,5.076954
284.0,96,5.12915
284.0,96,5.18118
284.0,96,5.236355
284.0,96,5.288785
284.0,96,5.340804
284.0,96,5.39288
284.0,96,5.444662
284.0,96,6.77914
284.0,96,6.83159
284.0,96,6.883253
284.0,96,6.93545
284.0,96,6.987396
284.0,96,7.039602
284.0,96,7.091462
284.0,96,7.143341
284.0,96,7.195004
284.0,96,7.246906
284.0,96,8.575073
284.0,96,8.627061
284.0,96,8.678686
284.0,96,8.730214
284.0,96,8.782188
284.0,96,8.833953
284.0,96,8.885703
284.0,96,8.937877
284.0,96,8.989697
284.0,96,9.041646
284.0,96,10.375031
284.0,96,10.426606
284.0,96,10.478281
284.0,96,10.529835
284.0,96,10.581321
284.0,96,10.633595
284.0,96,10.686321
284.0,96,10.743368
284.0,96,10.796136
284.0,96,10.84886
284.0,96,12.193959
284.0,96,12.248512
284.0,96,12.308352
284.0,96,12.362062
284.0,96,12.415467
284.0,96,12.46984
284.0,96,12.521955
284.0,96,12.573408
284.0,96,12.624676
284.0,96,12.676233
284.0,96,14.008538
284.0,96,14.060353
284.0,96,14.111968
284.0,96,14.163571
284.0,96,14.215497
284.0,96,14.267132
284.0,96,14.31863
284.0,96,14.370568
284.0,96,14.42214
284.0,96,14.473776
284.0,96,15.803047
284.0,96,15.855229
284.0,96,15.907212
284.0,96,15.959394
284.0,96,16.01152
284.0,96,16.063516
284.0,96,16.115758
284.0,96,16.16802
284.0,96,16.219924
284.0,96,16.271819
284.0,96,17.596261
284.0,96,17.648559
284.0,96,17.700896
284.0,96,17.752666
284.0,96,17.804528
284.0,96,17.856581
284.0,96,17.908616
284.0,96,17.960723
284.0,96,18.012742
284.0,96,18.064532
284.0,96,19.389115
284.0,96,19.441335
284.0,96,19.493241
284.0,96,19.54567
284.0,96,19.597732
284.0,96,19.650345
284.0,96,19.702463
284.0,96,19.754485
284.0,96,19.806724
284.0,96,19.858332
284.0,96,21.213137
284.0,96,21.265039
284.0,96,21.317002
284.0,96,21.368974
284.0,96,21.420867
284.0,96,21.472811
284.0,96,21.524897
284.0,96,21.576822
284.0,96,21.628554
284.0,96,21.680414
284.0,96,23.028111
284.0,96,23.081205
284.0,96,23.134373
284.0,96,23.187027
284.0,96,23.23986
284.0,96,23.292668
284.0,96,23.345466
284.0,96,23.398393
284.0,96,23.45094
284.0,96,23.503814
284.0,96,24.827851
284.0,96,24.880774
284.0,96,24.933269
284.0,96,24.985731
284.0,96,25.038471
284.0,96,25.091046
284.0,96,25.143536
284.0,96,25.196192
284.0,96,25.248955
284.0,96,25.301681
284.0,96,26.616266
284.0,96,26.668925
284.0,96,26.7217
284.0,96,26.774467
284.0,96,26.826941
284.0,96,26.879797
284.0,96,26.932751
284.0,96,26.985418
284.0,96,27.038048
284.0,96,27.090721
284.0,96,28.417591
284.0,96,28.470312
284.0,96,28.523147
284.0,96,28.576406
284.0,96,28.629445
284.0,96,28.682307
284.0,96,28.734972
284.0,96,28.787801
284.0,96,28.840689
284.0,96,28.893999
284.0,96,30.231992
284.0,96,30.284028
284.0,96,30.337617
284.0,96,30.38915
284.0,96,30.441079
284.0,96,30.493113
284.0,96,30.545384
284.0,96,30.597591
284.0,96,30.649553
284.0,96,30.701843
284.0,96,32.028583
284.0,96,32.081303
284.0,96,32.133943
284.0,96,32.186479
284.0,96,32.238888
284.0,96,32.290825
284.0,96,32.342688
284.0,96,32.394617
284.0,96,32.446778
284.0,96,32.508223
284.0,96,33.826964
284.0,96,33.879765
284.0,96,33.932938
284.0,96,33.986465
284.0,96,34.039752
284.0,96,34.092885
284.0,96,34.145936
284.0,96,34.198954
284.0,96,34.253392
284.0,96,34.305346
284.0,96,35.621075
284.0,96,35.675665
284.0,96,35.727522
284.0,96,35.77937
284.0,96,35.831439
284.0,96,35.883061
284.0,96,35.934494
284.0,96,35.985865
284.0,96,36.037437
284.0,96,36.088775
284.0,96,40.957885
284.0,96,41.009647
284.0,96,41.061482
284.0,96,41.113128
284.0,96,41.164914
284.0,96,41.216718
284.0,96,41.268399
284.0,96,41.320322
284.0,96,41.372191
284.0,96,41.423681
284.0,96,46.318492
284.0,96,46.37122
284.0,96,46.423652
284.0,96,46.476043
284.0,96,46.528478
284.0,96,46.581352
284.0,96,46.633946
284.0,96,46.690414
284.0,96,46.742953
284.0,96,46.794774
284.0,96,51.671819
284.0,96,51.724316
284.0,96,51.77696
284.0,96,51.829342
284.0,96,51.881629
284.0,96,51.934004
380.0,120,51.999235
284.0,96,52.051702
284.0,96,52.103779
284.0,96,52.160206
284.0,96,57.124515
284.0,96,57.176348
284.0,96,57.228101
284.0,96,57.279911
284.0,96,57.33204
284.0,96,57.383958
284.0,96,57.436921
284.0,96,57.489248
284.0,96,57.541692
284.0,96,57.594059
284.0,96,62.449687
284.0,96,62.502101
284.0,96,62.554499
284.0,96,62.606939
284.0,96,62.659176
284.0,96,62.711596
284.0,96,62.764103
284.0,96,62.8164
284.0,96,62.868787
284.0,96,62.921403
380.0,120,67.765048
380.0,120,67.830142
380.0,120,67.894749
476.0,144,67.970996
572.0,168,68.059212
380.0,120,68.123394
572.0,168,68.211968
380.0,120,68.275502
380.0,120,68.339108
284.0,96,68.389971
284.0,96,73.209207
284.0,96,73.261053
284.0,96,73.312965
284.0,96,73.36498
284.0,96,73.416287
284.0,96,73.467802
284.0,96,73.519244
284.0,96,73.570527
