#{"t_start": 1721622080.4537272, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
380.0,120,0.258553
284.0,96,0.335114
380.0,120,0.430901
572.0,168,0.564789
284.0,96,0.640746
284.0,96,0.716844
316.0,104,0.800151
444.0,136,0.906484
380.0,120,1.001673
284.0,96,1.07815
316.0,104,1.1601
380.0,120,1.255441
284.0,96,1.331036
380.0,120,1.425526
284.0,96,1.502603
476.0,144,1.617284
284.0,96,1.693958
476.0,144,1.807388
284.0,96,1.883346
348.0,112,1.97201
380.0,120,2.067851
508.0,152,2.187568
348.0,112,2.276196
380.0,120,2.371472
284.0,96,2.4479
284.0,96,2.523969
476.0,144,2.638383
284.0,96,2.71477
284.0,96,2.791583
380.0,120,2.886126
412.0,128,2.991943
540.0,160,3.120281
284.0,96,3.199589
412.0,128,3.302002
476.0,144,3.416142
348.0,112,5.82833
476.0,144,5.941202
284.0,96,6.016883
284.0,96,6.092278
284.0,96,6.167723
604.0,176,6.305358
284.0,96,6.381286
380.0,120,7.505462
476.0,144,7.618469
380.0,120,7.712723
444.0,136,7.818695
380.0,120,7.912456
380.0,120,8.006845
284.0,96,8.08254
284.0,96,8.157853
636.0,184,8.301597
476.0,144,8.414348
476.0,144,8.527228
284.0,96,8.6031
284.0,96,8.678729
476.0,144,8.79198
892.0,248,8.986277
284.0,96,9.061958
380.0,120,9.155826
316.0,104,9.237175
572.0,168,9.368189
380.0,120,9.46232
284.0,96,9.537822
380.0,120,9.631475
572.0,168,9.763809
476.0,144,9.876749
284.0,96,9.952131
572.0,168,12.404938
476.0,144,12.517398
476.0,144,12.629245
380.0,120,12.722541
476.0,144,12.833999
508.0,152,12.95424
476.0,144,13.0663
380.0,120,13.159881
284.0,96,13.234855
348.0,112,13.321886
572.0,168,13.452903
476.0,144,13.564589
380.0,120,13.658238
380.0,120,16.221111
380.0,120,16.315747
380.0,120,16.410896
284.0,96,16.486599
892.0,248,16.683622
284.0,96,16.759371
572.0,168,16.891619
476.0,144,17.005457
284.0,96,17.081334
604.0,176,17.219204
316.0,104,17.301401
284.0,96,17.377688
412.0,128,17.478413
380.0,120,17.573976
380.0,120,17.669166
284.0,96,17.74507
284.0,96,17.820831
284.0,96,17.896698
476.0,144,20.126342
572.0,168,20.258126
380.0,120,20.353042
380.0,120,20.447006
476.0,144,20.560007
284.0,96,20.635409
348.0,112,20.725459
668.0,192,20.876875
348.0,112,20.964882
380.0,120,21.058855
668.0,192,21.208988
316.0,104,21.29124
380.0,120,21.385737
796.0,224,21.56199
476.0,144,21.674804
380.0,120,21.770437
508.0,152,21.889464
380.0,120,21.98282
476.0,144,22.094398
380.0,120,22.188381
284.0,96,24.014692
284.0,96,24.091174
476.0,144,24.204932
284.0,96,24.281717
284.0,96,24.358388
476.0,144,24.473357
284.0,96,24.549573
572.0,168,24.683384
284.0,96,24.76019
284.0,96,24.837018
476.0,144,24.952088
668.0,192,27.427035
284.0,96,27.502881
1020.0,280,27.723673
636.0,184,27.868749
316.0,104,27.950921
284.0,96,28.025913
284.0,96,28.100775
572.0,168,28.233064
380.0,120,28.327754
444.0,136,28.435892
828.0,232,28.621554
668.0,192,28.774889
476.0,144,28.888691
1276.0,344,29.163752
380.0,120,29.258323
572.0,168,29.391308
572.0,168,29.530647
412.0,128,29.631122
380.0,120,29.724705
444.0,136,29.832618
2100.0,525,30.245581
604.0,176,32.696077
284.0,96,32.771745
508.0,152,32.890939
476.0,144,35.345412
700.0,200,35.502929
476.0,144,35.616638
764.0,216,35.787179
380.0,120,35.881297
284.0,96,35.957233
284.0,96,36.033001
380.0,120,36.127549
348.0,112,36.215438
284.0,96,36.29128
316.0,104,36.3731
476.0,144,36.486819
284.0,96,36.56251
284.0,96,36.639229
348.0,112,36.727989
380.0,120,36.821749
380.0,120,36.915338
284.0,96,36.990253
988.0,272,37.2063
508.0,152,37.326253
476.0,144,37.43864
444.0,136,37.546231
572.0,168,37.679005
284.0,96,37.755296
476.0,144,37.869214
284.0,96,37.944948
284.0,96,38.021194
380.0,120,38.116125
316.0,104,38.197598
444.0,136,38.304342
284.0,96,38.380194
380.0,120,38.474755
476.0,144,40.917067
284.0,96,40.992422
316.0,104,41.074638
476.0,144,41.188137
284.0,96,41.969872
284.0,96,42.045563
604.0,176,42.183913
284.0,96,42.259494
380.0,120,42.354207
284.0,96,42.429599
348.0,112,42.517816
476.0,144,42.630738
284.0,96,42.706326
380.0,120,42.800247
284.0,96,42.87576
284.0,96,42.951137
380.0,120,43.045535
572.0,168,43.176675
284.0,96,43.252378
284.0,96,43.32805
380.0,120,43.42251
284.0,96,43.498177
380.0,120,43.592849
380.0,120,43.686971
380.0,120,43.781717
412.0,128,43.882602
412.0,128,43.983663
284.0,96,44.059368
316.0,104,44.141165
284.0,96,44.216232
284.0,96,44.29143
284.0,96,44.366632
380.0,120,44.459977
540.0,160,44.585079
284.0,96,44.660073
284.0,96,44.73589
284.0,96,47.081668
284.0,96,47.157827
380.0,120,47.252931
316.0,104,47.335275
284.0,96,47.411199
284.0,96,47.487144
284.0,96,47.563044
444.0,136,47.672051
476.0,144,47.785293
476.0,144,47.898442
572.0,168,48.0306
316.0,104,48.111811
316.0,104,48.807494
380.0,120,48.907195
284.0,96,48.982763
284.0,96,49.057853
380.0,120,49.151454
572.0,168,49.283148
284.0,96,49.35868
476.0,144,49.471814
380.0,120,49.565851
284.0,96,49.641563
476.0,144,49.754724
284.0,96,49.830449
284.0,96,49.905868
284.0,96,49.981683
316.0,104,50.063624
380.0,120,50.157999
284.0,96,50.233661
284.0,96,50.30886
284.0,96,50.384471
668.0,192,50.53522
668.0,192,50.685781
380.0,120,50.780177
284.0,96,50.855808
284.0,96,53.197442
636.0,184,53.342705
284.0,96,53.420691
380.0,120,53.51558
284.0,96,53.591074
476.0,144,53.704431
604.0,176,53.842302
284.0,96,53.917995
380.0,120,54.011938
444.0,136,54.118988
380.0,120,54.213489
412.0,128,54.314483
700.0,200,54.47342
348.0,112,54.561286
380.0,120,54.655538
284.0,96,54.730938
284.0,96,54.806541
284.0,96,54.882128
284.0,96,55.583884
284.0,96,55.660505
316.0,104,55.74368
380.0,120,55.839847
284.0,96,55.916446
508.0,152,56.037769
284.0,96,56.114134
316.0,104,56.197069
476.0,144,56.311049
380.0,120,56.406862
380.0,120,56.50272
380.0,120,56.598558
508.0,152,56.719723
508.0,152,56.840984
668.0,192,56.994157
380.0,120,59.414156
572.0,168,59.546324
476.0,144,59.659945
476.0,144,59.773101
284.0,96,59.848634
284.0,96,59.924503
284.0,96,59.999966
284.0,96,60.075891
284.0,96,60.151595
284.0,96,60.227041
284.0,96,60.302433
284.0,96,60.377666
412.0,128,60.477777
380.0,120,60.571824
284.0,96,60.647623
284.0,96,60.723118
476.0,144,60.834888
380.0,120,60.929266
284.0,96,61.004802
380.0,120,61.099109
284.0,96,61.174485
380.0,120,61.269063
284.0,96,61.344963
284.0,96,61.420381
444.0,136,61.527376
284.0,96,61.602721
284.0,96,61.678699
476.0,144,61.79199
380.0,120,62.504919
284.0,96,62.580786
540.0,160,62.70646
284.0,96,62.782619
284.0,96,62.858721
380.0,120,62.953584
284.0,96,63.029606
380.0,120,63.124633
284.0,96,63.201309
284.0,96,65.348014
284.0,96,65.423556
284.0,96,65.499109
636.0,184,65.643905
284.0,96,65.719525
540.0,160,65.844964
476.0,144,65.958109
284.0,96,66.034056
380.0,120,66.128692
284.0,96,66.204441
284.0,96,66.28004
284.0,96,66.355644
380.0,120,66.450223
316.0,104,66.531689
284.0,96,66.607332
284.0,96,66.682655
284.0,96,66.757763
508.0,152,66.877313
380.0,120,66.971778
284.0,96,67.047503
380.0,120,67.142051
284.0,96,67.217752
380.0,120,67.312623
380.0,120,67.407529
380.0,120,67.502213
284.0,96,67.578005
380.0,120,67.672672
316.0,104,67.754888
316.0,104,67.83662
604.0,176,67.976853
284.0,96,68.055874
380.0,120,68.152055
572.0,168,68.285224
284.0,96,68.363167
380.0,120,68.4585
796.0,224,71.332143
284.0,96,71.407907
476.0,144,71.521752
284.0,96,71.597424
412.0,128,71.698146
284.0,96,71.77389
380.0,120,71.868637
380.0,120,71.963053
284.0,96,72.038585
412.0,128,72.139689
284.0,96,72.215303
284.0,96,72.291065
476.0,144,72.403991
284.0,96,72.480398
636.0,184,72.625019
668.0,192,72.776034
348.0,112,72.864091
380.0,120,72.958404
284.0,96,73.034243
284.0,96,73.11024
476.0,144,73.227079
380.0,120,73.323101
476.0,144,73.43827
668.0,192,73.592364
284.0,96,73.668893
284.0,96,73.744274
284.0,96,73.819735
412.0,128,73.920591
476.0,144,74.032895
380.0,120,74.126694
380.0,120,74.220199
380.0,120,74.314369
284.0,96,74.389849
284.0,96,76.636558
284.0,96,76.712395
284.0,96,76.788251
284.0,96,76.863996
284.0,96,76.940077
284.0,96,77.015932
284.0,96,77.091843
284.0,96,77.168448
380.0,120,77.263106
284.0,96,77.954422
284.0,96,78.02989
284.0,96,78.105858
284.0,96,78.181437
284.0,96,78.257039
284.0,96,78.332594
572.0,168,78.464749
284.0,96,78.540497
284.0,96,78.616104
284.0,96,78.691541
284.0,96,78.766995
284.0,96,78.842441
284.0,96,78.918123
476.0,144,79.031575
284.0,96,79.107198
380.0,120,79.202117
284.0,96,79.277818
284.0,96,79.353639
284.0,96,79.42948
284.0,96,79.505179
380.0,120,79.600043
284.0,96,79.675936
284.0,96,79.751542
284.0,96,79.827599
284.0,96,79.903647
284.0,96,79.979366
284.0,96,80.055084
284.0,96,80.130592
284.0,96,80.206074
284.0,96,80.28207
284.0,96,80.357776
284.0,96,80.433342
284.0,96,82.818074
284.0,96,82.897037
284.0,96,82.973713
284.0,96,83.050066
284.0,96,83.126341
284.0,96,83.203027
284.0,96,83.279448
284.0,96,83.356017
284.0,96,83.432538
284.0,96,83.508937
284.0,96,83.585453
284.0,96,83.661986
284.0,96,83.738341
284.0,96,83.814768
284.0,96,83.891327
284.0,96,83.967954
284.0,96,84.044484
284.0,96,84.121163
284.0,96,84.81946
284.0,96,84.89526
284.0,96,84.971146
284.0,96,85.047485
284.0,96,85.123974
284.0,96,85.200268
284.0,96,85.275393
284.0,96,85.350578
284.0,96,85.425749
284.0,96,85.501572
284.0,96,85.577309
284.0,96,85.653208
284.0,96,85.729018
284.0,96,85.804698
284.0,96,85.881684
284.0,96,85.958246
284.0,96,86.035108
284.0,96,86.111623
284.0,96,86.188201
284.0,96,86.264836
284.0,96,86.341466
284.0,96,86.417992
284.0,96,86.494526
284.0,96,86.571172
284.0,96,86.66421
284.0,96,89.040382
284.0,96,89.116647
284.0,96,89.192389
284.0,96,89.268296
284.0,96,89.344238
284.0,96,89.420333
284.0,96,89.496511
284.0,96,89.57221
284.0,96,89.64823
284.0,96,89.724224
284.0,96,89.799977
284.0,96,89.87595
284.0,96,89.951709
284.0,96,90.027282
284.0,96,90.102978
284.0,96,90.178657
284.0,96,90.254676
284.0,96,90.330372
284.0,96,90.406485
284.0,96,90.482616
284.0,96,90.558313
284.0,96,90.633915
284.0,96,90.709496
284.0,96,90.785295
284.0,96,90.861042
284.0,96,90.936482
284.0,96,91.012007
284.0,96,91.737
284.0,96,91.812775
284.0,96,91.888606
