#{"t_start": 1721622080.6035013, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
572.0,168,6.414665
476.0,144,6.507558
380.0,120,6.584632
284.0,96,6.645556
284.0,96,6.70632
284.0,96,6.76733
284.0,96,6.82823
1372.0,368,7.063469
892.0,248,7.222174
572.0,168,7.329618
1532.0,408,13.833719
1564.0,416,14.100388
1340.0,360,14.331847
1820.0,480,14.639718
2100.0,525,14.976566
2100.0,525,15.314068
1372.0,368,15.55095
1404.0,376,15.794602
892.0,248,15.955008
380.0,120,16.032478
988.0,272,22.270497
1532.0,408,22.534445
380.0,120,22.612449
796.0,224,22.7572
636.0,184,22.875978
668.0,192,22.999804
1660.0,440,23.284222
636.0,184,23.402968
604.0,176,23.517078
1916.0,504,23.844317
668.0,192,30.258286
572.0,168,30.365634
2100.0,525,30.699984
2100.0,525,31.034141
1276.0,344,31.252942
2100.0,525,31.594405
1148.0,312,31.792904
1148.0,312,31.991143
668.0,192,32.113693
2100.0,525,32.447988
284.0,96,41.121947
284.0,96,41.183643
284.0,96,41.245237
284.0,96,41.306769
284.0,96,41.368397
284.0,96,41.430321
284.0,96,41.492057
284.0,96,41.553627
284.0,96,41.615326
284.0,96,41.67706
284.0,96,48.032561
284.0,96,48.093725
284.0,96,48.155077
284.0,96,48.216129
284.0,96,48.277406
284.0,96,48.338674
284.0,96,48.399985
284.0,96,48.461217
284.0,96,48.522407
284.0,96,48.583797
284.0,96,54.853695
284.0,96,54.914607
284.0,96,54.975572
316.0,104,55.041571
284.0,96,55.102423
284.0,96,55.164473
284.0,96,55.226627
284.0,96,55.2922
284.0,96,55.354405
284.0,96,55.416162
284.0,96,61.757625
284.0,96,61.819643
284.0,96,61.881483
284.0,96,61.943116
284.0,96,62.004752
284.0,96,62.066337
284.0,96,62.127793
284.0,96,62.189256
284.0,96,62.250729
284.0,96,62.31238
284.0,96,68.39841
284.0,96,68.460081
284.0,96,68.52137
284.0,96,68.582488
284.0,96,68.643789
284.0,96,68.705259
284.0,96,68.766224
284.0,96,68.827441
284.0,96,68.888511
284.0,96,68.949673
284.0,96,77.215899
284.0,96,77.277555
284.0,96,77.338827
284.0,96,77.400168
284.0,96,77.461644
284.0,96,77.523152
284.0,96,77.58419
284.0,96,77.645826
284.0,96,77.707107
284.0,96,77.768423
284.0,96,84.09997
284.0,96,84.161983
284.0,96,84.224354
284.0,96,84.286416
284.0,96,84.348511
284.0,96,84.410526
284.0,96,84.472524
284.0,96,84.534485
284.0,96,84.596283
284.0,96,84.658292
284.0,96,90.995948
284.0,96,91.057175
284.0,96,91.13159
284.0,96,91.207878
284.0,96,91.276376
284.0,96,91.337415
284.0,96,91.398496
284.0,96,91.459583
284.0,96,91.520991
284.0,96,91.581958
284.0,96,97.778275
284.0,96,97.839609
284.0,96,97.900983
284.0,96,97.962375
284.0,96,98.02383
284.0,96,98.085722
284.0,96,98.147393
284.0,96,98.209061
284.0,96,98.271103
284.0,96,98.332688
284.0,96,106.630717
284.0,96,106.692162
284.0,96,106.753436
284.0,96,106.814763
284.0,96,106.875783
284.0,96,106.936716
284.0,96,106.997518
284.0,96,107.058943
284.0,96,107.124466
284.0,96,107.185546
284.0,96,113.300186
284.0,96,113.361557
284.0,96,113.422994
284.0,96,113.484452
284.0,96,113.546369
284.0,96,113.611801
284.0,96,113.673217
284.0,96,113.734748
284.0,96,113.796182
284.0,96,113.857755
284.0,96,120.190361
284.0,96,120.252397
284.0,96,120.314585
284.0,96,120.377025
284.0,96,120.439041
284.0,96,120.50127
284.0,96,120.563576
284.0,96,120.62569
284.0,96,120.687982
284.0,96,120.750189
284.0,96,126.973012
284.0,96,127.03471
284.0,96,127.097324
284.0,96,127.159112
284.0,96,127.222361
284.0,96,127.285387
284.0,96,127.348454
284.0,96,127.410056
284.0,96,127.47348
284.0,96,127.536781
284.0,96,133.780653
284.0,96,133.842923
284.0,96,133.904857
284.0,96,133.966803
284.0,96,134.028756
284.0,96,134.090694
284.0,96,134.152531
284.0,96,134.213523
284.0,96,134.274616
284.0,96,134.335632
284.0,96,142.857777
284.0,96,142.919389
284.0,96,142.98053
284.0,96,143.042034
