#{"t_start": 1721618860.3161688, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,525,0.267421
-0.21,525,0.391985
-0.21,525,0.516075
0.9919,21,0.521991
0.8158,461,0.632608
-0.21,525,0.759448
-0.21,525,0.883092
-0.21,525,1.007611
-0.21,525,1.132667
-0.21,525,1.258793
0.884,290,1.32876
-0.21,525,3.89458
-0.21,525,4.019406
0.8783,305,4.094054
-0.21,525,4.219954
-0.21,525,4.344425
-0.21,525,4.472232
-0.21,525,4.600592
-0.21,525,4.724813
-0.21,525,4.850624
-0.21,525,7.708969
-0.21,525,7.832245
-0.21,525,7.96266
-0.21,525,8.086827
-0.21,525,8.210624
-0.21,525,8.336829
-0.21,525,8.462291
-0.21,525,8.58612
-0.21,525,8.710419
-0.21,525,8.835597
0.8474,382,11.426983
-0.21,525,11.551176
-0.21,525,11.675224
-0.21,525,11.79838
-0.21,525,11.921405
-0.21,525,12.046963
-0.21,525,12.171844
-0.21,525,12.294883
-0.21,525,12.419776
-0.21,525,12.544641
-0.21,525,15.11667
-0.21,525,15.24806
0.9154,212,15.299598
-0.21,525,15.425415
-0.21,525,15.550731
0.804,490,15.66688
0.906,235,15.724389
-0.21,525,15.848401
-0.21,525,15.972094
-0.21,525,16.09487
-0.21,525,16.219255
-0.21,525,19.089234
-0.21,525,19.213783
-0.21,525,19.338564
-0.21,525,19.462414
-0.21,525,19.586653
-0.21,525,19.71102
-0.21,525,19.836624
-0.21,525,19.971332
-0.21,525,20.095968
-0.21,525,22.973042
-0.21,525,23.099491
-0.21,525,23.223855
-0.21,525,23.348569
-0.21,525,23.473293
-0.21,525,23.596407
-0.21,525,23.719214
-0.21,525,23.841353
0.9731,68,23.858392
-0.21,525,23.98165
-0.21,525,26.838576
0.9435,142,26.873956
-0.21,525,26.997183
-0.21,525,27.122279
-0.21,525,27.245597
-0.21,525,27.370004
-0.21,525,27.497354
-0.21,525,27.622902
-0.21,525,27.749917
-0.21,525,27.875728
-0.21,525,28.001951
-0.21,525,30.565319
-0.21,525,30.694135
-0.21,525,30.818382
-0.21,525,30.944219
-0.21,525,31.069515
-0.21,525,31.195443
-0.21,525,31.320277
0.9537,116,31.348974
0.8251,438,31.452164
-0.21,525,31.576069
0.9694,77,31.595338
-0.21,525,34.450712
-0.21,525,34.573642
-0.21,525,34.698352
-0.21,525,34.820911
0.9587,104,34.846476
-0.21,525,34.969989
-0.21,525,35.094192
-0.21,525,35.218577
-0.21,525,35.342509
-0.21,525,35.466297
-0.21,525,38.292061
-0.21,525,38.416356
-0.21,525,38.538684
-0.21,525,38.661925
-0.21,525,38.785944
0.9441,140,38.820081
-0.21,525,38.942861
-0.21,525,39.064912
-0.21,525,39.188149
-0.21,525,39.312637
-0.21,525,39.43753
-0.21,525,42.309598
-0.21,525,42.435606
-0.21,525,42.55991
-0.21,525,42.682743
-0.21,525,42.806128
-0.21,525,42.929257
-0.21,525,43.051808
-0.21,525,43.17539
-0.21,525,43.297953
-0.21,525,46.142941
-0.21,525,46.265453
-0.21,525,46.391757
-0.21,525,46.515448
0.8928,268,46.579599
-0.21,525,46.702675
-0.21,525,46.826416
-0.21,525,46.959751
-0.21,525,47.084623
-0.21,525,47.207198
-0.21,525,50.07705
-0.21,525,50.201692
-0.21,525,50.32467
0.8692,327,50.403955
-0.21,525,50.527939
-0.21,525,50.659173
-0.21,525,50.782788
-0.21,525,50.908452
-0.21,525,51.030609
-0.21,525,51.152407
-0.21,525,53.754477
-0.21,525,53.877234
-0.21,525,53.999921
-0.21,525,54.122145
-0.21,525,54.243643
-0.21,525,54.367075
-0.21,525,54.489501
-0.21,525,54.61102
-0.21,525,54.733343
-0.21,525,54.855477
-0.21,525,57.454252
-0.21,525,57.579691
-0.21,525,57.702688
-0.21,525,57.827715
-0.21,525,57.949969
0.9496,126,57.979963
-0.21,525,58.10224
-0.21,525,58.225781
-0.21,525,58.351055
-0.21,525,58.477806
-0.21,525,61.354154
0.8487,379,61.443649
-0.21,525,61.565507
-0.21,525,61.688745
-0.21,525,61.81178
-0.21,525,61.935618
-0.21,525,62.059084
-0.21,525,62.181088
-0.21,525,62.304533
-0.21,525,62.427165
-0.21,525,65.311298
-0.21,525,65.435135
-0.21,525,65.558835
-0.21,525,65.682243
-0.21,525,65.805433
-0.21,525,65.928981
-0.21,525,66.051526
-0.21,525,66.17524
0.9874,32,66.184036
-0.21,525,66.307231
-0.21,525,68.893917
-0.21,525,69.018667
0.9659,86,69.040095
0.8087,479,69.152909
-0.21,525,69.276788
-0.21,525,69.399468
-0.21,525,69.523908
-0.21,525,69.64597
-0.21,525,69.769128
-0.21,525,69.892921
-0.21,525,70.01623
-0.21,525,72.859547
-0.21,525,72.985314
-0.21,525,73.108296
-0.21,525,73.231312
-0.21,525,73.353632
0.952,120,73.383493
-0.21,525,73.50543
-0.21,525,73.627475
-0.21,525,73.749027
-0.21,525,73.871982
-0.21,525,76.627355
-0.21,525,77.004214
-0.21,525,77.383106
-0.21,525,77.763341
-0.21,525,78.142951
-0.21,525,78.507202
-0.21,525,78.883279
0.9524,119,78.974739
-0.21,525,79.36913
-0.21,525,79.750616
-0.21,525,82.854729
-0.21,525,83.236943
-0.21,525,83.612907
-0.21,525,83.989549
0.941,148,84.096132
-0.21,525,84.479468
-0.21,525,84.871593
-0.21,525,85.2623
-0.21,525,85.648115
-0.21,525,86.027061
-0.21,525,89.000368
-0.21,525,89.379529
-0.21,525,89.759637
-0.21,525,90.141237
-0.21,525,90.527032
-0.21,525,90.909499
-0.21,525,91.292798
-0.21,525,91.674853
-0.21,525,92.060226
-0.21,525,92.446997
-0.21,525,95.542668
-0.21,525,95.923151
-0.21,525,96.310754
-0.21,525,96.693944
-0.21,525,97.07538
-0.21,525,97.45838
-0.21,525,97.847135
-0.21,525,98.236791
-0.21,525,98.628386
-0.21,525,101.774114
-0.21,525,102.165878
-0.21,525,102.560215
-0.21,525,102.949075
-0.21,525,103.334424
-0.21,525,103.72385
-0.21,525,104.115581
-0.21,525,104.502337
-0.21,525,104.886847
-0.21,525,105.288669
-0.21,525,108.41632
-0.21,525,108.818758
-0.21,525,109.217762
-0.21,525,109.603287
-0.21,525,109.991647
-0.21,525,110.382506
-0.21,525,110.777652
-0.21,525,111.200787
-0.21,525,111.608167
-0.21,525,112.002483
-0.21,525,115.14834
-0.21,525,115.542386
-0.21,525,115.944637
-0.21,525,116.341076
-0.21,525,116.732161
0.9055,237,116.910507
-0.21,525,117.309243
-0.21,525,117.697304
-0.21,525,118.094066
-0.21,525,118.486925
-0.21,525,121.606614
0.9425,144,121.717314
0.922,195,121.865791
-0.21,525,122.266381
-0.21,525,122.666193
-0.21,525,123.058569
-0.21,525,123.450381
-0.21,525,123.837791
-0.21,525,124.226928
-0.21,525,124.615615
0.9321,170,124.749513
-0.21,525,127.842389
-0.21,525,128.236926
-0.21,525,128.630789
-0.21,525,129.037701
-0.21,525,129.434249
-0.21,525,129.822137
-0.21,525,130.222045
-0.21,525,130.638976
-0.21,525,131.045849
-0.21,525,131.447469
-0.21,525,134.557442
-0.21,525,134.957053
-0.21,525,135.362934
-0.21,525,135.767524
-0.21,525,136.166028
0.8178,456,136.531272
0.9786,54,136.577339
-0.21,525,136.993417
0.9179,206,137.147967
0.9625,94,137.221543
0.8531,368,137.499269
-0.21,525,137.912683
-0.21,525,140.77507
-0.21,525,141.188324
0.9448,138,141.302821
-0.21,525,141.733852
-0.21,525,142.148444
-0.21,525,142.557312
-0.21,525,142.978114
-0.21,525,143.394058
-0.21,525,143.814162
-0.21,525,144.234227
-0.21,525,147.120736
-0.21,525,147.535239
-0.21,525,147.942019
-0.21,525,148.351423
-0.21,525,148.761296
-0.21,525,149.189868
-0.21,525,149.600563
-0.21,525,150.023767
-0.21,525,150.426644
-0.21,525,150.829588
-0.21,525,153.964727
-0.21,525,154.377495
-0.21,525,154.791801
-0.21,525,155.205308
-0.21,525,155.61261
-0.21,525,156.02366
-0.21,525,156.448532
-0.21,525,156.861751
-0.21,525,157.274541
-0.21,525,160.418162
-0.21,525,160.838292
-0.21,525,161.250114
-0.21,525,161.661679
-0.21,525,162.082467
-0.21,525,162.502764
-0.21,525,162.920711
-0.21,525,163.332432
-0.21,525,163.762429
-0.21,525,164.188213
-0.21,525,167.319387
-0.21,525,167.731115
-0.21,525,168.143796
-0.21,525,168.552921
-0.21,525,168.96902
-0.21,525,169.384802
-0.21,525,169.80331
-0.21,525,170.222018
-0.21,525,170.638107
-0.21,525,173.783618
-0.21,525,174.198884
-0.21,525,174.616458
0.968,80,174.682306
-0.21,525,175.097939
-0.21,525,175.528519
-0.21,525,175.948866
0.9837,41,175.982185
0.9416,146,176.102731
-0.21,525,176.530045
-0.21,525,176.943884
-0.21,525,177.380286
-0.21,525,180.513974
-0.21,525,180.936851
-0.21,525,181.362096
-0.21,525,181.794769
-0.21,525,182.224828
-0.21,525,182.655075
-0.21,525,183.079982
-0.21,525,183.512408
0.8414,397,183.840672
-0.21,525,184.269374
-0.21,525,187.420789
-0.21,525,187.852005
-0.21,525,188.274651
-0.21,525,188.687905
-0.21,525,189.100854
-0.21,525,189.522177
-0.21,525,189.960189
-0.21,525,190.37666
-0.21,525,190.804872
-0.21,525,191.226978
0.9291,178,194.104033
0.7944,514,194.512125
0.7968,508,194.930225
-0.21,525,195.355048
-0.21,525,195.77888
-0.21,525,196.206707
-0.21,525,196.629768
-0.21,525,197.061046
-0.21,525,197.487809
-0.21,525,197.917246
-0.21,525,201.200121
-0.21,525,201.631132
-0.21,525,202.060039
-0.21,525,202.496079
0.9615,97,202.580888
-0.21,525,203.006689
-0.21,525,203.433746
-0.21,525,203.869426
0.919,203,204.03725
-0.21,525,204.463439
-0.21,525,204.892734
-0.21,525,207.287424
-0.21,525,207.735886
-0.21,525,208.169184
0.9368,158,208.302438
-0.21,525,208.729486
-0.21,525,209.161076
-0.21,525,209.60727
-0.21,525,210.038909
-0.21,525,210.484545
0.9037,241,210.691426
-0.21,525,211.136362
-0.21,525,213.883084
-0.21,525,214.33463
-0.21,525,214.763663
0.9949,13,214.777332
-0.21,525,215.212363
-0.21,525,215.658714
-0.21,525,216.093189
0.9907,24,216.114885
-0.21,525,216.557539
-0.21,525,217.008223
-0.21,525,217.449767
-0.21,525,220.625922
-0.21,525,221.058045
-0.21,525,221.498792
0.9774,57,221.547012
-0.21,525,221.985277
-0.21,525,222.428071
-0.21,525,222.881143
-0.21,525,223.329769
-0.21,525,223.782189
-0.21,525,224.212373
-0.21,525,227.409511
-0.21,525,227.838822
-0.21,525,228.281089
-0.21,525,228.747975
-0.21,525,229.199192
-0.21,525,229.636585
-0.21,525,230.063191
0.8746,314,230.326774
-0.21,525,230.7598
-0.21,525,231.204161
-0.21,525,234.377554
-0.21,525,234.809232
0.9894,27,234.833675
-0.21,525,235.285503
-0.21,525,235.734514
0.8591,353,236.031568
-0.21,525,236.474826
-0.21,525,236.913415
-0.21,525,237.349584
-0.21,525,237.78835
-0.21,525,238.230865
-0.21,525,241.106884
-0.21,525,241.542576
-0.21,525,241.976997
-0.21,525,242.41589
-0.21,525,242.854539
-0.21,525,243.290452
0.8147,464,243.674932
-0.21,525,244.114172
-0.21,525,244.558259
-0.21,525,245.001301
-0.21,525,247.939239
-0.21,525,248.383219
-0.21,525,248.83081
0.9095,227,249.022438
-0.21,525,249.461461
-0.21,525,249.900076
-0.21,525,250.340315
-0.21,525,250.798985
-0.21,525,251.247298
-0.21,525,251.702701
-0.21,525,254.950581
-0.21,525,255.410105
-0.21,525,255.863139
-0.21,525,256.316155
-0.21,525,256.767417
0.8938,266,257.002502
0.9966,9,257.010836
-0.21,525,257.463364
-0.21,525,257.917385
-0.21,525,258.372883
-0.21,525,258.829447
-0.21,525,261.989809
-0.21,525,262.439176
-0.21,525,262.890012
-0.21,525,263.338465
0.9953,12,263.349961
0.981,48,263.393208
-0.21,525,263.843942
-0.21,525,264.297262
0.8302,425,264.664996
-0.21,525,265.117391
-0.21,525,265.573781
-0.21,525,268.756855
-0.21,525,269.213846
-0.21,525,269.668153
-0.21,525,270.125742
-0.21,525,270.585808
0.9817,46,270.627805
-0.21,525,271.079916
-0.21,525,271.532131
0.9894,27,271.557691
-0.21,525,272.011243
0.9339,166,272.156718
-0.21,525,272.608503
-0.21,525,273.06276
-0.21,525,276.250751
-0.21,525,276.70339
-0.21,525,277.17534
-0.21,525,277.636747
-0.21,525,278.091641
-0.21,525,278.550785
0.9883,30,278.578345
0.9928,18,278.59642
-0.21,525,279.051815
-0.21,525,279.51065
-0.21,525,279.966161
-0.21,525,283.158474
-0.21,525,283.613899
0.9837,41,283.650378
-0.21,525,284.115326
-0.21,525,284.571112
-0.21,525,285.028273
0.9773,57,285.078781
-0.21,525,285.539567
-0.21,525,285.998205
-0.21,525,286.462238
-0.21,525,286.92451
-0.21,525,290.130602
-0.21,525,290.587449
-0.21,525,291.053258
-0.21,525,291.518465
-0.21,525,291.985088
-0.21,525,292.458784
-0.21,525,292.931391
-0.21,525,293.392481
-0.21,525,293.852441
-0.21,525,294.326236
-0.21,525,297.510659
0.8693,327,297.801005
-0.21,525,298.268402
-0.21,525,298.736206
-0.21,525,299.206725
-0.21,525,299.66609
-0.21,525,300.113756
-0.21,525,300.573448
-0.21,525,301.031228
-0.21,525,301.485354
-0.21,525,304.662569
-0.21,525,305.129282
0.9566,109,305.229286
0.9961,10,305.238651
-0.21,525,305.715422
0.936,160,305.857483
-0.21,525,306.322842
-0.21,525,306.809463
-0.21,525,307.274214
-0.21,525,307.732041
-0.21,525,308.207033
0.9327,169,308.357126
-0.21,525,311.536896
-0.21,525,312.000191
-0.21,525,312.458329
-0.21,525,312.91159
-0.21,525,313.364502
-0.21,525,313.821924
