#{"t_start": 1721618860.4486358, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,525,1.475569
-0.21,525,1.744966
-0.21,525,2.014731
-0.21,525,2.284861
-0.21,525,2.555301
-0.21,525,2.82477
-0.21,525,3.093839
0.9965,9,3.099558
-0.21,525,3.36889
-0.21,525,3.638618
-0.21,525,5.120982
-0.21,525,5.397081
-0.21,525,5.671871
-0.21,525,5.947046
-0.21,525,6.220915
-0.21,525,6.493532
-0.21,525,6.763792
-0.21,525,7.033861
-0.21,525,7.303428
-0.21,525,7.574164
-0.21,525,9.045063
-0.21,525,9.321578
-0.21,525,9.595716
-0.21,525,9.870172
-0.21,525,10.14605
0.9747,64,10.180194
-0.21,525,10.451913
-0.21,525,10.722721
-0.21,525,10.995157
-0.21,525,11.26534
-0.21,525,12.72553
-0.21,525,12.997719
-0.21,525,13.26798
-0.21,525,13.539014
-0.21,525,13.808937
-0.21,525,14.078295
-0.21,525,14.347816
0.9947,14,14.356065
-0.21,525,14.626235
-0.21,525,14.898551
-0.21,525,16.368625
-0.21,525,16.648431
-0.21,525,16.920935
-0.21,525,17.192413
-0.21,525,17.465901
-0.21,525,17.746306
-0.21,525,18.017708
-0.21,525,18.290224
-0.21,525,18.563751
-0.21,525,18.839466
-0.21,525,20.312498
-0.21,525,20.588182
-0.21,525,20.862348
-0.21,525,21.136345
-0.21,525,21.409613
-0.21,525,21.68326
-0.21,525,21.957748
-0.21,525,22.230801
-0.21,525,22.505537
-0.21,525,22.780957
-0.21,525,24.242426
-0.21,525,24.514566
-0.21,525,24.787307
-0.21,525,25.061872
-0.21,525,25.33455
-0.21,525,25.608881
-0.21,525,25.882447
-0.21,525,26.155168
-0.21,525,26.428724
-0.21,525,26.701427
-0.21,525,28.169873
-0.21,525,28.440013
-0.21,525,28.70942
-0.21,525,28.977641
-0.21,525,29.245446
-0.21,525,29.514625
-0.21,525,29.784035
-0.21,525,30.054228
-0.21,525,30.326241
0.9941,15,30.335344
-0.21,525,31.806443
-0.21,525,32.078563
-0.21,525,32.354259
-0.21,525,32.627141
-0.21,525,32.899364
-0.21,525,33.171359
-0.21,525,33.442826
-0.21,525,33.714593
-0.21,525,33.986411
-0.21,525,34.258008
-0.21,525,35.712629
-0.21,525,35.987243
-0.21,525,36.257028
-0.21,525,36.526999
-0.21,525,36.797385
-0.21,525,37.067825
-0.21,525,37.337742
-0.21,525,37.606788
-0.21,525,37.874875
-0.21,525,38.142382
-0.21,525,39.599997
-0.21,525,39.873249
-0.21,525,40.146878
-0.21,525,40.419121
-0.21,525,40.691875
-0.21,525,40.9649
-0.21,525,41.237744
-0.21,525,41.514573
-0.21,525,41.788065
-0.21,525,42.06777
-0.21,525,43.516918
-0.21,525,43.788095
-0.21,525,44.05832
-0.21,525,44.328537
-0.21,525,44.598854
-0.21,525,44.870049
-0.21,525,45.148524
-0.21,525,45.41893
-0.21,525,45.691317
-0.21,525,45.964701
-0.21,525,47.432801
-0.21,525,47.707324
