#{"t_start": 1721620902.334139, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,525,0.562061
-0.21,525,0.965895
0.8131,468,1.32469
-0.21,525,1.72501
-0.21,525,2.125888
-0.21,525,2.539177
-0.21,525,2.944843
0.9016,246,3.133773
-0.21,525,3.536683
-0.21,525,3.945079
-0.21,525,7.638191
-0.21,525,8.044015
-0.21,525,8.447537
-0.21,525,8.8513
-0.21,525,9.253438
-0.21,525,9.656693
-0.21,525,14.55679
-0.21,525,14.960029
-0.21,525,15.365
-0.21,525,18.980253
-0.21,525,19.384934
-0.21,525,19.787684
-0.21,525,20.188401
-0.21,525,20.589699
-0.21,525,20.991055
-0.21,525,21.392295
0.9484,129,21.492878
-0.21,525,21.896614
0.9029,243,22.083186
-0.21,525,22.486419
-0.21,525,26.176368
-0.21,525,26.581954
0.9437,141,26.691797
-0.21,525,31.727021
-0.21,525,32.132
-0.21,525,32.53529
0.8227,444,32.878429
-0.21,525,33.280071
-0.21,525,33.682259
-0.21,525,34.083317
-0.21,525,37.731388
-0.21,525,38.135018
-0.21,525,38.536504
-0.21,525,38.937343
-0.21,525,39.339806
0.7996,501,39.723337
-0.21,525,40.125985
-0.21,525,40.528521
-0.21,525,40.932774
-0.21,525,45.735668
-0.21,525,49.407217
0.9246,189,49.553822
-0.21,525,49.955207
-0.21,525,50.358
-0.21,525,50.764425
-0.21,525,51.172342
-0.21,525,51.575496
-0.21,525,51.97708
-0.21,525,52.379081
-0.21,525,52.780256
-0.21,525,56.418778
-0.21,525,56.81928
-0.21,525,57.221681
0.9659,86,57.289094
-0.21,525,57.691278
-0.21,525,58.091971
-0.21,525,62.993217
-0.21,525,63.400378
-0.21,525,63.811939
-0.21,525,64.213705
-0.21,525,64.615614
0.9087,229,68.044523
-0.21,525,68.447201
-0.21,525,68.850775
-0.21,525,69.255175
-0.21,525,69.658376
-0.21,525,70.063357
-0.21,525,70.465188
-0.21,525,70.865769
-0.21,525,71.266468
0.9531,118,71.357452
-0.21,525,75.00939
-0.21,525,75.409975
-0.21,525,80.27863
-0.21,525,80.683509
0.817,458,81.036167
-0.21,525,81.439447
-0.21,525,81.843536
-0.21,525,82.246703
-0.21,525,82.648714
-0.21,525,83.052233
-0.21,525,86.729523
-0.21,525,87.135449
-0.21,525,87.539119
-0.21,525,87.942194
-0.21,525,88.345098
0.9873,32,88.370621
-0.21,525,88.772553
-0.21,525,89.175806
-0.21,525,89.580992
-0.21,525,94.511523
-0.21,525,98.164142
-0.21,525,98.569639
-0.21,525,98.975156
-0.21,525,99.380656
0.9078,231,99.560367
-0.21,525,99.966994
-0.21,525,100.370959
-0.21,525,100.780149
-0.21,525,101.188107
-0.21,525,101.595596
-0.21,525,102.007665
-0.21,525,105.92894
-0.21,525,106.331859
-0.21,525,106.735012
-0.21,525,107.137245
-0.21,525,111.929886
-0.21,525,112.333755
-0.21,525,112.743191
0.9303,175,112.879097
-0.21,525,113.28178
-0.21,525,113.689944
-0.21,525,117.352125
-0.21,525,117.754621
-0.21,525,118.158396
-0.21,525,118.560295
-0.21,525,118.963573
-0.21,525,119.380422
-0.21,525,119.788424
-0.21,525,120.193133
0.8384,404,120.507997
-0.21,525,120.932199
-0.21,525,124.609447
-0.21,525,129.440888
-0.21,525,129.850955
-0.21,525,130.267076
-0.21,525,130.675674
-0.21,525,131.082953
-0.21,525,131.483372
-0.21,525,131.887162
-0.21,525,132.290943
0.8065,484,135.91907
-0.21,525,136.322998
-0.21,525,136.727436
-0.21,525,137.129967
0.8628,343,137.39496
0.8927,269,137.601745
-0.21,525,138.005227
-0.21,525,138.408815
0.9379,156,138.53061
-0.21,525,143.621184
-0.21,525,144.02554
-0.21,525,147.724343
-0.21,525,148.138979
-0.21,525,148.545726
-0.21,525,148.948699
-0.21,525,149.350861
-0.21,525,149.75579
-0.21,525,150.157399
-0.21,525,150.56146
-0.21,525,150.965484
-0.21,525,151.367884
-0.21,525,155.035062
-0.21,525,155.44205
-0.21,525,155.843638
-0.21,525,160.754956
-0.21,525,161.162684
-0.21,525,161.565621
-0.21,525,161.96934
-0.21,525,162.370352
-0.21,525,162.774482
-0.21,525,166.425376
-0.21,525,166.827151
-0.21,525,167.227777
-0.21,525,167.629403
-0.21,525,168.031664
-0.21,525,168.437462
-0.21,525,168.84136
-0.21,525,169.243831
-0.21,525,169.647417
-0.21,525,170.049713
-0.21,525,177.773899
-0.21,525,178.178275
-0.21,525,178.581192
-0.21,525,178.984038
-0.21,525,179.388726
-0.21,525,179.792757
-0.21,525,180.195983
-0.21,525,180.598625
-0.21,525,181.001971
-0.21,525,184.700504
-0.21,525,185.108078
-0.21,525,185.516365
-0.21,525,185.924546
-0.21,525,186.333134
-0.21,525,186.740819
-0.21,525,187.175467
0.9589,103,191.532659
-0.21,525,191.940445
0.8072,482,192.316047
-0.21,525,192.724162
-0.21,525,196.125236
-0.21,525,196.532972
-0.21,525,196.942301
-0.21,525,197.350018
-0.21,525,197.758775
-0.21,525,198.168231
-0.21,525,198.575897
-0.21,525,198.986326
-0.21,525,199.394419
-0.21,525,203.088601
-0.21,525,203.496711
-0.21,525,203.905487
-0.21,525,208.752415
0.9401,150,208.869124
-0.21,525,209.271615
-0.21,525,209.67502
-0.21,525,210.079392
-0.21,525,210.485191
-0.21,525,210.890334
-0.21,525,214.534222
-0.21,525,214.941136
-0.21,525,215.34437
-0.21,525,215.747349
-0.21,525,216.150047
-0.21,525,216.554627
-0.21,525,216.957349
-0.21,525,217.363146
-0.21,525,217.768658
-0.21,525,222.679418
-0.21,525,226.390617
0.9776,56,226.435915
-0.21,525,226.847932
0.9877,31,226.873401
-0.21,525,227.285453
-0.21,525,227.696785
-0.21,525,228.102886
-0.21,525,228.504856
0.9677,81,228.567507
-0.21,525,228.970087
-0.21,525,229.370912
-0.21,525,229.773
-0.21,525,233.402915
-0.21,525,233.811481
-0.21,525,234.219151
-0.21,525,234.625894
-0.21,525,235.036524
-0.21,525,235.448663
-0.21,525,240.296896
-0.21,525,240.709154
-0.21,525,241.118663
-0.21,525,241.52168
-0.21,525,244.99736
-0.21,525,245.40569
-0.21,525,245.814471
-0.21,525,246.223138
-0.21,525,246.632007
-0.21,525,247.042045
-0.21,525,247.44958
-0.21,525,247.860865
-0.21,525,248.268379
-0.21,525,251.979338
-0.21,525,252.388012
-0.21,525,257.429014
-0.21,525,257.838926
-0.21,525,258.24759
-0.21,525,258.655711
-0.21,525,259.065134
-0.21,525,259.473123
-0.21,525,259.881158
-0.21,525,260.28754
-0.21,525,263.975534
-0.21,525,264.383522
-0.21,525,264.792764
-0.21,525,265.198734
-0.21,525,265.606581
-0.21,525,266.015715
-0.21,525,266.424154
-0.21,525,266.832222
-0.21,525,271.647641
-0.21,525,275.296142
-0.21,525,275.703204
-0.21,525,276.109662
-0.21,525,276.509958
0.9846,39,276.541085
-0.21,525,276.944438
-0.21,525,277.348583
-0.21,525,277.75186
-0.21,525,278.157558
-0.21,525,278.563658
-0.21,525,278.967585
-0.21,525,282.624476
-0.21,525,283.028019
-0.21,525,283.429605
-0.21,525,283.830871
-0.21,525,288.702459
-0.21,525,289.107611
-0.21,525,289.513956
-0.21,525,289.929118
-0.21,525,290.332961
-0.21,525,293.975022
-0.21,525,294.385878
-0.21,525,294.794662
-0.21,525,295.200577
-0.21,525,295.608201
-0.21,525,296.017322
-0.21,525,296.426102
-0.21,525,296.832482
-0.21,525,297.24238
-0.21,525,297.647316
-0.21,525,301.129262
-0.21,525,305.827567
-0.21,525,306.232423
-0.21,525,306.637425
-0.21,525,307.043529
-0.21,525,307.446623
-0.21,525,307.849816
-0.21,525,308.255435
-0.21,525,308.660025
-0.21,525,312.067733
0.9232,192,312.217793
-0.21,525,312.625511
-0.21,525,313.034168
-0.21,525,313.440345
-0.21,525,313.847521
-0.21,525,314.254935
-0.21,525,314.662945
-0.21,525,319.551948
-0.21,525,319.957484
-0.21,525,323.142066
-0.21,525,323.560176
-0.21,525,323.975466
-0.21,525,324.385325
-0.21,525,324.789491
-0.21,525,325.195216
-0.21,525,325.598761
0.9515,122,325.692924
-0.21,525,326.097056
-0.21,525,326.499626
-0.21,525,326.901691
-0.21,525,330.287422
-0.21,525,330.697688
-0.21,525,331.105247
-0.21,525,331.511061
-0.21,525,336.349386
-0.21,525,336.755234
-0.21,525,337.160698
-0.21,525,337.565763
0.9348,163,337.692743
-0.21,525,338.111932
-0.21,525,341.817009
-0.21,525,342.227809
-0.21,525,342.634701
-0.21,525,343.043004
0.9864,34,343.070648
-0.21,525,343.476912
-0.21,525,343.88588
-0.21,525,344.293912
-0.21,525,344.701584
-0.21,525,345.108979
-0.21,525,348.769238
-0.21,525,353.581813
-0.21,525,353.986587
-0.21,525,354.389421
-0.21,525,354.793717
-0.21,525,355.199389
-0.21,525,355.602564
-0.21,525,356.007082
-0.21,525,356.409267
-0.21,525,356.811016
-0.21,525,360.483847
-0.21,525,360.888392
-0.21,525,361.292329
-0.21,525,361.698439
-0.21,525,362.106141
0.9753,62,362.155718
-0.21,525,362.564436
-0.21,525,367.314138
-0.21,525,367.7284
-0.21,525,368.132422
-0.21,525,371.843699
