#{"t_start": 1721620902.4824007, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,525,4.193827
-0.21,525,4.526478
-0.21,525,4.854096
-0.21,525,5.180867
-0.21,525,5.509914
-0.21,525,5.837002
-0.21,525,6.164064
-0.21,525,6.490928
-0.21,525,6.817526
-0.21,525,7.145614
-0.21,525,15.813001
-0.21,525,16.133082
-0.21,525,16.455695
-0.21,525,16.775655
-0.21,525,17.096937
-0.21,525,17.419744
-0.21,525,17.738913
-0.21,525,18.058158
-0.21,525,18.378561
-0.21,525,18.704981
-0.21,525,22.870395
-0.21,525,23.207979
-0.21,525,23.535179
-0.21,525,23.864661
-0.21,525,24.192643
-0.21,525,24.517853
-0.21,525,24.843356
-0.21,525,25.172626
-0.21,525,25.497211
-0.21,525,25.824139
-0.21,525,34.626954
-0.21,525,34.949155
-0.21,525,35.271848
-0.21,525,35.594145
-0.21,525,35.91616
-0.21,525,36.238115
-0.21,525,36.562855
-0.21,525,36.892879
-0.21,525,37.213316
-0.21,525,37.546794
-0.21,525,46.109039
-0.21,525,46.436862
-0.21,525,46.767962
-0.21,525,47.094451
-0.21,525,47.423951
-0.21,525,47.749822
-0.21,525,48.075331
-0.21,525,48.401979
-0.21,525,48.723189
-0.21,525,49.04886
-0.21,525,53.215269
-0.21,525,53.53996
-0.21,525,53.86485
-0.21,525,54.188061
-0.21,525,54.510968
-0.21,525,54.837478
-0.21,525,55.159989
-0.21,525,55.482729
-0.21,525,55.804895
-0.21,525,56.128039
-0.21,525,64.796868
-0.21,525,65.123918
-0.21,525,65.447555
-0.21,525,65.775378
-0.21,525,66.099956
-0.21,525,66.423836
-0.21,525,66.749552
-0.21,525,67.075072
-0.21,525,67.398142
-0.21,525,67.721913
-0.21,525,71.878219
-0.21,525,72.20261
-0.21,525,72.524858
-0.21,525,72.852442
-0.21,525,73.175649
-0.21,525,73.503332
-0.21,525,73.827243
-0.21,525,74.154257
-0.21,525,74.479673
-0.21,525,74.807139
-0.21,525,83.43942
-0.21,525,83.766331
-0.21,525,84.090525
-0.21,525,84.420636
-0.21,525,84.748495
-0.21,525,85.074802
-0.21,525,85.402837
-0.21,525,85.731672
-0.21,525,86.056401
-0.21,525,86.381997
-0.21,525,95.084548
-0.21,525,95.407858
