#{"t_start": 1718610655.1348627, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,342,12.991725
0.0,312,13.541317
1.0,334,14.112801
0.0,238,14.542116
0.0,386,15.539594
0.0,286,16.034395
0.0,364,16.652288
1.0,426,17.394458
0.0,364,18.025758
2.0,454,18.839451
-1.0,308,19.368144
1.0,378,20.015608
0.0,252,20.469193
0.0,318,21.067259
1.0,298,21.566293
2.0,434,22.319563
1.0,318,22.879586
0.0,350,23.482082
0.0,246,23.92394
0.0,284,24.426598
1.0,344,25.063093
0.0,326,25.66757
1.0,332,26.237796
0.0,290,26.743896
1.0,330,27.329154
0.0,252,27.773023
1.0,418,28.496478
0.0,374,29.12855
2.0,406,29.831722
0.0,324,30.464849
0.0,258,30.914583
0.0,268,31.395998
1.0,366,32.050909
0.0,340,32.645071
0.0,344,33.289585
0.0,302,33.826635
1.0,308,34.352883
0.0,234,34.746606
0.0,230,35.156103
1.0,370,35.817637
0.0,250,36.272177
-1.0,254,36.702677
2.0,370,37.340317
0.0,248,37.757464
0.0,322,38.304285
-1.0,288,38.804223
1.0,350,39.435438
0.0,328,40.01198
-1.0,262,40.503305
-1.0,336,41.096375
0.0,262,41.560142
0.0,302,42.075807
0.0,314,42.602942
0.0,298,43.101149
-1.0,288,43.592146
0.0,366,44.24241
-1.0,232,44.657969
2.0,430,45.44069
-1.0,272,45.920544
1.0,292,46.417624
0.0,310,46.951518
1.0,304,47.476392
0.0,352,48.067342
0.0,244,48.50272
0.0,240,48.927502
-1.0,362,49.571421
0.0,320,50.132073
0.0,304,50.655267
-1.0,230,51.060357
0.0,252,51.498889
0.0,302,52.004454
1.0,394,52.68297
0.0,256,53.141373
0.0,220,53.535609
0.0,226,53.934409
0.0,338,54.549234
1.0,318,55.096285
0.0,272,55.567415
1.0,286,56.044898
0.0,248,56.47896
0.0,300,56.993275
1.0,244,57.435651
0.0,284,57.935825
1.0,342,58.54678
-1.0,282,59.052098
-1.0,216,59.425636
1.0,376,60.058521
1.0,370,60.692543
3.0,458,61.464232
0.0,352,62.082316
1.0,330,62.659411
2.0,390,63.364281
-1.0,286,63.870764
0.0,320,64.418496
1.0,322,64.980501
0.0,414,65.712779
0.0,348,66.32407
0.0,264,66.809072
1.0,330,67.411798
0.0,370,68.075348
0.0,276,68.558089
0.0,276,69.017631
0.0,240,69.425411
0.0,298,69.930001
1.0,372,70.573313
1.0,398,71.282652
-1.0,272,71.780172
-1.0,226,72.19595
0.0,330,72.771181
0.0,226,73.165448
0.0,294,73.672737
-1.0,256,74.110653
0.0,220,74.499708
0.0,206,74.875853
0.0,326,75.463259
0.0,240,75.898817
-1.0,292,76.438514
0.0,286,76.936466
0.0,304,77.464226
0.0,238,77.877806
1.0,282,78.380082
1.0,458,79.170309
-1.0,226,79.581401
0.0,348,80.220912
1.0,398,80.936824
-1.0,282,81.432161
-1.0,230,81.827425
0.0,228,82.220904
0.0,280,82.713343
-1.0,322,83.26795
1.0,362,83.910548
0.0,328,84.51339
-1.0,260,84.987201
0.0,274,85.462978
3.0,454,86.227631
0.0,368,86.866261
0.0,350,87.454004
0.0,198,87.800423
0.0,328,88.357113
0.0,342,88.947376
-1.0,256,89.394599
0.0,268,89.865502
1.0,328,90.477458
0.0,304,91.01448
0.0,322,91.604224
0.0,266,92.068962
1.0,410,92.771337
1.0,336,93.337786
0.0,266,93.795212
0.0,320,94.336444
-1.0,274,94.812357
0.0,246,95.255186
0.0,288,95.784645
1.0,404,96.536422
1.0,344,97.129044
0.0,266,97.589041
0.0,296,98.109085
-1.0,322,98.66656
0.0,242,99.08256
1.0,400,99.801742
1.0,338,100.404472
4.0,498,101.305298
0.0,342,101.904818
0.0,374,102.548348
1.0,360,103.172823
-1.0,212,103.562164
0.0,250,104.023884
1.0,296,104.561964
1.0,310,105.123721
0.0,236,105.529437
0.0,298,106.04755
0.0,320,106.591818
0.0,236,107.000381
-1.0,224,107.376138
0.0,216,107.752734
0.0,326,108.334154
1.0,340,108.944462
0.0,360,109.599152
0.0,302,110.137761
0.0,222,110.524125
1.0,334,111.107537
-1.0,286,111.605923
0.0,320,112.16403
1.0,342,112.766243
-1.0,362,113.424754
1.0,358,114.099037
0.0,290,114.597067
1.0,306,115.139231
1.0,384,115.823249
1.0,328,116.402688
0.0,280,116.900898
0.0,330,117.491903
0.0,286,118.030095
0.0,300,118.556822
0.0,350,119.160231
0.0,264,119.621557
-1.0,256,120.078057
0.0,286,120.573368
0.0,240,120.989113
1.0,306,121.53721
2.0,450,122.370847
0.0,300,122.891269
1.0,308,123.431216
0.0,362,124.057
1.0,288,124.565084
-1.0,304,125.127847
0.0,364,125.815049
1.0,278,126.343699
-1.0,278,126.843971
-1.0,244,127.28199
1.0,362,127.921286
2.0,427,128.661753
0.0,330,129.25815
-1.0,274,129.769297
0.0,262,130.256973
0.0,212,130.674537
1.0,306,131.248747
1.0,306,131.790985
1.0,264,132.250815
0.0,322,132.791937
0.0,358,133.428813
0.0,226,133.828653
0.0,300,134.353125
