#{"t_start": 1720427368.0336993, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
1.0,102,1.455019
0.0,56,1.491982
0.0,74,1.540547
3.0,90,1.599447
1.0,71,1.646254
0.0,80,1.698888
1.0,66,1.741506
1.0,87,1.797845
1.0,112,1.869837
0.0,80,1.931392
1.0,88,3.370466
0.0,68,3.415882
2.0,102,3.482934
0.0,73,3.531399
0.0,57,3.569245
0.0,63,3.611075
1.0,75,3.660851
0.0,88,3.718903
0.0,61,3.759347
0.0,73,3.807477
0.0,57,11.733459
1.0,92,11.794774
0.0,72,11.84316
0.0,68,11.888266
0.0,79,11.940539
0.0,85,11.996699
0.0,75,12.046074
0.0,63,12.087777
1.0,88,12.14593
0.0,57,12.18365
3.0,104,21.074528
2.0,70,21.120469
0.0,81,21.173331
1.0,96,21.235816
2.0,120,21.314136
0.0,67,21.357957
0.0,69,21.403125
1.0,64,21.445103
0.0,65,21.487715
3.0,103,21.555265
2.0,74,30.94293
0.0,76,30.993189
2.0,72,31.0404
1.0,73,31.088084
0.0,82,31.141797
0.0,78,31.192708
0.0,65,31.235201
1.0,59,31.273883
1.0,112,31.346958
2.0,84,31.401926
1.0,74,40.876599
4.0,117,40.954612
1.0,89,41.014116
3.0,114,41.090554
3.0,112,41.16558
5.0,127,41.250561
5.0,137,41.341696
0.0,53,41.37676
5.0,122,41.456604
1.0,54,41.492166
5.0,138,51.040684
4.0,141,51.135183
6.0,157,51.240409
5.0,146,51.337559
5.0,127,51.422522
4.0,115,51.498666
6.0,142,51.592708
6.0,141,51.687386
6.0,165,51.798404
3.0,112,51.873534
1.0,84,61.258258
1.0,78,61.31231
0.0,64,61.354083
1.0,77,61.40442
3.0,93,61.464919
0.0,58,61.502753
0.0,60,61.541908
0.0,70,61.587504
1.0,62,61.627962
0.0,56,61.664602
3.0,107,71.249683
5.0,121,71.328452
0.0,79,71.379581
1.0,75,71.428217
1.0,84,71.482717
0.0,80,71.534548
2.0,100,71.599304
2.0,70,71.645087
1.0,118,71.721259
3.0,99,71.784844
8.0,168,81.336044
9.0,180,81.454603
10.0,177,81.569635
7.0,172,81.685394
5.0,142,81.782071
6.0,144,81.880292
9.0,155,81.985464
5.0,133,82.07375
7.0,182,82.191602
7.0,149,82.289349
3.0,90,91.88324
4.0,132,91.969259
5.0,111,92.041866
9.0,155,92.14277
7.0,170,92.253553
7.0,121,92.336248
4.0,83,92.390655
5.0,142,92.482983
6.0,127,92.565291
6.0,142,92.657001
5.0,114,102.166816
6.0,131,102.254737
5.0,150,102.355563
7.0,205,102.49188
7.0,136,102.581625
2.0,68,102.626733
9.0,171,102.742048
4.0,154,102.842594
0.0,58,102.880632
5.0,126,102.962593
2.0,63,103.010647
7.0,147,103.106058
2.0,91,103.166034
8.0,182,103.284047
5.0,134,103.370918
1.0,58,103.408808
3.0,90,103.467227
7.0,171,103.577728
0.0,63,103.618724
1.0,71,103.665077
71,5.767213
0.0,77,5.885096
0.0,97,6.028087
0.0,70,6.137204
0.0,69,6.240175
2.0,85,6.367286
3.0,104,6.524692
0.0,98,6.675406
2.0,94,6.823195
0.0,87,6.95726
1.0,93,7.101045
0.0,75,7.216652
0.0,81,7.337679
0.0,70,7.442897
0.0,64,7.539236
4.0,125,7.73447
1.0,77,7.855412
1.0,121,8.045498
4.0,124,8.255369
0.0,66,8.365308
0.0,66,8.473328
0.0,58,8.566438
0.0,96,8.720611
1.0,98,8.877063
5.0,146,9.106663
-1.0,60,9.204012
1.0,96,9.356668
-1.0,74,9.474427
1.0,101,9.638162
0.0,89,9.780076
1.0,109,9.961104
2.0,96,10.120835
1.0,85,10.263416
1.0,65,10.378211
-1.0,60,10.479816
0.0,74,10.602483
0.0,92,10.759186
0.0,76,10.886171
0.0,84,11.040098
0.0,76,11.164804
1.0,57,11.25972
3.0,97,11.422823
0.0,69,11.539188
1.0,84,11.676755
0.0,90,11.823721
2.0,103,12.483115
0.0,79,12.614452
0.0,68,12.724484
4.0,145,12.971673
2.0,90,13.127066
1.0,84,13.282459
3.0,114,13.471273
1.0,85,13.608004
2.0,88,13.749824
3.0,107,13.928686
4.0,132,14.148089
2.0,106,14.326151
4.0,117,14.529943
0.0,76,14.81283
0.0,83,14.950906
0.0,83,15.086081
3.0,128,15.305458
0.0,71,15.423566
4.0,118,15.627878
3.0,102,15.818199
0.0,76,15.945285
0.0,72,16.06666
0.0,74,16.192738
3.0,110,16.377365
2.0,108,16.556651
4.0,122,16.763766
4.0,96,16.929654
2.0,107,17.109374
-1.0,73,17.241183
1.0,76,17.371602
1.0,100,17.547578
11.0,277,18.019215
3.0,89,18.172598
2.0,93,18.332024
2.0,85,18.482511
1.0,91,18.638347
2.0,97,18.814683
3.0,125,19.03863
3.0,120,19.249534
2.0,103,19.435586
2.0,55,19.532663
0.0,81,19.681306
5.0,116,19.89079
3.0,106,20.084168
5.0,140,20.345905
0.0,72,20.47451
0.0,64,20.589226
4.0,112,20.787531
3.0,95,20.967495
2.0,109,21.167241
2.0,105,21.917132
5.0,130,22.165312
6.0,148,22.436213
4.0,110,22.637962
0.0,68,22.757375
1.0,81,22.903316
2.0,105,23.090525
2.0,90,23.254476
1.0,81,23.400305
0.0,66,23.517684
0.0,65,23.637477
0.0,84,23.784577
0.0,80,23.928022
1.0,69,24.055499
2.0,88,24.225719
3.0,114,24.428484
3.0,102,24.611937
5.0,120,24.828912
1.0,82,24.984652
3.0,117,25.203354
1.0,93,25.390672
0.0,73,25.522408
1.0,86,25.681767
1.0,86,25.859316
0.0,58,25.968868
3.0,108,26.193064
1.0,88,26.35735
3.0,110,26.573833
4.0,121,26.805833
4.0,141,27.065813
1.0,96,27.239307
1.0,84,27.391321
1.0,93,27.564313
5.0,137,27.822466
1.0,72,27.952361
1.0,85,28.104099
-1.0,56,28.209368
6.0,149,28.483752
1.0,72,28.619637
2.0,100,28.799964
3.0,95,28.974643
2.0,69,29.102627
0.0,66,29.229979
0.0,78,29.381063
1.0,83,29.537819
3.0,96,29.729968
0.0,67,29.853777
6.0,119,30.075027
0.0,64,30.195626
3.0,107,30.392075
1.0,74,30.537566
8.0,182,30.8827
1.0,93,31.067285
0.0,57,31.682769
1.0,83,31.837242
0.0,102,32.033441
1.0,65,32.159474
0.0,65,32.293583
4.0,108,32.500403
3.0,127,32.739102
3.0,109,32.949491
3.0,119,33.168512
2.0,108,33.369123
3.0,111,33.589891
1.0,54,33.694305
6.0,148,33.974527
1.0,102,34.159756
2.0,76,34.300204
1.0,87,34.459147
1.0,74,34.593796
0.0,55,34.698087
2.0,93,34.869571
4.0,113,35.087048
6.0,139,35.346881
5.0,118,35.589072
1.0,83,35.750133
2.0,83,35.908237
3.0,103,36.098706
0.0,75,36.238418
4.0,112,36.456242
5.0,135,36.712715
1.0,69,36.836972
4.0,126,37.085616
3.0,108,37.291673
3.0,119,37.529665
2.0,105,37.728028
0.0,64,37.847854
2.0,111,38.055192
1.0,80,38.20026
0.0,75,38.335886
1.0,84,38.490885
3.0,104,38.697986
2.0,66,38.822158
2.0,107,39.022035
2.0,115,39.234254
3.0,110,39.434294
0.0,57,39.545833
6.0,135,39.792799
8.0,187,40.132682
8.0,191,40.483877
3.0,108,40.680655
4.0,110,40.877364
4.0,112,41.755836
4.0,126,41.999443
4.0,129,42.244822
3.0,125,42.465806
3.0,90,42.629569
2.0,107,42.846406
1.0,95,43.028052
1.0,101,43.215116
