#{"t_start": 1720416832.1014528, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
1.0,82,0.413674
-1.0,74,0.43434
0.0,90,0.459228
-1.0,64,0.477041
1.0,80,0.499558
1.0,94,0.525268
2.0,96,0.551507
1.0,100,0.579169
0.0,87,0.603147
-1.0,66,0.621419
0.0,84,0.644625
0.0,91,0.669649
-1.0,70,0.689056
1.0,92,0.714074
-1.0,61,0.730912
0.0,76,0.751716
0.0,75,0.772459
0.0,75,0.7931
1.0,84,0.815931
1.0,80,0.838048
0.0,85,0.861383
1.0,81,0.883503
-1.0,63,0.900846
1.0,85,0.92406
2.0,103,0.952339
1.0,78,0.973815
0.0,71,0.993534
-1.0,82,1.016038
0.0,93,1.041608
0.0,81,1.063769
2.0,104,1.092148
1.0,101,1.119741
0.0,70,1.139066
0.0,57,1.15486
0.0,81,1.177018
1.0,103,1.205243
0.0,94,1.231121
0.0,77,1.252317
0.0,76,1.273066
1.0,107,1.302382
1.0,105,1.331296
0.0,68,1.35006
0.0,71,1.369581
-1.0,64,1.387301
-1.0,61,1.404205
0.0,112,1.434621
0.0,82,1.457097
0.0,77,1.478169
-1.0,57,1.49402
2.0,99,1.521179
0.0,70,1.540463
0.0,87,1.564248
0.0,61,1.581118
-1.0,57,1.596851
1.0,101,1.624255
0.0,85,1.647386
0.0,68,1.666156
-1.0,58,1.682191
0.0,70,1.701376
1.0,95,1.727419
-1.0,73,1.747506
0.0,52,1.761915
1.0,99,2.292088
-1.0,69,2.311266
1.0,79,2.333081
0.0,74,2.353377
0.0,63,2.370642
0.0,93,2.396026
0.0,75,2.416651
0.0,99,2.443572
4.0,127,2.478353
1.0,75,2.498942
-1.0,76,2.520083
-1.0,51,2.534254
1.0,102,2.562292
0.0,70,2.581537
1.0,85,2.604861
0.0,70,2.624208
1.0,72,2.644097
0.0,91,2.66876
0.0,70,2.688185
0.0,77,2.709321
0.0,75,2.729926
0.0,95,2.755743
-1.0,67,2.774262
0.0,82,2.796668
1.0,75,2.817218
0.0,79,2.838982
0.0,74,2.859404
2.0,120,2.89224
2.0,106,2.921371
-1.0,53,2.936167
0.0,72,2.956042
0.0,70,2.975586
0.0,80,2.997415
-1.0,62,3.014579
0.0,79,3.036258
-1.0,80,3.058183
1.0,97,3.084619
-1.0,63,3.101914
1.0,67,3.120422
1.0,98,3.146998
2.0,85,3.170132
-1.0,77,3.191171
-1.0,57,3.20698
0.0,80,3.228753
1.0,112,3.259358
0.0,64,3.276917
0.0,95,3.302968
1.0,93,3.32836
-1.0,68,3.347056
-1.0,62,3.364075
0.0,85,3.387524
0.0,79,3.409147
-1.0,65,3.426958
0.0,64,3.444506
0.0,74,3.46486
0.0,64,3.482514
-1.0,64,3.500073
1.0,94,3.525592
0.0,53,3.540371
2.0,97,3.566611
1.0,82,3.589066
0.0,75,3.609548
0.0,78,3.630849
1.0,83,4.285422
1.0,88,4.452744
-1.0,79,4.602737
0.0,87,4.760443
0.0,91,4.924493
4.0,122,5.174641
-1.0,83,5.344282
1.0,71,5.496924
1.0,60,5.617801
-1.0,62,5.771984
0.0,77,5.946632
0.0,90,6.126525
0.0,78,6.303995
-1.0,68,6.497388
0.0,68,6.636617
1.0,89,6.811078
1.0,86,6.980356
-1.0,65,7.113485
-1.0,66,7.25124
1.0,107,7.45057
1.0,84,7.622174
0.0,82,7.830441
0.0,100,8.033611
0.0,73,8.182597
2.0,109,8.40924
-1.0,79,8.57436
0.0,61,8.705528
1.0,90,8.895593
0.0,66,9.066937
1.0,96,9.29752
0.0,96,9.503069
-1.0,53,9.652179
2.0,108,10.001102
1.0,90,10.264732
0.0,103,10.538866
-1.0,72,10.755271
