#{"t_start": 1718759452.3621688, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
2.0,462,7.095429
0.0,256,7.267415
0.0,240,7.434565
0.0,226,7.585608
0.0,258,7.758348
0.0,272,7.941104
0.0,238,8.100438
0.0,238,8.259413
0.0,294,8.456674
0.0,270,8.637375
-1.0,298,14.553825
-1.0,354,14.877054
-1.0,246,15.109006
-1.0,350,15.366615
-1.0,238,15.526927
-1.0,302,15.732114
-1.0,260,15.907764
-1.0,364,16.154799
-1.0,366,16.402501
-1.0,294,16.614706
-1.0,266,22.460724
-1.0,252,22.630318
-1.0,374,22.883886
-1.0,374,23.137828
-1.0,300,23.341944
-1.0,248,23.509174
-1.0,236,23.669671
-1.0,312,23.879997
-1.0,240,24.042587
-1.0,258,24.217428
-1.0,322,30.428698
-1.0,224,30.580542
-1.0,268,30.761859
-1.0,276,30.951271
-1.0,280,31.14182
-1.0,284,31.333829
-1.0,276,31.522062
-1.0,324,31.742656
-1.0,282,31.933591
-1.0,214,32.079081
-1.0,284,39.61987
-1.0,298,39.821075
-1.0,214,39.965061
-1.0,334,40.191744
-1.0,330,40.414824
-1.0,312,40.624897
-1.0,292,40.823466
-1.0,232,40.981047
-1.0,230,41.137471
-1.0,330,41.362389
0.0,262,47.559586
1.0,390,47.818722
0.0,258,47.991218
0.0,290,48.184195
0.0,222,48.332752
0.0,250,48.500367
0.0,260,48.674415
0.0,208,48.814859
0.0,324,49.031755
1.0,298,49.230781
0.0,252,55.381011
0.0,350,55.613478
0.0,322,55.828408
0.0,286,56.020503
0.0,348,56.253281
0.0,282,56.440759
1.0,208,56.580164
0.0,262,56.754978
0.0,388,57.014947
2.0,354,57.251719
0.0,278,63.141369
0.0,266,63.321744
0.0,302,63.527506
0.0,320,63.741993
0.0,294,63.938807
1.0,396,64.227955
1.0,320,64.523247
4.0,490,64.908155
0.0,326,65.124434
0.0,268,65.302668
1.0,362,71.213685
0.0,248,71.380109
0.0,274,71.565228
0.0,260,71.740073
0.0,316,71.952932
0.0,332,72.176233
1.0,282,72.366611
0.0,270,72.54784
1.0,258,72.720535
0.0,324,72.948643
0.0,302,80.498056
1.0,378,80.749679
1.0,354,80.98402
1.0,282,81.180053
1.0,364,81.430738
1.0,430,81.717236
0.0,266,81.894391
0.0,246,82.059187
0.0,306,82.264273
2.0,366,82.509621
0.0,322,88.721694
0.0,390,88.982144
0.0,268,89.161774
1.0,284,89.351842
0.0,296,89.549998
0.0,296,89.748272
0.0,266,89.927702
0.0,270,90.115741
1.0,342,90.346794
0.0,306,90.55483
0.0,284,96.723223
0.0,252,96.892459
0.0,276,97.079004
1.0,348,97.31217
1.0,332,97.535084
1.0,328,97.756822
0.0,264,97.936182
0.0,334,98.158957
1.0,246,98.323729
1.0,338,98.551978
1.0,306,104.604569
2.0,374,104.89373
0.0,336,105.119448
0.0,278,105.305724
2.0,428,105.592224
0.0,342,105.819719
0.0,256,105.991696
0.0,314,106.201032
0.0,310,106.405871
1.0,346,106.635535
0.0,212,113.801747
0.0,274,114.003481
1.0,222,114.212012
0.0,350,114.537406
0.0,312,114.746119
0.0,240,114.906129
0.0,258,115.078212
0.0,230,115.23175
0.0,270,115.412266
1.0,434,115.700832
0.0,318,121.603465
0.0,318,121.815075
0.0,348,122.047234
0.0,202,122.183185
0.0,232,122.338755
0.0,278,122.524796
0.0,316,122.736682
0.0,314,122.946256
2.0,300,123.147743
0.0,326,123.367057
0.0,250,129.524995
1.0,276,129.711203
0.0,248,129.878291
0.0,278,130.064921
0.0,322,130.279614
0.0,294,130.476084
0.0,242,130.638373
0.0,298,130.838332
2.0,302,131.040738
1.0,360,131.282179
1.0,354,137.513884
0.0,270,137.695474
0.0,276,137.881598
0.0,264,138.058576
0.0,314,138.269913
0.0,336,138.496776
2.0,306,138.701956
1.0,324,138.91716
1.0,312,139.124868
0.0,224,139.273737
0.0,224,145.415893
1.0,324,145.630504
0.0,276,145.813222
0.0,206,145.949736
0.0,252,146.11717
2.0,338,146.341263
1.0,296,146.5376
2.0,372,146.790152
0.0,232,146.962243
0.0,356,147.200744
1.0,286,154.73475
0.0,230,154.888886
0.0,286,155.079454
2.0,324,155.297236
0.0,264,155.474266
0.0,266,155.651219
0.0,298,155.850899
0.0,294,156.047693
0.0,276,156.233149
0.0,362,156.476096
1.0,380,162.429233
0.0,252,162.602645
0.0,214,162.746293
1.0,278,162.933974
1.0,278,163.119963
0.0,318,163.333488
2.0,350,163.56862
1.0,274,163.752325
0.0,282,163.966104
0.0,218,164.169616
1.0,286,170.187588
1.0,302,170.391284
0.0,288,170.584585
0.0,292,170.779564
1.0,304,170.982833
1.0,398,171.24864
0.0,268,171.426196
0.0,246,171.589329
2.0,352,171.822929
0.0,308,172.02869
0.0,252,178.179541
1.0,302,178.381776
0.0,232,178.536983
1.0,346,178.768337
1.0,374,179.019279
0.0,290,179.212703
1.0,282,179.40106
1.0,382,179.657578
0.0,336,179.881149
0.0,232,180.036087
1.0,368,187.641733
0.0,270,187.821423
0.0,302,188.033763
1.0,352,188.26797
2.0,318,188.482064
0.0,204,188.617569
0.0,320,188.829153
0.0,284,189.016902
0.0,258,189.188052
1.0,400,189.453457
1.0,336,195.699444
0.0,228,195.851039
0.0,280,196.038475
0.0,296,196.235398
0.0,220,196.384336
0.0,232,196.538597
0.0,334,196.761125
0.0,230,196.914932
1.0,350,197.147416
2.0,410,197.423337
0.0,328,203.325555
2.0,358,203.568489
1.0,264,203.746265
0.0,304,203.951251
1.0,312,204.162379
