#{"t_start": 1720470853.8986695, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,50,2.256595
0.0,91,2.334771
1.0,103,2.420423
0.0,94,2.510788
-1.0,63,2.562391
0.0,66,2.61507
-1.0,58,2.661012
0.0,75,2.720129
1.0,99,2.797966
2.0,119,2.891764
-1.0,93,2.964821
0.0,72,3.021465
-1.0,77,3.082064
0.0,108,3.166696
-1.0,58,3.212187
0.0,67,3.26431
0.0,79,3.32585
1.0,100,3.403965
-1.0,62,3.452395
0.0,51,3.492204
1.0,82,3.555948
0.0,64,3.605808
0.0,63,3.65479
-1.0,66,3.706151
1.0,87,3.773809
0.0,61,3.821372
-1.0,72,3.877438
0.0,91,3.948192
-1.0,64,3.998068
0.0,76,4.057088
2.0,94,4.130064
-1.0,65,4.181078
2.0,113,4.268862
2.0,110,4.354737
0.0,72,4.411162
0.0,98,4.48755
1.0,70,4.542292
0.0,93,4.614969
1.0,76,4.675834
0.0,88,4.757365
-1.0,81,4.827291
0.0,70,4.885931
-1.0,70,4.950151
0.0,73,5.013146
0.0,88,5.08532
0.0,87,5.156577
1.0,92,5.229387
1.0,84,5.294677
-1.0,54,5.337045
1.0,100,5.414892
2.0,108,7.272606
0.0,82,7.341031
1.0,91,7.416815
0.0,48,7.457895
-1.0,58,7.504503
0.0,60,7.552781
1.0,99,7.632423
1.0,86,7.701427
0.0,54,7.744943
-1.0,69,7.804399
1.0,74,7.865639
0.0,71,7.924937
0.0,95,8.001872
0.0,67,8.589967
0.0,71,8.650358
-1.0,69,8.709818
1.0,107,8.800169
0.0,62,8.850892
0.0,71,8.91153
-1.0,80,8.993277
0.0,71,9.051461
1.0,90,9.125103
1.0,79,9.192473
0.0,59,9.240651
1.0,92,9.314301
-1.0,56,9.359182
-1.0,70,9.415427
2.0,100,9.49567
2.0,109,9.582805
1.0,77,9.644866
0.0,70,9.701867
-1.0,63,9.754495
-1.0,82,9.821115
-1.0,73,9.879936
1.0,83,9.94664
-1.0,67,10.0004
1.0,100,10.088567
2.0,120,10.199659
0.0,85,10.272655
0.0,61,10.32216
0.0,77,10.384104
0.0,69,10.439606
1.0,72,10.497259
1.0,105,10.58163
0.0,77,10.643377
1.0,77,10.705144
1.0,92,10.779256
0.0,64,10.83248
-1.0,70,10.892705
-1.0,80,10.961329
1.0,75,11.025526
0.0,88,11.098053
0.0,78,11.160981
0.0,58,12.426255
0.0,89,12.508925
1.0,104,12.592678
1.0,117,12.686979
0.0,52,12.72905
1.0,95,12.804987
1.0,75,12.875532
0.0,75,12.94344
0.0,96,13.030733
1.0,96,13.109433
0.0,75,13.174149
0.0,76,13.24303
2.0,96,13.331166
0.0,89,13.410861
2.0,95,13.493198
1.0,113,13.587301
0.0,77,13.650234
0.0,88,13.72318
0.0,97,13.803313
1.0,78,13.869612
1.0,81,13.937852
-1.0,78,14.514832
0.0,77,14.579775
1.0,77,14.642493
0.0,92,14.717757
0.0,56,14.764278
3.0,110,14.854792
0.0,71,14.912601
1.0,74,14.972392
1.0,83,15.041104
0.0,74,15.100942
0.0,75,15.163042
0.0,67,15.221364
0.0,63,15.27341
2.0,72,15.33319
0.0,89,15.40564
0.0,52,15.448488
1.0,81,15.514322
3.0,105,15.599276
2.0,122,15.69864
0.0,110,15.789009
0.0,68,15.844545
0.0,62,15.898574
1.0,105,15.988335
1.0,85,16.061268
0.0,82,16.129083
4.0,136,16.238617
0.0,54,16.282495
0.0,71,16.342274
2.0,115,17.606739
1.0,73,17.667245
1.0,94,17.750916
2.0,107,17.841828
2.0,117,17.943735
1.0,71,18.004717
1.0,86,18.090611
0.0,86,18.163757
3.0,110,18.258825
1.0,70,18.318181
2.0,77,18.384535
1.0,81,18.451366
0.0,80,18.519052
-1.0,62,18.571362
0.0,51,18.613781
1.0,98,18.694749
2.0,106,18.78299
1.0,97,18.86339
1.0,73,18.925999
0.0,98,19.009913
0.0,84,19.082845
0.0,106,19.171463
1.0,79,19.23694
0.0,65,19.290531
3.0,124,19.401875
0.0,76,19.476332
2.0,101,19.56691
1.0,71,19.63021
4.0,135,19.75131
4.0,117,19.854576
2.0,91,20.55825
0.0,89,20.634002
2.0,110,20.745615
0.0,62,20.798732
2.0,98,20.880169
1.0,63,20.932922
0.0,76,21.007505
1.0,93,21.085261
-1.0,75,21.146959
1.0,89,21.243096
0.0,63,21.29646
