#{"t_start": 1720474954.1497192, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,58,4.815337
2.0,104,4.88533
1.0,78,4.937546
3.0,97,5.002719
1.0,99,5.069014
4.0,121,5.149486
3.0,117,5.2275
2.0,112,5.302414
0.0,68,5.347964
1.0,70,5.39522
6.0,124,10.258111
4.0,113,10.333699
4.0,91,10.39489
4.0,102,10.463471
3.0,84,10.520025
6.0,142,10.614779
3.0,82,10.669884
6.0,139,10.762461
4.0,88,10.821327
4.0,107,10.893864
3.0,106,16.113381
3.0,110,16.185572
4.0,110,16.257762
7.0,165,16.365227
5.0,125,16.44761
15.0,318,16.65591
14.0,259,16.824976
12.0,259,16.997311
9.0,198,17.129358
10.0,192,17.257825
7.0,168,22.140545
5.0,109,22.21266
7.0,149,22.310398
4.0,110,22.382708
8.0,168,22.492474
6.0,140,22.584145
7.0,141,22.676415
5.0,110,22.748643
6.0,120,22.827367
8.0,161,22.932857
5.0,141,28.120276
7.0,147,28.217407
4.0,109,28.28965
7.0,175,28.405276
9.0,185,28.528094
5.0,132,28.61532
2.0,85,28.672249
7.0,139,28.763983
5.0,124,28.845103
6.0,149,28.948869
7.0,138,33.80693
7.0,116,33.883267
6.0,124,33.964149
8.0,186,34.085274
8.0,171,34.196399
5.0,98,34.260448
8.0,173,34.372923
8.0,187,34.494347
7.0,132,34.580432
4.0,112,34.653936
15.0,289,39.951556
18.0,315,40.157273
13.0,243,40.316972
6.0,125,40.399493
11.0,208,40.536999
13.0,270,40.7123
12.0,200,40.84199
13.0,248,41.002451
16.0,297,41.194293
16.0,289,41.38152
17.0,295,46.319201
11.0,226,46.467718
14.0,295,46.661554
11.0,243,46.821224
11.0,218,46.964566
6.0,145,47.059994
15.0,252,47.224769
16.0,302,47.427031
16.0,313,47.63165
16.0,263,47.80443
15.0,266,52.747524
18.0,277,52.930936
19.0,335,53.152504
17.0,353,53.388595
16.0,292,53.582598
18.0,343,53.808686
16.0,267,53.98533
19.0,319,54.196902
17.0,315,54.406131
18.0,363,54.645653
15.0,261,59.922344
17.0,298,60.119639
22.0,335,60.341287
17.0,315,60.54995
22.0,394,60.811411
7.0,142,60.90612
19.0,359,61.142994
16.0,255,61.311225
22.0,441,61.598871
19.0,324,61.810352
15.0,269,66.723417
20.0,331,66.93925
20.0,369,67.180997
22.0,419,67.453667
12.0,250,67.61648
16.0,248,67.77814
19.0,362,68.013178
21.0,344,68.236353
16.0,278,68.417389
18.0,297,68.61101
21.0,369,73.972492
16.0,274,74.151401
20.0,319,74.359814
20.0,377,74.605765
16.0,276,74.786465
17.0,267,74.960302
18.0,343,75.18386
15.0,292,75.374654
16.0,297,75.568847
18.0,267,75.744628
17.0,265,77.415263
17.0,313,77.619967
17.0,327,77.83603
19.0,342,78.060824
14.0,272,78.238218
14.0,290,78.427048
18.0,341,78.648475
18.0,325,78.859871
17.0,318,79.066676
15.0,286,79.253083
0,14.328969
3.0,96,14.408044
4.0,120,14.506814
1.0,107,14.594882
3.0,114,14.68867
2.0,102,14.772825
0.0,90,14.847285
4.0,101,14.930543
5.0,131,15.038403
0.0,94,15.116174
1.0,88,15.188798
5.0,129,15.646172
0.0,82,15.71604
2.0,98,15.796801
1.0,101,15.879937
3.0,111,15.971395
0.0,77,16.037143
3.0,115,16.129299
4.0,137,17.462403
0.0,89,17.535701
3.0,122,17.635538
1.0,95,17.713542
0.0,83,17.781331
2.0,107,17.868879
3.0,122,17.969659
3.0,102,18.053794
2.0,103,18.138584
1.0,88,18.211091
-1.0,63,18.263119
4.0,112,18.35507
4.0,128,18.460569
3.0,110,18.894992
1.0,108,18.983119
4.0,120,19.081064
2.0,103,19.164716
2.0,102,19.247535
7.0,190,19.401444
1.0,89,19.474104
1.0,85,19.543282
3.0,115,19.636575
3.0,64,19.689137
3.0,100,19.770461
0.0,92,19.845396
2.0,81,19.911628
2.0,96,19.989891
4.0,136,20.100691
2.0,107,20.187777
3.0,116,20.28242
1.0,72,20.341308
2.0,103,20.425141
1.0,108,20.513094
3.0,95,20.931164
2.0,110,21.021258
3.0,99,21.101908
1.0,105,21.187149
1.0,67,21.241784
2.0,104,21.325954
4.0,125,21.426594
2.0,113,21.517955
6.0,141,21.632491
0.0,71,21.690789
2.0,106,21.77711
7.0,170,21.914878
4.0,126,22.018726
3.0,109,22.106943
2.0,97,23.089498
3.0,125,23.189755
4.0,102,23.271702
3.0,126,23.373036
4.0,119,23.823664
2.0,100,23.90412
3.0,113,23.994716
4.0,131,24.099796
6.0,143,24.214235
4.0,116,24.307995
2.0,90,24.380573
7.0,217,24.554348
4.0,104,24.63801
2.0,118,24.732978
1.0,90,24.805459
4.0,103,24.888544
0.0,89,24.960988
3.0,125,25.062715
3.0,97,25.142364
6.0,189,25.295376
1.0,83,25.363026
3.0,105,25.448605
4.0,115,25.881968
6.0,131,25.988945
2.0,83,26.058126
6.0,141,26.173048
6.0,154,26.297365
3.0,98,26.377279
9.0,162,26.509076
1.0,80,26.574738
2.0,99,26.655899
6.0,128,26.760275
8.0,203,26.92531
3.0,111,27.015979
5.0,124,27.117372
1.0,99,27.19818
5.0,113,27.290216
1.0,77,27.353053
3.0,102,27.43625
6.0,125,27.881165
4.0,103,27.965156
3.0,113,28.056709
4.0,102,28.139383
5.0,127,29.166987
4.0,95,29.245212
5.0,120,29.343665
5.0,131,29.451072
2.0,116,29.546197
1.0,77,29.609613
3.0,94,29.704786
1.0,99,29.785953
1.0,79,29.85077
3.0,111,29.942034
3.0,87,30.01549
7.0,156,30.143176
4.0,119,30.238389
5.0,121,30.335062
6.0,134,30.799223
3.0,97,30.877382
4.0,103,30.960236
1.0,89,31.032006
5.0,126,31.133209
0.0,96,31.210307
2.0,76,31.271347
5.0,106,31.356402
1.0,92,31.43045
6.0,129,31.534096
2.0,91,31.607351
5.0,122,31.705504
7.0,158,31.83233
6.0,133,31.938861
3.0,94,32.014819
6.0,129,32.118647
4.0,114,32.210526
6.0,180,32.354854
7.0,180,32.844293
2.0,103,32.927275
5.0,95,33.003729
5.0,142,33.117628
8.0,136,33.226425
6.0,154,33.349622
8.0,166,33.482612
9.0,210,33.650743
4.0,107,33.736749
5.0,117,33.838087
4.0,112,34.867531
9.0,186,35.016568
5.0,116,35.10947
4.0,98,35.188272
8.0,163,35.318304
7.0,143,35.79219
8.0,176,35.933138
8.0,193,36.088657
4.0,96,36.16837
5.0,102,36.251592
3.0,105,36.337181
8.0,178,36.48094
6.0,147,36.599756
5.0,135,36.708627
6.0,186,36.858023
7.0,148,36.976844
3.0,84,37.044571
6.0,148,37.163253
7.0,197,37.321163
7.0,167,37.808668
4.0,127,37.910684
6.0,124,38.010894
9.0,194,38.170059
6.0,123,38.271021
4.0,129,38.376753
4.0,106,38.463935
5.0,116,38.559204
7.0,172,38.70023
6.0,139,38.814457
6.0,130,38.921271
1.0,76,38.984049
6.0,137,39.096587
4.0,106,39.183716
6.0,140,39.298717
9.0,206,39.807226
5.0,132,41.541427
7.0,170,41.679068
8.0,193,41.835807
6.0,129,41.940595
6.0,138,42.05258
8.0,187,42.204021
8.0,179,42.349278
9.0,204,42.51476
5.0,115,42.608003
8.0,198,42.76831
7.0,173,42.908492
7.0,166,43.043046
5.0,135,43.489631
6.0,157,43.618456
5.0,113,43.710295
4.0,105,43.795179
8.0,157,43.92175
5.0,121,44.020283
6.0,123,44.120667
10.0,211,44.291686
7.0,153,44.41573
10.0,217,44.590214
6.0,116,44.683376
4.0,119,44.779543
4.0,111,44.86899
9.0,230,45.409561
4.0,104,45.493464
