#{"t_start": 1718757884.0799506, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
-1.0,312,16.443339
-1.0,280,16.629827
-1.0,312,16.837492
-1.0,272,17.037304
-1.0,242,17.254611
-1.0,330,17.544575
-1.0,272,17.723527
-1.0,286,17.909383
-1.0,278,18.090696
-1.0,234,18.244561
3.0,378,24.126613
1.0,282,24.315596
0.0,252,24.482487
2.0,334,24.703367
0.0,252,24.870799
1.0,392,25.130897
0.0,264,25.305648
0.0,240,25.464633
1.0,304,25.666175
0.0,274,25.848881
1.0,320,32.081276
1.0,296,32.275721
0.0,266,32.451225
0.0,328,32.666926
1.0,450,32.964448
1.0,272,33.14346
0.0,304,33.343622
0.0,382,33.594853
0.0,338,33.816848
0.0,278,33.998207
2.0,354,40.144723
1.0,236,40.300525
1.0,358,40.537658
1.0,324,40.752064
0.0,222,40.898415
2.0,462,41.204273
0.0,250,41.369651
2.0,406,41.638048
1.0,330,41.855919
0.0,232,42.008186
0.0,246,49.468159
0.0,342,49.693804
0.0,272,49.874795
-1.0,242,50.035331
0.0,348,50.269749
0.0,206,50.405508
0.0,222,50.551412
0.0,280,50.735347
1.0,276,50.917742
3.0,390,51.175606
2.0,362,57.074576
0.0,244,57.293074
0.0,262,57.516782
0.0,278,57.697873
1.0,328,57.912845
1.0,344,58.138109
1.0,268,58.314183
0.0,206,58.449999
1.0,230,58.600118
2.0,378,58.84765
1.0,276,64.646105
0.0,252,64.811477
0.0,290,65.000943
0.0,326,65.217352
1.0,300,65.414064
1.0,334,65.630691
0.0,274,65.809493
1.0,306,66.009459
2.0,396,66.269269
4.0,434,66.55326
0.0,226,72.6339
0.0,324,72.849475
0.0,310,73.054322
0.0,294,73.25064
0.0,306,73.452766
0.0,382,73.705198
0.0,272,73.885017
0.0,282,74.075211
0.0,380,74.328773
0.0,328,74.546999
0.0,292,80.701962
0.0,324,80.915701
0.0,202,81.04906
0.0,280,81.234313
0.0,282,81.420781
0.0,270,81.59828
0.0,318,81.808239
0.0,248,81.970732
0.0,322,82.180814
0.0,320,82.39052
0.0,268,89.902532
1.0,276,90.08375
0.0,320,90.293616
0.0,240,90.450941
0.0,340,90.674885
0.0,282,90.86051
1.0,306,91.063463
0.0,412,91.333998
0.0,304,91.534851
1.0,320,91.746501
2.0,314,97.874974
0.0,246,98.037479
0.0,366,98.276871
0.0,258,98.44647
1.0,448,98.74086
0.0,304,98.939562
0.0,316,99.145733
0.0,280,99.328353
0.0,272,99.505503
0.0,292,99.697449
0.0,236,105.470922
2.0,264,105.64537
1.0,372,105.889756
0.0,214,106.032363
0.0,226,106.181142
0.0,252,106.346741
1.0,350,106.576728
1.0,350,106.806519
0.0,246,106.967977
0.0,256,107.150231
2.0,328,113.250605
0.0,254,113.419011
0.0,304,113.619045
0.0,366,113.859914
0.0,256,114.028185
0.0,346,114.255005
0.0,326,114.467719
0.0,328,114.682064
1.0,322,114.893798
0.0,220,115.038659
-1.0,258,122.508029
0.0,350,122.736498
-1.0,220,122.881257
0.0,298,123.078594
-1.0,202,123.211933
1.0,356,123.445425
-1.0,266,123.619385
-1.0,348,123.846144
0.0,398,124.109802
0.0,266,124.286235
0.0,320,130.401419
0.0,274,130.580064
0.0,226,130.727368
1.0,298,130.923435
1.0,332,131.141581
2.0,390,131.396895
0.0,250,131.561206
0.0,254,131.728385
0.0,246,131.889684
0.0,296,132.08466
0.0,328,137.980074
0.0,268,138.223596
0.0,362,138.552195
0.0,258,138.725725
0.0,302,138.92717
0.0,286,139.115981
0.0,280,139.300839
0.0,330,139.519954
0.0,370,139.763422
0.0,270,139.941797
0.0,374,145.810673
0.0,238,145.968485
0.0,350,146.19835
0.0,244,146.359546
0.0,318,146.569117
1.0,342,146.795735
0.0,310,147.006511
1.0,292,147.197032
0.0,254,147.363253
0.0,304,147.561769
1.0,292,153.693725
2.0,294,153.888473
0.0,290,154.080459
1.0,326,154.295464
0.0,322,154.516932
0.0,226,154.66981
0.0,274,154.848975
0.0,284,155.035244
0.0,324,155.246694
0.0,256,155.414342
1.0,328,162.841986
0.0,252,163.01004
0.0,314,163.217684
1.0,288,163.408004
1.0,352,163.642787
0.0,262,163.816432
0.0,296,164.012654
0.0,262,164.186184
1.0,324,164.400988
0.0,296,164.598643
0.0,256,170.761571
0.0,258,170.933079
0.0,282,171.120017
1.0,426,171.403828
1.0,214,171.546359
1.0,386,171.805598
1.0,340,172.028651
0.0,278,172.211458
0.0,236,172.366074
0.0,280,172.550354
0.0,318,178.378262
0.0,310,178.580094
0.0,208,178.71679
0.0,286,178.930103
0.0,274,179.175243
0.0,318,179.456008
1.0,382,179.707482
0.0,280,179.890341
1.0,288,180.079508
0.0,240,180.237713
0.0,212,185.9711
0.0,290,186.162158
1.0,268,186.338603
0.0,240,186.497179
1.0,298,186.694296
0.0,234,186.849085
0.0,266,187.024428
1.0,276,187.205356
0.0,242,187.364783
0.0,286,187.552697
0.0,330,195.076457
0.0,260,195.762306
0.0,240,195.920649
1.0,330,196.138748
0.0,310,196.341931
0.0,354,196.574181
0.0,230,196.72594
0.0,272,196.905294
0.0,270,197.083467
0.0,276,197.265252
0.0,360,203.457218
1.0,266,203.632376
0.0,300,203.829297
0.0,218,203.973168
1.0,332,204.192256
1.0,370,204.435143
0.0,362,204.673705
0.0,344,204.900043
0.0,298,205.097765
0.0,272,205.277733
0.0,282,211.413218
0.0,230,211.564447
0.0,298,211.760278
2.0,438,212.047841
0.0,290,212.239034
0.0,290,212.435725
0.0,266,212.613057
0.0,350,212.845651
0.0,334,213.070816
0.0,322,213.285077
0.0,238,219.074878
0.0,232,219.227954
0.0,298,219.423622
0.0,250,219.587755
0.0,228,219.742451
0.0,292,220.005773
0.0,264,220.246132
0.0,320,220.47716
0.0,284,220.664038
0.0,314,220.873489
0.0,302,226.660538
0.0,340,226.884309
0.0,342,227.109234
0.0,256,227.278075
0.0,286,227.466602
1.0,342,227.692058
1.0,290,227.883519
0.0,252,228.050979
0.0,258,228.220844
0.0,238,228.378732
0.0,238,235.825292
0.0,334,236.043875
1.0,358,236.277433
0.0,282,236.460662
0.0,290,236.649836
1.0,272,236.827302
0.0,288,237.016562
0.0,228,237.166391
0.0,214,237.306683
1.0,332,237.525185
1.0,334,243.68246
0.0,274,243.86371
1.0,394,244.125326
1.0,290,244.316464
0.0,260,244.489085
0.0,274,244.669729
0.0,298,244.866597
0.0,300,245.065506
0.0,260,245.237689
0.0,256,245.407088
0.0,348,251.608842
0.0,266,251.783489
0.0,236,251.9387
0.0,246,252.100925
2.0,438,252.38922
0.0,272,252.568304
0.0,256,252.737367
1.0,354,252.969321
0.0,262,253.143458
0.0,328,253.359756
0.0,232,259.150034
0.0,242,259.31114
0.0,204,259.444821
0.0,284,259.631399
0.0,274,259.812454
0.0,290,260.003394
0.0,240,260.162741
0.0,382,260.415262
1.0,352,260.646555
0.0,258,260.838594
0.0,274,268.312911
0.0,238,268.469852
0.0,272,268.648426
1.0,270,268.825202
0.0,286,269.013545
1.0,376,269.260514
1.0,362,269.49793
1.0,356,269.732307
0.0,328,269.949399
0.0,312,270.15627
0.0,282,276.301213
0.0,246,276.461543
1.0,324,276.673962
0.0,244,276.83328
0.0,332,277.049682
1.0,324,277.263154
0.0,288,277.452122
0.0,244,277.611847
1.0,402,277.874144
0.0,240,278.031822
0.0,312,284.140724
2.0,406,284.409611
0.0,294,284.608633
1.0,354,284.845253
0.0,222,284.99128
1.0,268,285.168319
0.0,216,285.310886
1.0,378,285.560279
0.0,322,285.772272
2.0,310,285.975549
1.0,382,291.938303
0.0,256,292.17446
0.0,342,292.414553
1.0,256,292.584857
0.0,282,292.773036
0.0,288,292.964397
0.0,222,293.112169
2.0,324,293.327724
0.0,252,293.494723
0.0,268,293.672534
0.0,250,299.470408
1.0,326,299.688752
0.0,276,299.87229
0.0,212,300.015038
0.0,256,300.187798
2.0,446,300.483843
1.0,316,300.692749
0.0,266,300.869295
0.0,234,301.02564
0.0,302,301.227097
0.0,292,308.70369
2.0,256,308.86991
1.0,360,309.1064
0.0,306,309.305739
0.0,256,309.474275
1.0,270,309.651911
0.0,288,309.839661
1.0,358,310.074943
1.0,330,310.293256
0.0,252,310.460204
0.0,270,316.586458
0.0,326,316.799759
0.0,264,316.972765
0.0,304,317.172124
0.0,220,317.316862
1.0,394,317.575617
1.0,416,317.848702
0.0,270,318.02526
1.0,314,318.2303
0.0,276,318.413516
0.0,252,324.561518
0.0,286,324.749145
0.0,258,324.918771
0.0,282,325.106542
0.0,230,325.259242
0.0,358,325.494768
0.0,292,325.686506
0.0,288,325.877749
0.0,232,326.030905
0.0,230,326.181776
1.0,322,331.991265
1.0,316,332.222569
0.0,268,332.464961
0.0,224,332.669695
0.0,320,332.899481
0.0,304,333.100783
0.0,280,333.286529
1.0,324,333.50051
0.0,272,333.680861
0.0,260,333.853337
1.0,412,341.118316
0.0,264,341.29329
1.0,282,341.480492
1.0,248,341.644459
0.0,236,341.801544
0.0,266,341.977766
0.0,230,342.131682
0.0,206,342.317734
0.0,334,342.622313
1.0,278,342.837148
0.0,312,348.72157
0.0,310,348.926314
0.0,270,349.105778
0.0,230,349.259058
0.0,272,349.439445
0.0,274,349.622104
0.0,204,349.758505
0.0,272,349.940342
0.0,264,350.117512
3.0,420,350.395708
2.0,390,356.607022
1.0,282,356.795168
0.0,338,357.017981
2.0,392,357.277449
1.0,374,357.525593
0.0,320,357.738297
0.0,244,357.901906
1.0,346,358.131463
0.0,240,358.293002
0.0,290,358.486242
1.0,280,364.595991
0.0,338,364.819831
0.0,326,365.034573
2.0,360,365.272705
0.0,288,365.463406
0.0,276,365.64527
0.0,274,365.826414
1.0,324,366.040879
0.0,268,366.218767
2.0,358,366.455592
0.0,254,372.534373
1.0,346,372.76392
0.0,234,372.917938
0.0,284,373.104863
0.0,274,373.284124
0.0,312,373.4879
0.0,314,373.692716
2.0,350,373.923803
0.0,280,374.109023
0.0,216,374.252481
2.0,336,381.456907
1.0,290,381.647902
0.0,220,381.791963
1.0,316,382.040969
1.0,240,382.256723
0.0,274,382.494016
0.0,332,382.712862
0.0,238,382.870357
1.0,312,383.075475
0.0,332,383.29404
0.0,220,389.066258
0.0,274,389.248559
1.0,268,389.426969
0.0,234,389.584358
0.0,268,389.763568
0.0,220,389.910126
1.0,304,390.113045
0.0,244,390.274662
0.0,258,390.44473
0.0,252,390.611234
0.0,306,396.813798
0.0,262,396.987293
0.0,250,397.153322
0.0,272,397.333053
0.0,258,397.505295
1.0,406,397.772916
1.0,366,398.016715
0.0,282,398.203147
0.0,250,398.370091
0.0,246,398.533499
1.0,324,404.702014
1.0,374,404.951272
1.0,286,405.140368
0.0,256,405.310882
0.0,290,405.503936
0.0,262,405.678027
1.0,322,405.893132
0.0,294,406.088843
1.0,430,406.374285
0.0,336,406.597822
0.0,362,414.14864
0.0,298,414.344679
2.0,386,414.597241
0.0,240,414.755054
0.0,262,414.928065
0.0,196,415.056316
1.0,352,415.286961
0.0,330,415.502865
0.0,252,415.670153
0.0,250,415.836247
0.0,260,421.657881
0.0,212,421.814028
1.0,376,422.158636
0.0,302,422.409669
0.0,290,422.60215
0.0,292,422.802041
0.0,214,422.943699
1.0,286,423.132312
0.0,272,423.312166
0.0,274,423.494002
0.0,294,429.330255
1.0,338,429.554441
1.0,306,429.75806
1.0,316,429.968999
1.0,384,430.227641
1.0,288,430.420353
2.0,322,430.63682
0.0,332,430.858466
0.0,214,431.002145
1.0,296,431.213961
1.0,380,437.443204
0.0,306,437.647637
0.0,286,437.845462
0.0,280,438.030835
2.0,374,438.279695
1.0,308,438.483864
2.0,386,438.740602
1.0,350,438.972432
0.0,228,439.124281
0.0,244,439.286929
0.0,208,445.388961
0.0,264,445.563262
0.0,302,445.762927
1.0,342,445.988317
1.0,282,446.176955
1.0,278,446.361734
0.0,204,446.497815
1.0,316,446.709834
0.0,314,446.918106
2.0,394,447.179199
1.0,304,454.720924
0.0,306,454.922606
0.0,312,455.12828
1.0,278,455.311187
1.0,384,455.564332
2.0,426,455.845522
0.0,324,456.061939
1.0,346,456.290844
0.0,206,456.426968
0.0,290,456.618677
1.0,328,462.82303
1.0,392,463.081341
1.0,268,463.25889
0.0,234,463.412969
0.0,288,463.606168
0.0,328,463.821605
1.0,400,464.085603
0.0,260,464.256956
0.0,262,464.43079
0.0,334,464.653553
1.0,284,470.483996
1.0,272,470.662449
0.0,260,470.83256
1.0,306,471.03308
0.0,268,471.209815
0.0,230,471.378224
0.0,262,471.549573
0.0,300,471.74576
0.0,320,471.95484
1.0,252,472.171832
0.0,238,478.125946
1.0,336,478.346227
0.0,406,478.615694
1.0,312,478.821669
0.0,342,479.048728
0.0,282,479.234733
0.0,260,479.406198
1.0,314,479.613517
0.0,290,479.805265
1.0,254,479.973933
1.0,234,487.400134
2.0,458,487.697773
1.0,406,487.962117
1.0,292,488.153509
2.0,374,488.398914
1.0,306,488.599246
2.0,458,488.900028
0.0,236,489.0574
1.0,336,489.279096
1.0,278,489.461296
1.0,242,495.557605
1.0,394,495.815114
1.0,384,496.066222
0.0,242,496.225875
1.0,352,496.457579
1.0,458,496.758576
1.0,336,496.979585
1.0,378,497.230224
0.0,206,497.365868
1.0,384,497.617084
2.0,336,503.642452
1.0,282,503.847075
1.0,328,504.063495
0.0,210,504.203225
1.0,384,504.454624
1.0,270,504.630765
1.0,382,504.880197
2.0,302,505.077989
0.0,312,505.282234
1.0,232,505.433894
1.0,318,511.237875
1.0,398,511.499174
0.0,244,511.65973
0.0,338,511.881562
2.0,364,512.121536
1.0,306,512.322409
1.0,288,512.511917
0.0,316,512.718977
0.0,238,512.875155
1.0,362,513.112301
1.0,434,519.323994
0.0,338,519.545414
1.0,312,519.752153
2.0,310,519.959509
0.0,352,520.192135
1.0,324,520.407228
2.0,418,520.684288
2.0,446,520.979968
2.0,442,521.271093
2.0,422,521.551306
0.0,208,529.04614
0.0,232,529.198107
0.0,248,529.360479
0.0,258,529.53305
0.0,314,529.739189
0.0,232,529.891644
0.0,274,530.07225
1.0,334,530.291331
0.0,240,530.447847
1.0,290,530.64401
1.0,346,536.791505
1.0,262,536.963304
0.0,250,537.128044
0.0,264,537.300421
1.0,310,537.504135
