#{"t_start": 1718787077.786978, "env_id": "VizdoomDefendLine-v0"}
r,l,t
6.0,123,1.214048
4.0,103,1.433771
22.0,293,2.09537
7.0,133,2.454999
7.0,117,2.806782
3.0,86,3.065713
3.0,73,3.252703
2.0,68,3.467767
8.0,141,3.872955
6.0,100,4.15709
5.0,97,4.440114
2.0,75,4.636918
2.0,91,4.872324
7.0,129,5.164225
4.0,97,5.356651
6.0,124,5.660932
1.0,53,5.799056
9.0,176,6.301838
8.0,141,6.719258
8.0,113,7.032484
17.0,229,7.493265
4.0,113,7.723689
8.0,126,8.00261
3.0,86,8.208033
5.0,95,8.424811
13.0,193,8.846017
13.0,212,9.320001
7.0,103,9.510387
8.0,160,9.85032
4.0,84,10.019382
8.0,140,10.337502
7.0,145,10.663654
10.0,197,14.401583
3.0,72,14.552375
4.0,92,14.757035
13.0,175,15.149033
6.0,135,15.465295
7.0,134,15.836082
6.0,109,16.149507
11.0,162,18.615876
4.0,100,18.869425
11.0,140,19.251092
6.0,100,19.548688
16.0,214,20.130132
6.0,130,20.48401
9.0,111,20.715026
3.0,83,20.909554
5.0,109,21.128069
3.0,75,21.289082
11.0,195,21.692033
17.0,189,22.068138
7.0,133,22.36137
8.0,113,22.587766
9.0,193,22.985546
5.0,102,23.197583
11.0,159,23.539632
10.0,171,23.937406
18.0,318,24.695698
15.0,214,25.153103
6.0,102,25.368298
5.0,95,25.563179
8.0,155,29.123889
7.0,120,29.485816
8.0,132,29.908668
6.0,117,30.272585
6.0,123,30.599422
13.0,193,31.116975
3.0,81,31.319741
5.0,108,31.591397
7.0,120,31.860348
16.0,212,32.340945
1.0,49,32.489408
5.0,80,32.735095
12.0,186,33.261234
7.0,109,33.570593
