#{"t_start": 1723412814.5199592, "env_id": "VizdoomCorridor-v0"}
r,l,t
-839.36377,120,8.037886
-870.990921,73,8.118474
-1006.367233,60,8.176427
-494.964005,222,8.352055
-862.245682,100,21.86276
-760.699341,248,22.073019
-1061.039001,45,22.115091
-815.786362,178,31.553585
-274.54361,525,41.431095
-884.156601,247,41.652874
384.261551,525,52.563659
-909.405396,327,62.427354
-1035.464981,448,73.085862
-686.347763,525,83.597928
-722.090805,83,83.691473
-753.596436,95,83.771934
-884.510254,78,83.839911
-727.192505,73,83.904712
-810.261337,525,93.70468
-820.608932,111,103.673089
-813.040436,228,103.887551
-807.380859,203,114.554987
-41.588989,525,127.026519
-1033.853989,299,127.326162
-1002.656448,70,127.392542
-459.634796,67,127.455045
-699.298264,150,138.087316
-538.509598,154,138.222215
-490.225708,245,148.942282
-736.898804,346,149.194456
-935.937057,91,149.273135
-864.603821,134,159.871372
-496.515335,247,160.095585
-901.51091,61,160.153006
-889.50293,104,170.87972
-691.645523,243,171.066127
144.657089,525,180.88239
-863.553421,67,180.942618
-319.878021,525,191.370967
-709.193634,88,191.44572
-817.849426,243,201.728681
-669.631485,303,212.057854
-841.846008,64,212.116758
-928.427887,173,212.253626
-225.767746,525,223.098023
-623.634033,68,223.165005
33.338043,525,233.677734
-878.264847,86,233.754567
-682.743149,61,243.499884
394.946243,525,254.098373
-875.713745,53,254.151665
-828.10408,120,254.268439
-666.623581,79,254.335429
-834.448822,70,254.415399
-629.607635,80,254.527814
-693.562592,52,264.935522
-830.840149,162,265.067137
-581.65593,110,265.155847
-916.49324,213,265.313118
-449.727783,368,275.84564
-392.327133,245,285.832023
-702.024796,104,285.922194
-844.437302,80,285.988997
-920.743652,273,296.228501
-1056.037277,52,296.288713
-863.760941,86,296.377532
-919.405609,346,306.509324
-757.985947,91,306.624933
-696.07515,525,317.740977
-895.970856,105,317.836496
-620.596405,525,327.567132
-829.906189,75,327.641481
-943.572098,109,327.739514
-733.064178,45,338.018794
-497.997391,485,348.93556
-930.492615,208,349.115556
-26.093842,525,360.846755
-783.48111,91,360.958944
-665.36821,123,361.078806
-1125.238953,89,372.394916
-733.599457,139,372.537009
-689.49852,129,372.664066
-610.713715,88,372.758275
-804.470779,67,372.828369
-439.545731,271,385.247542
-898.627701,67,385.318259
-902.451614,85,385.403301
-519.813568,525,397.150598
-738.01001,56,397.209818
34.738449,525,408.505533
-827.116547,91,419.692715
-825.991684,64,419.812258
-712.961472,100,419.914437
-992.190155,65,419.990796
-461.174133,525,432.20096
360.313034,525,444.703699
-795.982269,102,444.813267
-494.593643,133,456.067901
-240.963242,525,468.722345
-688.530655,190,468.904411
-837.306366,157,469.065963
-923.620728,200,480.933347
-750.602768,210,481.169488
-470.969116,453,493.503044
-931.947495,246,505.240163
-784.922714,98,505.344932
-652.282181,81,505.430857
-614.401596,80,505.522446
-878.913696,104,505.641086
-765.44606,58,517.154626
-855.913345,65,517.224604
-850.214066,102,517.332231
-1068.634003,104,517.449374
-829.115784,99,517.562627
-801.181396,106,517.668302
-569.673141,517,529.466784
-767.669479,87,540.742872
-879.949188,85,540.837051
-474.078888,216,541.032962
-463.54422,254,553.113075
-1038.352325,76,553.212786
-1011.05426,67,553.287197
-804.678909,525,565.50296
-811.088715,118,565.627031
-960.978821,146,577.598609
-884.211884,127,577.728492
-564.307343,69,577.802795
-950.00499,81,577.897209
-1037.931854,77,577.980534
-591.312973,525,589.944456
-874.902756,130,601.545135
-670.978134,98,601.653315
-720.832199,98,601.754614
-804.412842,187,601.975364
-726.702026,72,615.252147
-905.882874,113,615.367842
-868.680359,179,615.540243
-855.397629,100,615.641779
-728.659027,57,615.707324
-925.074371,211,627.499619
-953.456329,67,627.580566
-732.931931,138,627.716989
-964.066727,67,627.790464
-578.077484,404,639.882086
-836.067108,201,651.157944
-1147.163864,86,651.248346
