#{"t_start": 1734328428.2313266, "env_id": "VizdoomCorridor-v0"}
r,l,t
-170.434344,81,0.849033
-126.956226,65,0.880094
-166.10528,42,0.89442
-125.89601,41,0.908919
-97.891443,61,0.929706
-298.547707,54,0.948217
-73.718578,25,0.956978
-206.451379,133,2.137605
-197.467488,59,2.158861
-203.403629,49,2.173368
-276.629684,41,2.185511
-164.424806,43,2.198068
-138.767079,72,2.219547
-150.398479,38,2.231208
-283.599724,42,2.243792
-264.59756,21,2.250391
-143.714995,61,2.26884
-230.557953,43,2.281633
-205.478087,91,3.364615
-285.376474,36,3.375543
-179.897369,43,3.389053
-192.327736,44,3.402173
-265.27632,29,3.411425
-207.445354,46,3.425081
-170.835997,86,3.450762
-159.401553,72,3.471925
-265.144719,22,3.478801
-152.02572,122,4.549936
-298.973962,31,4.559757
-72.279337,525,5.761599
-120.593413,32,5.771489
-261.408337,61,5.78975
-268.597977,50,5.804412
-74.300966,174,5.854266
-39.77821,58,5.871369
-194.693922,71,6.933507
-209.012138,34,6.943939
-189.598477,92,6.970479
-182.878497,34,6.981078
-273.474614,39,6.992717
-196.232289,72,7.014146
-267.314648,44,7.027574
-177.660098,67,7.04887
-15.715479,67,8.06598
-281.076729,37,8.077298
-192.598711,32,8.08723
-149.830241,121,8.122442
-126.475755,33,8.132439
-262.582616,39,8.144189
-202.59494,52,8.159679
-71.765465,525,9.327302
-170.13602,152,10.41108
-164.102507,57,10.428014
-168.719315,88,10.453166
-113.6,40,10.465118
-140.010419,59,10.482681
-272.393771,33,10.492781
-185.567351,48,10.507407
-193.31039,218,11.627617
-140.199109,31,11.637115
-180.924246,91,11.664116
-182.443607,110,11.695386
-297.204582,51,11.7109
-164.493391,89,11.736758
-124.400429,25,11.74463
-295.279022,43,11.757419
-61.591092,70,12.866258
-245.524168,48,12.880975
-238.268625,30,12.890231
-70.911017,344,12.985637
-154.078702,67,14.169848
-254.064009,33,14.181421
-110.220746,41,14.195995
-92.835416,507,15.574867
-158.376436,73,15.599138
-178.388445,60,15.619295
201.801031,525,16.942138
-71.151134,22,16.950628
-161.984477,41,16.964641
22.529068,525,18.294754
-170.511571,25,18.303604
-227.602051,31,18.314837
-155.669016,131,19.535566
-169.499521,93,19.566563
-202.599527,28,19.576456
-2.000877,403,20.899549
-274.659647,51,20.917299
-200.643945,173,20.973677
-209.920897,46,20.989084
-5.925815,525,22.301013
-283.221489,72,22.325325
