#{"t_start": 1734291713.6319785, "env_id": "VizdoomCorridor-v0"}
r,l,t
76.403703,97,0.608593
69.402003,111,0.650357
81.406651,49,0.665047
69.40667,110,0.69669
86.406651,33,0.707273
-13.590434,25,0.715481
-16.597997,34,0.7256
83.419656,32,0.735144
78.416081,57,2.329977
174.0,525,4.212581
172.571899,525,5.878693
86.40887,25,5.886963
172.404349,525,7.478181
172.404312,525,9.182833
71.404317,93,9.213917
78.408646,62,9.234139
62.404369,152,9.282561
84.407043,41,10.635523
80.406651,48,10.650235
78.401736,70,10.67054
62.403778,178,10.720671
-14.597997,28,10.729279
-15.588661,44,10.741891
172.404369,525,12.377775
84.404341,49,12.392657
79.406699,52,13.860612
172.406651,525,15.463089
173.314534,525,17.054142
272.404337,525,18.606125
83.406651,40,18.61869
-18.595534,52,18.63389
77.402219,94,18.660839
72.403607,92,18.687735
174.0,525,20.385907
172.402197,525,21.990217
80.404402,46,22.004109
-16.595575,47,23.501824
83.402063,53,23.517763
62.402142,277,23.594912
81.411029,54,23.610885
172.406651,525,25.233192
172.406651,525,26.863805
172.621556,525,28.414319
85.412958,27,28.422796
-17.595631,50,29.843117
80.402145,76,29.865362
77.403778,79,29.888391
80.40453,60,29.905914
67.402214,136,29.944118
172.404369,525,31.51069
81.406479,45,31.524136
-24.597833,85,33.062746
82.402003,41,33.093455
-16.595631,36,33.120857
174.0,525,34.825074
75.40399,90,34.892027
-16.595479,42,34.922222
172.402017,525,36.649549
82.415945,42,36.681872
172.402003,525,38.711609
74.406528,109,38.7908
172.571944,525,43.721024
66.401787,142,43.824295
-18.597997,58,43.868102
74.402003,96,43.938776
73.402003,98,44.009599
-23.597833,81,44.068652
-20.597983,68,45.814969
64.40217,149,45.924133
172.402188,525,47.805523
80.406651,59,47.849908
-18.593492,65,47.897562
173.314534,525,51.322703
172.402171,525,53.085369
174.40226,108,54.995852
73.401892,90,55.063617
172.404369,525,56.957765
-15.591034,22,56.975762
83.415106,43,57.006785
62.402065,272,57.201908
62.402135,210,59.084321
172.406725,525,69.445191
84.417876,21,69.461492
172.412956,525,72.793904
71.402003,103,72.86938
62.401987,220,74.943778
84.415106,33,74.970314
172.404369,525,82.845454
-15.597983,45,82.878836
65.402003,159,82.997778
172.404466,525,99.116371
65.406676,132,99.21439
81.403703,45,112.800172
84.411423,45,112.835236
174.0,525,114.951943
81.411339,40,114.981936
67.40399,150,115.104209
62.402258,230,116.653914
81.407043,49,116.690263
172.402003,525,131.924723
-19.594376,58,131.969443
83.404521,40,131.999685
172.404472,525,137.560552
82.402232,49,137.596882
172.408934,525,139.303666
172.401942,525,143.827014
75.405624,78,143.883725
79.401997,72,143.93733
-17.597766,45,158.755368
77.404349,60,158.797603
83.401784,48,158.833705
81.410789,59,158.881624
172.406763,525,160.838346
172.402003,525,162.66167
-18.598221,50,162.698143
172.402003,525,166.968888
-14.582124,25,166.987823
75.408768,78,167.044175
-16.574368,29,167.067376
82.406651,40,167.097291
75.404369,79,181.898741
81.405466,45,181.934122
172.408705,525,196.992035
-16.591042,41,197.022485
172.404462,525,211.72667
62.401619,243,211.900138
172.402017,525,227.144419
62.402167,218,240.959974
172.404369,525,257.739588
84.406699,33,257.764396
172.404028,525,272.664289
172.405544,525,274.567364
63.401794,175,274.693176
172.401825,525,290.937172
82.406699,70,305.278846
62.402187,233,305.449479
-18.595682,56,305.491965
172.40226,525,320.706692
172.404369,525,322.3454
172.401787,525,337.494777
172.401787,525,352.667444
85.404323,28,352.688807
172.406699,525,367.850513
-17.595631,41,382.633809
76.409514,75,382.688753
68.402065,124,382.778655
-12.592957,15,382.791047
79.404369,68,382.841723
78.408258,77,382.898533
174.0,525,398.07447
172.408804,525,413.342325
-14.593535,42,413.374322
172.406651,525,442.74284
172.408643,525,457.897151
172.404369,525,473.091933
172.404369,525,487.996306
69.403667,113,488.085322
-15.592957,30,488.108758
172.417876,525,497.25842
62.402202,218,497.41822
173.314534,525,527.320092
75.402003,80,527.378245
67.404402,143,527.47996
78.402003,80,527.538018
79.407397,54,527.578498
-14.589211,28,527.599729
62.402145,341,542.615179
82.404369,41,542.644931
84.401997,45,542.679835
62.402003,211,557.578667
-18.593349,46,557.613622
172.404402,525,559.76721
77.402251,69,559.818569
84.40369,47,559.854453
77.402226,97,559.925497
62.402065,299,574.994359
86.417876,22,575.01228
172.406651,525,590.213317
-15.591196,30,590.234954
62.401822,300,590.447087
172.404291,525,620.532342
172.402003,525,635.666122
174.0,525,650.081002
83.417876,35,650.107724
