#{"t_start": 1731901765.0002441, "env_id": "VizdoomCorridor-v0"}
r,l,t
-549.947845,39,0.783634
120.637756,383,1.093989
-475.166595,106,3.000265
-456.498444,61,3.0497
-319.918991,52,3.092414
-590.718842,39,3.124632
-352.138214,60,3.17372
-498.699753,25,3.194678
-247.705444,169,3.33141
-343.937119,41,3.365251
-243.851379,35,5.192249
-470.510483,82,5.259135
-494.604187,186,5.406946
-341.512115,57,5.453692
-461.983215,23,5.472875
-335.79126,31,5.498592
-567.869202,31,5.524237
-315.170074,22,5.543144
-475.575165,38,5.577866
-250.014435,168,7.463973
-469.766617,44,7.500522
108.888702,438,10.134423
-332.174896,51,10.177227
-348.995209,109,10.267767
-595.994308,25,10.289051
-502.987732,44,10.325889
-429.745865,45,10.363643
-532.947403,39,10.39642
-487.548233,31,10.42257
-317.138397,53,11.582602
-531.068863,37,11.614055
-180.54805,56,11.661388
-367.616241,103,11.746838
-308.702927,48,11.787155
-529.14473,77,11.850662
-176.335663,30,11.876218
-97.581512,169,13.102633
-374.011612,75,13.165532
-472.870163,48,13.208485
-102.390671,109,13.297792
-264.311859,57,13.34551
-391.877106,37,13.376552
-307.150208,18,13.392037
-464.635422,55,13.438064
-400.683533,62,14.64509
-535.465988,41,14.679788
-171.07753,96,14.759089
-493.042618,37,14.79271
262.925705,368,16.215942
-363.569336,64,16.31259
-376.46991,24,16.333308
-233.272751,96,16.412707
-316.216278,55,16.458575
-581.855942,44,16.495541
-312.431793,39,16.528368
15.810837,100,16.611085
-304.175903,70,18.029919
-466.367081,37,18.065174
-390.792496,29,18.089734
-289.082001,38,18.12169
-550.300095,53,18.165912
-575.008804,28,18.189674
-459.280228,31,18.216003
-465.685333,34,18.24454
-459.781006,41,18.278851
-203.169281,86,18.350406
-70.679916,120,19.809634
-198.920731,29,19.834381
-320.499191,44,19.871602
-479.390839,50,19.913867
-210.52562,71,19.976442
-358.3685,57,20.028561
-334.093643,51,20.07541
-299.379532,76,20.140652
-278.229263,26,20.162721
8.829163,148,21.52578
-180.707291,74,21.586886
-290.34938,38,21.618926
-474.974487,28,21.642632
-132.832855,76,21.705477
-364.909134,47,21.745108
-475.772156,103,21.830231
-125.41629,33,21.857988
-387.773926,39,23.351777
-584.551254,39,23.384685
-145.814545,66,23.439961
-257.624878,52,23.51569
-448.720917,61,23.566851
-443.89209,42,23.602069
-161.040787,66,23.657014
-93.239426,79,23.72263
-469.025436,38,23.754606
-378.184937,34,25.025468
-309.903336,72,25.085216
-243.991013,42,25.120254
-16.188934,77,25.184034
-273.364899,73,25.244469
-214.178864,27,25.267452
-199.341614,77,25.331138
-21.250351,112,25.437279
-257.119446,38,26.652365
-388.411102,35,26.682244
-280.72113,17,26.697188
-7.3461,74,26.759387
502.746948,133,26.871583
-256.960205,40,26.905134
-239.331131,37,26.936323
-400.520035,28,26.960047
-97.12941,48,27.000083
-69.803986,87,28.351284
-432.690033,24,28.372137
-426.448166,50,28.414469
-381.998093,94,28.49332
-220.513321,30,28.518986
-159.265213,34,28.548041
-522.04538,16,28.562193
-405.595169,42,28.598418
-257.950638,44,28.635888
7.954773,68,28.693105
-362.975632,44,28.730643
-406.796295,40,29.955531
-373.209183,38,29.98789
-543.475998,88,30.061068
-200.836838,43,30.097691
-400.382095,33,30.154935
-352.113602,28,30.179159
-429.125458,34,30.208283
-116.324814,66,30.263419
-463.481522,22,30.282512
-52.587662,48,30.323101
-419.71962,36,30.353863
-462.67775,50,30.396292
-411.67662,28,31.725802
-154.894623,28,31.749709
-433.402313,36,31.780318
-157.524506,29,31.805389
-445.442093,35,31.835062
-202.69809,54,31.880369
-468.728775,28,31.904271
-291.599701,41,31.93896
-314.32959,44,31.975935
-218.528549,33,32.00398
-240.460663,37,32.035069
-444.356125,34,32.063988
-32.550537,29,32.088482
-95.227341,51,33.331887
-21.139786,90,33.40643
-459.438705,36,33.437022
-127.15918,60,33.48739
-205.956024,47,33.52683
-245.38179,25,33.548098
-146.231293,67,33.603579
-186.941208,36,33.635088
-262.780563,53,33.68175
184.020325,82,33.752688
-372.333908,48,34.99247
-134.744446,69,35.050288
-382.497894,18,35.066046
-361.325134,20,35.083281
51.300125,55,35.129405
-466.176224,21,35.147564
-472.676636,43,35.183899
-248.085022,34,35.212629
-379.097244,38,35.244728
-460.25415,33,35.272724
-444.426971,30,35.298225
-228.904922,54,35.34348
-423.784012,42,36.621462
-12.399536,58,36.669838
-262.130203,31,36.696174
-235.637451,50,36.73801
-429.309326,44,36.774991
-403.457397,40,36.808474
-336.268707,19,36.848627
238.446915,56,36.894932
-433.837494,25,36.916148
-303.433594,42,36.951233
-75.584915,28,36.974818
-505.399719,33,37.002553
-481.906113,35,37.032287
-275.993042,26,37.054346
-381.903946,38,38.817885
-386.411102,22,38.836887
-75.383255,34,38.865984
-213.642105,49,38.90697
-351.857285,21,38.924891
-544.45079,24,38.945349
-343.07399,22,38.964269
-469.336884,28,38.98797
-126.553955,23,39.007538
-130.947906,28,39.03144
-278.769608,38,39.063314
-356.211517,24,39.083778
-298.771042,30,39.108876
-322.741226,39,39.141481
-192.38472,55,39.187404
-175.651611,32,39.214454
-116.603851,33,40.949693
-505.329147,41,40.984166
-128.374329,56,41.03047
-321.150269,34,41.059095
-156.819199,46,41.097526
-279.191132,24,41.117934
-183.59819,60,41.167866
-520.466614,29,41.192804
-251.300842,35,41.22508
-282.379715,49,41.265718
-327.195129,44,41.302363
-412.287216,31,41.328523
-253.642319,30,42.983696
-184.432678,55,43.030038
-1.905197,75,43.092191
-182.374222,50,43.133939
-228.279114,25,43.155142
-262.085785,32,43.181956
-423.492004,37,43.21308
-319.495987,17,43.227938
298.327072,77,43.294283
-279.320984,26,43.31655
-353.572464,41,43.351136
-373.217484,36,43.381505
-226.694778,23,45.108963
-560.794861,32,45.136307
-504.910294,35,45.166151
-264.466461,25,45.189912
-155.470032,48,45.230279
-249.463547,43,45.269064
-330.603683,24,45.289775
-275.768402,69,45.350378
-383.75322,25,45.395468
-255.348236,64,45.448797
-358.598495,33,45.476626
-350.858215,25,45.497833
-192.443481,35,45.527251
-258.236237,27,45.550139
-445.378387,39,47.320697
-228.781082,24,47.341985
-453.108795,22,47.364315
-150.14389,33,47.392203
-243.639557,44,47.429104
-195.996567,40,47.462609
-353.081558,27,47.485506
75.495407,40,47.518943
-171.297104,27,47.542027
-360.140808,32,47.569103
-274.89679,52,47.614972
-432.990463,22,47.634163
2120.549057,168,49.57479
-345.034744,20,49.592582
-265.641403,41,49.627568
-204.525253,45,49.665776
-88.877182,71,49.72551
-315.55336,26,49.74783
-326.612793,52,49.794597
-227.234665,46,49.833203
-229.841034,30,49.858464
-236.218063,36,49.888652
-234.502213,37,49.919826
-72.990112,37,49.950798
-336.320724,51,51.760488
-360.338562,23,51.780246
-302.913269,20,51.79752
-203.262787,30,51.822984
-426.72049,23,51.842628
-232.33757,30,51.868047
-416.559753,31,51.894394
-101.060181,62,51.945898
-293.944382,28,51.972498
27.477768,71,52.032347
-400.216446,44,52.069922
-357.521591,38,52.102357
-234.062683,20,52.119861
-500.733948,23,52.139741
-228.262451,19,54.006113
-268.250275,27,54.029402
-16.046356,29,54.054342
-234.620544,40,54.088385
-143.523392,62,54.140893
39.910049,59,54.190701
-395.302429,20,54.208255
-301.197495,36,54.239121
-272.25502,28,54.263351
-215.412979,40,54.321632
-233.404755,32,54.349049
-300.088104,26,54.371377
-0.31813,37,54.402635
-153.820587,29,54.42728
-189.04451,34,55.676356
-200.487717,22,55.695872
-84.983917,37,55.727911
-449.467072,23,55.750833
-136.450134,30,55.776088
-212.179321,47,55.818405
-2.22139,47,55.858039
-342.735641,24,55.878729
7.68512,37,55.910053
-191.661301,42,55.945634
-346.181107,25,55.967151
-323.602066,24,55.990169
-477.319504,26,56.013575
-131.49913,48,56.053519
-29.747391,39,56.086188
-233.226181,33,57.400177
-167.484482,31,57.426651
-151.886307,28,57.450849
-263.085602,20,57.47092
-66.606659,54,57.515835
-40.572189,47,57.555057
-139.868362,38,57.586764
-231.866333,30,57.611991
-234.692932,25,57.633258
-151.628159,56,57.679574
40.568161,49,57.720267
-153.477142,37,57.751269
-275.23764,25,57.772505
-282.811874,27,57.795184
-342.731049,27,58.948169
-10.208282,53,58.992366
-11.174423,43,59.028267
-311.272156,39,59.060999
-419.300766,23,59.080591
92.075516,65,59.134537
-204.723434,26,59.156682
-133.844742,41,59.190892
-231.035538,32,59.217805
-396.920319,21,59.23565
-341.94104,48,59.275508
-96.556061,25,59.296762
-157.872192,27,59.319472
-269.661301,26,59.341349
-102.995636,33,60.537572
-463.40387,26,60.560117
126.353302,37,60.591435
-476.376984,29,60.61636
-160.940308,54,60.661843
-253.727585,30,60.687596
