#{"t_start": 1724029672.3653376, "env_id": "VizdoomCorridor-v0"}
r,l,t
-598.996735,19,0.737017
-817.981125,12,0.747458
-172.710739,29,0.771172
-96.950623,13,0.782134
-746.086548,13,0.793111
-632.749893,20,0.809594
-426.593369,13,0.8211
-840.582932,12,0.833009
-611.868057,12,0.844349
-511.734207,20,0.860897
-469.682846,20,0.877383
-594.170288,13,0.892384
-448.300949,12,0.905545
-357.216354,12,0.921649
-178.072495,12,0.933774
-377.097046,26,0.956364
-458.8526,22,0.978522
-423.14946,25,0.999082
-388.53772,12,1.009282
-721.017944,13,1.020262
-492.247681,11,1.029664
-374.095795,11,1.039057
-406.227432,13,1.04998
-472.84494,18,1.064901
-423.661346,23,1.08382
-623.487839,13,1.094844
-754.098679,13,1.105886
-419.809021,18,1.120825
-553.762543,18,1.135778
-407.007507,13,1.14678
-731.117828,13,1.157768
-520.496063,21,1.789282
-347.654007,11,1.805726
-747.755997,11,1.816247
-373.50058,11,1.826782
-392.195358,19,1.844333
-371.825165,12,1.855767
-497.016708,19,1.873253
-665.434174,12,1.884505
-674.253555,16,1.899338
-389.532074,12,1.910655
-641.148285,13,1.922889
-328.716171,12,1.934283
-698.220825,20,1.952659
-885.2742,11,1.963158
-748.053375,13,1.975387
-272.281967,13,1.987545
-839.168015,13,1.99972
-582.638458,19,2.017202
-683.581802,11,2.027692
-461.056808,19,2.045223
-511.879318,20,2.063507
-494.443085,19,2.080977
-356.345032,11,2.091436
-402.080246,20,2.109791
-580.910828,12,2.121139
-351.999573,24,2.143083
-616.660797,20,2.161442
-279.514709,11,2.171826
-808.180923,13,2.18404
-322.375778,24,2.205961
-497.685806,19,2.223469
-440.07605,12,2.234756
-271.178604,11,2.245276
-84.175323,31,3.282076
-257.56192,29,3.306807
-481.553741,11,3.316596
-134.865936,11,3.326299
-492.388275,17,3.340895
-371.247894,19,3.357182
-815.820236,12,3.367778
-445.099686,19,3.384061
-778.78952,13,3.395405
-611.736679,13,3.406801
-515.037109,20,3.423841
-636.866592,22,3.442518
-610.590622,19,3.45892
-650.359512,17,3.473925
-563.883728,13,3.485482
-645.711487,12,3.496052
-535.635239,19,3.512319
-552.752914,18,3.527745
-484.79982,22,3.546647
-534.016876,12,3.558154
-230.570084,22,3.577061
-629.307922,13,3.588495
-213.003876,11,3.598222
-112.59729,12,3.608727
-339.288818,11,3.618458
-585.064499,22,3.637251
-502.94809,20,3.65438
-280.534622,12,3.664932
-194.523773,29,3.689504
-614.542267,19,4.316964
