#{"t_start": 1731912006.580624, "env_id": "VizdoomCorridor-v0"}
r,l,t
-327.886032,36,0.770549
-513.143265,19,0.786634
-502.037659,27,0.808976
-479.786407,20,0.825701
-476.975876,11,0.835242
-488.593948,27,0.857585
-387.997223,36,0.887182
-270.107071,20,0.903872
-501.182953,20,0.920817
-507.91478,28,0.943987
-560.612747,21,0.961637
-456.951004,58,1.009058
-514.254684,34,1.037133
-534.34552,13,1.048321
-503.525803,13,1.059462
-363.501221,64,1.111619
-474.589661,12,1.122178
-429.545135,20,1.138946
-428.831024,40,2.101293
-368.75209,20,2.120025
-375.012619,11,2.130654
-436.723434,41,2.164499
-544.273041,29,2.188919
-457.899643,19,2.205045
-360.637405,41,2.239272
-535.901489,21,2.260021
-361.828568,33,2.287122
-385.826553,13,2.298161
-336.156586,65,2.35059
-576.179733,20,2.367126
-573.05455,21,2.384537
-250.954468,21,2.401946
-485.166718,28,2.424894
-355.741882,12,2.4351
-459.723419,13,2.4463
-592.480774,38,2.477198
-435.037277,13,2.488224
-507.929459,21,2.505688
-484.375717,29,3.40733
-592.633194,22,3.426059
-494.558029,12,3.436529
-415.992249,12,3.446881
-317.285645,38,3.478458
-534.448486,19,3.494591
-583.768982,37,3.525162
-480.893326,38,3.557527
-590.748993,33,3.587872
-417.255463,30,3.615478
-296.54068,21,3.634992
-569.915039,29,3.661698
-467.765961,12,3.673193
-396.179596,20,3.691733
-482.052704,19,3.709567
-469.360138,38,3.744314
-467.108398,11,3.754944
-500.560883,21,3.774351
-452.383682,44,3.814312
-360.398178,19,4.81783
-428.09317,20,4.836554
-469.977875,37,4.870476
-469.165253,11,4.881079
-503.285065,20,4.899743
-557.362549,35,4.931167
-462.939926,12,4.942596
-398.415344,19,4.960416
-461.987061,26,4.984453
-397.972,42,5.02285
-466.988983,21,5.042356
-377.065125,34,5.07348
-596.951355,21,5.092971
-466.995163,22,5.113358
-288.043198,12,5.124767
-507.411728,103,5.213674
-481.434708,19,5.229641
-387.545059,45,6.145063
-381.919113,28,6.16827
-413.19426,29,6.488431
-536.195755,20,6.505586
-475.792297,18,6.520918
-430.209457,38,6.552473
-598.926987,18,6.567818
-596.94989,28,6.591279
-535.341705,29,6.615411
-317.63765,35,6.644493
-542.260422,27,6.667022
-506.28183,26,6.688765
-327.460205,87,6.759859
-480.878799,20,6.77685
-437.364349,19,6.792959
-571.363327,21,6.810682
-239.108444,48,6.85041
-535.323242,21,7.62007
-484.591064,21,7.63806
-497.994492,20,7.655106
-546.023834,22,7.673785
-423.094803,12,7.684281
-528.120193,29,7.708505
-327.629456,21,7.726316
-506.596344,13,7.737547
-416.968155,12,7.747936
-547.273712,21,7.765776
-579.069168,13,7.77705
-507.984467,20,7.79399
-566.978897,26,7.815775
-507.928452,27,7.838428
-425.108566,30,7.863271
-508.412308,11,7.872872
-416.975586,11,7.882504
-549.073517,33,7.909992
-526.007095,43,7.945587
-254.644531,28,7.968967
-447.265961,18,7.984276
-595.977234,18,7.999575
-528.057846,21,8.017375
-429.657883,21,8.918508
-478.631714,13,8.929902
-545.555908,21,8.947649
-473.517883,12,8.958067
-465.519806,38,8.989702
-532.896851,25,9.010684
-446.387146,20,9.027681
-476.646332,30,9.05282
-555.220917,21,9.070536
-336.654388,21,9.08824
-571.105865,20,9.105206
-538.951401,34,9.133458
-483.905182,28,9.156934
-408.554077,50,9.198327
-515.161438,29,9.222596
-498.996216,28,9.246021
-578.16745,28,9.269387
-412.58667,28,9.292916
-382.047836,49,9.333436
-535.917953,27,10.160049
-385.992264,11,10.16978
-568.975601,29,10.194005
-475.898361,13,10.20522
-507.561646,11,10.214817
-567.792938,20,10.231661
-272.260925,26,10.2533
-443.980621,19,10.269393
-488.775009,22,10.287925
-506.981949,19,10.304596
-506.859879,21,10.325563
-401.797684,28,10.349022
-510.835281,19,10.365147
-522.21167,20,10.382074
-568.977463,23,10.40144
-399.422745,40,10.43454
-496.449463,19,10.450645
-475.994324,21,10.468318
-163.424728,21,10.48603
-509.894211,21,10.50376
-511.312408,18,10.519078
-597.955444,28,10.542343
86.586182,253,11.823876
-553.319656,28,11.847398
-395.268173,12,11.857816
-525.87999,12,11.868216
-569.981644,29,11.892498
-479.996536,102,11.974856
-370.403397,103,12.887016
-496.977829,28,12.910571
-243.353226,12,12.920997
-337.61731,11,12.930637
-566.356262,18,12.945951
-383.360184,20,12.962914
-392.417297,65,13.016399
-341.065567,21,13.034211
-493.237701,21,13.051892
-477.745926,26,13.073538
-340.618484,21,13.091354
-406.002914,41,13.125024
-374.281403,21,13.142742
-475.326904,21,13.160608
-520.832214,29,13.185364
-411.83223,13,13.199469
-402.026443,28,13.223094
-567.893051,21,13.240855
-560.931046,26,13.262766
-453.794327,42,13.29771
-397.888672,20,14.187938
-350.391037,20,14.205106
-478.698593,21,14.222862
-501.790619,29,14.247077
-528.295853,12,14.25757
-412.830872,19,14.273702
-471.907837,26,14.295578
-319.794128,13,14.306858
-437.994186,29,14.331597
-419.24295,18,14.349629
-373.78598,18,14.365521
-362.382416,12,14.375956
-305.291138,36,14.406011
-393.421173,12,14.416494
-566.975769,11,14.426142
-584.368729,22,14.444634
-302.711533,29,14.4687
-355.060883,28,14.492181
-410.258163,12,14.502611
-498.800156,19,14.518717
-367.034256,26,14.540433
-369.049194,20,14.557422
-566.94133,13,14.568716
-535.365982,27,14.591218
-289.550659,13,15.434252
-493.149216,11,15.444021
-423.583542,38,15.475583
-406.546524,33,15.503167
-372.603195,34,15.53157
-471.040634,41,15.565711
-492.284042,21,15.583608
-538.450485,22,15.60221
-499.103638,19,15.618456
-373.708359,56,15.664882
-432.736481,72,15.723845
-537.974701,19,15.740136
-495.297775,21,15.757939
-377.258774,34,15.786278
-497.398727,13,15.7976
-426.399979,21,15.815356
-484.555862,20,15.83229
35.806442,55,16.628973
-561.595001,27,16.65186
-396.199738,13,16.663238
-519.874863,22,16.681801
-371.286621,42,16.716883
-375.69223,20,16.774168
-375.521332,13,16.785663
-488.527451,30,16.810768
-424.564392,12,16.821213
-534.770706,18,16.836526
-343.528519,34,16.864921
-300.81311,13,16.876269
-537.487671,27,16.898899
-409.217346,12,16.909428
-172.889252,51,16.951108
-590.445145,28,16.974629
-569.949661,20,16.991616
-239.109772,68,17.047232
-506.047348,19,17.608999
-460.886566,41,17.64296
-480.913559,11,17.652714
-436.129456,13,17.664394
-343.696777,34,17.695811
-422.025391,33,17.723291
-313.824677,19,17.739372
-348.055725,57,17.786498
-383.308304,21,17.806795
-516.562485,19,17.823105
-377.76619,11,17.832739
-225.013687,19,17.849028
-431.383209,21,17.866822
-370.473251,20,17.883688
-496.780624,21,17.901411
-507.965912,27,17.924013
-252.466248,49,17.964717
-265.381363,50,18.005872
-507.293579,12,18.01631
-446.838516,21,18.595452
-379.433777,21,18.61342
-524.849533,36,18.643393
-470.473389,20,18.660311
-505.973465,5,18.665062
-339.860809,11,18.67467
-339.169205,49,18.714813
-518.27916,29,18.739093
-231.142426,12,18.749599
-483.547775,19,18.765739
-487.602402,20,18.78273
-405.709137,72,18.841552
-341.359756,19,18.857741
-404.607635,48,18.897121
-512.235931,11,18.906795
-450.215057,65,18.959784
-371.490128,186,19.697473
-428.833405,13,19.708936
-231.239349,40,19.742198
-507.922928,21,19.759985
-325.003464,21,19.777702
-343.30629,20,19.794646
-410.476624,27,19.817322
-411.287811,11,19.827026
-106.126129,87,19.897821
-342.872879,13,19.909131
-490.744568,71,19.966517
-307.225647,30,19.991601
-240.450211,12,20.002064
-506.89296,20,20.651313
-305.426041,12,20.661908
-570.852234,18,20.677202
-521.880722,21,20.694696
-276.78009,48,20.734336
-536.726028,13,20.745574
-158.522949,12,20.756012
-198.981354,90,20.870718
-553.5784,19,20.887076
-388.519135,65,20.939642
-443.989716,21,20.957359
-533.312988,20,20.974248
-468.756821,28,20.997491
-447.567978,21,21.015186
-570.249237,28,21.038516
-493.18866,12,21.04898
-226.406631,13,21.060255
-292.855499,13,21.071502
-499.108292,13,21.082741
-410.991653,27,21.971522
-197.993103,20,21.988654
-402.751602,11,21.998359
-359.793304,56,22.044689
-468.454346,29,22.06901
-376.485825,13,22.08034
-319.254456,20,22.097389
-357.328125,27,22.12006
-265.643265,33,22.147726
-380.42601,21,22.165495
-466.828552,11,22.175176
-300.811874,11,22.184801
-434.207245,22,22.20344
-376.067032,26,22.225409
-469.493622,20,22.242443
-392.226379,28,22.265958
-277.305206,11,22.275639
-332.29306,48,22.315381
-334.267441,34,22.345899
-559.543991,26,22.368958
-459.29425,27,22.391387
-440.934326,13,23.2525
-361.760239,22,23.271158
-584.898651,53,23.314014
-398.3246,29,23.338345
-386.201004,26,23.360607
-444.563492,87,23.433889
-376.888657,64,23.486378
-5.878769,383,24.596399
-298.251328,19,24.612683
-404.823914,20,24.629621
