#{"t_start": 1732388373.8452156, "env_id": "VizdoomCorridor-v0"}
r,l,t
-392.593338,94,0.804184
-461.990311,48,0.847773
-426.958252,63,0.905327
-429.75885,27,0.930332
-549.684128,61,0.985888
-604.996429,66,1.046205
-119.0466,446,3.305157
-488.171509,38,3.336761
-556.239182,30,3.36264
-356.923813,165,5.260575
256.327698,525,7.32827
8.856781,525,9.545572
-315.785095,24,9.5661
-404.296616,37,9.597121
-149.700653,42,9.631999
-424.723053,66,9.686518
-383.697693,37,9.71776
-590.083557,64,9.770784
-427.261917,63,9.823079
-45.751801,197,11.775287
-336.295273,43,11.811418
-422.084671,44,11.848065
-158.530457,58,11.8962
-297.871292,142,12.012473
-565.218719,37,12.043381
-21.988998,525,14.175016
-444.977615,58,15.859186
-314.891617,31,15.885574
-261.383179,45,15.923217
-318.846909,45,15.961009
-574.54274,31,15.988656
-493.281021,55,16.034357
-554.183685,41,16.068924
-508.952393,101,16.153179
-454.999329,61,16.20404
-195.619003,43,16.23989
-392.265213,35,18.084527
-461.660019,55,18.130351
-167.340607,60,18.197807
-379.228073,44,18.23491
-500.620209,39,18.267132
-349.362442,37,18.29772
-519.09726,32,18.324525
-244.467178,33,18.35214
-379.474899,64,18.405086
-386.767853,38,18.436756
-346.906128,54,18.481593
-373.762222,62,20.222389
-407.922989,22,20.241332
-422.140961,62,20.292967
-277.234543,59,20.341962
-216.544296,23,20.361625
-291.696289,42,20.396932
-536.988983,33,20.424813
-498.542664,43,20.460979
-511.93161,53,20.504987
-142.898605,164,22.429142
-369.282166,46,22.467644
-391.525162,53,22.511787
-469.411133,50,22.556404
-420.360535,27,22.582422
-362.684235,54,22.627111
-312.486038,525,24.678425
-325.526627,44,24.717612
-485.283737,39,24.750506
-449.325775,55,24.796248
-201.081009,24,24.816607
-478.833298,73,26.56674
-333.830597,73,26.626533
-159.910583,43,26.662223
-542.498764,36,26.708375
-396.378387,35,26.73794
-329.72168,58,26.78607
-57.367416,293,28.772693
-106.210037,37,28.80396
