#{"t_start": 1732385477.1144462, "env_id": "VizdoomCorridor-v0"}
r,l,t
-168.711823,36,0.772666
-527.18837,59,0.820531
-269.870697,35,0.849803
-322.455093,52,0.892279
-493.706894,48,0.931521
-325.914993,33,0.958714
-587.18924,31,0.984208
179.321854,337,3.054979
-430.224152,156,3.18434
-325.634979,126,3.287933
-500.977234,40,3.321258
-332.656921,51,5.153682
-528.66127,47,5.192196
-355.293442,39,5.224387
-441.848724,30,5.249134
-344.89328,32,5.275457
-479.216873,39,5.307486
-480.749695,45,5.344339
137.247253,525,7.733306
-118.710266,525,10.491837
-347.207123,50,10.533572
-435.817459,41,10.570474
-597.038544,32,10.597972
-432.39595,92,12.413681
-345.210861,111,12.50617
-386.766006,53,12.550668
-523.969513,33,12.578589
-594.247223,30,12.6042
-548.167389,25,12.625603
-413.467041,34,12.65467
-363.679047,84,12.724035
-419.998306,179,14.463817
-480.938889,84,14.534714
-384.767349,124,14.637254
-495.364014,24,14.657607
32.672714,190,14.812787
-508.730209,37,16.546218
-98.971893,85,16.61977
-564.82515,34,16.64898
-374.857407,56,16.698327
-82.509766,118,16.795065
-315.434357,106,16.882359
-409.211517,30,16.908087
-375.466629,36,16.938434
-360.326492,157,18.853647
-414.698669,93,18.934024
-305.812683,31,18.960667
-115.061111,92,19.036647
-368.332031,87,19.110665
-292.944641,100,20.454591
-321.216721,30,20.480393
-120.513931,131,20.587128
-94.062164,467,22.193391
-224.669083,88,22.265452
-272.966217,131,22.371983
-254.305954,106,22.462133
-265.767624,97,23.791317
-274.904068,51,23.834223
-360.518982,53,23.878652
-427.624924,34,23.91022
-412.573486,39,23.94331
-453.269135,23,23.963262
-306.093246,113,24.059726
-498.804855,24,24.080128
-288.391937,52,24.123406
-219.386581,72,25.342081
-567.851501,26,25.367466
-446.54808,19,25.383685
6.514206,119,25.570493
-340.855972,39,25.603145
-362.486374,60,25.652452
-408.024902,31,25.678513
-478.708496,39,25.710616
-576.997421,80,25.775713
-206.358566,27,25.798447
-150.179626,61,27.060242
-404.118759,20,27.07757
-97.547592,117,27.173628
-36.762711,55,27.219178
-44.528305,71,27.277247
-124.916473,84,27.346019
-354.089752,27,27.368955
-208.265945,53,27.413845
-157.18277,77,28.787073
-450.738022,22,28.806377
-329.119568,89,28.882281
-404.840088,50,28.923943
-365.358734,29,28.948474
-249.452164,31,28.97455
-7.146576,83,29.04303
-242.298004,24,29.0635
-487.396271,45,29.100653
-106.565125,68,29.156225
