#{"t_start": 1732425425.8143475, "env_id": "VizdoomCorridor-v0"}
r,l,t
-436.844254,84,0.807516
-320.305679,168,0.943752
-390.44635,57,0.9913
-588.894562,50,1.035063
-354.521103,92,1.10901
-177.468948,83,2.867084
-290.619965,65,2.920449
-68.723221,525,5.133712
-505.977814,23,5.15305
-579.788559,27,5.175436
-139.837402,525,7.280046
-475.794434,42,7.314664
-529.872574,37,7.345025
-130.393631,300,9.566057
-150.083649,58,9.61572
-201.977325,525,11.774805
57.905716,525,13.943309
-484.439636,22,13.962232
-379.970016,56,14.009009
-427.324966,45,14.047286
30.418015,525,16.306149
-332.253265,101,16.389674
-278.996109,30,16.415131
-539.864395,49,18.111938
-565.146362,36,18.142347
-447.580078,46,18.180825
-181.35939,43,18.232258
-226.078751,43,18.268107
-490.822968,27,18.290944
-447.859222,39,18.323578
-455.682526,41,18.357876
-298.267731,31,18.383872
-246.573059,29,18.408267
-493.43338,42,18.442741
-271.789398,30,18.486671
-382.788757,29,18.511802
-282.180054,58,20.25273
-236.538025,49,20.293677
-180.261658,47,20.332737
-237.664627,30,20.357997
-106.806595,51,20.40027
-359.89473,31,20.426402
-453.681473,107,20.513314
-228.585403,53,20.557177
-240.343643,20,20.574402
-262.329559,51,20.616513
-154.260162,26,20.638442
-232.612717,39,22.471756
-367.407089,53,22.515839
-367.249695,39,22.548573
-143.835419,41,22.582695
-182.153046,27,22.605562
-484.069733,40,22.638756
-382.697525,31,22.664691
-212.906067,23,22.684375
-295.952026,48,22.724354
-40.814438,41,22.758293
-182.732407,43,22.796722
-475.668152,40,22.830332
-283.51149,33,22.858101
-331.269958,32,24.50464
-238.63298,23,24.524229
-525.850754,26,24.546258
-346.137665,38,24.578146
-259.812561,34,24.606721
-149.108261,36,24.636996
-196.52298,44,24.673978
-332.717438,62,24.725294
-452.805832,44,24.764502
-217.471863,52,24.80775
-275.029694,24,24.82819
-535.487045,60,24.877661
-526.538818,43,24.913355
-243.654739,40,26.390845
-24.007156,91,26.465478
-287.468155,41,26.512902
-314.878906,26,26.53487
-275.054642,27,26.557667
-217.269028,33,26.585375
-115.862045,525,28.628526
-382.236526,38,28.6604
-347.48703,32,28.687406
-61.237503,28,28.71104
-69.482681,46,28.749194
-449.589111,28,28.772987
-495.200348,43,28.808848
-295.743546,41,30.462111
-256.092545,31,30.488613
-303.816498,34,30.517494
-224.4767,45,30.555362
-275.321533,36,30.585752
-354.97113,30,30.611207
-414.232529,52,30.654265
-340.452271,64,30.706551
-412.429123,40,30.739774
-230.880539,30,30.765269
-77.19136,23,30.784989
-369.386429,28,30.80869
-59.340256,41,30.842672
-507.999359,104,32.708003
-548.749588,54,32.75461
-270.731415,43,32.789992
-366.341751,45,32.827391
-319.761383,26,32.849482
-434.563751,27,32.87219
-422.492111,45,32.909105
-241.050812,27,32.932114
-374.133423,27,32.95517
-403.587402,43,32.990956
48.664642,28,33.014632
-177.226517,18,33.030003
-136.992035,31,33.055994
-308.290298,20,34.744933
-399.314957,43,34.780906
-344.118057,42,34.815773
-359.582825,55,34.860922
-126.725601,25,34.882032
-213.322968,29,34.919878
-289.092621,47,34.959182
-600.996399,52,35.001769
-485.014923,37,35.032355
-445.994644,79,35.096662
-507.604355,35,35.125663
-370.862549,31,35.151631
-231.991074,40,36.924186
-222.74762,52,36.967024
-494.379837,80,37.032254
-425.589478,39,37.064355
-201.545074,28,37.087855
-563.348969,28,37.111981
-318.512436,26,37.136518
-348.36232,43,37.175098
-161.283035,26,37.197051
-354.387131,40,37.230197
-524.443649,23,37.249475
-263.146317,28,37.273113
-224.071014,33,37.300683
-281.406876,36,39.096106
-246.915771,60,39.145594
-165.997131,49,39.186003
-53.376495,43,39.221549
-118.624954,37,39.252298
-342.829697,25,39.273383
-217.607544,25,39.294546
-264.424026,30,39.319594
-158.957825,56,39.365591
-520.153885,39,39.397698
