#{"t_start": 1733277050.8280566, "env_id": "VizdoomCorridor-v0"}
r,l,t
-275.886948,27,18.398369
-78.956314,56,18.590273
-316.978058,60,18.788155
-107.981628,120,19.175184
-101.956314,57,19.358862
-94.961746,82,19.617615
-87.944473,107,37.269483
-109.96254,86,37.550264
226.088043,525,53.705788
113.020035,82,53.999261
310.020035,525,74.149903
-106.979965,65,74.374197
214.020447,525,95.982131
-31.956314,63,96.255698
250.022079,525,104.370464
374.0,525,112.348984
-311.89035,37,112.478713
-122.957108,103,118.87409
374.0,525,126.610795
-16.870422,34,126.971195
-130.962814,176,127.568103
-296.978043,80,127.853588
322.020035,525,135.960965
-117.978394,62,136.173956
298.022263,525,143.91085
274.113388,525,157.861161
-293.977722,69,158.104733
-66.979965,101,158.635422
335.719437,525,166.978955
66.019043,188,167.576938
-78.982132,53,167.76431
-286.955978,31,167.877599
-119.978394,82,174.313656
-89.981796,140,174.82511
-323.9776,117,175.235597
-74.963928,100,175.570411
-314.931763,63,175.782813
-82.923447,79,182.879953
-268.943619,59,183.099603
-297.956314,27,183.201118
-312.95697,36,183.340873
374.0,525,191.665001
-16.956314,41,191.811227
-62.979828,35,191.939747
-115.91362,63,192.147063
-82.934952,81,192.421325
-251.957291,29,192.528331
-238.933487,46,199.390605
-94.978256,73,199.658129
-287.888184,33,199.78771
-88.955978,111,200.190077
-302.978409,63,200.420651
-66.911957,57,200.640212
-288.978058,48,200.895957
238.037888,525,209.09189
-281.923172,59,209.293622
274.020035,525,223.653255
-225.932846,19,223.73031
-51.979965,42,223.875315
-110.982803,87,224.171704
-118.912964,81,224.444954
274.108826,525,232.644496
-314.957016,62,232.938283
-251.954849,49,233.103394
-287.892151,43,233.243793
-286.979965,55,233.426652
-111.956696,70,239.79497
-311.977585,29,239.906921
-275.955109,45,240.063497
-88.956314,64,240.283476
-312.977264,75,240.527818
166.043686,525,248.605799
-310.960098,62,248.903763
-100.977722,90,249.249319
-286.935379,43,249.407396
-261.979233,42,256.16305
-249.910416,33,256.304756
190.036484,525,265.053476
-260.891953,38,265.192433
-299.977707,70,265.449652
-100.956314,67,265.686608
-275.933014,78,266.037677
-288.956696,85,266.347364
-111.979965,71,266.590081
