Episodio,Puntaje
1,[683.3447]
2,[269.02048]
3,[735.0586]
4,[277.86627]
5,[273.2148]
6,[639.69604]
7,[275.31317]
8,[693.17377]
9,[739.26025]
10,[-114.95032]
11,[211.3686]
12,[273.71036]
13,[42.285446]
14,[-115.78938]
15,[278.2729]
16,[2280.4253]
17,[560.1244]
18,[308.18042]
19,[432.4867]
20,[271.21777]
21,[275.97968]
22,[-115.97673]
23,[288.41357]
24,[673.46533]
25,[239.9175]
26,[269.63153]
27,[-115.97601]
28,[-91.83333]
29,[313.35104]
30,[252.05737]
31,[310.253]
32,[681.11206]
33,[635.5159]
34,[265.32156]
35,[714.85077]
36,[292.8305]
37,[257.2074]
38,[698.94885]
39,[312.75497]
40,[628.8104]
41,[258.60938]
42,[282.15378]
43,[264.80865]
44,[224.97153]
45,[253.57965]
46,[-115.97923]
47,[-115.97751]
48,[262.25153]
49,[270.56848]
50,[633.45184]
51,[2280.4836]
52,[43.83487]
53,[685.933]
54,[655.3022]
55,[2279.6829]
56,[2283.6904]
57,[276.2569]
58,[288.53137]
59,[717.2313]
60,[271.51556]
61,[660.57965]
62,[677.6943]
63,[282.33698]
64,[576.38806]
65,[264.05786]
66,[331.58224]
67,[720.9723]
68,[253.30823]
69,[637.68835]
70,[283.15588]
71,[695.1069]
72,[201.08669]
73,[260.32672]
74,[194.21289]
75,[292.1963]
76,[728.43317]
77,[268.34784]
78,[2280.2017]
79,[251.88087]
80,[-114.703064]
81,[631.3458]
82,[334.17194]
83,[238.27498]
84,[622.99524]
85,[666.637]
86,[307.17804]
87,[199.22343]
88,[254.39792]
89,[266.60144]
90,[611.16675]
91,[681.20856]
92,[294.8123]
93,[717.12]
94,[668.9032]
95,[250.46262]
96,[630.94116]
97,[735.9955]
98,[178.9836]
99,[300.84393]
100,[281.9428]
101,[295.2411]
102,[672.8866]
103,[2277.8875]
104,[673.2257]
105,[-113.85773]
106,[287.5783]
107,[282.53296]
108,[-115.9794]
109,[264.32336]
110,[218.7077]
111,[2278.0088]
112,[641.6915]
113,[593.0081]
114,[-101.74403]
115,[193.24448]
116,[263.36337]
117,[261.3845]
118,[660.4089]
119,[755.61127]
120,[297.14734]
121,[271.32526]
122,[309.01297]
123,[309.08417]
124,[698.489]
125,[278.974]
126,[-107.052444]
127,[270.28094]
128,[665.563]
129,[206.59384]
130,[245.55807]
131,[700.3177]
132,[291.14142]
133,[738.16174]
134,[299.81293]
135,[643.5235]
136,[665.9227]
137,[318.07465]
138,[301.05795]
139,[668.46216]
140,[218.68361]
141,[709.01575]
142,[2279.793]
143,[-108.590805]
144,[634.44946]
145,[281.3839]
146,[712.6846]
147,[-115.97821]
148,[2276.808]
149,[2276.2349]
150,[248.77339]
151,[-115.97563]
152,[308.34583]
153,[661.53436]
154,[284.69293]
155,[702.6716]
156,[284.7827]
157,[-103.88736]
158,[2279.9685]
159,[248.9233]
160,[302.65997]
161,[227.12022]
162,[664.667]
163,[215.46048]
164,[237.8532]
165,[210.71587]
166,[305.2405]
167,[-15.976898]
168,[717.3904]
169,[263.35367]
170,[291.72723]
171,[233.2959]
172,[-115.97673]
173,[298.4464]
174,[217.31578]
175,[611.7799]
176,[284.91614]
177,[712.81396]
178,[224.66022]
179,[293.47565]
180,[665.42883]
181,[697.6624]
182,[646.6073]
183,[716.3349]
184,[2282.1414]
185,[231.35419]
186,[678.3832]
187,[-115.97673]
188,[712.37585]
189,[709.80756]
190,[256.0395]
191,[292.24884]
192,[675.1365]
193,[259.50732]
194,[-115.97601]
195,[702.8463]
196,[209.64613]
197,[2277.1914]
198,[-115.98247]
199,[2279.8242]
200,[729.44415]
201,[279.07202]
202,[232.29544]
203,[641.32764]
204,[2280.4077]
205,[306.32193]
206,[725.18835]
207,[270.46402]
208,[693.69995]
209,[-108.5741]
210,[259.80078]
211,[-115.97601]
212,[308.38412]
213,[320.06815]
214,[306.43842]
215,[264.76517]
216,[295.85724]
217,[325.71417]
218,[2278.5083]
219,[274.5588]
220,[637.5313]
221,[716.6572]
222,[2278.3188]
223,[612.2682]
224,[295.7271]
225,[682.2175]
226,[2280.5488]
227,[261.6283]
228,[295.47974]
229,[694.4144]
230,[-110.92456]
231,[644.4916]
232,[2281.0222]
233,[305.54254]
234,[353.4654]
235,[335.71304]
236,[286.70056]
237,[258.67554]
238,[639.7544]
239,[2281.4697]
240,[248.64777]
241,[243.65593]
242,[276.05478]
243,[-115.97673]
244,[-115.976746]
245,[260.27307]
246,[636.85925]
247,[734.5386]
248,[622.2941]
249,[-25.959656]
250,[243.4451]
251,[687.2395]
252,[298.69113]
253,[638.623]
254,[290.61682]
255,[283.55334]
256,[-115.976]
257,[267.91318]
258,[316.14932]
259,[261.50864]
260,[693.2008]
261,[316.31537]
262,[623.0257]
263,[284.98938]
264,[256.37885]
265,[257.03326]
266,[-115.98221]
267,[704.84625]
268,[264.95175]
269,[245.31868]
270,[688.22656]
271,[705.78864]
272,[300.4038]
273,[667.44415]
274,[227.43185]
275,[699.2276]
276,[738.4674]
277,[279.51068]
278,[710.9657]
279,[-115.98012]
280,[709.0909]
281,[255.90527]
282,[326.63013]
283,[2280.9155]
284,[656.85956]
285,[212.92033]
286,[707.31104]
287,[265.137]
288,[272.80396]
289,[599.56506]
290,[707.32855]
291,[-15.93277]
292,[-111.55353]
293,[-115.99019]
294,[176.28635]
295,[710.0708]
296,[690.2777]
