Episodio,Puntaje
1,[-115.98857]
2,[52.63376]
3,[16.962234]
4,[-43.491837]
5,[66.47398]
6,[-115.93709]
7,[85.22925]
8,[-115.95584]
9,[557.1902]
10,[3.519577]
11,[-91.25604]
12,[-64.143555]
13,[76.69252]
14,[2278.4194]
15,[2278.0044]
16,[-101.10571]
17,[-115.83574]
18,[-45.26677]
19,[-36.50856]
20,[2278.8872]
21,[301.83966]
22,[2277.7515]
23,[-115.929565]
24,[-113.93211]
25,[-115.95534]
26,[-90.42485]
27,[-25.828354]
28,[30.2538]
29,[-115.74751]
30,[2279.5557]
31,[163.60611]
32,[50.922134]
33,[11.838715]
34,[2276.6738]
35,[49.42044]
36,[-22.45227]
37,[744.92957]
38,[30.191772]
39,[-78.86328]
40,[-97.450714]
41,[44.3869]
42,[-97.784164]
43,[2279.9905]
44,[-106.61781]
45,[-67.71794]
46,[29.448685]
47,[66.728546]
48,[115.69287]
49,[-22.45543]
50,[-60.708557]
51,[-98.47606]
52,[40.52385]
53,[-113.489716]
54,[-51.741516]
55,[830.8654]
56,[-112.037125]
57,[-78.18672]
58,[-90.93385]
59,[-36.621857]
60,[-25.75766]
61,[-31.70375]
62,[-115.927505]
63,[58.82585]
64,[9.791061]
65,[83.00282]
66,[-103.43805]
67,[-95.45567]
68,[2278.034]
69,[109.47209]
70,[-115.91066]
71,[-105.06456]
72,[2276.8345]
73,[2278.9941]
74,[-101.89311]
75,[83.07239]
76,[-64.476]
77,[-115.95412]
78,[-93.80698]
79,[-110.17503]
80,[-107.09975]
81,[-93.93263]
82,[-102.797165]
83,[-115.88844]
84,[-111.07347]
85,[-67.352264]
86,[2278.1086]
87,[-89.55899]
88,[80.523636]
89,[-95.35004]
90,[-115.91223]
91,[-115.913864]
92,[84.333405]
93,[594.8346]
94,[-93.772934]
95,[176.36427]
96,[-49.4317]
97,[-107.143875]
98,[-115.88661]
99,[95.40614]
100,[109.18994]
101,[-5.134735]
102,[91.68918]
103,[47.328796]
104,[-50.924377]
105,[-72.50133]
106,[2279.5554]
107,[-75.27063]
108,[-70.65987]
109,[-92.07526]
110,[-56.932907]
111,[2276.7666]
112,[2277.0642]
113,[-111.56061]
114,[72.58087]
115,[111.24895]
116,[-106.93164]
117,[88.2755]
118,[-23.744797]
119,[-112.96445]
120,[-103.52234]
121,[-115.74365]
122,[95.44858]
123,[60.46147]
124,[-15.935394]
125,[2278.3975]
126,[189.78578]
127,[2278.4211]
128,[-94.33667]
129,[-115.929565]
130,[551.67395]
131,[-115.827515]
132,[62.13391]
133,[-83.19899]
134,[-61.641586]
135,[-96.86243]
136,[43.957535]
137,[2277.2146]
138,[2278.982]
139,[22.053787]
140,[-49.66693]
141,[-68.95288]
142,[-64.47975]
143,[-115.8029]
144,[156.81703]
145,[-86.40347]
146,[-105.76561]
147,[56.876495]
148,[-10.333282]
149,[15.7547]
150,[54.966736]
151,[-110.44719]
152,[-94.85405]
153,[-16.929886]
154,[-22.962082]
155,[-16.071243]
156,[-104.6151]
157,[-68.63846]
158,[144.61598]
159,[554.53186]
160,[89.01555]
161,[-15.081589]
162,[-24.453201]
163,[-42.32361]
164,[-82.83377]
165,[71.02197]
166,[-115.91077]
167,[129.45218]
168,[-86.31845]
169,[-83.92398]
170,[-54.636856]
171,[-24.109268]
172,[542.87024]
173,[2276.8032]
174,[-88.40596]
175,[-63.073853]
176,[-115.85823]
177,[-58.257385]
178,[150.39563]
179,[-103.91278]
180,[135.21423]
181,[94.84793]
182,[-115.99693]
183,[-10.7083435]
184,[-105.1402]
185,[563.6937]
186,[-88.75992]
187,[2277.7656]
188,[-45.998886]
189,[93.27763]
190,[36.147736]
191,[-56.441803]
192,[-78.38377]
193,[53.641083]
194,[2277.1782]
195,[571.0728]
196,[80.84088]
197,[-106.97885]
198,[63.151016]
199,[-115.83919]
200,[-100.500046]
201,[296.3126]
202,[132.2231]
203,[55.453247]
204,[586.69635]
205,[74.03058]
206,[59.184677]
207,[-91.75983]
208,[2277.289]
209,[684.2655]
210,[-54.392715]
211,[3.0459747]
212,[176.49126]
213,[-10.312363]
214,[-74.8009]
215,[153.48883]
216,[121.034805]
217,[2277.838]
218,[-115.899445]
219,[-115.82124]
220,[2279.7476]
221,[-56.02382]
222,[164.82701]
223,[2279.837]
224,[-62.484406]
225,[-94.0307]
226,[2278.0024]
227,[141.84277]
228,[-111.7525]
229,[-59.877716]
230,[-97.735916]
231,[2277.7969]
232,[77.872345]
233,[556.3396]
234,[2276.9307]
235,[-34.102097]
236,[-57.441727]
237,[2278.4026]
238,[-76.84537]
239,[-80.71074]
240,[750.196]
241,[-49.619385]
242,[-115.90456]
243,[-105.68219]
244,[-115.993774]
245,[-110.28705]
246,[124.14525]
247,[-100.269135]
248,[-21.273544]
249,[-98.29451]
250,[-55.36827]
251,[2279.6216]
252,[-48.853333]
253,[-113.92517]
254,[91.45271]
255,[2280.776]
256,[-72.927124]
257,[6.5910187]
258,[75.55798]
259,[-115.93349]
260,[-106.90001]
261,[-101.82938]
262,[6.690796]
263,[2276.5088]
264,[547.3897]
265,[-43.24852]
266,[-83.01495]
267,[-110.35123]
268,[-101.63548]
269,[-111.97885]
270,[-27.148499]
271,[337.2697]
272,[74.23132]
273,[-60.093292]
274,[-115.82124]
275,[226.24628]
276,[85.67566]
277,[-107.6828]
278,[60.322495]
279,[-0.7106476]
280,[-115.88837]
281,[-54.150467]
282,[-115.86542]
283,[-105.45862]
284,[-115.947174]
285,[-59.072754]
286,[-80.945526]
287,[-106.74541]
288,[73.64296]
289,[-94.90721]
290,[2276.0474]
291,[2278.5403]
292,[-60.013687]
293,[224.2662]
294,[95.68825]
295,[-106.26291]
296,[-96.69998]
297,[-115.99774]
298,[-40.499557]
299,[-110.64885]
300,[2277.732]
301,[-27.504974]
302,[30.317383]
303,[69.815384]
304,[-115.83118]
305,[2277.4465]
306,[1.8276367]
307,[-40.567932]
308,[3.2384186]
309,[116.05321]
310,[-106.777695]
311,[547.522]
312,[-72.292755]
313,[-91.8461]
314,[53.847473]
315,[124.978]
316,[-108.66553]
317,[13.0383]
318,[93.843994]
319,[57.73564]
320,[80.56372]
321,[16.834167]
322,[653.05774]
323,[-115.956314]
324,[32.165115]
325,[46.12448]
326,[-106.48888]
327,[-30.891373]
328,[1.7866364]
329,[-14.492355]
330,[29.473099]
331,[322.9569]
332,[49.344727]
333,[-28.988281]
334,[-92.75067]
335,[-115.90784]
336,[-100.571365]
337,[114.2225]
338,[-85.86702]
339,[2277.8638]
340,[-108.14252]
341,[-110.4324]
342,[132.28099]
343,[32.49965]
344,[-112.79323]
345,[539.7121]
346,[2276.262]
347,[67.975815]
348,[22.30664]
349,[-7.4319]
350,[567.7591]
351,[127.556046]
352,[46.89258]
353,[-114.806946]
354,[1.5509796]
355,[-98.257904]
356,[127.9539]
357,[-43.08029]
358,[34.709396]
359,[2277.0388]
360,[-53.874664]
361,[-87.88614]
362,[12.7234955]
363,[-53.35327]
364,[221.44202]
365,[-90.923676]
366,[85.905334]
367,[-55.44966]
368,[42.053604]
369,[117.94626]
370,[-63.0511]
371,[53.42781]
372,[66.33658]
373,[-83.422134]
374,[99.30136]
375,[29.603775]
376,[25.360596]
377,[-26.414246]
378,[341.6394]
379,[312.60608]
380,[-78.86162]
381,[559.77246]
382,[-23.033081]
383,[2276.626]
384,[-72.65727]
385,[95.3461]
386,[-109.741974]
387,[-115.98328]
388,[-106.457275]
389,[-26.836624]
390,[-111.15959]
391,[-107.2764]
392,[-102.70833]
393,[-115.72835]
394,[-86.29788]
