Episodio,Puntaje
1,[-77.35057]
2,[-57.06337]
3,[-6.320236]
4,[-81.17645]
5,[-115.52959]
6,[-111.508286]
7,[-110.9332]
8,[-104.42583]
9,[-21.5018]
10,[-93.31549]
11,[-115.99713]
12,[-106.422195]
13,[35.420074]
14,[12.681046]
15,[-47.751434]
16,[-115.15332]
17,[-115.57077]
18,[-93.937195]
19,[-104.23143]
20,[-115.99228]
21,[-113.67673]
22,[-115.97299]
23,[-50.465652]
24,[-109.00224]
25,[-115.975784]
26,[-111.009964]
27,[-95.167496]
28,[-79.536285]
29,[-29.614685]
30,[-107.28862]
31,[-103.28554]
32,[-115.2218]
33,[-115.97728]
34,[-115.90648]
35,[-4.8902283]
36,[-111.11568]
37,[-72.96649]
38,[-115.99785]
39,[-105.249435]
40,[-85.36064]
41,[-115.99933]
42,[-102.32674]
43,[-89.26471]
44,[-115.975586]
45,[-115.98192]
46,[-53.79135]
47,[-115.99713]
48,[-115.9756]
49,[-110.13876]
50,[-113.74397]
51,[-115.899185]
52,[-105.79022]
53,[-94.86406]
54,[-115.051575]
55,[-115.95824]
56,[-109.497406]
57,[-89.68036]
58,[-66.77585]
59,[-79.87366]
60,[-33.940964]
61,[-111.218735]
62,[-89.383545]
63,[-115.98833]
64,[-115.98076]
65,[-100.06917]
66,[-115.99864]
67,[-47.448135]
68,[-115.9756]
69,[-93.7038]
70,[-114.34015]
71,[-84.879425]
72,[-115.21031]
73,[-89.41249]
74,[26.69223]
75,[-108.12077]
76,[-83.38226]
77,[-71.379135]
78,[-115.63095]
79,[-45.308014]
80,[-69.0643]
81,[-87.76863]
82,[-115.42958]
83,[-112.79712]
84,[-91.83447]
85,[-63.559814]
86,[-90.15936]
87,[-115.923355]
88,[-115.99716]
89,[-76.43259]
90,[-105.40869]
91,[-77.85405]
92,[-45.90384]
93,[-115.97565]
94,[-40.792587]
95,[-72.81113]
96,[-107.57385]
97,[-108.217896]
98,[-115.990875]
99,[-109.34036]
100,[-93.18245]
101,[-61.656418]
102,[-65.66725]
103,[-115.99931]
