#{"t_start": 1727247984.3906188, "env_id": "VizdoomDeathmatch-v0"}
r,l,t
0.0,141,0.533349
4.0,111,0.567691
0.0,155,0.615072
4.0,148,5.602524
0.0,72,5.631935
8.0,231,5.704769
0.0,192,11.083064
0.0,161,11.131635
9.0,274,11.21766
0.0,220,16.319043
0.0,57,16.33854
0.0,91,16.368846
0.0,121,16.408468
26.0,451,21.906229
4.0,230,27.573066
2.0,114,27.607247
1.0,294,32.976135
7.0,184,33.032383
0.0,148,33.076789
0.0,101,33.107562
0.0,151,38.418045
4.0,218,38.481826
1.0,117,38.518904
0.0,75,43.608214
0.0,157,43.664578
17.0,215,43.728474
3.0,139,49.282568
0.0,131,49.322335
6.0,200,49.383093
6.0,175,54.95103
0.0,158,55.00034
0.0,145,55.045095
4.0,274,60.35833
0.0,121,60.399551
7.0,207,60.469569
0.0,108,65.804247
4.0,126,65.845057
11.0,218,65.910662
0.0,109,71.245392
4.0,153,71.295478
0.0,176,71.35543
12.0,241,77.256335
0.0,155,77.313052
2.0,149,77.374221
0.0,160,82.445962
1.0,161,82.494042
14.0,355,87.924777
0.0,141,87.970657
0.0,132,88.012743
6.0,153,93.082975
0.0,107,93.127037
4.0,296,93.212241
4.0,231,98.415815
0.0,155,98.461591
0.0,104,98.493784
0.0,78,98.523937
1.0,155,104.219587
7.0,331,104.31472
1.0,98,109.607994
5.0,327,109.70453
12.0,347,115.927186
0.0,183,115.982847
0.0,174,121.978422
14.0,318,122.070823
0.0,95,127.382226
0.0,221,127.454828
3.0,189,127.517267
3.0,160,132.7212
10.0,124,132.758184
0.0,151,132.803997
1.0,143,138.028954
1.0,86,138.064682
0.0,71,138.090863
5.0,245,138.173697
0.0,141,143.254853
0.0,146,143.303964
6.0,202,143.370732
7.0,251,148.602482
0.0,109,148.640201
3.0,105,148.675384
1.0,155,154.471272
3.0,177,154.524751
0.0,122,154.570272
1.0,209,159.937597
3.0,129,159.977377
4.0,302,160.0651
0.0,89,165.144879
1.0,68,165.168077
1.0,113,165.201658
2.0,193,165.26102
15.0,366,170.599055
3.0,180,170.650588
0.0,95,176.36086
6.0,139,176.401918
1.0,150,176.45098
0.0,127,176.489109
0.0,130,181.397897
4.0,244,181.477514
14.0,329,186.690614
1.0,111,186.737307
7.0,219,192.162118
1.0,102,192.194026
0.0,357,192.296892
0.0,103,197.754428
7.0,149,197.799392
4.0,172,197.854717
0.0,148,203.023298
0.0,103,203.054769
3.0,93,203.086527
0.0,93,203.116985
0.0,96,203.147953
7.0,172,208.575241
7.0,268,208.65162
0.0,199,214.086878
3.0,123,214.123298
0.0,73,214.14606
0.0,111,214.180265
3.0,184,219.581052
0.0,204,219.644867
4.0,133,219.694241
0.0,68,219.715339
0.0,103,224.561877
40.0,442,229.838755
1.0,116,229.891877
9.0,356,229.996917
2.0,199,235.071232
0.0,117,235.106177
4.0,101,235.1367
0.0,102,235.172435
1.0,157,240.534254
0.0,148,240.5782
3.0,123,240.621578
15.0,434,246.273239
0.0,122,246.309272
6.0,176,251.862222
0.0,108,251.895512
0.0,215,251.958534
1.0,118,257.809224
3.0,67,257.832352
0.0,122,257.870483
1.0,86,257.898249
14.0,446,263.297732
3.0,218,268.745283
6.0,234,268.812889
30.0,425,274.480543
3.0,121,274.526369
1.0,212,279.714441
1.0,151,279.767389
0.0,150,279.815979
0.0,92,279.843956
1.0,250,285.345499
0.0,104,285.378713
0.0,147,285.423154
6.0,182,290.724684
7.0,138,290.765508
0.0,120,290.802805
0.0,107,290.836118
0.0,107,296.608286
5.0,205,296.670382
0.0,186,296.723877
0.0,137,301.464975
4.0,248,301.537832
3.0,130,301.583654
8.0,175,306.833122
0.0,168,306.882211
0.0,131,306.929496
3.0,169,312.374548
1.0,108,312.408687
0.0,66,312.431841
3.0,118,312.478908
7.0,252,317.817481
12.0,184,317.872666
1.0,213,322.837893
6.0,328,322.930622
9.0,184,328.411262
0.0,71,328.436103
6.0,171,328.492993
7.0,181,328.547657
0.0,128,334.227048
0.0,71,334.256254
5.0,190,334.314574
0.0,99,334.365982
4.0,134,339.843723
1.0,207,339.908523
0.0,190,345.206517
0.0,319,345.296465
0.0,84,345.330116
2.0,200,350.908426
2.0,229,350.976822
0.0,193,356.624307
0.0,226,356.691454
18.0,470,362.480897
0.0,104,362.515667
3.0,156,362.56124
7.0,344,367.902493
1.0,187,373.389697
19.0,304,373.477751
1.0,93,373.514904
0.0,139,379.313144
15.0,289,379.396903
0.0,141,379.443739
1.0,179,385.198137
0.0,104,385.229822
32.0,504,390.453552
1.0,151,390.503612
4.0,162,396.501855
0.0,80,396.534632
14.0,169,396.585113
3.0,264,401.889431
0.0,312,401.98121
0.0,75,402.008926
1.0,128,407.521251
5.0,231,407.588816
