#{"t_start": 1727197090.7668083, "env_id": "VizdoomDeathmatch-v0"}
r,l,t
0.0,41,13.611172
3.0,89,13.690221
0.0,86,13.76539
2.0,185,13.924119
0.0,85,13.996862
9.0,185,17.918117
7.0,119,18.019521
0.0,63,18.077933
0.0,65,18.135104
0.0,84,21.867381
4.0,94,21.952915
2.0,102,22.043545
2.0,97,22.128709
3.0,67,22.1899
0.0,68,22.249915
3.0,150,25.782747
1.0,63,25.843313
3.0,69,25.909274
0.0,69,25.973972
0.0,76,26.042657
0.0,66,26.10108
1.0,167,33.311496
3.0,121,33.417061
0.0,53,33.468985
0.0,43,33.509067
0.0,67,33.570357
4.0,172,37.526555
0.0,75,37.594033
3.0,167,37.740649
0.0,40,37.77725
0.0,41,37.815827
0.0,57,37.869359
1.0,134,42.145122
0.0,99,42.239075
2.0,154,42.385104
4.0,154,42.533467
0.0,72,46.292101
0.0,64,46.354445
2.0,99,46.447366
6.0,103,46.538446
3.0,119,46.642453
4.0,142,50.49147
8.0,273,51.266059
3.0,59,51.322077
0.0,37,51.357152
1.0,106,58.289688
3.0,95,58.374868
3.0,101,58.467769
4.0,78,58.540765
0.0,72,58.609669
0.0,74,58.674702
0.0,46,66.723104
16.0,205,66.904661
0.0,62,66.960248
14.0,193,67.129269
6.0,131,74.533824
18.0,156,74.671263
0.0,63,74.729242
0.0,108,74.823405
6.0,130,82.355194
17.0,127,82.737273
3.0,87,82.819329
0.0,106,82.915664
3.0,104,83.009094
1.0,67,86.547997
0.0,67,86.608397
2.0,155,86.748821
4.0,205,86.930658
20.0,265,90.74693
0.0,36,90.783144
13.0,158,90.920449
0.0,82,94.731887
15.0,142,94.85595
20.0,169,95.002439
0.0,40,95.040149
2.0,120,95.149356
2.0,71,98.680204
4.0,225,99.250553
1.0,199,99.422574
3.0,80,103.307343
0.0,97,103.392066
6.0,187,103.553056
0.0,54,103.606222
2.0,119,107.481379
3.0,111,107.579348
0.0,62,107.639275
3.0,70,107.702101
12.0,176,107.856702
0.0,59,107.911134
3.0,81,111.870954
3.0,74,111.941721
3.0,59,111.996014
1.0,100,112.090393
22.0,301,116.150153
6.0,92,116.233104
0.0,106,116.918183
0.0,64,116.975791
2.0,74,117.043805
0.0,69,120.737236
0.0,57,120.789602
17.0,162,120.933026
0.0,121,121.04003
1.0,85,121.115107
0.0,89,124.775514
4.0,120,124.885005
15.0,160,125.025432
4.0,99,125.113594
0.0,86,125.190618
0.0,70,128.658928
3.0,93,128.745435
0.0,48,128.789785
0.0,59,128.846411
13.0,154,128.980106
2.0,120,132.533095
0.0,61,132.592336
3.0,116,132.703442
0.0,64,132.760654
10.0,104,132.901631
4.0,74,132.966711
0.0,48,136.62651
1.0,89,136.710676
0.0,82,136.788177
9.0,98,136.880584
1.0,71,136.946579
0.0,93,137.031709
1.0,62,137.088152
2.0,69,140.99543
7.0,108,141.091847
0.0,52,141.140978
0.0,94,141.232196
12.0,121,141.345403
9.0,106,145.082439
0.0,61,145.137707
0.0,49,145.186131
3.0,53,145.236847
3.0,109,145.333645
0.0,100,145.421487
0.0,74,145.490631
0.0,47,149.228242
4.0,105,149.324141
3.0,87,149.405586
0.0,88,149.484274
0.0,84,150.11024
0.0,79,150.182846
0.0,45,153.890606
0.0,75,153.958022
0.0,101,154.048784
0.0,61,154.108702
5.0,79,154.180206
4.0,113,154.285953
15.0,96,158.178809
0.0,61,158.235258
3.0,168,158.382821
10.0,137,158.505158
