Episodio,Puntaje
1,[0.]
2,[0.]
3,[0.]
4,[1.]
5,[1.]
6,[24.]
7,[1.]
8,[4.]
9,[7.]
10,[5.]
11,[6.]
12,[3.]
13,[4.]
14,[4.]
15,[0.]
16,[4.]
17,[0.]
18,[0.]
19,[0.]
20,[4.]
21,[1.]
22,[0.]
23,[0.]
24,[1.]
25,[0.]
26,[4.]
27,[0.]
28,[7.]
29,[0.]
30,[1.]
31,[6.]
32,[1.]
33,[0.]
34,[1.]
35,[5.]
36,[1.]
37,[0.]
38,[4.]
39,[7.]
40,[9.]
41,[1.]
42,[4.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[11.]
48,[0.]
49,[0.]
50,[2.]
51,[9.]
52,[15.]
53,[0.]
54,[0.]
55,[0.]
56,[8.]
57,[7.]
58,[0.]
59,[0.]
60,[5.]
61,[2.]
62,[0.]
63,[7.]
64,[0.]
65,[4.]
66,[0.]
67,[0.]
68,[0.]
69,[1.]
70,[20.]
71,[7.]
72,[0.]
73,[0.]
74,[1.]
75,[2.]
76,[1.]
77,[2.]
78,[0.]
79,[6.]
80,[0.]
81,[5.]
82,[0.]
83,[0.]
84,[6.]
85,[12.]
86,[4.]
87,[4.]
88,[6.]
89,[24.]
90,[1.]
91,[3.]
92,[4.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[10.]
98,[1.]
99,[24.]
100,[8.]
101,[0.]
102,[0.]
103,[4.]
104,[8.]
105,[2.]
106,[22.]
107,[0.]
108,[0.]
109,[0.]
110,[3.]
111,[0.]
112,[1.]
113,[0.]
114,[0.]
115,[2.]
116,[0.]
117,[8.]
118,[1.]
119,[0.]
120,[0.]
121,[3.]
122,[4.]
123,[5.]
124,[7.]
125,[2.]
126,[2.]
127,[24.]
128,[0.]
129,[0.]
130,[0.]
131,[0.]
132,[3.]
133,[5.]
134,[1.]
135,[0.]
136,[12.]
137,[11.]
138,[14.]
139,[4.]
140,[0.]
141,[0.]
142,[5.]
143,[4.]
144,[31.]
145,[0.]
146,[0.]
147,[0.]
148,[7.]
149,[0.]
150,[0.]
151,[3.]
152,[7.]
153,[6.]
154,[6.]
155,[1.]
156,[8.]
157,[11.]
158,[0.]
159,[0.]
