Episodio,Puntaje
1,[3.]
2,[8.]
3,[4.]
4,[0.]
5,[13.]
6,[1.]
7,[9.]
8,[2.]
9,[3.]
10,[2.]
11,[11.]
12,[5.]
13,[17.]
14,[4.]
15,[0.]
16,[3.]
17,[4.]
18,[0.]
19,[6.]
20,[4.]
21,[4.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[11.]
34,[0.]
35,[4.]
36,[0.]
37,[6.]
38,[1.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[10.]
45,[0.]
46,[0.]
47,[12.]
48,[0.]
49,[9.]
50,[0.]
51,[23.]
52,[1.]
53,[16.]
54,[6.]
55,[0.]
56,[8.]
57,[0.]
58,[2.]
59,[0.]
60,[0.]
61,[3.]
62,[0.]
63,[0.]
64,[10.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[1.]
70,[2.]
71,[0.]
72,[0.]
73,[0.]
74,[12.]
75,[0.]
76,[2.]
77,[0.]
78,[4.]
79,[3.]
80,[4.]
81,[0.]
82,[15.]
83,[0.]
84,[4.]
85,[3.]
86,[0.]
87,[1.]
88,[0.]
89,[0.]
90,[0.]
91,[8.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[3.]
97,[0.]
98,[0.]
99,[1.]
100,[0.]
101,[1.]
102,[5.]
103,[0.]
104,[9.]
105,[6.]
106,[0.]
107,[0.]
108,[17.]
109,[7.]
110,[1.]
111,[4.]
112,[1.]
113,[6.]
114,[0.]
115,[0.]
116,[2.]
117,[4.]
118,[0.]
119,[1.]
120,[10.]
121,[0.]
122,[0.]
123,[0.]
124,[0.]
125,[4.]
126,[0.]
127,[7.]
128,[5.]
129,[7.]
130,[0.]
131,[1.]
132,[0.]
133,[3.]
134,[0.]
135,[0.]
136,[15.]
137,[0.]
138,[0.]
139,[0.]
140,[0.]
141,[0.]
142,[5.]
143,[0.]
144,[1.]
145,[1.]
146,[42.]
147,[0.]
148,[0.]
149,[0.]
150,[0.]
151,[0.]
152,[6.]
153,[0.]
154,[0.]
155,[8.]
156,[1.]
157,[0.]
158,[6.]
159,[0.]
160,[3.]
161,[5.]
162,[0.]
163,[0.]
164,[1.]
165,[3.]
166,[16.]
167,[6.]
168,[9.]
169,[0.]
170,[20.]
171,[0.]
172,[3.]
173,[3.]
174,[3.]
175,[7.]
176,[1.]
177,[1.]
178,[0.]
179,[1.]
180,[1.]
181,[1.]
182,[0.]
183,[0.]
184,[0.]
185,[0.]
186,[0.]
187,[0.]
188,[0.]
189,[1.]
190,[0.]
191,[0.]
192,[9.]
193,[6.]
194,[3.]
195,[3.]
196,[0.]
197,[6.]
198,[0.]
199,[0.]
200,[0.]
201,[3.]
202,[5.]
203,[1.]
204,[0.]
205,[9.]
206,[4.]
207,[1.]
208,[0.]
209,[0.]
210,[3.]
211,[1.]
212,[0.]
213,[0.]
214,[5.]
215,[10.]
216,[0.]
217,[4.]
218,[1.]
219,[5.]
220,[3.]
221,[0.]
222,[0.]
223,[0.]
224,[6.]
225,[0.]
226,[6.]
227,[0.]
228,[0.]
229,[14.]
230,[0.]
231,[13.]
232,[7.]
233,[0.]
234,[0.]
235,[2.]
236,[5.]
237,[0.]
238,[3.]
239,[9.]
240,[0.]
241,[3.]
242,[1.]
243,[6.]
244,[6.]
245,[3.]
246,[10.]
247,[1.]
248,[4.]
249,[0.]
250,[0.]
251,[0.]
252,[13.]
253,[6.]
254,[3.]
255,[9.]
256,[0.]
257,[6.]
258,[0.]
259,[9.]
260,[4.]
261,[0.]
262,[6.]
263,[4.]
264,[12.]
265,[1.]
266,[7.]
267,[3.]
268,[0.]
269,[10.]
270,[0.]
