Episodio,Puntaje
1,[0.]
2,[1.]
3,[6.]
4,[0.]
5,[5.]
6,[3.]
7,[0.]
8,[1.]
9,[0.]
10,[2.]
11,[3.]
12,[3.]
13,[5.]
14,[4.]
15,[3.]
16,[4.]
17,[6.]
18,[0.]
19,[1.]
20,[0.]
21,[0.]
22,[3.]
23,[0.]
24,[0.]
25,[11.]
26,[7.]
27,[0.]
28,[0.]
29,[0.]
30,[6.]
31,[0.]
32,[5.]
33,[19.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[3.]
41,[0.]
42,[3.]
43,[5.]
44,[9.]
45,[3.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[25.]
51,[0.]
52,[0.]
53,[3.]
54,[3.]
55,[0.]
56,[0.]
57,[1.]
58,[2.]
59,[2.]
60,[9.]
61,[0.]
62,[3.]
63,[7.]
64,[10.]
65,[0.]
66,[0.]
67,[11.]
68,[0.]
69,[3.]
70,[4.]
71,[4.]
72,[0.]
73,[4.]
74,[4.]
75,[8.]
76,[0.]
77,[4.]
78,[1.]
79,[1.]
80,[4.]
81,[0.]
82,[1.]
83,[3.]
84,[0.]
85,[4.]
86,[4.]
87,[4.]
88,[0.]
89,[3.]
90,[0.]
91,[9.]
92,[0.]
93,[0.]
94,[0.]
95,[5.]
96,[5.]
97,[1.]
98,[0.]
99,[3.]
100,[1.]
101,[0.]
102,[0.]
103,[0.]
104,[0.]
105,[0.]
106,[10.]
107,[0.]
108,[17.]
109,[3.]
110,[0.]
111,[5.]
112,[1.]
113,[6.]
114,[3.]
115,[0.]
116,[7.]
117,[1.]
118,[0.]
119,[0.]
120,[10.]
121,[3.]
122,[11.]
123,[5.]
124,[4.]
125,[4.]
126,[10.]
127,[1.]
128,[0.]
129,[3.]
130,[5.]
131,[0.]
132,[0.]
133,[0.]
134,[0.]
135,[3.]
136,[6.]
137,[1.]
138,[0.]
139,[6.]
140,[0.]
141,[0.]
142,[4.]
143,[3.]
144,[0.]
145,[4.]
146,[0.]
147,[0.]
148,[0.]
149,[5.]
150,[0.]
151,[4.]
152,[2.]
153,[6.]
154,[0.]
155,[14.]
156,[19.]
157,[8.]
158,[3.]
159,[4.]
160,[0.]
161,[26.]
162,[6.]
163,[0.]
164,[0.]
165,[8.]
166,[0.]
167,[7.]
168,[0.]
169,[0.]
170,[1.]
171,[9.]
172,[8.]
173,[3.]
174,[3.]
175,[1.]
176,[0.]
177,[0.]
178,[1.]
179,[22.]
180,[0.]
181,[8.]
182,[7.]
183,[0.]
184,[0.]
185,[0.]
186,[3.]
187,[4.]
188,[2.]
189,[0.]
190,[8.]
191,[7.]
192,[0.]
193,[9.]
194,[3.]
195,[3.]
196,[1.]
197,[4.]
198,[6.]
199,[0.]
200,[0.]
201,[1.]
202,[0.]
203,[1.]
204,[7.]
205,[1.]
206,[1.]
207,[18.]
208,[4.]
209,[10.]
210,[0.]
211,[4.]
212,[0.]
213,[1.]
214,[0.]
215,[0.]
216,[0.]
217,[0.]
218,[0.]
219,[1.]
220,[0.]
221,[0.]
222,[1.]
223,[0.]
224,[3.]
225,[0.]
226,[3.]
227,[3.]
228,[1.]
229,[11.]
230,[7.]
231,[7.]
232,[0.]
233,[3.]
234,[1.]
235,[11.]
236,[14.]
237,[0.]
238,[0.]
239,[7.]
