#{"t_start": 1723948197.031309, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,69,0.587903
0.0,101,0.615632
1.0,75,0.636163
0.0,84,0.659157
0.0,92,0.684602
0.0,76,0.705491
1.0,99,2.837208
0.0,86,2.860991
2.0,98,2.888005
0.0,69,2.907003
-1.0,52,2.921446
1.0,87,2.945176
1.0,113,4.870046
0.0,95,4.896152
0.0,85,4.919743
0.0,89,4.946646
0.0,77,4.970115
0.0,97,7.018647
0.0,65,7.038732
2.0,105,7.070774
1.0,112,7.104767
-1.0,62,7.124003
-1.0,52,7.140222
-1.0,60,7.158772
1.0,90,9.157906
0.0,93,9.183548
-1.0,75,9.204354
0.0,88,9.228492
-1.0,73,9.24881
-1.0,82,11.215677
2.0,93,11.244363
1.0,91,11.272026
-1.0,68,11.292974
1.0,102,11.324174
-1.0,78,11.348174
0.0,70,13.324733
-1.0,75,13.34802
0.0,61,13.366719
1.0,102,13.398335
1.0,93,13.426687
1.0,99,13.456608
3.0,98,15.450444
1.0,94,15.476817
-1.0,57,15.492731
-1.0,73,15.512873
-1.0,56,15.528473
1.0,87,15.552223
1.0,77,15.573419
0.0,68,17.551881
0.0,92,17.579784
0.0,84,17.605534
1.0,92,17.633439
1.0,98,17.663252
0.0,79,17.687361
1.0,103,19.705231
0.0,81,19.730324
1.0,104,19.762052
2.0,108,19.794981
1.0,88,19.821696
0.0,67,21.822789
2.0,94,21.851749
0.0,76,21.874801
1.0,97,21.904255
0.0,80,21.928602
0.0,88,21.955271
1.0,103,23.899799
0.0,61,23.916946
-1.0,54,23.932008
0.0,91,23.957052
0.0,85,23.980436
1.0,80,24.0024
-1.0,68,25.993075
0.0,76,26.01485
-1.0,93,26.040353
-1.0,82,26.06285
1.0,74,26.083214
1.0,82,26.105864
1.0,101,28.083274
0.0,71,28.103407
1.0,105,28.13199
-1.0,55,28.147454
0.0,72,28.167263
0.0,73,28.187267
-1.0,70,28.206523
0.0,74,30.15941
-1.0,69,30.178695
3.0,109,30.208837
0.0,67,30.227337
3.0,128,30.262417
1.0,92,32.252454
0.0,71,32.275945
0.0,58,32.291924
-1.0,68,32.310655
-1.0,72,32.330322
0.0,81,32.352358
0.0,93,32.377518
1.0,88,34.403757
1.0,87,34.428703
3.0,102,34.456696
1.0,76,34.477658
0.0,98,34.504669
-1.0,86,34.528258
0.0,78,36.468498
0.0,70,36.488334
3.0,128,36.52319
1.0,100,36.550556
0.0,101,36.578165
-1.0,70,38.582986
0.0,67,38.602479
1.0,67,38.62097
-1.0,66,38.639186
1.0,87,38.662949
0.0,82,38.685625
0.0,71,38.705151
1.0,68,40.663305
1.0,99,40.690399
2.0,90,40.715017
0.0,84,40.737934
0.0,97,40.76434
0.0,99,42.839632
-1.0,69,42.885993
-1.0,68,42.931804
-1.0,58,42.969612
1.0,92,43.030741
0.0,56,43.068631
0.0,70,43.116162
1.0,106,45.180403
-1.0,86,45.238862
1.0,96,45.301379
0.0,60,45.342228
0.0,55,45.380043
1.0,94,45.441068
0.0,76,45.491223
-1.0,60,47.703929
1.0,99,47.770343
1.0,87,47.828502
-1.0,64,47.87124
0.0,76,47.921526
0.0,60,47.961946
0.0,71,49.999918
0.0,89,50.05984
0.0,88,50.118254
1.0,94,50.181018
0.0,81,50.240028
1.0,72,50.28778
-1.0,68,52.452627
0.0,78,52.505772
-1.0,71,52.553402
0.0,76,52.60495
1.0,81,52.65845
1.0,95,52.721283
0.0,62,52.761796
0.0,83,54.769526
0.0,82,54.822932
1.0,90,54.884394
0.0,85,54.941009
1.0,101,55.007921
-1.0,68,55.053264
-1.0,49,57.088346
-1.0,79,57.150366
-1.0,85,57.207872
0.0,69,57.253467
2.0,98,57.319003
1.0,98,57.385116
0.0,63,59.600711
0.0,72,59.648271
-1.0,59,59.686522
-1.0,72,59.735023
1.0,104,59.804143
0.0,71,59.851651
1.0,91,59.912755
0.0,97,62.246232
1.0,94,62.310117
0.0,93,62.372053
2.0,110,62.444789
0.0,75,62.495187
2.0,112,64.475808
0.0,67,64.522192
1.0,102,64.589639
0.0,79,64.643192
-1.0,76,64.694048
-1.0,58,64.733607
-1.0,69,66.987754
-1.0,71,67.034979
-1.0,69,67.08042
-1.0,73,67.128262
0.0,85,67.18348
0.0,82,67.238039
0.0,73,67.286267
-1.0,66,69.393329
0.0,82,69.447469
1.0,86,69.505062
0.0,83,69.559469
0.0,69,69.606061
-1.0,70,69.652718
0.0,86,71.940773
0.0,89,71.99923
0.0,71,72.046876
1.0,67,72.090649
1.0,69,72.137444
-1.0,67,72.181199
1.0,70,72.228077
-1.0,53,74.231573
1.0,106,74.302365
-1.0,73,74.350311
0.0,68,74.395285
0.0,94,74.456578
0.0,87,74.514452
1.0,88,76.523792
-1.0,71,76.572228
0.0,83,76.627974
-1.0,74,76.675756
1.0,90,76.736922
1.0,81,76.790571
1.0,110,78.881728
-1.0,58,78.92132
0.0,81,78.975262
0.0,88,79.03362
0.0,68,79.079687
1.0,100,79.146346
0.0,77,79.197284
0.0,70,81.311163
-1.0,54,81.346897
0.0,89,81.408116
1.0,84,81.464927
-1.0,72,81.513115
1.0,89,81.572223
-1.0,67,83.627134
0.0,67,83.6698
-1.0,67,83.714963
1.0,88,83.773083
1.0,88,83.831991
3.0,133,83.918685
1.0,94,86.082953
0.0,93,86.144905
-1.0,72,86.193069
1.0,74,86.243583
-1.0,74,86.292475
1.0,70,86.339368
-1.0,83,88.314861
0.0,77,88.366689
2.0,99,88.432899
-1.0,78,88.485523
0.0,93,88.547775
0.0,76,88.599589
1.0,115,90.749913
