#{"t_start": 1723959269.7969549, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,79,0.760003
-1.0,74,0.817949
0.0,85,0.884486
0.0,86,0.951522
0.0,71,1.00695
1.0,109,3.414852
0.0,91,3.486119
-1.0,80,3.548748
1.0,103,3.62925
1.0,101,3.707965
-1.0,80,3.77051
-1.0,71,6.228366
1.0,72,6.28492
0.0,100,6.36305
-1.0,70,6.417939
0.0,81,6.48617
1.0,84,6.558066
1.0,70,8.950588
0.0,71,9.006564
0.0,64,9.056872
0.0,83,9.121982
1.0,64,9.17238
1.0,110,9.258596
2.0,109,11.622373
1.0,82,12.346654
0.0,48,12.385524
0.0,73,12.444159
-1.0,68,12.498913
1.0,112,12.591706
1.0,107,12.678735
0.0,71,16.014748
2.0,99,16.094705
1.0,111,16.183601
1.0,97,16.261098
0.0,88,16.331512
2.0,106,19.46562
0.0,64,19.517948
3.0,113,19.60996
0.0,87,19.68057
1.0,79,19.744719
0.0,88,23.178824
1.0,84,23.249281
-1.0,61,23.298297
0.0,67,23.352247
-1.0,70,23.408429
-1.0,79,23.472031
-1.0,76,23.535387
0.0,80,26.654649
1.0,77,26.716636
2.0,95,27.358952
3.0,105,27.44583
1.0,104,27.53103
3.0,109,30.662404
2.0,113,30.752999
2.0,105,30.836939
-1.0,63,30.887676
1.0,107,30.9735
2.0,113,34.181922
1.0,87,34.251629
3.0,108,34.338
4.0,124,34.437294
4.0,131,34.544592
0.0,92,37.561253
2.0,111,37.650266
0.0,88,37.72099
2.0,113,37.811382
1.0,95,37.889964
0.0,78,41.038723
2.0,112,41.741991
2.0,101,41.822979
1.0,70,41.879184
3.0,113,41.969585
0.0,89,44.491372
2.0,109,44.579138
2.0,114,44.670602
3.0,106,44.755948
2.0,106,44.841545
2.0,130,47.418106
0.0,64,47.46986
0.0,100,47.550279
6.0,171,47.692313
2.0,101,50.23014
2.0,107,50.315959
0.0,64,50.367632
1.0,102,50.449651
1.0,111,50.541568
5.0,130,53.088994
1.0,107,53.17479
1.0,88,53.860862
3.0,120,53.95755
1.0,96,54.036826
2.0,106,56.651884
0.0,94,56.727556
2.0,101,56.808635
1.0,91,56.88163
3.0,112,56.971495
0.0,59,59.530064
4.0,137,59.643671
2.0,109,59.731004
3.0,104,59.814451
3.0,146,62.384578
0.0,85,62.453166
1.0,95,62.529421
4.0,132,62.63483
-1.0,72,62.692698
5.0,156,65.301344
0.0,95,65.37768
0.0,82,65.443799
0.0,70,66.115531
3.0,122,66.216348
1.0,94,69.846717
2.0,104,69.930326
3.0,99,70.009813
0.0,85,70.078332
2.0,118,70.172999
0.0,84,70.24065
1.0,109,73.845871
2.0,86,73.915564
2.0,99,73.997469
4.0,127,74.101783
6.0,198,77.827369
3.0,109,77.915007
1.0,88,77.985587
0.0,77,78.047518
1.0,101,78.128648
2.0,105,81.72787
2.0,102,81.809945
4.0,125,82.531706
1.0,90,82.604038
1.0,104,86.237072
7.0,188,86.387326
7.0,203,86.550117
3.0,115,90.130668
3.0,101,90.212142
2.0,108,90.298874
5.0,131,90.40416
1.0,88,90.474978
1.0,89,94.124172
2.0,97,94.202091
1.0,102,94.283861
2.0,107,94.370096
3.0,108,94.456601
4.0,115,98.010382
2.0,101,98.091889
2.0,94,98.167591
1.0,86,98.848863
2.0,98,98.928014
1.0,78,102.891227
3.0,110,102.979581
6.0,141,103.092514
2.0,88,103.163203
2.0,119,103.258412
3.0,118,107.016322
1.0,91,107.089557
2.0,102,107.171618
2.0,98,107.250312
2.0,106,111.087451
0.0,66,111.143411
2.0,110,111.231399
4.0,118,111.328512
3.0,111,111.41814
2.0,106,115.218638
0.0,70,115.27504
5.0,121,115.3722
1.0,74,115.434427
2.0,105,115.518882
3.0,108,116.219925
5.0,124,120.841378
3.0,112,120.931308
0.0,71,120.988377
2.0,102,121.070413
5.0,135,125.812528
0.0,75,125.872959
3.0,108,125.959621
3.0,101,126.040821
0.0,64,126.092364
0.0,72,126.150141
2.0,109,130.856832
2.0,113,130.947238
1.0,105,131.031818
1.0,106,131.116687
6.0,133,135.884441
4.0,120,135.980799
4.0,124,136.083061
1.0,98,136.161781
2.0,113,136.868348
3.0,111,142.824376
1.0,85,142.894079
4.0,105,142.980131
1.0,96,143.058693
0.0,68,143.114669
0.0,65,148.692273
3.0,121,148.790091
-1.0,64,148.841997
3.0,92,148.916195
2.0,98,148.995253
2.0,104,149.079062
4.0,117,155.060179
6.0,143,155.178277
1.0,99,155.258185
1.0,89,155.330045
2.0,92,160.765621
0.0,74,160.825578
2.0,104,160.90922
4.0,117,161.003221
2.0,106,161.088677
2.0,95,168.006522
4.0,135,168.117663
2.0,98,168.196747
2.0,113,168.28787
2.0,104,168.371634
1.0,104,173.909664
5.0,124,174.009191
8.0,195,174.16484
0.0,88,174.2355
3.0,112,179.751649
2.0,86,179.820972
1.0,84,179.888386
0.0,77,179.950281
4.0,114,180.041689
1.0,103,185.612566
1.0,85,185.681095
1.0,97,185.759021
2.0,104,185.842492
5.0,131,185.947537
2.0,106,192.790238
5.0,120,192.886622
2.0,96,192.963633
1.0,93,193.038294
3.0,110,193.129113
5.0,123,199.459777
5.0,115,199.557505
2.0,96,199.637332
3.0,104,199.720691
2.0,109,206.953624
1.0,92,207.027514
1.0,88,207.098152
3.0,117,207.191668
5.0,152,207.313038
1.0,104,214.436678
3.0,99,214.516186
2.0,93,214.590835
6.0,158,214.717071
2.0,108,221.982493
2.0,103,222.676298
4.0,132,222.78212
4.0,113,222.872717
6.0,171,230.564924
3.0,121,230.665004
2.0,91,230.738325
-1.0,62,230.788407
2.0,109,230.878546
1.0,96,239.11421
3.0,100,239.194726
3.0,117,239.288859
7.0,163,239.419719
2.0,101,247.38229
7.0,150,247.502697
2.0,104,247.586103
4.0,132,247.692014
5.0,132,256.448019
2.0,100,257.144852
2.0,103,257.227845
2.0,107,257.31368
7.0,178,266.974984
1.0,108,267.070301
7.0,134,267.187657
5.0,135,267.306067
3.0,121,275.875944
3.0,113,275.966619
1.0,71,276.023678
2.0,103,276.108442
3.0,112,276.200052
2.0,108,284.363361
3.0,101,284.444551
4.0,111,284.533838
5.0,133,284.64062
4.0,123,292.800789
3.0,115,292.894619
6.0,164,293.624847
3.0,104,293.709518
2.0,101,293.794003
6.0,126,301.25391
4.0,131,301.361892
2.0,110,301.454717
3.0,127,301.55696
3.0,102,308.751978
7.0,182,308.898725
6.0,148,309.017795
4.0,122,316.412145
4.0,105,316.500147
3.0,112,316.591204
1.0,78,316.654723
2.0,109,316.743429
3.0,99,323.63168
5.0,135,323.740184
4.0,122,324.449863
2.0,102,324.531543
7.0,150,330.784581
5.0,133,330.892873
5.0,116,330.987271
6.0,137,331.0983
6.0,137,337.483023
6.0,143,337.597733
5.0,140,337.709933
4.0,132,337.815544
3.0,113,343.89728
2.0,109,343.984865
2.0,99,344.064325
5.0,131,344.16926
1.0,84,350.430504
1.0,101,350.514598
5.0,130,350.624229
6.0,152,351.356239
5.0,134,358.776579
6.0,148,358.895127
3.0,100,358.975457
4.0,95,359.051785
7.0,175,366.035853
4.0,116,366.128819
4.0,111,366.217866
6.0,156,366.34224
7.0,186,373.311216
8.0,222,373.489137
5.0,124,373.588599
4.0,129,380.762272
3.0,107,380.848866
7.0,155,381.570367
5.0,152,390.011032
1.0,99,390.09853
3.0,115,390.200158
4.0,119,390.305409
10.0,205,399.372302
4.0,101,399.457417
7.0,180,399.601067
2.0,97,399.678707
3.0,106,408.211832
6.0,145,408.32811
9.0,204,408.491846
8.0,193,417.006271
6.0,140,417.118503
2.0,99,417.198272
5.0,122,417.90963
7.0,178,427.663695
4.0,120,427.762528
5.0,130,427.869695
6.0,151,437.323196
5.0,123,437.422047
4.0,125,437.529557
6.0,132,437.645387
8.0,169,447.643595
7.0,195,447.800451
7.0,172,447.938751
5.0,154,457.088707
5.0,136,457.197954
7.0,187,457.965879
4.0,109,466.633842
6.0,140,466.745914
6.0,182,466.891237
11.0,243,475.798111
8.0,177,475.943591
7.0,171,476.083925
9.0,221,484.998349
8.0,195,485.15575
8.0,210,494.455455
6.0,144,494.57181
9.0,218,494.747199
3.0,103,504.736691
3.0,113,504.828508
6.0,185,504.977898
9.0,227,513.846076
6.0,156,513.971953
6.0,112,514.062486
6.0,162,514.193199
13.0,263,523.244493
8.0,209,523.41297
3.0,108,532.806766
7.0,196,532.9668
7.0,194,533.122983
8.0,166,542.956372
4.0,125,543.058243
8.0,208,543.227209
4.0,104,552.224754
9.0,163,552.355287
11.0,227,552.537517
11.0,249,561.527198
5.0,123,561.625723
12.0,237,570.711932
9.0,192,570.865849
7.0,172,571.003723
11.0,226,580.786385
6.0,124,580.886009
4.0,83,580.952766
8.0,175,590.000355
2.0,94,590.07602
8.0,221,590.253197
8.0,182,599.828149
6.0,123,599.927011
9.0,199,600.085989
11.0,238,608.268059
4.0,112,608.357942
9.0,195,608.518892
10.0,199,617.193953
9.0,220,617.992062
5.0,120,618.088157
9.0,233,626.51054
8.0,175,626.651218
14.0,272,634.907676
4.0,124,635.007338
8.0,198,635.165932
7.0,142,643.567162
5.0,109,643.655345
8.0,199,643.815675
9.0,173,652.523388
9.0,231,653.323563
8.0,158,653.451482
10.0,225,662.172442
4.0,124,662.272182
5.0,136,662.381178
8.0,178,670.668352
8.0,213,670.838902
10.0,191,679.616688
6.0,140,679.72911
10.0,190,679.881182
8.0,197,688.98991
9.0,186,689.760178
7.0,158,689.886575
11.0,235,699.100907
10.0,181,699.245833
10.0,204,707.76552
7.0,154,707.889136
8.0,173,708.030355
9.0,161,708.159111
11.0,235,717.407008
8.0,185,717.557395
12.0,199,726.511311
10.0,209,727.298034
7.0,149,727.421304
6.0,128,736.321526
4.0,107,736.407701
6.0,133,736.51416
6.0,126,736.615143
5.0,122,745.697876
10.0,234,745.885109
8.0,204,754.85596
4.0,110,754.94418
9.0,204,755.10703
2.0,106,755.192022
10.0,223,764.069308
7.0,134,764.794256
3.0,112,764.884116
9.0,197,773.960274
10.0,199,774.120039
6.0,141,774.232903
11.0,218,782.995718
8.0,183,783.141874
3.0,109,783.229136
11.0,198,792.034585
11.0,182,792.179924
8.0,183,801.404683
9.0,227,801.58585
12.0,259,810.575203
11.0,196,810.732336
6.0,120,810.828931
9.0,209,819.464641
9.0,216,819.637151
10.0,223,819.814903
8.0,192,828.385635
8.0,206,828.550087
10.0,198,836.929528
8.0,148,837.048069
11.0,222,837.84201
7.0,180,845.81679
10.0,236,846.00458
12.0,215,854.518475
10.0,194,854.676862
4.0,116,854.769657
10.0,209,862.838451
11.0,233,863.024282
9.0,165,863.156128
6.0,118,871.079243
7.0,152,871.20292
10.0,210,871.97154
8.0,168,880.470719
9.0,192,880.624963
7.0,121,880.721846
6.0,156,888.6879
11.0,225,888.871593
9.0,212,897.120456
9.0,174,897.25971
9.0,194,897.415198
11.0,237,905.842352
7.0,139,905.954221
7.0,175,906.094182
7.0,163,914.730598
11.0,231,914.915714
10.0,223,923.022833
9.0,230,923.206297
12.0,215,931.128202
9.0,180,931.271286
7.0,148,931.389263
5.0,117,931.486491
9.0,201,939.376107
10.0,191,939.532076
9.0,190,947.994091
10.0,241,948.189229
12.0,197,948.349114
12.0,226,957.182634
5.0,132,957.288181
11.0,251,966.153746
10.0,220,966.332325
8.0,180,975.052968
10.0,228,975.235198
12.0,246,975.431588
11.0,244,984.530404
8.0,185,984.678584
