Episodio,Puntaje
1,[17.]
2,[7.]
3,[11.]
4,[14.]
5,[11.]
6,[18.]
7,[15.]
8,[19.]
9,[13.]
10,[18.]
11,[14.]
12,[12.]
13,[7.]
14,[14.]
15,[11.]
16,[14.]
17,[16.]
18,[12.]
19,[18.]
20,[11.]
21,[19.]
22,[14.]
23,[12.]
24,[11.]
25,[11.]
26,[18.]
27,[10.]
28,[11.]
29,[17.]
30,[18.]
31,[17.]
32,[14.]
33,[14.]
34,[13.]
35,[19.]
36,[11.]
37,[12.]
38,[17.]
39,[10.]
40,[12.]
41,[11.]
42,[12.]
43,[9.]
44,[8.]
45,[15.]
46,[14.]
47,[17.]
48,[16.]
49,[12.]
50,[8.]
51,[16.]
52,[11.]
53,[9.]
54,[17.]
55,[16.]
56,[15.]
57,[12.]
58,[16.]
59,[18.]
60,[10.]
61,[6.]
62,[18.]
63,[12.]
64,[11.]
65,[9.]
66,[7.]
67,[15.]
68,[10.]
69,[11.]
70,[10.]
71,[15.]
72,[8.]
73,[13.]
74,[15.]
75,[13.]
76,[13.]
77,[16.]
78,[12.]
79,[6.]
80,[8.]
81,[13.]
82,[12.]
83,[14.]
84,[13.]
85,[13.]
86,[11.]
87,[13.]
88,[17.]
89,[18.]
90,[9.]
91,[9.]
92,[13.]
93,[14.]
94,[16.]
95,[16.]
96,[17.]
97,[20.]
98,[8.]
99,[15.]
100,[16.]
101,[15.]
102,[13.]
103,[18.]
104,[10.]
105,[12.]
106,[18.]
107,[11.]
108,[14.]
109,[7.]
110,[14.]
111,[19.]
112,[19.]
113,[13.]
114,[10.]
115,[14.]
116,[19.]
117,[17.]
118,[16.]
119,[9.]
120,[7.]
121,[11.]
122,[10.]
123,[15.]
124,[13.]
125,[19.]
126,[11.]
127,[15.]
128,[8.]
129,[15.]
130,[14.]
131,[10.]
132,[17.]
133,[16.]
134,[14.]
135,[18.]
136,[15.]
137,[16.]
138,[18.]
139,[14.]
140,[13.]
141,[16.]
142,[12.]
143,[14.]
144,[9.]
145,[9.]
146,[18.]
147,[19.]
148,[9.]
149,[13.]
150,[17.]
151,[18.]
152,[12.]
153,[10.]
154,[21.]
155,[12.]
156,[12.]
157,[14.]
158,[9.]
159,[14.]
160,[9.]
161,[16.]
162,[16.]
163,[7.]
164,[14.]
165,[13.]
166,[19.]
167,[8.]
168,[12.]
169,[14.]
170,[12.]
171,[16.]
172,[19.]
173,[14.]
174,[12.]
175,[11.]
176,[14.]
177,[7.]
178,[11.]
179,[13.]
180,[14.]
181,[11.]
182,[16.]
183,[13.]
184,[16.]
185,[7.]
186,[6.]
187,[12.]
188,[8.]
189,[14.]
190,[16.]
191,[6.]
192,[14.]
193,[14.]
194,[10.]
195,[6.]
196,[15.]
197,[20.]
198,[11.]
199,[9.]
200,[13.]
201,[18.]
202,[14.]
203,[21.]
204,[17.]
205,[12.]
206,[12.]
207,[13.]
208,[12.]
209,[9.]
210,[22.]
211,[14.]
212,[18.]
213,[17.]
214,[18.]
215,[19.]
216,[15.]
217,[16.]
218,[14.]
219,[17.]
220,[17.]
221,[17.]
222,[10.]
223,[15.]
224,[14.]
225,[13.]
226,[12.]
227,[20.]
228,[15.]
229,[13.]
230,[6.]
231,[15.]
232,[8.]
233,[18.]
234,[16.]
235,[12.]
236,[19.]
237,[20.]
238,[10.]
239,[12.]
240,[13.]
241,[19.]
242,[11.]
243,[8.]
244,[16.]
245,[17.]
246,[14.]
247,[18.]
248,[14.]
249,[11.]
250,[13.]
251,[17.]
252,[15.]
253,[19.]
254,[15.]
255,[5.]
256,[14.]
257,[11.]
258,[15.]
259,[16.]
260,[18.]
261,[10.]
262,[16.]
263,[15.]
264,[12.]
265,[10.]
266,[8.]
267,[17.]
268,[10.]
269,[13.]
270,[18.]
271,[10.]
272,[17.]
273,[6.]
274,[21.]
275,[14.]
276,[16.]
277,[21.]
278,[19.]
279,[17.]
280,[14.]
281,[13.]
282,[9.]
283,[16.]
284,[17.]
285,[10.]
286,[20.]
287,[12.]
288,[16.]
289,[11.]
290,[8.]
291,[8.]
292,[11.]
293,[5.]
294,[14.]
295,[17.]
296,[17.]
297,[10.]
298,[8.]
299,[13.]
300,[13.]
301,[8.]
302,[13.]
303,[14.]
304,[13.]
305,[15.]
306,[18.]
307,[12.]
308,[17.]
309,[13.]
310,[18.]
311,[12.]
312,[10.]
313,[16.]
314,[14.]
315,[15.]
316,[15.]
317,[11.]
318,[19.]
319,[18.]
320,[10.]
321,[11.]
322,[18.]
323,[18.]
324,[19.]
325,[13.]
326,[16.]
327,[18.]
328,[11.]
329,[17.]
330,[20.]
331,[12.]
332,[14.]
333,[5.]
334,[11.]
335,[9.]
336,[16.]
337,[24.]
338,[15.]
339,[17.]
340,[15.]
341,[12.]
342,[9.]
343,[10.]
344,[15.]
345,[9.]
346,[13.]
347,[13.]
348,[13.]
349,[15.]
350,[18.]
351,[9.]
352,[10.]
353,[14.]
354,[9.]
355,[20.]
356,[10.]
357,[18.]
358,[15.]
359,[15.]
360,[10.]
361,[12.]
362,[13.]
363,[13.]
364,[17.]
365,[12.]
366,[13.]
367,[13.]
368,[10.]
369,[15.]
370,[13.]
371,[13.]
372,[10.]
373,[16.]
374,[12.]
375,[10.]
376,[13.]
377,[7.]
378,[14.]
379,[14.]
380,[16.]
381,[16.]
382,[17.]
383,[7.]
384,[16.]
385,[16.]
386,[12.]
387,[8.]
388,[14.]
389,[7.]
390,[16.]
391,[18.]
392,[18.]
393,[20.]
394,[16.]
395,[15.]
396,[12.]
397,[20.]
398,[5.]
399,[14.]
400,[15.]
401,[8.]
402,[10.]
403,[17.]
404,[10.]
405,[16.]
406,[7.]
407,[11.]
408,[6.]
409,[17.]
410,[19.]
411,[19.]
412,[12.]
413,[11.]
414,[17.]
415,[15.]
416,[14.]
417,[19.]
418,[18.]
419,[18.]
420,[14.]
421,[15.]
422,[16.]
423,[16.]
424,[18.]
425,[14.]
426,[16.]
427,[13.]
428,[11.]
429,[14.]
430,[22.]
431,[15.]
432,[16.]
433,[11.]
434,[12.]
435,[18.]
436,[11.]
437,[19.]
438,[15.]
439,[13.]
440,[11.]
441,[18.]
442,[17.]
443,[13.]
