Episodio,Puntaje
1,[5.]
2,[17.]
3,[20.]
4,[21.]
5,[23.]
6,[21.]
7,[20.]
8,[20.]
9,[11.]
10,[21.]
11,[8.]
12,[12.]
13,[18.]
14,[13.]
15,[22.]
16,[22.]
17,[10.]
18,[23.]
19,[20.]
20,[22.]
21,[23.]
22,[21.]
23,[20.]
24,[21.]
25,[21.]
26,[17.]
27,[21.]
28,[14.]
29,[23.]
30,[20.]
31,[15.]
32,[22.]
33,[16.]
34,[14.]
35,[21.]
36,[23.]
37,[22.]
38,[8.]
39,[18.]
40,[20.]
41,[22.]
42,[22.]
43,[19.]
44,[9.]
45,[21.]
46,[22.]
47,[12.]
48,[21.]
49,[22.]
50,[15.]
51,[13.]
52,[22.]
53,[17.]
54,[20.]
55,[23.]
56,[17.]
57,[18.]
58,[19.]
59,[9.]
60,[23.]
61,[22.]
62,[21.]
63,[24.]
64,[13.]
65,[18.]
66,[21.]
67,[17.]
68,[20.]
69,[21.]
70,[22.]
71,[19.]
72,[21.]
73,[19.]
74,[22.]
75,[20.]
76,[19.]
77,[19.]
78,[19.]
79,[19.]
80,[18.]
81,[21.]
82,[21.]
83,[17.]
84,[21.]
85,[22.]
86,[18.]
87,[10.]
88,[18.]
89,[20.]
90,[19.]
91,[20.]
92,[18.]
93,[4.]
94,[19.]
95,[13.]
96,[21.]
97,[23.]
98,[3.]
99,[11.]
100,[18.]
101,[19.]
102,[16.]
103,[20.]
104,[22.]
105,[22.]
106,[19.]
107,[18.]
108,[22.]
109,[16.]
110,[21.]
111,[12.]
112,[6.]
113,[13.]
114,[21.]
115,[20.]
116,[22.]
117,[21.]
118,[21.]
119,[23.]
120,[22.]
121,[21.]
122,[3.]
123,[21.]
124,[18.]
125,[18.]
126,[14.]
127,[15.]
128,[20.]
129,[20.]
130,[19.]
131,[18.]
132,[15.]
133,[19.]
134,[22.]
135,[16.]
136,[8.]
137,[10.]
138,[11.]
139,[21.]
140,[7.]
141,[10.]
142,[23.]
143,[19.]
144,[22.]
145,[20.]
146,[17.]
147,[15.]
148,[21.]
149,[19.]
150,[16.]
151,[18.]
152,[22.]
153,[14.]
154,[14.]
155,[20.]
156,[12.]
157,[20.]
158,[19.]
159,[22.]
160,[19.]
161,[20.]
162,[20.]
163,[4.]
164,[20.]
165,[20.]
166,[19.]
167,[20.]
168,[19.]
169,[12.]
170,[21.]
171,[9.]
172,[21.]
173,[21.]
174,[21.]
175,[20.]
176,[21.]
177,[19.]
178,[21.]
179,[11.]
180,[11.]
181,[11.]
182,[23.]
183,[24.]
184,[18.]
185,[20.]
186,[23.]
187,[20.]
188,[22.]
189,[20.]
190,[12.]
191,[21.]
192,[21.]
193,[12.]
194,[4.]
195,[22.]
196,[18.]
197,[22.]
198,[21.]
199,[23.]
200,[19.]
201,[16.]
202,[15.]
203,[18.]
204,[19.]
205,[21.]
206,[15.]
207,[20.]
208,[20.]
209,[22.]
210,[13.]
211,[18.]
212,[7.]
213,[20.]
214,[21.]
215,[21.]
216,[21.]
217,[17.]
218,[22.]
219,[6.]
220,[19.]
221,[21.]
222,[20.]
223,[18.]
224,[21.]
225,[11.]
226,[20.]
227,[21.]
228,[21.]
229,[20.]
230,[9.]
231,[12.]
232,[17.]
233,[23.]
234,[13.]
235,[3.]
236,[13.]
237,[19.]
238,[20.]
239,[18.]
240,[20.]
241,[18.]
242,[18.]
243,[21.]
244,[17.]
245,[6.]
246,[23.]
247,[12.]
248,[21.]
249,[21.]
250,[19.]
251,[16.]
252,[20.]
253,[15.]
254,[16.]
255,[21.]
256,[21.]
257,[17.]
258,[19.]
259,[21.]
260,[22.]
261,[24.]
262,[20.]
263,[19.]
264,[21.]
265,[22.]
266,[16.]
267,[20.]
268,[20.]
269,[23.]
270,[20.]
271,[22.]
272,[19.]
273,[13.]
274,[20.]
275,[20.]
276,[6.]
277,[16.]
278,[24.]
279,[16.]
280,[20.]
281,[11.]
282,[10.]
283,[9.]
284,[23.]
285,[22.]
286,[21.]
287,[21.]
288,[22.]
289,[16.]
290,[22.]
291,[22.]
292,[23.]
293,[23.]
294,[23.]
295,[7.]
296,[12.]
297,[16.]
298,[17.]
299,[14.]
300,[16.]
301,[14.]
302,[19.]
303,[18.]
304,[7.]
305,[16.]
306,[18.]
307,[22.]
308,[9.]
309,[21.]
310,[10.]
311,[22.]
312,[13.]
313,[21.]
314,[20.]
315,[22.]
316,[13.]
317,[19.]
318,[22.]
319,[20.]
320,[19.]
321,[10.]
322,[17.]
323,[13.]
324,[19.]
325,[16.]
326,[16.]
327,[11.]
328,[13.]
329,[20.]
330,[18.]
331,[20.]
332,[10.]
333,[19.]
334,[23.]
335,[23.]
336,[16.]
337,[20.]
338,[22.]
339,[13.]
340,[22.]
341,[20.]
342,[18.]
343,[7.]
344,[16.]
