Episodio,Puntaje
1,[-1.]
2,[0.]
3,[0.]
4,[-1.]
5,[0.]
6,[-1.]
7,[3.]
8,[0.]
9,[-1.]
10,[0.]
11,[0.]
12,[2.]
13,[-1.]
14,[0.]
15,[-1.]
16,[0.]
17,[0.]
18,[-1.]
19,[-1.]
20,[0.]
21,[1.]
22,[-1.]
23,[1.]
24,[-1.]
25,[1.]
26,[0.]
27,[-1.]
28,[0.]
29,[1.]
30,[-1.]
31,[1.]
32,[0.]
33,[0.]
34,[-1.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[1.]
40,[-1.]
41,[1.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[-1.]
47,[0.]
48,[-1.]
49,[-1.]
50,[0.]
51,[-1.]
52,[0.]
53,[-1.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[2.]
59,[1.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[-1.]
66,[2.]
67,[-1.]
68,[0.]
69,[0.]
70,[-1.]
71,[0.]
72,[-1.]
73,[1.]
74,[2.]
75,[0.]
76,[0.]
77,[1.]
78,[-1.]
79,[-1.]
80,[2.]
81,[0.]
82,[-1.]
83,[0.]
84,[0.]
85,[1.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[-1.]
91,[0.]
92,[0.]
93,[1.]
94,[-1.]
95,[0.]
96,[0.]
97,[0.]
98,[1.]
99,[1.]
100,[0.]
101,[-1.]
102,[0.]
103,[0.]
104,[1.]
105,[0.]
106,[1.]
107,[1.]
108,[0.]
109,[0.]
110,[-1.]
111,[2.]
112,[1.]
113,[-1.]
114,[3.]
115,[1.]
116,[-1.]
117,[-1.]
118,[0.]
119,[-1.]
120,[-1.]
121,[-1.]
122,[-1.]
123,[-1.]
124,[0.]
125,[1.]
126,[0.]
127,[1.]
128,[0.]
129,[-1.]
130,[2.]
131,[-1.]
132,[0.]
133,[3.]
134,[-1.]
135,[-1.]
136,[-1.]
137,[0.]
138,[-1.]
139,[1.]
140,[0.]
141,[0.]
142,[1.]
143,[-1.]
144,[0.]
145,[2.]
146,[1.]
147,[-1.]
148,[0.]
149,[0.]
150,[1.]
151,[1.]
152,[-1.]
153,[1.]
154,[1.]
155,[1.]
156,[1.]
157,[-1.]
158,[0.]
159,[0.]
160,[0.]
161,[0.]
162,[-1.]
163,[0.]
164,[0.]
165,[0.]
166,[0.]
167,[0.]
168,[-1.]
169,[0.]
170,[2.]
171,[0.]
172,[0.]
173,[0.]
174,[-1.]
175,[-1.]
176,[-1.]
177,[0.]
178,[3.]
179,[2.]
180,[1.]
181,[-1.]
182,[1.]
183,[0.]
184,[1.]
185,[1.]
186,[0.]
187,[1.]
188,[-1.]
189,[1.]
190,[-1.]
191,[0.]
192,[0.]
193,[0.]
194,[-1.]
195,[-1.]
196,[0.]
197,[0.]
198,[0.]
199,[1.]
200,[3.]
201,[0.]
202,[1.]
203,[0.]
204,[0.]
205,[0.]
206,[0.]
207,[0.]
208,[1.]
209,[1.]
210,[0.]
211,[1.]
212,[-1.]
213,[0.]
214,[1.]
215,[-1.]
216,[0.]
217,[0.]
218,[-1.]
219,[1.]
220,[1.]
221,[0.]
222,[1.]
223,[-1.]
224,[1.]
225,[1.]
226,[0.]
227,[-1.]
228,[0.]
229,[0.]
230,[2.]
231,[-1.]
232,[-1.]
233,[1.]
234,[-1.]
235,[3.]
236,[0.]
237,[-1.]
238,[0.]
239,[2.]
240,[0.]
241,[0.]
242,[0.]
243,[0.]
244,[1.]
245,[0.]
246,[-1.]
247,[0.]
248,[0.]
249,[1.]
250,[1.]
251,[-1.]
252,[0.]
253,[0.]
254,[0.]
255,[0.]
256,[2.]
257,[2.]
258,[-1.]
259,[0.]
260,[0.]
261,[0.]
262,[0.]
263,[1.]
264,[0.]
265,[0.]
266,[0.]
267,[2.]
268,[1.]
269,[0.]
270,[-1.]
271,[0.]
272,[3.]
273,[1.]
274,[0.]
275,[0.]
276,[0.]
277,[-1.]
278,[-1.]
279,[0.]
280,[-1.]
281,[1.]
282,[0.]
283,[-1.]
284,[2.]
285,[0.]
286,[0.]
287,[2.]
288,[0.]
289,[1.]
290,[0.]
291,[0.]
292,[1.]
293,[0.]
294,[0.]
295,[-1.]
296,[-1.]
297,[1.]
298,[0.]
299,[-1.]
300,[0.]
301,[0.]
302,[-1.]
303,[0.]
304,[1.]
305,[0.]
306,[0.]
307,[1.]
308,[-1.]
309,[-1.]
310,[0.]
311,[0.]
312,[0.]
313,[1.]
314,[0.]
315,[-1.]
316,[-1.]
317,[0.]
318,[1.]
319,[-1.]
320,[1.]
321,[-1.]
322,[-1.]
323,[3.]
324,[1.]
325,[2.]
326,[1.]
327,[1.]
328,[1.]
329,[0.]
330,[0.]
331,[2.]
332,[-1.]
333,[0.]
334,[0.]
335,[1.]
336,[0.]
337,[1.]
338,[0.]
339,[0.]
340,[1.]
341,[0.]
342,[0.]
343,[-1.]
344,[0.]
345,[0.]
346,[-1.]
347,[0.]
348,[1.]
349,[0.]
350,[0.]
351,[0.]
352,[-1.]
353,[-1.]
354,[0.]
355,[3.]
356,[0.]
357,[1.]
358,[1.]
359,[0.]
360,[0.]
361,[0.]
362,[0.]
363,[-1.]
364,[0.]
365,[1.]
366,[0.]
367,[-1.]
368,[-1.]
369,[1.]
370,[-1.]
371,[0.]
372,[0.]
373,[-1.]
374,[-1.]
375,[0.]
376,[0.]
377,[3.]
378,[0.]
379,[-1.]
380,[0.]
381,[1.]
382,[-1.]
383,[0.]
384,[-1.]
385,[0.]
386,[1.]
387,[2.]
388,[2.]
389,[-1.]
390,[0.]
391,[-1.]
392,[-1.]
393,[0.]
394,[-1.]
395,[3.]
396,[-1.]
397,[1.]
398,[1.]
399,[0.]
400,[1.]
401,[0.]
402,[1.]
403,[0.]
404,[0.]
405,[0.]
406,[1.]
407,[1.]
408,[-1.]
409,[1.]
410,[-1.]
411,[-1.]
412,[0.]
413,[0.]
414,[1.]
415,[1.]
416,[0.]
417,[-1.]
418,[1.]
419,[0.]
420,[2.]
421,[0.]
422,[1.]
423,[1.]
424,[1.]
425,[1.]
426,[0.]
427,[0.]
428,[0.]
429,[0.]
430,[0.]
431,[0.]
432,[-1.]
433,[1.]
434,[0.]
435,[-1.]
436,[0.]
437,[1.]
438,[-1.]
439,[-1.]
440,[0.]
441,[0.]
442,[0.]
443,[0.]
444,[0.]
445,[1.]
446,[0.]
447,[-1.]
448,[-1.]
449,[0.]
450,[0.]
451,[0.]
452,[-1.]
453,[0.]
454,[1.]
455,[-1.]
456,[1.]
457,[0.]
458,[0.]
459,[0.]
460,[0.]
461,[0.]
462,[0.]
463,[0.]
464,[-1.]
