Episodio,Puntaje
1,[24.]
2,[20.]
3,[27.]
4,[19.]
5,[31.]
6,[27.]
7,[29.]
8,[22.]
9,[19.]
10,[22.]
11,[28.]
12,[26.]
13,[29.]
14,[27.]
15,[37.]
16,[28.]
17,[19.]
18,[22.]
19,[21.]
20,[25.]
21,[22.]
22,[27.]
23,[30.]
24,[13.]
25,[25.]
26,[20.]
27,[23.]
28,[19.]
29,[20.]
30,[17.]
31,[17.]
32,[19.]
33,[23.]
34,[25.]
35,[25.]
36,[23.]
37,[24.]
38,[18.]
39,[21.]
40,[20.]
41,[24.]
42,[18.]
43,[29.]
44,[25.]
45,[24.]
46,[17.]
47,[20.]
48,[26.]
49,[23.]
50,[26.]
51,[24.]
52,[36.]
53,[16.]
54,[18.]
55,[32.]
56,[21.]
57,[18.]
58,[32.]
59,[18.]
60,[23.]
61,[25.]
62,[25.]
63,[27.]
64,[19.]
65,[21.]
66,[25.]
67,[26.]
68,[16.]
69,[14.]
70,[23.]
71,[23.]
72,[24.]
73,[21.]
74,[29.]
75,[22.]
76,[22.]
77,[26.]
78,[18.]
79,[21.]
80,[24.]
81,[23.]
82,[31.]
83,[20.]
84,[30.]
85,[13.]
86,[26.]
87,[22.]
88,[21.]
89,[27.]
90,[26.]
91,[23.]
92,[18.]
93,[33.]
94,[18.]
95,[17.]
96,[25.]
97,[23.]
98,[23.]
99,[20.]
100,[25.]
101,[25.]
102,[26.]
103,[24.]
104,[26.]
105,[23.]
106,[34.]
107,[29.]
108,[23.]
109,[20.]
110,[23.]
111,[35.]
112,[16.]
113,[18.]
114,[23.]
115,[21.]
116,[30.]
117,[28.]
118,[18.]
119,[29.]
120,[28.]
121,[22.]
122,[31.]
123,[17.]
124,[26.]
125,[10.]
126,[25.]
127,[10.]
128,[24.]
129,[22.]
130,[19.]
131,[18.]
132,[28.]
133,[29.]
134,[24.]
135,[21.]
136,[27.]
137,[23.]
138,[24.]
139,[19.]
140,[27.]
141,[22.]
142,[39.]
143,[29.]
144,[15.]
145,[21.]
146,[20.]
147,[23.]
148,[27.]
149,[31.]
150,[33.]
151,[10.]
152,[23.]
153,[25.]
154,[19.]
155,[18.]
156,[21.]
157,[27.]
158,[21.]
159,[16.]
160,[23.]
161,[29.]
162,[24.]
163,[28.]
164,[29.]
165,[19.]
166,[20.]
167,[25.]
168,[16.]
169,[24.]
170,[31.]
171,[26.]
172,[24.]
173,[15.]
174,[25.]
175,[17.]
176,[15.]
177,[24.]
178,[35.]
179,[20.]
180,[19.]
181,[18.]
182,[25.]
183,[27.]
184,[17.]
185,[22.]
186,[23.]
187,[22.]
188,[35.]
189,[19.]
190,[21.]
191,[20.]
192,[23.]
193,[22.]
194,[30.]
195,[31.]
196,[26.]
197,[15.]
198,[24.]
199,[18.]
200,[23.]
201,[25.]
202,[27.]
203,[19.]
204,[22.]
205,[20.]
206,[26.]
207,[25.]
208,[24.]
209,[26.]
210,[24.]
211,[31.]
212,[19.]
213,[30.]
214,[27.]
215,[28.]
216,[27.]
217,[25.]
218,[13.]
219,[16.]
220,[25.]
221,[24.]
222,[29.]
223,[17.]
224,[29.]
225,[20.]
226,[16.]
227,[38.]
228,[33.]
229,[27.]
230,[20.]
231,[28.]
232,[21.]
233,[19.]
234,[27.]
235,[15.]
236,[17.]
237,[28.]
238,[23.]
239,[27.]
