Episodio,Puntaje
1,[21.]
2,[26.]
3,[20.]
4,[30.]
5,[34.]
6,[27.]
7,[30.]
8,[25.]
9,[25.]
10,[20.]
11,[26.]
12,[26.]
13,[28.]
14,[21.]
15,[16.]
16,[15.]
17,[28.]
18,[26.]
19,[10.]
20,[17.]
21,[25.]
22,[32.]
23,[32.]
24,[23.]
25,[17.]
26,[21.]
27,[31.]
28,[17.]
29,[24.]
30,[25.]
31,[18.]
32,[26.]
33,[25.]
34,[30.]
35,[36.]
36,[36.]
37,[25.]
38,[20.]
39,[26.]
40,[26.]
41,[18.]
42,[19.]
43,[35.]
44,[24.]
45,[19.]
46,[10.]
47,[27.]
48,[19.]
49,[22.]
50,[22.]
51,[23.]
52,[27.]
53,[28.]
54,[23.]
55,[7.]
56,[26.]
57,[30.]
58,[22.]
59,[18.]
60,[27.]
61,[30.]
62,[20.]
63,[22.]
64,[16.]
65,[34.]
66,[25.]
67,[30.]
68,[26.]
69,[27.]
70,[28.]
71,[29.]
72,[23.]
73,[27.]
74,[11.]
75,[29.]
76,[15.]
77,[24.]
78,[23.]
79,[26.]
80,[23.]
81,[11.]
82,[23.]
83,[25.]
84,[24.]
85,[23.]
86,[23.]
87,[16.]
88,[30.]
89,[23.]
90,[23.]
91,[25.]
92,[20.]
93,[26.]
94,[27.]
95,[17.]
96,[22.]
97,[26.]
98,[24.]
99,[35.]
100,[29.]
101,[37.]
102,[28.]
103,[23.]
104,[25.]
105,[24.]
106,[18.]
107,[36.]
108,[29.]
109,[30.]
110,[27.]
111,[21.]
112,[20.]
113,[31.]
114,[23.]
115,[25.]
116,[32.]
117,[22.]
118,[36.]
119,[36.]
120,[17.]
121,[15.]
122,[22.]
123,[21.]
124,[21.]
125,[30.]
126,[35.]
127,[26.]
128,[30.]
129,[24.]
130,[30.]
131,[20.]
132,[25.]
133,[31.]
134,[20.]
135,[25.]
136,[12.]
137,[15.]
138,[27.]
139,[23.]
140,[24.]
141,[20.]
142,[27.]
143,[28.]
144,[28.]
145,[26.]
146,[23.]
147,[30.]
148,[27.]
149,[25.]
150,[18.]
151,[36.]
152,[25.]
153,[31.]
154,[27.]
155,[22.]
156,[22.]
157,[12.]
158,[25.]
159,[26.]
160,[41.]
161,[28.]
162,[30.]
163,[27.]
164,[27.]
165,[21.]
166,[12.]
167,[26.]
168,[32.]
169,[22.]
170,[10.]
171,[23.]
172,[21.]
173,[31.]
174,[16.]
175,[12.]
176,[23.]
177,[23.]
178,[24.]
179,[28.]
180,[26.]
181,[16.]
182,[19.]
183,[27.]
184,[14.]
185,[18.]
186,[21.]
187,[21.]
188,[18.]
189,[27.]
190,[31.]
191,[23.]
192,[24.]
193,[21.]
194,[21.]
195,[28.]
196,[28.]
197,[20.]
198,[27.]
199,[22.]
200,[17.]
201,[30.]
202,[15.]
203,[41.]
204,[35.]
205,[23.]
206,[24.]
207,[27.]
208,[25.]
209,[26.]
210,[16.]
211,[27.]
212,[16.]
213,[24.]
214,[30.]
215,[31.]
216,[32.]
217,[22.]
218,[24.]
219,[21.]
220,[20.]
221,[29.]
222,[22.]
223,[24.]
224,[26.]
225,[28.]
226,[28.]
227,[21.]
228,[35.]
229,[29.]
230,[32.]
231,[35.]
232,[21.]
233,[16.]
234,[19.]
235,[33.]
236,[23.]
237,[23.]
238,[29.]
239,[26.]
240,[30.]
241,[25.]
242,[27.]
243,[23.]
244,[25.]
245,[15.]
246,[15.]
247,[25.]
248,[10.]
249,[21.]
250,[26.]
251,[26.]
252,[30.]
253,[29.]
254,[22.]
255,[24.]
256,[23.]
257,[23.]
258,[26.]
259,[23.]
260,[23.]
261,[28.]
262,[28.]
263,[31.]
264,[34.]
265,[20.]
266,[24.]
267,[33.]
268,[21.]
269,[26.]
270,[15.]
271,[30.]
272,[22.]
273,[23.]
274,[21.]
275,[30.]
276,[33.]
277,[25.]
278,[19.]
279,[17.]
280,[26.]
281,[18.]
282,[27.]
283,[21.]
284,[28.]
285,[25.]
286,[35.]
287,[22.]
288,[22.]
289,[14.]
290,[19.]
291,[13.]
292,[24.]
293,[18.]
294,[14.]
295,[31.]
296,[26.]
297,[22.]
298,[26.]
299,[22.]
300,[25.]
301,[21.]
302,[25.]
303,[21.]
304,[31.]
305,[29.]
306,[15.]
307,[23.]
308,[16.]
309,[22.]
310,[29.]
311,[33.]
312,[22.]
313,[20.]
314,[31.]
315,[19.]
316,[34.]
317,[21.]
318,[24.]
319,[23.]
320,[28.]
321,[26.]
322,[21.]
323,[23.]
324,[37.]
325,[26.]
326,[27.]
327,[28.]
328,[25.]
329,[23.]
330,[25.]
331,[23.]
332,[32.]
333,[22.]
334,[30.]
335,[19.]
336,[25.]
337,[21.]
338,[30.]
339,[19.]
340,[18.]
341,[29.]
342,[26.]
343,[22.]
344,[15.]
345,[28.]
346,[21.]
347,[29.]
348,[42.]
349,[18.]
350,[22.]
351,[19.]
352,[26.]
353,[27.]
354,[25.]
355,[22.]
356,[20.]
357,[28.]
358,[31.]
359,[20.]
360,[32.]
361,[23.]
362,[25.]
363,[26.]
364,[22.]
365,[29.]
366,[27.]
367,[27.]
368,[28.]
369,[28.]
370,[23.]
371,[43.]
372,[12.]
373,[30.]
374,[23.]
375,[42.]
376,[23.]
377,[26.]
378,[34.]
379,[34.]
380,[27.]
381,[14.]
382,[20.]
383,[31.]
384,[32.]
385,[28.]
386,[38.]
387,[22.]
388,[20.]
389,[16.]
390,[21.]
391,[24.]
392,[20.]
393,[25.]
394,[24.]
395,[20.]
396,[27.]
397,[27.]
398,[34.]
399,[28.]
400,[25.]
401,[16.]
402,[17.]
403,[21.]
404,[19.]
405,[20.]
406,[13.]
407,[24.]
408,[23.]
409,[19.]
410,[11.]
411,[31.]
412,[20.]
413,[24.]
414,[26.]
415,[28.]
416,[20.]
417,[25.]
418,[22.]
419,[27.]
420,[37.]
421,[14.]
422,[18.]
423,[33.]
424,[22.]
425,[30.]
426,[27.]
427,[16.]
428,[31.]
429,[20.]
430,[30.]
431,[22.]
432,[20.]
433,[25.]
434,[31.]
435,[29.]
436,[34.]
437,[25.]
438,[36.]
439,[21.]
440,[17.]
441,[14.]
442,[26.]
443,[17.]
444,[23.]
445,[33.]
446,[26.]
447,[13.]
448,[28.]
449,[27.]
450,[30.]
451,[19.]
452,[32.]
453,[19.]
454,[27.]
455,[25.]
456,[18.]
457,[22.]
458,[12.]
459,[22.]
460,[24.]
461,[16.]
462,[22.]
463,[23.]
464,[39.]
465,[20.]
466,[16.]
467,[22.]
468,[34.]
469,[30.]
470,[27.]
471,[30.]
472,[22.]
473,[21.]
474,[26.]
475,[26.]
476,[30.]
477,[12.]
478,[24.]
479,[28.]
480,[29.]
481,[23.]
482,[22.]
483,[29.]
484,[20.]
485,[23.]
486,[16.]
487,[34.]
488,[31.]
489,[9.]
490,[24.]
491,[18.]
492,[19.]
493,[24.]
494,[24.]
495,[26.]
496,[22.]
497,[25.]
498,[16.]
499,[29.]
500,[24.]
501,[11.]
502,[22.]
503,[17.]
504,[21.]
505,[31.]
506,[20.]
507,[30.]
508,[22.]
509,[25.]
510,[22.]
511,[32.]
512,[20.]
513,[28.]
514,[29.]
515,[25.]
516,[26.]
517,[19.]
518,[24.]
519,[38.]
520,[18.]
521,[20.]
522,[16.]
523,[23.]
524,[28.]
525,[25.]
526,[41.]
527,[25.]
528,[25.]
529,[17.]
530,[23.]
531,[14.]
532,[30.]
533,[27.]
534,[23.]
535,[24.]
536,[18.]
537,[29.]
538,[15.]
539,[26.]
540,[27.]
541,[24.]
542,[25.]
543,[30.]
544,[25.]
545,[29.]
546,[21.]
547,[28.]
548,[18.]
549,[26.]
550,[21.]
551,[24.]
552,[27.]
553,[31.]
554,[26.]
555,[16.]
556,[20.]
557,[29.]
558,[23.]
559,[18.]
560,[24.]
561,[23.]
562,[29.]
563,[29.]
564,[27.]
565,[24.]
566,[24.]
567,[24.]
568,[11.]
569,[23.]
570,[25.]
571,[14.]
572,[37.]
573,[18.]
574,[26.]
575,[22.]
576,[26.]
577,[27.]
578,[22.]
579,[15.]
580,[27.]
581,[24.]
582,[22.]
583,[26.]
584,[19.]
585,[14.]
586,[22.]
587,[20.]
588,[22.]
589,[27.]
590,[18.]
591,[22.]
592,[27.]
593,[23.]
594,[28.]
595,[19.]
596,[19.]
597,[20.]
598,[21.]
599,[34.]
600,[28.]
601,[16.]
602,[22.]
603,[22.]
604,[24.]
605,[27.]
606,[30.]
607,[20.]
608,[25.]
609,[22.]
610,[15.]
611,[24.]
612,[20.]
613,[14.]
614,[37.]
615,[23.]
616,[31.]
617,[31.]
618,[26.]
619,[32.]
620,[19.]
621,[27.]
622,[29.]
623,[28.]
624,[26.]
625,[19.]
626,[31.]
627,[23.]
628,[25.]
629,[22.]
630,[23.]
631,[36.]
632,[27.]
633,[27.]
634,[23.]
635,[20.]
636,[27.]
637,[12.]
638,[16.]
639,[20.]
640,[25.]
641,[32.]
642,[22.]
643,[16.]
644,[22.]
645,[27.]
646,[27.]
647,[25.]
648,[21.]
649,[13.]
650,[9.]
651,[24.]
652,[35.]
653,[14.]
654,[25.]
655,[35.]
656,[25.]
657,[23.]
658,[34.]
659,[20.]
660,[21.]
661,[29.]
662,[27.]
663,[23.]
664,[25.]
665,[20.]
666,[21.]
667,[17.]
668,[24.]
669,[14.]
670,[24.]
671,[21.]
672,[27.]
673,[37.]
674,[21.]
675,[26.]
676,[32.]
677,[21.]
678,[21.]
679,[25.]
680,[26.]
681,[21.]
682,[21.]
683,[26.]
684,[25.]
685,[20.]
686,[19.]
687,[28.]
688,[22.]
689,[27.]
690,[28.]
691,[18.]
692,[22.]
693,[22.]
694,[11.]
695,[20.]
696,[31.]
697,[25.]
698,[23.]
699,[19.]
700,[28.]
701,[31.]
702,[14.]
703,[29.]
704,[31.]
705,[29.]
706,[23.]
707,[21.]
708,[22.]
709,[29.]
710,[25.]
711,[7.]
712,[43.]
713,[27.]
714,[11.]
715,[25.]
716,[22.]
717,[16.]
718,[27.]
