Episodio,Puntaje
1,[4.]
2,[3.]
3,[9.]
4,[9.]
5,[11.]
6,[4.]
7,[8.]
8,[11.]
9,[11.]
10,[11.]
11,[7.]
12,[9.]
13,[9.]
14,[24.]
15,[12.]
16,[7.]
17,[7.]
18,[2.]
19,[15.]
20,[10.]
21,[13.]
22,[9.]
23,[13.]
24,[12.]
25,[2.]
26,[4.]
27,[8.]
28,[13.]
29,[8.]
30,[14.]
31,[8.]
32,[9.]
33,[6.]
34,[15.]
35,[8.]
36,[6.]
37,[13.]
38,[10.]
39,[9.]
40,[3.]
41,[7.]
42,[13.]
43,[12.]
44,[8.]
45,[11.]
46,[8.]
47,[7.]
48,[3.]
49,[4.]
50,[7.]
51,[6.]
52,[11.]
53,[8.]
54,[1.]
55,[8.]
56,[4.]
57,[6.]
58,[6.]
59,[1.]
60,[4.]
61,[11.]
62,[10.]
63,[1.]
64,[6.]
65,[10.]
66,[5.]
67,[3.]
68,[5.]
69,[7.]
70,[9.]
71,[5.]
72,[8.]
73,[7.]
74,[15.]
75,[10.]
76,[8.]
77,[6.]
78,[4.]
79,[8.]
80,[13.]
81,[2.]
82,[6.]
83,[16.]
84,[4.]
85,[8.]
86,[8.]
87,[4.]
88,[6.]
89,[10.]
90,[11.]
91,[3.]
92,[7.]
93,[3.]
94,[2.]
95,[5.]
96,[6.]
97,[7.]
98,[8.]
99,[6.]
100,[6.]
101,[16.]
102,[10.]
103,[5.]
104,[4.]
105,[9.]
106,[8.]
107,[8.]
108,[12.]
109,[9.]
110,[4.]
111,[12.]
112,[6.]
113,[13.]
114,[9.]
115,[2.]
116,[6.]
117,[7.]
118,[12.]
119,[2.]
120,[2.]
121,[4.]
122,[5.]
123,[10.]
124,[17.]
125,[8.]
126,[9.]
127,[8.]
128,[7.]
129,[6.]
130,[6.]
131,[9.]
132,[6.]
133,[2.]
134,[14.]
135,[5.]
136,[6.]
137,[3.]
138,[7.]
139,[19.]
140,[10.]
141,[8.]
142,[7.]
143,[15.]
144,[8.]
145,[11.]
146,[2.]
147,[11.]
148,[14.]
149,[12.]
150,[9.]
151,[11.]
152,[8.]
153,[17.]
154,[8.]
155,[4.]
156,[6.]
157,[6.]
158,[5.]
159,[7.]
160,[2.]
161,[6.]
162,[8.]
163,[5.]
164,[14.]
165,[6.]
166,[16.]
167,[4.]
168,[12.]
169,[8.]
170,[4.]
171,[8.]
172,[4.]
173,[7.]
174,[19.]
175,[10.]
176,[11.]
177,[8.]
178,[11.]
179,[13.]
180,[10.]
181,[4.]
182,[8.]
183,[10.]
184,[6.]
185,[7.]
186,[5.]
187,[3.]
188,[5.]
189,[9.]
190,[12.]
191,[11.]
192,[9.]
193,[8.]
194,[10.]
195,[14.]
196,[8.]
197,[4.]
198,[8.]
199,[1.]
200,[5.]
201,[6.]
202,[3.]
203,[7.]
204,[3.]
205,[6.]
206,[6.]
207,[9.]
208,[8.]
209,[7.]
210,[3.]
211,[10.]
212,[6.]
213,[6.]
214,[7.]
215,[15.]
216,[7.]
217,[4.]
218,[13.]
219,[6.]
220,[2.]
221,[7.]
222,[3.]
223,[4.]
224,[11.]
225,[5.]
226,[5.]
227,[13.]
228,[7.]
229,[11.]
230,[1.]
231,[7.]
232,[5.]
233,[11.]
234,[5.]
235,[14.]
236,[2.]
237,[4.]
238,[6.]
239,[3.]
240,[7.]
241,[15.]
242,[5.]
243,[5.]
244,[7.]
245,[6.]
246,[2.]
247,[7.]
248,[8.]
249,[1.]
250,[7.]
251,[12.]
252,[10.]
253,[12.]
254,[9.]
255,[11.]
256,[10.]
257,[6.]
258,[4.]
259,[6.]
260,[9.]
261,[13.]
262,[15.]
263,[5.]
264,[7.]
265,[6.]
266,[7.]
267,[8.]
268,[6.]
269,[6.]
270,[7.]
271,[2.]
272,[11.]
273,[8.]
274,[6.]
275,[18.]
276,[7.]
277,[7.]
278,[4.]
279,[10.]
280,[11.]
281,[7.]
282,[6.]
283,[14.]
284,[11.]
285,[9.]
286,[10.]
287,[5.]
288,[6.]
289,[3.]
290,[20.]
291,[1.]
292,[4.]
293,[8.]
294,[9.]
295,[13.]
296,[6.]
297,[7.]
298,[8.]
299,[8.]
300,[12.]
301,[6.]
302,[5.]
303,[3.]
304,[8.]
305,[5.]
306,[4.]
307,[13.]
308,[9.]
309,[10.]
310,[3.]
311,[10.]
312,[14.]
313,[9.]
314,[7.]
315,[8.]
316,[10.]
317,[10.]
318,[20.]
319,[6.]
320,[10.]
321,[4.]
322,[11.]
323,[7.]
324,[8.]
325,[13.]
326,[6.]
327,[5.]
328,[5.]
329,[11.]
330,[17.]
331,[10.]
332,[2.]
333,[5.]
334,[12.]
335,[6.]
336,[11.]
337,[10.]
338,[5.]
339,[5.]
340,[10.]
341,[8.]
342,[4.]
343,[17.]
344,[8.]
345,[12.]
346,[2.]
347,[7.]
348,[10.]
349,[5.]
350,[7.]
351,[5.]
352,[2.]
353,[10.]
354,[5.]
355,[5.]
356,[4.]
357,[6.]
358,[7.]
359,[16.]
360,[5.]
361,[6.]
362,[11.]
363,[7.]
364,[7.]
365,[6.]
366,[7.]
367,[1.]
368,[4.]
369,[3.]
370,[11.]
371,[8.]
372,[5.]
373,[9.]
374,[2.]
375,[6.]
376,[4.]
377,[9.]
378,[6.]
379,[15.]
380,[5.]
381,[4.]
382,[16.]
383,[6.]
384,[7.]
385,[16.]
386,[14.]
387,[11.]
388,[12.]
389,[12.]
390,[7.]
391,[10.]
392,[14.]
393,[8.]
394,[5.]
395,[4.]
396,[8.]
397,[2.]
398,[3.]
399,[10.]
400,[7.]
401,[9.]
402,[3.]
403,[11.]
404,[11.]
405,[4.]
406,[5.]
407,[6.]
408,[4.]
409,[3.]
410,[8.]
411,[12.]
412,[8.]
413,[9.]
414,[9.]
415,[7.]
416,[14.]
417,[4.]
418,[7.]
419,[8.]
420,[5.]
421,[11.]
422,[6.]
423,[9.]
424,[4.]
425,[10.]
426,[6.]
427,[12.]
428,[6.]
429,[14.]
430,[6.]
431,[6.]
432,[7.]
433,[8.]
434,[9.]
435,[11.]
436,[0.]
437,[1.]
438,[5.]
439,[1.]
440,[5.]
441,[8.]
442,[14.]
443,[7.]
444,[3.]
445,[3.]
446,[6.]
447,[3.]
448,[6.]
449,[10.]
450,[5.]
451,[11.]
452,[14.]
453,[3.]
454,[5.]
455,[4.]
456,[15.]
457,[10.]
458,[3.]
459,[18.]
460,[5.]
461,[7.]
462,[5.]
463,[12.]
464,[10.]
465,[4.]
466,[10.]
467,[4.]
468,[10.]
469,[7.]
470,[4.]
471,[5.]
472,[8.]
473,[8.]
474,[3.]
475,[5.]
476,[8.]
477,[5.]
478,[9.]
479,[8.]
480,[6.]
481,[5.]
482,[12.]
483,[5.]
484,[14.]
485,[2.]
486,[7.]
487,[5.]
488,[6.]
489,[4.]
490,[12.]
491,[7.]
492,[9.]
493,[5.]
494,[9.]
495,[10.]
496,[15.]
497,[5.]
498,[9.]
499,[5.]
500,[5.]
501,[3.]
502,[2.]
503,[6.]
504,[6.]
505,[6.]
506,[4.]
507,[12.]
508,[6.]
509,[10.]
