#{"t_start": 1726941807.928764, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
380.0,120,0.530519
380.0,120,0.561494
380.0,120,0.5916
572.0,168,3.298479
284.0,96,3.323302
284.0,96,3.348359
380.0,120,3.378945
284.0,96,3.40344
284.0,96,6.142387
348.0,112,6.214448
380.0,120,6.297071
476.0,144,6.392496
380.0,120,9.095524
284.0,96,9.156031
284.0,96,9.216392
444.0,136,9.300713
380.0,120,9.376006
284.0,96,12.078102
348.0,112,12.147541
284.0,96,12.207096
284.0,96,12.266198
284.0,96,12.325817
284.0,96,15.001081
508.0,152,15.095162
380.0,120,15.174536
316.0,104,15.239325
380.0,120,17.939619
284.0,96,18.01152
316.0,104,18.081361
476.0,144,18.169706
348.0,112,20.895775
380.0,120,20.970336
284.0,96,21.029659
476.0,144,21.119182
508.0,152,25.434743
348.0,112,25.504241
284.0,96,25.563826
476.0,144,25.653834
316.0,104,25.717732
572.0,168,28.427109
572.0,168,28.530032
476.0,144,28.61833
284.0,96,32.693768
380.0,120,32.767384
284.0,96,32.826784
316.0,104,32.891372
316.0,104,32.955594
284.0,96,35.757483
284.0,96,35.816786
476.0,144,35.90519
412.0,128,35.983848
284.0,96,39.223913
284.0,96,39.283412
572.0,168,39.386119
284.0,96,39.445905
284.0,96,42.262978
316.0,104,42.33599
380.0,120,42.40958
284.0,96,42.468908
284.0,96,42.527876
316.0,104,45.210339
284.0,96,45.269399
508.0,152,45.362129
284.0,96,45.421403
284.0,96,45.480673
380.0,120,48.266619
380.0,120,48.340169
284.0,96,48.398522
380.0,120,48.472
540.0,160,51.20259
476.0,144,51.290919
572.0,168,51.394132
284.0,96,51.453366
284.0,96,54.142845
476.0,144,54.230445
380.0,120,54.304216
380.0,120,54.378018
380.0,120,57.089643
284.0,96,57.148736
540.0,160,57.246649
444.0,136,57.329928
284.0,96,60.01134
412.0,128,60.099037
476.0,144,60.187305
540.0,160,62.953267
476.0,144,63.04304
284.0,96,63.102376
476.0,144,63.190442
284.0,96,63.249918
572.0,168,66.10962
284.0,96,66.173085
380.0,120,66.251618
316.0,104,66.319894
284.0,96,69.034412
380.0,120,69.112674
348.0,112,69.198849
316.0,104,69.266682
604.0,176,72.016884
380.0,120,72.09542
476.0,144,72.189476
476.0,144,72.283349
796.0,224,75.07261
284.0,96,75.135063
476.0,144,75.225169
476.0,144,78.774315
284.0,96,78.834298
412.0,128,78.913217
284.0,96,78.973275
476.0,144,83.707492
604.0,176,83.82193
572.0,168,83.930551
476.0,144,86.660968
380.0,120,86.737729
316.0,104,86.805161
476.0,144,86.897619
284.0,96,89.648044
476.0,144,89.739842
604.0,176,89.852827
284.0,96,89.915111
380.0,120,92.61645
284.0,96,92.676691
284.0,96,92.736778
284.0,96,92.796294
348.0,112,92.866751
284.0,96,95.639708
284.0,96,95.700557
380.0,120,95.776074
284.0,96,95.837548
284.0,96,95.897781
380.0,120,98.589483
284.0,96,98.650672
316.0,104,98.716293
380.0,120,98.791584
444.0,136,101.589523
284.0,96,101.649899
380.0,120,101.725321
284.0,96,101.786182
284.0,96,101.847207
476.0,144,104.903935
380.0,120,104.979021
284.0,96,105.040149
380.0,120,105.115324
284.0,96,107.890406
412.0,128,107.969496
380.0,120,108.044373
284.0,96,108.104815
380.0,120,108.185781
284.0,96,111.006073
348.0,112,111.075852
284.0,96,111.136377
380.0,120,111.211963
476.0,144,113.935226
380.0,120,114.009993
284.0,96,114.070204
316.0,104,114.135956
284.0,96,114.196736
380.0,120,116.867198
284.0,96,116.927513
316.0,104,116.992135
380.0,120,117.067015
476.0,144,119.830527
380.0,120,119.906298
284.0,96,119.967073
284.0,96,120.027168
476.0,144,122.729156
348.0,112,122.799524
284.0,96,122.860451
284.0,96,122.920705
476.0,144,123.010852
284.0,96,126.831
316.0,104,126.897254
284.0,96,126.958635
284.0,96,127.020638
284.0,96,127.086432
476.0,144,130.160239
284.0,96,130.219391
284.0,96,130.279136
668.0,192,130.39681
668.0,192,133.144698
284.0,96,133.203782
476.0,144,133.292267
380.0,120,135.9821
284.0,96,136.042292
348.0,112,136.124988
444.0,136,136.2138
572.0,168,138.955453
284.0,96,139.017982
284.0,96,139.08008
348.0,112,139.151919
284.0,96,139.214706
284.0,96,142.032098
508.0,152,142.130546
284.0,96,142.193641
476.0,144,142.287515
476.0,144,145.125207
380.0,120,145.203548
284.0,96,145.266461
572.0,168,145.376166
540.0,160,148.115666
508.0,152,148.227015
476.0,144,148.319113
284.0,96,148.381555
476.0,144,151.12
284.0,96,151.181787
508.0,152,151.279856
444.0,136,153.982476
380.0,120,154.059987
380.0,120,154.137581
444.0,136,154.225795
444.0,136,156.934344
476.0,144,157.028685
284.0,96,157.092165
284.0,96,157.154955
348.0,112,157.229112
380.0,120,159.92769
476.0,144,160.020742
380.0,120,160.097885
380.0,120,160.175532
348.0,112,162.887638
572.0,168,162.997384
380.0,120,163.075652
380.0,120,165.771487
284.0,96,165.834752
348.0,112,165.90846
380.0,120,165.988025
284.0,96,166.051497
284.0,96,168.724389
380.0,120,168.801605
284.0,96,168.863913
284.0,96,168.926434
476.0,144,169.018979
572.0,168,171.871632
732.0,208,172.005532
380.0,120,172.083118
284.0,96,176.25283
284.0,96,176.328406
284.0,96,176.393604
284.0,96,176.456383
572.0,168,179.269158
284.0,96,179.331983
380.0,120,179.411452
380.0,120,179.490422
316.0,104,179.559556
476.0,144,182.283816
380.0,120,182.362292
284.0,96,182.424366
572.0,168,185.158214
380.0,120,185.240625
380.0,120,185.315634
284.0,96,185.38124
412.0,128,185.465689
380.0,120,188.250448
284.0,96,188.310495
284.0,96,188.37048
284.0,96,188.4303
476.0,144,191.131244
476.0,144,191.219814
380.0,120,191.294409
380.0,120,191.368897
284.0,96,191.428596
412.0,128,194.248366
380.0,120,194.322154
572.0,168,194.424519
572.0,168,197.140832
284.0,96,197.200611
316.0,104,197.264831
380.0,120,197.33919
348.0,112,200.035155
