#{"t_start": 1724010021.0209138, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
284.0,39,0.753296
380.0,48,0.795549
284.0,39,0.829896
284.0,39,0.864079
284.0,39,0.896119
668.0,77,0.958881
284.0,39,0.99116
284.0,39,1.023225
476.0,58,1.070373
380.0,48,1.109607
284.0,39,2.582238
284.0,39,2.613928
284.0,39,2.645643
284.0,39,2.676775
412.0,52,2.718232
284.0,39,2.74958
380.0,48,2.788197
380.0,48,2.82637
284.0,39,2.858162
380.0,48,2.897044
284.0,39,2.928786
380.0,48,2.967535
284.0,39,4.398094
380.0,48,4.438538
380.0,48,4.477736
380.0,48,4.516833
444.0,55,4.561728
284.0,39,4.593598
284.0,39,4.625117
380.0,48,4.663815
380.0,48,4.702326
380.0,48,4.74142
412.0,52,4.783621
284.0,39,6.235993
380.0,48,6.274287
284.0,39,6.305976
284.0,39,6.337344
796.0,90,6.409937
284.0,39,6.441377
444.0,55,6.485723
284.0,39,6.51752
508.0,61,6.566546
316.0,42,6.600622
380.0,48,8.084086
284.0,39,8.840542
316.0,42,8.875231
380.0,48,8.914361
380.0,48,8.953415
316.0,42,8.987811
572.0,68,9.043655
380.0,48,9.083254
828.0,93,9.159308
284.0,39,9.191581
284.0,39,10.63941
668.0,77,10.702423
316.0,42,10.736951
860.0,96,10.815957
284.0,39,10.848189
476.0,58,10.895957
316.0,42,10.930631
284.0,39,10.962515
284.0,39,10.994701
284.0,39,12.426535
380.0,48,12.466673
348.0,45,12.503763
476.0,58,12.551556
284.0,39,12.58399
284.0,39,12.616083
380.0,48,12.655668
476.0,58,12.703757
412.0,52,12.747094
540.0,64,12.799574
444.0,55,14.23047
284.0,39,14.263011
380.0,48,14.30232
284.0,39,14.334244
380.0,48,14.373751
284.0,39,14.405583
668.0,77,14.46827
284.0,39,14.500685
476.0,58,14.548007
380.0,48,14.587852
508.0,61,16.100066
284.0,39,16.132525
284.0,39,16.165185
1212.0,132,16.896401
284.0,39,16.928942
284.0,39,16.961009
380.0,48,17.000575
572.0,68,17.056004
380.0,48,17.096298
380.0,48,18.632426
380.0,48,18.671825
316.0,42,18.706728
284.0,39,18.738743
380.0,48,18.778301
476.0,58,18.825805
508.0,61,18.876033
764.0,87,18.947779
380.0,48,18.987996
284.0,39,19.020771
444.0,55,20.561633
284.0,39,20.594113
668.0,77,20.656981
316.0,42,20.691575
380.0,48,20.731067
284.0,39,20.763339
476.0,58,20.811394
284.0,39,20.8438
476.0,58,20.891045
540.0,64,22.32495
572.0,68,22.381015
380.0,48,22.420341
604.0,71,22.478866
444.0,55,22.5244
476.0,58,22.572414
348.0,45,22.609751
572.0,68,22.665588
380.0,48,22.704848
476.0,58,24.09732
476.0,58,24.145173
476.0,58,24.193644
380.0,48,24.849424
284.0,39,24.881847
572.0,68,24.938092
380.0,48,24.977947
476.0,58,25.02608
476.0,58,25.073498
284.0,39,25.106104
380.0,48,26.513302
572.0,68,26.569052
284.0,39,26.60129
348.0,45,26.638563
572.0,68,26.694688
284.0,39,26.726964
476.0,58,26.775081
380.0,48,26.814631
284.0,39,26.846921
476.0,58,28.2991
284.0,39,28.331953
572.0,68,28.388338
476.0,58,28.436077
284.0,39,28.469004
284.0,39,28.501091
572.0,68,28.556953
380.0,48,28.59677
348.0,45,28.634044
636.0,74,28.694717
892.0,100,30.192656
380.0,48,30.232429
284.0,39,30.264978
284.0,39,30.297811
380.0,48,30.33828
380.0,48,30.378178
700.0,80,30.444932
284.0,39,30.477612
476.0,58,30.526361
796.0,90,32.016215
380.0,48,32.056812
284.0,39,32.089889
476.0,58,32.740595
572.0,68,32.798036
668.0,77,32.862182
380.0,48,32.902348
476.0,58,32.950353
284.0,39,34.358983
380.0,48,34.399202
572.0,68,34.454683
284.0,39,34.487547
476.0,58,34.542382
284.0,39,34.575005
284.0,39,34.607568
284.0,39,34.640031
380.0,48,34.679766
380.0,48,34.719772
284.0,39,34.75235
380.0,48,36.218146
476.0,58,36.265879
380.0,48,36.305113
380.0,48,36.344454
316.0,42,36.379083
380.0,48,36.418879
284.0,39,36.451198
284.0,39,36.48361
572.0,68,36.539185
732.0,84,36.608531
380.0,48,38.050988
380.0,48,38.091184
380.0,48,38.130692
476.0,58,38.178306
284.0,39,38.21042
284.0,39,38.242958
572.0,68,38.299484
284.0,39,38.331839
284.0,39,38.364323
284.0,39,38.396702
604.0,71,39.862085
380.0,48,39.902797
284.0,39,39.935412
380.0,48,39.979359
284.0,39,40.011831
380.0,48,40.678171
284.0,39,40.710549
572.0,68,40.76675
476.0,58,40.814471
284.0,39,40.847019
572.0,68,42.277499
284.0,39,42.310071
476.0,58,42.35723
284.0,39,42.389224
348.0,45,42.425936
476.0,58,42.473273
348.0,45,42.510217
380.0,48,42.549323
380.0,48,42.589193
284.0,39,42.621415
284.0,39,42.653646
508.0,61,44.09647
316.0,42,44.131395
476.0,58,44.182109
380.0,48,44.222572
284.0,39,44.255097
508.0,61,44.305486
284.0,39,44.338064
284.0,39,44.370359
476.0,58,44.418831
284.0,39,44.451401
476.0,58,45.910289
412.0,52,45.953164
284.0,39,45.985637
572.0,68,46.041955
476.0,58,46.090046
284.0,39,46.122499
572.0,68,46.178596
476.0,58,46.226835
380.0,48,46.266728
380.0,48,47.722471
572.0,68,47.77946
380.0,48,47.819244
284.0,39,47.851856
380.0,48,47.891896
380.0,48,47.931604
284.0,39,48.584261
380.0,48,48.624284
284.0,39,48.657276
284.0,39,48.689672
284.0,39,48.722365
348.0,45,50.198046
284.0,39,50.230434
700.0,80,50.296365
348.0,45,50.333382
476.0,58,50.381445
412.0,52,50.424137
284.0,39,50.456625
796.0,90,50.531411
284.0,39,50.564149
284.0,39,50.596869
284.0,39,52.050731
380.0,48,52.090272
380.0,48,52.129628
444.0,55,52.174487
284.0,39,52.206461
412.0,52,52.248693
284.0,39,52.281113
284.0,39,52.314045
380.0,48,52.354425
284.0,39,52.386741
284.0,39,52.419172
1020.0,112,53.937485
380.0,48,53.977902
380.0,48,54.017882
380.0,48,54.058117
476.0,58,54.10677
380.0,48,54.146514
380.0,48,54.186489
284.0,39,54.219979
732.0,84,54.289923
476.0,58,55.767037
444.0,55,55.812864
348.0,45,55.850416
284.0,39,55.883086
380.0,48,55.923026
444.0,55,55.968419
380.0,48,56.608623
380.0,48,56.648424
348.0,45,56.685824
284.0,39,56.71838
444.0,55,58.188517
348.0,45,58.225689
508.0,61,58.275894
540.0,64,58.329971
476.0,58,58.377638
668.0,77,58.44051
284.0,39,58.472698
284.0,39,58.504631
380.0,48,58.544536
284.0,39,59.961296
284.0,39,59.993458
572.0,68,60.049722
380.0,48,60.089546
476.0,58,60.137629
412.0,52,60.180271
380.0,48,60.219806
380.0,48,60.258919
668.0,77,60.322339
380.0,48,60.362107
380.0,48,61.820634
380.0,48,61.860294
348.0,45,61.89749
444.0,55,61.943075
476.0,58,61.990821
284.0,39,62.022785
284.0,39,62.055158
380.0,48,62.094532
444.0,55,62.13967
284.0,39,62.172046
284.0,39,63.587289
380.0,48,63.627352
284.0,39,63.660086
380.0,48,63.699833
476.0,58,63.747986
284.0,39,63.780263
988.0,109,63.870021
476.0,58,64.541522
348.0,45,64.590205
380.0,48,64.629798
476.0,58,66.09128
316.0,42,66.126285
412.0,52,66.169154
412.0,52,66.211889
380.0,48,66.251294
476.0,58,66.299319
572.0,68,66.355747
284.0,39,66.388257
284.0,39,66.420356
380.0,48,66.459909
572.0,68,67.896582
284.0,39,67.929278
572.0,68,67.984996
924.0,103,68.077164
284.0,39,68.110011
348.0,45,68.148168
412.0,52,68.191658
476.0,58,68.240454
444.0,55,69.701707
380.0,48,69.741496
476.0,58,69.789727
284.0,39,69.822847
476.0,58,69.871454
412.0,52,69.914919
572.0,68,69.972104
284.0,39,70.00467
284.0,39,70.037892
572.0,68,70.094423
348.0,45,71.509948
764.0,87,71.582619
380.0,48,71.622818
380.0,48,71.663402
476.0,58,71.712195
348.0,45,71.74988
540.0,64,71.803353
284.0,39,71.836107
284.0,39,72.470706
284.0,39,74.364727
284.0,39,74.397127
508.0,61,74.447279
540.0,64,74.50009
348.0,45,74.537782
284.0,39,74.569881
284.0,39,74.60225
284.0,39,74.634466
380.0,48,74.673669
316.0,42,74.708013
380.0,48,74.747656
412.0,52,76.688688
348.0,45,76.725726
348.0,45,76.7631
476.0,58,76.810772
380.0,48,76.850305
476.0,58,76.897803
412.0,52,76.940887
284.0,39,76.973242
284.0,39,77.005373
380.0,48,77.044701
604.0,71,79.103855
380.0,48,79.143815
