Episodio,Puntaje
1,[2100.]
2,[2100.]
3,[572.]
4,[380.]
5,[1820.]
6,[2100.]
7,[2100.]
8,[476.]
9,[2100.]
10,[636.]
11,[2100.]
12,[2100.]
13,[2100.]
14,[412.]
15,[1660.]
16,[2100.]
17,[2100.]
18,[636.]
19,[2100.]
20,[2100.]
21,[636.]
22,[2100.]
23,[1276.]
24,[2100.]
25,[1340.]
26,[2100.]
27,[2100.]
28,[2100.]
29,[2100.]
30,[2100.]
31,[2100.]
32,[444.]
33,[2100.]
34,[2100.]
35,[956.]
36,[316.]
37,[2100.]
38,[2100.]
39,[2100.]
40,[444.]
41,[2100.]
42,[476.]
43,[1340.]
44,[2100.]
45,[668.]
46,[2100.]
47,[1820.]
48,[2100.]
49,[284.]
50,[2100.]
51,[380.]
52,[572.]
53,[2100.]
54,[1180.]
55,[2100.]
56,[1436.]
57,[284.]
58,[1244.]
59,[2100.]
60,[2100.]
61,[412.]
62,[1244.]
63,[380.]
64,[860.]
65,[380.]
66,[1788.]
67,[380.]
68,[476.]
69,[2100.]
70,[412.]
71,[2100.]
72,[380.]
73,[316.]
74,[2100.]
75,[476.]
76,[2100.]
77,[2100.]
78,[1116.]
79,[2100.]
80,[2100.]
81,[2100.]
82,[2100.]
83,[2100.]
84,[1276.]
85,[540.]
86,[572.]
87,[2100.]
88,[2100.]
89,[668.]
90,[668.]
91,[2100.]
92,[956.]
93,[380.]
94,[860.]
95,[572.]
96,[860.]
97,[2100.]
98,[892.]
99,[732.]
100,[2100.]
101,[2100.]
102,[2100.]
103,[572.]
104,[1020.]
105,[1404.]
106,[1084.]
107,[892.]
108,[1340.]
109,[2100.]
110,[2100.]
111,[2100.]
112,[1244.]
113,[2100.]
114,[636.]
115,[476.]
116,[2100.]
117,[1980.]
118,[284.]
119,[2100.]
120,[2100.]
121,[2100.]
122,[668.]
123,[2100.]
124,[2100.]
125,[2100.]
126,[380.]
127,[2100.]
128,[1052.]
129,[2100.]
130,[1148.]
131,[764.]
132,[2100.]
133,[2100.]
134,[1340.]
135,[892.]
136,[380.]
137,[284.]
138,[2100.]
139,[2100.]
140,[2100.]
141,[2100.]
142,[796.]
143,[2100.]
144,[2100.]
145,[2100.]
146,[2100.]
147,[1468.]
148,[1148.]
149,[2100.]
150,[380.]
151,[828.]
152,[2100.]
153,[956.]
154,[2100.]
155,[1404.]
156,[1980.]
157,[2100.]
158,[2100.]
159,[2100.]
160,[796.]
161,[2100.]
162,[2100.]
163,[988.]
164,[2100.]
165,[2100.]
166,[1564.]
167,[2100.]
168,[1180.]
169,[2100.]
170,[2100.]
171,[1340.]
172,[2100.]
173,[1180.]
174,[2100.]
175,[2100.]
176,[2100.]
177,[2100.]
178,[348.]
179,[1244.]
180,[988.]
181,[2100.]
182,[1980.]
183,[2100.]
184,[2100.]
185,[2100.]
186,[2100.]
187,[796.]
188,[892.]
189,[2100.]
190,[2100.]
191,[2100.]
192,[2100.]
193,[1532.]
194,[2100.]
195,[2100.]
196,[2100.]
197,[572.]
198,[2100.]
199,[1276.]
200,[2100.]
201,[2100.]
202,[2100.]
203,[2100.]
204,[2100.]
205,[2100.]
206,[380.]
207,[2100.]
208,[2100.]
209,[1404.]
210,[2100.]
211,[2100.]
212,[2100.]
213,[444.]
214,[1596.]
215,[2100.]
216,[2100.]
217,[2100.]
218,[764.]
219,[476.]
220,[2100.]
221,[796.]
222,[2100.]
223,[284.]
224,[2100.]
225,[2100.]
226,[2100.]
227,[2100.]
228,[1596.]
229,[2100.]
230,[2100.]
231,[2100.]
232,[2100.]
233,[316.]
234,[2100.]
235,[2100.]
236,[348.]
237,[2100.]
238,[444.]
239,[2100.]
240,[2100.]
241,[2100.]
242,[1084.]
243,[476.]
244,[2100.]
245,[2100.]
246,[2100.]
247,[732.]
248,[2100.]
249,[1276.]
250,[2100.]
251,[1500.]
252,[636.]
253,[1084.]
254,[2100.]
255,[2100.]
256,[2100.]
257,[2100.]
258,[1980.]
259,[2100.]
260,[860.]
261,[2100.]
262,[2100.]
263,[2100.]
264,[2100.]
265,[2100.]
266,[2100.]
267,[2100.]
268,[2100.]
269,[2100.]
270,[572.]
271,[860.]
272,[2100.]
273,[1340.]
274,[892.]
275,[2100.]
276,[2100.]
277,[2100.]
278,[668.]
279,[2100.]
280,[636.]
281,[2100.]
282,[1468.]
283,[2100.]
284,[2100.]
285,[2100.]
286,[2100.]
287,[380.]
288,[2100.]
289,[2100.]
290,[412.]
291,[988.]
292,[476.]
293,[1788.]
294,[2100.]
295,[2100.]
296,[1596.]
297,[1404.]
298,[2100.]
299,[2100.]
300,[2100.]
301,[2100.]
302,[2100.]
303,[2100.]
304,[1756.]
305,[1052.]
306,[2100.]
307,[2100.]
308,[2100.]
309,[2100.]
310,[2100.]
311,[2100.]
312,[284.]
313,[2100.]
314,[2100.]
315,[2100.]
316,[316.]
317,[2100.]
318,[796.]
319,[2100.]
320,[284.]
321,[2100.]
322,[2100.]
323,[2100.]
324,[2100.]
325,[1276.]
326,[860.]
327,[1180.]
328,[796.]
329,[380.]
330,[1404.]
331,[924.]
332,[1340.]
333,[2100.]
334,[1436.]
335,[2100.]
336,[2100.]
337,[2100.]
338,[2100.]
339,[2100.]
340,[1564.]
341,[2100.]
342,[2100.]
343,[860.]
344,[1404.]
345,[796.]
346,[284.]
347,[476.]
348,[892.]
349,[2100.]
350,[2100.]
351,[2100.]
352,[476.]
353,[284.]
354,[2100.]
355,[2100.]
356,[2100.]
357,[2100.]
358,[2100.]
359,[316.]
360,[2100.]
361,[2100.]
362,[2100.]
363,[2100.]
364,[2100.]
365,[2100.]
366,[1660.]
367,[2100.]
368,[380.]
369,[2100.]
370,[2100.]
371,[2100.]
372,[2100.]
373,[2100.]
374,[2100.]
375,[2100.]
376,[380.]
377,[2100.]
378,[2100.]
379,[2100.]
380,[1308.]
381,[2100.]
382,[1276.]
383,[2100.]
384,[2100.]
385,[2100.]
386,[348.]
387,[2100.]
388,[1628.]
389,[1916.]
390,[476.]
391,[1276.]
392,[2100.]
393,[2100.]
394,[1340.]
395,[2100.]
396,[2100.]
397,[2100.]
398,[892.]
399,[2100.]
400,[2100.]
401,[1276.]
402,[476.]
403,[1180.]
404,[2100.]
405,[1468.]
406,[1628.]
407,[1756.]
408,[1820.]
409,[1500.]
410,[284.]
411,[2100.]
412,[636.]
413,[476.]
414,[572.]
415,[412.]
416,[956.]
417,[2100.]
418,[412.]
419,[412.]
420,[2100.]
421,[924.]
422,[2100.]
423,[2100.]
424,[444.]
425,[2100.]
426,[2100.]
427,[1884.]
428,[668.]
429,[2100.]
430,[284.]
431,[668.]
432,[476.]
433,[2100.]
434,[2100.]
435,[540.]
436,[2100.]
437,[348.]
438,[2100.]
439,[1084.]
440,[2100.]
441,[1916.]
442,[2100.]
443,[1500.]
444,[2100.]
445,[732.]
446,[316.]
447,[2100.]
448,[2100.]
449,[348.]
450,[924.]
451,[2100.]
452,[380.]
453,[2100.]
454,[2100.]
455,[2100.]
456,[2100.]
457,[412.]
458,[2100.]
459,[284.]
460,[380.]
461,[284.]
462,[2100.]
463,[1692.]
464,[732.]
465,[2100.]
466,[1308.]
467,[2100.]
468,[2100.]
469,[2100.]
470,[2100.]
471,[2100.]
472,[2100.]
473,[1596.]
474,[380.]
475,[2100.]
476,[476.]
477,[2100.]
478,[2100.]
479,[1468.]
480,[2100.]
481,[2100.]
482,[2100.]
483,[284.]
484,[380.]
485,[2100.]
486,[380.]
487,[1660.]
488,[284.]
489,[380.]
490,[2100.]
491,[2100.]
492,[604.]
493,[2100.]
494,[1788.]
495,[2100.]
496,[2100.]
497,[2100.]
498,[476.]
499,[540.]
500,[2100.]
501,[1852.]
502,[508.]
503,[2100.]
504,[1180.]
505,[284.]
506,[2100.]
507,[2100.]
508,[2100.]
509,[380.]
510,[1340.]
511,[1340.]
512,[508.]
513,[2100.]
514,[2100.]
515,[924.]
516,[2100.]
517,[2100.]
518,[1916.]
519,[2100.]
520,[2100.]
521,[2100.]
522,[2100.]
523,[2100.]
524,[2100.]
525,[892.]
526,[2100.]
527,[2100.]
528,[2100.]
529,[1628.]
530,[380.]
531,[2100.]
532,[2100.]
533,[2100.]
534,[668.]
