Episodio,Puntaje
1,[1180.]
2,[380.]
3,[2100.]
4,[508.]
5,[2100.]
6,[700.]
7,[2100.]
8,[2100.]
9,[1628.]
10,[796.]
11,[2100.]
12,[924.]
13,[2100.]
14,[2100.]
15,[2100.]
16,[2100.]
17,[380.]
18,[2100.]
19,[2100.]
20,[2100.]
21,[2100.]
22,[380.]
23,[380.]
24,[2100.]
25,[316.]
26,[2100.]
27,[572.]
28,[1148.]
29,[2100.]
30,[2100.]
31,[2100.]
32,[2100.]
33,[2100.]
34,[412.]
35,[2100.]
36,[572.]
37,[2100.]
38,[1372.]
39,[2100.]
40,[2100.]
41,[2100.]
42,[2100.]
43,[668.]
44,[380.]
45,[2100.]
46,[828.]
47,[1660.]
48,[2100.]
49,[2100.]
50,[732.]
51,[2100.]
52,[2100.]
53,[828.]
54,[1820.]
55,[2100.]
56,[2100.]
57,[700.]
58,[2100.]
59,[2100.]
60,[2100.]
61,[2100.]
62,[476.]
63,[2100.]
64,[700.]
65,[2100.]
66,[2100.]
67,[2100.]
68,[2100.]
69,[700.]
70,[2100.]
71,[2100.]
72,[2100.]
73,[2100.]
74,[2100.]
75,[2100.]
76,[2100.]
77,[892.]
78,[1884.]
79,[2100.]
80,[2100.]
81,[2100.]
82,[2100.]
83,[2100.]
84,[2100.]
85,[2100.]
86,[284.]
87,[284.]
88,[284.]
89,[2100.]
90,[2100.]
91,[2100.]
92,[2100.]
93,[828.]
94,[2100.]
95,[380.]
96,[1660.]
97,[2100.]
98,[2100.]
99,[2100.]
100,[2100.]
101,[1372.]
102,[2100.]
103,[2100.]
104,[2100.]
105,[1340.]
106,[412.]
107,[2100.]
108,[2100.]
109,[2100.]
110,[860.]
111,[2100.]
112,[380.]
113,[412.]
114,[2100.]
115,[2100.]
116,[412.]
117,[1436.]
118,[2100.]
119,[2100.]
120,[732.]
121,[2100.]
122,[2100.]
123,[1436.]
124,[2100.]
125,[2100.]
126,[892.]
127,[2100.]
128,[2100.]
129,[2100.]
130,[2100.]
131,[380.]
132,[1692.]
133,[2100.]
134,[2100.]
135,[1084.]
136,[2100.]
137,[1084.]
138,[2100.]
139,[892.]
140,[2100.]
141,[2100.]
142,[2100.]
143,[2100.]
144,[668.]
145,[2100.]
146,[2100.]
147,[2100.]
148,[2100.]
149,[860.]
150,[2100.]
151,[2100.]
152,[2100.]
153,[2100.]
154,[2100.]
155,[2100.]
156,[2100.]
157,[2100.]
158,[2100.]
159,[2100.]
160,[2100.]
161,[2100.]
162,[2100.]
163,[2100.]
164,[2100.]
165,[1884.]
166,[2100.]
167,[2100.]
168,[2100.]
169,[572.]
170,[1500.]
171,[2100.]
172,[2100.]
173,[1660.]
174,[2100.]
175,[2100.]
176,[2100.]
177,[316.]
178,[380.]
179,[2100.]
180,[2100.]
181,[2100.]
182,[2100.]
183,[2100.]
184,[2100.]
185,[2100.]
186,[732.]
187,[2100.]
188,[1436.]
189,[2100.]
190,[284.]
191,[2100.]
192,[2100.]
193,[2100.]
194,[2100.]
195,[2100.]
196,[2100.]
197,[700.]
198,[2100.]
199,[2100.]
200,[2100.]
201,[1660.]
202,[2100.]
203,[1148.]
204,[348.]
205,[2100.]
206,[2100.]
207,[2100.]
208,[2100.]
209,[2100.]
210,[2100.]
211,[2100.]
212,[1948.]
213,[2100.]
214,[2100.]
215,[1436.]
216,[2100.]
217,[2100.]
218,[2100.]
219,[2100.]
220,[2100.]
221,[2100.]
222,[2100.]
223,[2100.]
224,[2100.]
225,[2100.]
226,[2100.]
227,[2100.]
228,[2100.]
229,[2100.]
230,[2100.]
231,[1340.]
232,[2100.]
233,[348.]
234,[732.]
235,[284.]
236,[2100.]
237,[2100.]
238,[284.]
239,[572.]
240,[2100.]
241,[1596.]
242,[540.]
243,[284.]
244,[2100.]
245,[2100.]
246,[2100.]
247,[2100.]
248,[2100.]
249,[1884.]
250,[604.]
251,[2100.]
252,[636.]
253,[2100.]
254,[2100.]
255,[2100.]
256,[2100.]
257,[988.]
258,[2100.]
259,[2100.]
260,[2100.]
261,[2100.]
262,[2100.]
263,[2100.]
264,[2100.]
265,[284.]
266,[2100.]
267,[1244.]
268,[2100.]
269,[1212.]
270,[2100.]
271,[2100.]
272,[2100.]
273,[412.]
274,[2100.]
275,[2100.]
276,[2100.]
277,[2100.]
278,[2100.]
279,[572.]
280,[2100.]
281,[2100.]
282,[2100.]
283,[892.]
284,[380.]
285,[2100.]
286,[2100.]
287,[2100.]
288,[284.]
289,[284.]
290,[2100.]
291,[2100.]
292,[2100.]
293,[1564.]
294,[1276.]
295,[1532.]
296,[2100.]
297,[2100.]
298,[2100.]
299,[2100.]
300,[1724.]
301,[2100.]
302,[2100.]
303,[540.]
304,[2100.]
305,[1564.]
306,[2100.]
307,[2100.]
308,[2100.]
309,[2100.]
310,[1404.]
311,[1532.]
312,[2100.]
313,[2100.]
314,[380.]
315,[572.]
316,[668.]
317,[2100.]
318,[2100.]
319,[2100.]
320,[2100.]
321,[2100.]
322,[284.]
323,[284.]
324,[2100.]
325,[2100.]
326,[476.]
327,[604.]
328,[2100.]
329,[2100.]
330,[2100.]
331,[2100.]
332,[476.]
333,[700.]
334,[2100.]
335,[2100.]
336,[892.]
337,[2100.]
338,[412.]
339,[2100.]
340,[2100.]
341,[1116.]
342,[2100.]
343,[1084.]
344,[1020.]
345,[2100.]
346,[2100.]
347,[668.]
348,[2100.]
349,[604.]
350,[2100.]
351,[924.]
352,[2100.]
353,[732.]
354,[2100.]
355,[2100.]
356,[2100.]
357,[2100.]
358,[1404.]
359,[2100.]
360,[2100.]
361,[2100.]
362,[1564.]
363,[2100.]
364,[2100.]
365,[2100.]
366,[2100.]
367,[2100.]
368,[2100.]
369,[1468.]
370,[2100.]
371,[2100.]
372,[2100.]
373,[2100.]
374,[2100.]
375,[2100.]
376,[2100.]
377,[2100.]
378,[2100.]
379,[2100.]
380,[2100.]
381,[892.]
382,[1564.]
383,[2100.]
384,[828.]
385,[2100.]
386,[2100.]
387,[2100.]
388,[1884.]
389,[2100.]
390,[636.]
391,[604.]
392,[572.]
393,[2100.]
394,[2100.]
395,[1404.]
396,[2100.]
397,[2100.]
398,[316.]
399,[2100.]
400,[2100.]
401,[540.]
402,[2100.]
403,[2100.]
404,[2100.]
405,[1532.]
406,[2100.]
407,[2100.]
408,[2100.]
409,[572.]
410,[2100.]
411,[2100.]
412,[2100.]
413,[2100.]
414,[764.]
415,[668.]
416,[1468.]
417,[1756.]
418,[284.]
419,[2100.]
420,[380.]
421,[2100.]
422,[2100.]
423,[2100.]
424,[380.]
425,[2100.]
426,[860.]
427,[2100.]
428,[2100.]
429,[2100.]
430,[2100.]
431,[2100.]
432,[2100.]
433,[2100.]
434,[2100.]
435,[2100.]
436,[2100.]
437,[2100.]
438,[1340.]
439,[2100.]
