#{"t_start": 1723449365.8804677, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
0.7901,210,7.441803
-0.21,210,7.653719
-0.21,210,35.033152
-0.21,210,35.21802
0.9907,10,35.240114
-0.21,210,58.078653
-0.21,210,58.265209
-0.21,210,58.450785
-0.21,210,82.125237
-0.21,210,82.310876
-0.21,210,105.80418
-0.21,210,105.990145
0.9894,11,106.011363
0.8414,159,106.152417
-0.21,210,128.841986
-0.21,210,129.042724
-0.21,210,150.540764
-0.21,210,150.717982
-0.21,210,173.395263
-0.21,210,173.575845
0.9333,67,173.64695
-0.21,210,196.310635
0.9659,35,196.35249
-0.21,210,196.528793
-0.21,210,196.70811
0.8967,104,219.311275
-0.21,210,219.505868
-0.21,210,242.698909
-0.21,210,242.880302
-0.21,210,243.057032
-0.21,210,271.396933
-0.21,210,271.568561
-0.21,210,294.617915
0.8423,158,294.769259
-0.21,210,294.950974
-0.21,210,318.07316
-0.21,210,318.291235
-0.21,210,341.602479
-0.21,210,341.799333
-0.21,210,341.978688
-0.21,210,364.918033
-0.21,210,365.092373
-0.21,210,388.306281
0.9692,31,388.346558
-0.21,210,388.528316
-0.21,210,411.293977
-0.21,210,411.472617
-0.21,210,411.647037
-0.21,210,434.312202
-0.21,210,434.491891
-0.21,210,457.567534
-0.21,210,457.750013
-0.21,210,480.671821
-0.21,210,480.868284
-0.21,210,481.064751
-0.21,210,503.749247
-0.21,210,503.95003
-0.21,210,526.847258
-0.21,210,527.063491
-0.21,210,527.257993
-0.21,210,550.137221
-0.21,210,550.339328
-0.21,210,573.142257
-0.21,210,573.332454
-0.21,210,595.825913
-0.21,210,596.029508
-0.21,210,596.23344
-0.21,210,618.553474
-0.21,210,618.752008
0.9583,42,618.799669
0.9074,93,641.286507
-0.21,210,641.482873
-0.21,210,641.670929
-0.21,210,664.464842
0.7927,208,664.646613
-0.21,210,687.347533
-0.21,210,687.544659
-0.21,210,687.732032
-0.21,210,710.463058
0.8401,160,710.623503
-0.21,210,733.439768
-0.21,210,733.651718
-0.21,210,733.858792
-0.21,210,756.846432
-0.21,210,757.054396
-0.21,210,780.052813
0.8053,195,780.24366
-0.21,210,803.752001
-0.21,210,803.962535
-0.21,210,804.169966
-0.21,210,827.403898
0.911,89,827.4957
-0.21,210,827.703163
-0.21,210,850.911963
-0.21,210,851.110604
-0.21,210,876.526376
-0.21,210,876.764211
-0.21,210,900.682691
-0.21,210,900.891322
-0.21,210,901.099499
-0.21,210,923.64427
-0.21,210,923.85077
0.8994,101,923.959407
-0.21,210,946.707513
-0.21,210,946.978767
-0.21,210,971.98664
-0.21,210,972.191973
-0.21,210,972.398519
-0.21,210,1001.082579
-0.21,210,1001.290791
-0.21,210,1028.305352
-0.21,210,1028.51298
-0.21,210,1053.880919
0.9265,74,1053.966722
-0.21,210,1054.218566
0.9784,22,1054.252061
-0.21,210,1078.239684
-0.21,210,1078.446078
-0.21,210,1078.650994
-0.21,210,1101.32177
-0.21,210,1101.530649
-0.21,210,1124.200743
-0.21,210,1124.401216
-0.21,210,1147.296818
0.84,160,1147.471433
-0.21,210,1147.679971
0.9687,32,1147.72516
-0.21,210,1172.843792
-0.21,210,1173.049525
-0.21,210,1195.82551
-0.21,210,1196.032609
-0.21,210,1196.243259
-0.21,210,1219.114822
-0.21,210,1219.314821
-0.21,210,1241.995016
-0.21,210,1242.198268
0.82,180,1264.752211
-0.21,210,1264.960577
0.9718,29,1264.998302
-0.21,210,1265.198195
0.8638,137,1287.777241
-0.21,210,1287.990896
-0.21,210,1313.220413
-0.21,210,1313.433019
0.9082,92,1313.529372
0.8931,107,1313.643731
-0.21,210,1339.945173
-0.21,210,1340.143971
-0.21,210,1363.027432
0.9382,62,1363.099337
-0.21,210,1363.295965
0.9789,22,1363.32574
-0.21,210,1387.788293
-0.21,210,1388.006013
-0.21,210,1388.22086
-0.21,210,1410.713599
-0.21,210,1410.899966
-0.21,210,1433.593338
-0.21,210,1433.788342
0.8937,107,1433.895725
-0.21,210,1456.641365
-0.21,210,1456.826671
0.9819,19,1456.853009
-0.21,210,1479.5914
-0.21,210,1479.798357
-0.21,210,1479.988609
-0.21,210,1502.687838
-0.21,210,1502.870933
-0.21,210,1525.937032
-0.21,210,1526.137744
-0.21,210,1548.90873
-0.21,210,1549.09431
-0.21,210,1549.280635
0.8005,200,1572.006493
-0.21,210,1572.185974
-0.21,210,1594.954977
0.9522,48,1595.010845
-0.21,210,1595.196863
0.8177,183,1617.873791
-0.21,210,1618.05157
-0.21,210,1618.237941
-0.21,210,1641.413182
-0.21,210,1641.598038
-0.21,210,1664.641212
0.864,136,1664.773015
