#{"t_start": 1727669235.6182933, "env_id": "VizdoomMyWayHome-v0"}
r,l,t
-0.21,210,0.876878
-0.21,210,1.054119
-0.21,210,17.752909
-0.21,210,17.927188
-0.21,210,33.482916
-0.21,210,33.664711
-0.21,210,33.822648
-0.21,210,45.909759
-0.21,210,45.967786
-0.21,210,60.371826
-0.21,210,60.527061
-0.21,210,72.771667
-0.21,210,72.83859
-0.21,210,72.899378
-0.21,210,87.184796
-0.21,210,87.347128
-0.21,210,102.858538
-0.21,210,103.027442
-0.21,210,103.18944
-0.21,210,119.507251
-0.21,210,119.692394
-0.21,210,131.044956
-0.21,210,131.202076
-0.21,210,147.160459
-0.21,210,147.22035
-0.21,210,147.279656
-0.21,210,158.088859
-0.21,210,158.252834
-0.21,210,174.25134
-0.21,210,174.312105
-0.21,210,184.789631
-0.21,210,184.960516
-0.21,210,185.1096
-0.21,210,201.611075
0.8444,156,201.66599
0.8882,112,201.699158
-0.21,210,211.914258
-0.21,210,212.09834
-0.21,210,228.469339
-0.21,210,228.643635
-0.21,210,228.807292
0.7979,203,241.520143
-0.21,210,241.698452
-0.21,210,256.104043
-0.21,210,256.172585
-0.21,210,268.561608
-0.21,210,268.731831
-0.21,210,268.90264
-0.21,210,283.408429
-0.21,210,283.606376
-0.21,210,296.516424
0.9334,67,296.636606
-0.21,210,297.03888
0.8568,144,297.309241
-0.21,210,310.715196
-0.21,210,310.885955
-0.21,210,325.20524
-0.21,210,325.630933
-0.21,210,339.077201
-0.21,210,339.245775
-0.21,210,339.417244
-0.21,210,353.698653
-0.21,210,354.160906
-0.21,210,367.155306
-0.21,210,367.346702
-0.21,210,367.527033
-0.21,210,382.894384
-0.21,210,383.280095
0.9378,63,383.401807
-0.21,210,395.418236
-0.21,210,395.596782
0.9234,77,395.667864
-0.21,210,411.249143
-0.21,210,411.668977
-0.21,210,423.406791
-0.21,210,423.583257
-0.21,210,439.491111
-0.21,210,439.895937
-0.21,210,440.340987
-0.21,210,456.409843
-0.21,210,456.855925
-0.21,210,472.115843
-0.21,210,472.293619
-0.21,210,472.467656
0.9879,13,484.786898
-0.21,210,485.186207
-0.21,210,485.555445
-0.21,210,499.953232
-0.21,210,500.14681
-0.21,210,514.074992
0.9746,26,514.122583
-0.21,210,514.537428
-0.21,210,527.94219
-0.21,210,528.126719
-0.21,210,528.304431
-0.21,210,542.621781
-0.21,210,543.063387
-0.21,210,558.429727
0.9303,70,558.579922
0.9509,50,558.684639
-0.21,210,559.112988
-0.21,210,576.203613
0.973,27,576.237681
-0.21,210,576.418831
0.9431,57,576.471089
-0.21,210,587.520996
-0.21,210,587.984885
-0.21,210,604.148737
-0.21,210,604.351674
-0.21,210,604.533559
-0.21,210,616.026931
-0.21,210,616.448494
0.9863,14,616.48723
-0.21,210,632.007037
0.8673,133,632.123876
-0.21,210,632.309225
-0.21,210,644.523762
-0.21,210,644.945951
-0.21,210,660.266351
-0.21,210,660.462083
-0.21,210,660.647419
-0.21,210,673.69265
-0.21,210,674.134895
-0.21,210,687.138207
-0.21,210,687.320173
-0.21,210,701.028717
-0.21,210,701.465506
-0.21,210,701.904938
-0.21,210,715.380081
-0.21,210,715.567008
-0.21,210,729.811234
-0.21,210,730.296017
-0.21,210,730.717914
-0.21,210,743.943774
-0.21,210,744.139305
-0.21,210,759.301731
-0.21,210,759.711787
-0.21,210,772.365349
-0.21,210,772.544652
-0.21,210,772.728027
-0.21,210,788.573221
-0.21,210,789.029199
-0.21,210,800.331604
-0.21,210,800.535874
-0.21,210,817.085726
-0.21,210,817.544604
-0.21,210,817.973923
-0.21,210,830.663889
-0.21,210,831.096862
-0.21,210,847.937919
-0.21,210,848.342619
-0.21,210,848.72641
-0.21,210,859.802818
-0.21,210,860.283139
-0.21,210,876.741754
-0.21,210,876.913869
-0.21,210,892.813142
-0.21,210,893.234009
0.91,90,893.42902
-0.21,210,904.602027
0.8563,144,904.730576
-0.21,210,904.916714
-0.21,210,921.721653
-0.21,210,922.125138
0.9138,87,922.314891
-0.21,210,933.0967
0.8277,173,933.432023
-0.21,210,933.866022
-0.21,210,950.443934
-0.21,210,950.881805
-0.21,210,963.241469
-0.21,210,963.709876
-0.21,210,980.971832
-0.21,210,981.207541
-0.21,210,981.399873
-0.21,210,992.949747
-0.21,210,993.367401
-0.21,210,1009.79898
-0.21,210,1009.984541
0.8056,195,1020.989841
-0.21,210,1021.40851
-0.21,210,1021.859728
-0.21,210,1037.243196
-0.21,210,1037.432929
-0.21,210,1049.602456
-0.21,210,1050.063533
-0.21,210,1050.501896
-0.21,210,1066.528421
-0.21,210,1066.984919
-0.21,210,1083.496893
0.7943,206,1083.940737
-0.21,210,1095.006285
-0.21,210,1095.446491
-0.21,210,1095.896423
-0.21,210,1111.48766
-0.21,210,1111.917045
-0.21,210,1122.276675
-0.21,210,1122.740879
-0.21,210,1123.131809
-0.21,210,1140.008821
-0.21,210,1140.255446
-0.21,210,1154.138005
0.8794,121,1154.400917
-0.21,210,1154.86443
-0.21,210,1168.10234
-0.21,210,1168.289954
-0.21,210,1182.934457
-0.21,210,1183.341065
-0.21,210,1183.774334
-0.21,210,1196.176965
-0.21,210,1196.370599
-0.21,210,1211.65242
-0.21,210,1212.055842
-0.21,210,1223.990281
-0.21,210,1224.190016
-0.21,210,1224.396667
-0.21,210,1239.966934
-0.21,210,1240.432319
-0.21,210,1255.874018
-0.21,210,1256.280608
0.7957,205,1272.482923
-0.21,210,1272.672196
-0.21,210,1272.871483
-0.21,210,1284.315732
-0.21,210,1284.795836
-0.21,210,1300.204884
0.9439,57,1300.260761
-0.21,210,1300.458333
-0.21,210,1313.163461
0.8327,168,1313.522657
-0.21,210,1313.969376
-0.21,210,1328.331161
0.9479,53,1328.384169
0.8195,181,1328.552852
-0.21,210,1342.260134
-0.21,210,1342.71707
-0.21,210,1343.186798
-0.21,210,1356.866222
-0.21,210,1357.065042
-0.21,210,1372.3723
-0.21,210,1372.830195
-0.21,210,1385.011006
-0.21,210,1385.24572
-0.21,210,1385.473714
0.9664,34,1385.504649
-0.21,210,1401.450363
-0.21,210,1401.925541
-0.21,210,1417.811901
-0.21,210,1418.281289
-0.21,210,1433.218087
-0.21,210,1433.415607
-0.21,210,1433.625006
-0.21,210,1446.170928
-0.21,210,1446.666681
0.8783,122,1461.170548
0.8032,197,1461.36502
-0.21,210,1461.571724
-0.21,210,1475.609771
-0.21,210,1476.091585
-0.21,210,1490.034838
-0.21,210,1490.235769
-0.21,210,1490.454942
-0.21,210,1504.508554
-0.21,210,1504.937051
0.9498,51,1505.030402
-0.21,210,1517.707903
-0.21,210,1517.906387
-0.21,210,1532.348607
-0.21,210,1532.781326
-0.21,210,1533.203422
-0.21,210,1545.054463
-0.21,210,1545.258209
-0.21,210,1561.472758
-0.21,210,1561.946642
-0.21,210,1576.951514
-0.21,210,1577.428746
-0.21,210,1577.895547
-0.21,210,1593.356731
-0.21,210,1593.561435
-0.21,210,1605.60363
-0.21,210,1606.018443
-0.21,210,1621.340704
-0.21,210,1621.563512
-0.21,210,1621.763729
-0.21,210,1634.785243
-0.21,210,1635.249871
-0.21,210,1649.670596
-0.21,210,1649.876067
-0.21,210,1650.07998
-0.21,210,1663.670537
-0.21,210,1664.11206
-0.21,210,1680.591397
-0.21,210,1681.030607
0.9081,92,1681.192222
-0.21,210,1697.408432
-0.21,210,1697.845306
-0.21,210,1708.306534
-0.21,210,1708.760469
0.8732,127,1709.073576
-0.21,210,1725.984591
-0.21,210,1726.18554
-0.21,210,1736.949837
-0.21,210,1737.410764
-0.21,210,1737.8607
0.824,176,1753.64077
-0.21,210,1753.846288
-0.21,210,1765.477776
-0.21,210,1765.899003
-0.21,210,1766.376771
-0.21,210,1781.968672
-0.21,210,1782.454632
-0.21,210,1799.695076
-0.21,210,1800.165359
-0.21,210,1800.586395
-0.21,210,1811.576684
